# noise_analysis run from DCC-NOISE-001003 at Sun Jul  7 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
07/07/2013 00:05:00,   51.44,   56.23,   41.60,   55.26,   60.56,   45.34
07/07/2013 00:10:00,   52.02,   56.59,   44.25,   55.30,   59.60,   47.58
07/07/2013 00:15:00,   51.86,   55.83,   44.18,   54.05,   57.33,   47.88
07/07/2013 00:20:00,   50.77,   55.99,   40.34,   53.01,   58.17,   43.79
07/07/2013 00:25:00,   51.31,   57.85,   40.17,   54.50,   60.15,   44.23
07/07/2013 00:30:00,   51.33,   55.57,   42.61,   53.69,   57.57,   46.07
07/07/2013 00:35:00,   50.19,   55.48,   41.49,   53.27,   58.26,   46.12
07/07/2013 00:40:00,   50.94,   56.58,   42.07,   53.37,   58.38,   45.57
07/07/2013 00:45:00,   50.87,   56.54,   41.09,   53.16,   58.85,   44.04
07/07/2013 00:50:00,   54.79,   59.33,   45.67,   58.03,   62.65,   49.41
07/07/2013 00:55:00,   51.67,   56.90,   41.97,   54.15,   58.58,   45.37
07/07/2013 01:00:00,   51.63,   56.53,   43.28,   54.13,   58.64,   46.28
07/07/2013 01:05:00,   52.54,   57.77,   42.52,   54.88,   59.70,   45.73
07/07/2013 01:10:00,   56.21,   62.61,   46.04,   60.79,   67.85,   49.25
07/07/2013 01:15:00,   50.74,   55.53,   42.92,   53.73,   57.95,   45.85
07/07/2013 01:20:00,   51.54,   56.41,   42.84,   54.56,   58.93,   45.45
07/07/2013 01:25:00,   52.96,   56.86,   46.25,   55.96,   60.13,   49.25
07/07/2013 01:30:00,   51.61,   57.40,   40.41,   53.96,   59.41,   44.58
07/07/2013 01:35:00,   51.79,   56.10,   43.90,   54.19,   58.30,   47.56
07/07/2013 01:40:00,   50.51,   55.97,   41.98,   52.94,   57.91,   45.00
07/07/2013 01:45:00,   50.72,   55.78,   42.46,   53.22,   57.68,   45.91
07/07/2013 01:50:00,   52.58,   57.94,   43.42,   55.08,   59.91,   46.63
07/07/2013 01:55:00,   51.44,   56.58,   39.17,   53.85,   58.62,   42.49
07/07/2013 02:00:00,   51.63,   56.27,   44.43,   53.84,   58.09,   47.42
07/07/2013 02:05:00,   51.92,   56.29,   41.62,   54.35,   58.08,   45.50
07/07/2013 02:10:00,   51.26,   57.68,   40.30,   53.84,   59.70,   44.24
07/07/2013 02:15:00,   50.44,   54.55,   43.03,   53.11,   56.69,   46.95
07/07/2013 02:20:00,   52.09,   58.17,   42.16,   54.82,   60.36,   45.59
07/07/2013 02:25:00,   51.50,   57.03,   42.44,   53.60,   58.77,   45.35
07/07/2013 02:30:00,   51.42,   56.18,   42.87,   54.37,   59.51,   45.73
07/07/2013 02:35:00,   50.65,   55.78,   40.72,   53.76,   58.84,   44.23
07/07/2013 02:40:00,   49.71,   55.18,   40.41,   52.52,   57.98,   42.79
07/07/2013 02:45:00,   51.31,   55.85,   42.89,   54.34,   59.35,   46.07
07/07/2013 02:50:00,   49.88,   55.22,   41.73,   52.93,   57.77,   44.78
07/07/2013 02:55:00,   48.71,   55.27,   39.51,   51.54,   58.02,   42.83
07/07/2013 03:00:00,   51.46,   56.98,   43.12,   53.34,   58.56,   45.64
07/07/2013 03:05:00,   56.31,   62.24,   47.63,   61.31,   68.68,   50.96
07/07/2013 03:10:00,   50.53,   56.39,   41.47,   52.85,   58.24,   44.90
07/07/2013 03:15:00,   51.09,   56.95,   42.12,   53.42,   58.99,   45.23
07/07/2013 03:20:00,   51.22,   56.08,   42.50,   53.75,   58.78,   44.86
07/07/2013 03:25:00,   51.58,   57.27,   43.65,   53.53,   58.99,   46.07
07/07/2013 03:30:00,   49.59,   54.28,   41.66,   52.22,   57.39,   44.33
07/07/2013 03:35:00,   48.78,   53.68,   40.78,   50.94,   55.87,   44.17
07/07/2013 03:40:00,   49.98,   54.34,   42.59,   52.83,   57.50,   45.51
07/07/2013 03:45:00,   50.64,   55.15,   43.03,   53.30,   58.03,   45.95
07/07/2013 03:50:00,   50.81,   56.68,   41.18,   53.21,   58.84,   45.23
07/07/2013 03:55:00,   52.45,   57.43,   44.48,   54.63,   59.46,   46.59
07/07/2013 04:00:00,   49.99,   56.09,   39.79,   52.53,   58.34,   43.76
07/07/2013 04:05:00,   51.06,   56.77,   42.06,   53.69,   59.39,   45.11
07/07/2013 04:10:00,   48.22,   54.32,   39.84,   50.68,   56.47,   43.20
07/07/2013 04:15:00,   49.23,   55.05,   42.16,   51.77,   57.59,   44.83
07/07/2013 04:20:00,   48.60,   53.76,   40.26,   50.57,   55.38,   43.44
07/07/2013 04:25:00,   50.02,   55.82,   40.81,   52.17,   57.50,   44.25
07/07/2013 04:30:00,   48.63,   55.58,   39.43,   50.89,   57.25,   42.60
07/07/2013 04:35:00,   48.28,   53.48,   41.63,   50.88,   55.59,   44.25
07/07/2013 04:40:00,   48.97,   54.86,   39.43,   51.11,   56.54,   42.32
07/07/2013 04:45:00,   45.72,   51.19,   39.03,   47.75,   52.83,   42.50
07/07/2013 04:50:00,   51.22,   57.65,   41.77,   52.83,   59.16,   44.68
07/07/2013 04:55:00,   49.34,   55.73,   40.90,   51.16,   57.46,   43.73
07/07/2013 05:00:00,   48.97,   55.54,   39.65,   51.82,   58.47,   41.89
07/07/2013 05:05:00,   46.70,   52.13,   40.06,   49.48,   54.94,   42.97
07/07/2013 05:10:00,   48.54,   56.23,   38.82,   50.59,   58.23,   41.71
07/07/2013 05:15:00,   50.11,   56.46,   39.61,   52.13,   57.58,   43.18
07/07/2013 05:20:00,   48.33,   54.20,   39.28,   50.62,   56.56,   42.27
07/07/2013 05:25:00,   47.34,   53.52,   38.76,   49.66,   55.49,   41.56
07/07/2013 05:30:00,   48.74,   56.18,   38.75,   50.55,   56.92,   42.48
07/07/2013 05:35:00,   49.03,   55.35,   39.38,   50.93,   57.18,   42.50
07/07/2013 05:40:00,   50.30,   55.43,   40.93,   53.61,   58.91,   43.48
07/07/2013 05:45:00,   48.61,   56.68,   37.99,   49.76,   56.83,   39.99
07/07/2013 05:50:00,   46.75,   52.18,   39.25,   48.70,   53.93,   42.48
07/07/2013 05:55:00,   48.84,   56.02,   38.63,   50.95,   58.12,   40.41
07/07/2013 06:00:00,   48.30,   54.85,   38.42,   49.71,   55.59,   42.39
07/07/2013 06:05:00,   49.33,   55.90,   39.39,   51.56,   58.41,   41.73
07/07/2013 06:10:00,   42.93,   46.94,   37.03,   45.13,   48.18,   40.44
07/07/2013 06:15:00,   46.40,   52.89,   39.88,   49.70,   54.86,   43.06
07/07/2013 06:20:00,   49.94,   56.68,   39.91,   55.19,   63.55,   43.88
07/07/2013 06:25:00,   48.96,   54.06,   40.44,   52.95,   59.17,   43.33
07/07/2013 06:30:00,   50.47,   55.74,   41.97,   55.07,   62.35,   44.80
07/07/2013 06:35:00,   50.33,   57.15,   40.75,   54.62,   61.54,   43.27
07/07/2013 06:40:00,   44.96,   50.16,   38.20,   49.43,   54.06,   41.92
07/07/2013 06:45:00,   50.06,   56.11,   41.74,   52.14,   57.22,   43.48
07/07/2013 06:50:00,   52.42,   59.42,   42.87,   57.20,   62.58,   47.45
07/07/2013 06:55:00,   50.53,   56.50,   40.19,   55.11,   61.08,   44.08
07/07/2013 07:00:00,   48.55,   54.30,   41.26,   51.10,   56.68,   43.59
07/07/2013 07:05:00,   52.86,   57.94,   41.42,   58.60,   65.86,   45.06
07/07/2013 07:10:00,   46.97,   53.14,   39.54,   48.99,   54.41,   42.55
07/07/2013 07:15:00,   50.62,   57.05,   40.19,   54.08,   59.29,   43.80
07/07/2013 07:20:00,   51.93,   57.29,   42.41,   55.66,   59.97,   47.60
07/07/2013 07:25:00,   49.51,   55.43,   41.43,   54.11,   58.89,   46.38
07/07/2013 07:30:00,   50.83,   56.64,   40.45,   55.35,   60.02,   45.74
07/07/2013 07:35:00,   51.27,   57.40,   40.88,   53.51,   59.00,   45.10
07/07/2013 07:40:00,   50.20,   54.92,   42.59,   53.47,   56.91,   48.29
07/07/2013 07:45:00,   53.20,   58.38,   42.63,   55.63,   60.94,   45.04
07/07/2013 07:50:00,   50.56,   56.72,   38.74,   53.92,   60.02,   44.22
07/07/2013 07:55:00,   50.26,   54.82,   41.30,   52.49,   56.89,   44.70
07/07/2013 08:00:00,   51.85,   56.75,   42.20,   56.99,   61.93,   46.76
07/07/2013 08:05:00,   50.03,   56.95,   39.81,   52.62,   58.87,   44.27
07/07/2013 08:10:00,   49.71,   55.10,   39.73,   51.00,   56.28,   42.52
07/07/2013 08:15:00,   47.54,   53.05,   39.15,   51.14,   57.01,   42.96
07/07/2013 08:20:00,   49.28,   56.13,   40.37,   51.31,   57.71,   44.05
07/07/2013 08:25:00,   49.06,   55.55,   39.38,   51.42,   58.13,   43.22
07/07/2013 08:30:00,   48.51,   54.13,   39.91,   52.08,   56.67,   43.71
07/07/2013 08:35:00,   52.41,   58.29,   39.93,   55.55,   61.29,   42.39
07/07/2013 08:40:00,   51.24,   56.23,   43.54,   53.95,   57.98,   47.48
07/07/2013 08:45:00,   51.22,   57.53,   41.80,   53.43,   59.36,   44.40
07/07/2013 08:50:00,   49.01,   55.58,   39.86,   51.15,   56.76,   43.60
07/07/2013 08:55:00,   51.72,   57.22,   39.81,   54.25,   59.07,   43.77
07/07/2013 09:00:00,   50.85,   56.64,   40.30,   52.43,   56.99,   43.67
07/07/2013 09:05:00,   49.52,   54.80,   40.31,   51.96,   57.13,   43.91
07/07/2013 09:10:00,   47.35,   53.83,   39.15,   50.30,   56.25,   43.15
07/07/2013 09:15:00,   49.06,   54.53,   40.33,   52.52,   56.54,   45.01
07/07/2013 09:20:00,   48.46,   53.31,   39.78,   50.54,   55.60,   42.31
07/07/2013 09:25:00,   50.72,   55.71,   41.86,   53.81,   58.49,   45.50
07/07/2013 09:30:00,   52.05,   57.06,   42.82,   55.33,   60.38,   46.68
07/07/2013 09:35:00,   53.04,   57.75,   44.30,   56.27,   60.66,   48.10
07/07/2013 09:40:00,   51.09,   56.26,   40.97,   55.82,   60.53,   46.51
07/07/2013 09:45:00,   50.59,   54.52,   43.62,   54.44,   58.54,   47.10
07/07/2013 09:50:00,   50.91,   55.77,   41.09,   55.07,   59.25,   45.79
07/07/2013 09:55:00,   51.97,   57.28,   40.55,   55.40,   60.09,   43.26
07/07/2013 10:00:00,   51.93,   56.47,   44.17,   55.52,   59.53,   49.07
07/07/2013 10:05:00,   50.48,   55.31,   43.65,   53.80,   57.75,   47.34
07/07/2013 10:10:00,   54.03,   57.99,   44.11,   57.05,   60.23,   48.77
07/07/2013 10:15:00,   54.00,   58.16,   43.52,   57.53,   61.56,   47.92
07/07/2013 10:20:00,   52.58,   58.16,   43.49,   55.74,   60.02,   48.04
07/07/2013 10:25:00,   53.36,   57.54,   44.75,   56.13,   59.72,   48.77
07/07/2013 10:30:00,   52.34,   56.65,   42.60,   55.36,   58.96,   46.73
07/07/2013 10:35:00,   51.81,   56.38,   43.09,   55.34,   60.06,   46.39
07/07/2013 10:40:00,   52.91,   55.91,   47.50,   56.60,   59.21,   51.37
07/07/2013 10:45:00,   53.49,   57.64,   45.06,   56.96,   60.26,   49.71
07/07/2013 10:50:00,   53.23,   56.87,   46.18,   57.06,   61.02,   49.36
07/07/2013 10:55:00,   52.95,   57.11,   45.98,   56.53,   61.21,   49.77
07/07/2013 11:00:00,   54.09,   58.01,   44.99,   58.63,   64.20,   50.51
07/07/2013 11:05:00,   52.74,   57.47,   44.30,   55.89,   60.01,   48.61
07/07/2013 11:10:00,   53.01,   57.37,   43.26,   57.28,   61.90,   47.54
07/07/2013 11:15:00,   53.20,   56.75,   46.41,   58.16,   61.52,   52.46
07/07/2013 11:20:00,   53.15,   57.31,   44.82,   58.09,   63.47,   49.80
07/07/2013 11:25:00,   52.58,   56.92,   43.75,   56.89,   61.06,   49.76
07/07/2013 11:30:00,   53.65,   57.85,   44.82,   57.15,   60.16,   51.27
07/07/2013 11:35:00,   52.62,   55.35,   46.38,   57.10,   60.37,   50.72
07/07/2013 11:40:00,   55.28,   59.28,   47.70,   60.85,   64.91,   53.46
07/07/2013 11:45:00,   52.79,   57.12,   44.72,   56.84,   60.22,   49.31
07/07/2013 11:50:00,   54.67,   58.74,   43.24,   59.43,   64.91,   50.40
07/07/2013 11:55:00,   53.59,   57.43,   44.97,   58.70,   62.01,   50.03
07/07/2013 12:00:00,   54.35,   57.99,   48.08,   58.31,   61.13,   53.02
07/07/2013 12:05:00,   53.50,   57.47,   43.99,   58.22,   62.77,   49.78
07/07/2013 12:10:00,   54.08,   57.90,   47.02,   59.04,   62.10,   52.00
07/07/2013 12:15:00,   54.38,   57.59,   45.09,   58.28,   61.60,   50.21
07/07/2013 12:20:00,   55.32,   58.45,   47.09,   60.09,   64.69,   52.02
07/07/2013 12:25:00,   53.60,   57.55,   46.60,   58.24,   62.24,   51.97
07/07/2013 12:30:00,   57.61,   61.94,   46.77,   63.92,   69.67,   52.53
07/07/2013 12:35:00,   54.56,   57.98,   46.34,   59.85,   63.27,   52.69
07/07/2013 12:40:00,   55.33,   58.00,   49.44,   59.88,   62.42,   54.75
07/07/2013 12:45:00,   54.70,   57.97,   46.57,   59.61,   63.13,   51.83
07/07/2013 12:50:00,   54.66,   58.71,   46.35,   59.13,   62.45,   51.95
07/07/2013 12:55:00,   53.92,   57.66,   47.57,   59.09,   62.99,   54.22
07/07/2013 13:00:00,   53.08,   57.76,   45.13,   59.03,   64.43,   51.16
07/07/2013 13:05:00,   52.68,   56.87,   46.98,   56.61,   59.75,   51.18
07/07/2013 13:10:00,   54.42,   57.65,   45.16,   59.01,   62.17,   50.97
07/07/2013 13:15:00,   54.29,   57.43,   47.30,   57.99,   60.91,   52.67
07/07/2013 13:20:00,   54.10,   57.12,   48.69,   58.71,   61.49,   54.62
07/07/2013 13:25:00,   53.67,   57.02,   44.59,   57.93,   60.97,   49.60
