# noise_analysis run from DCC-NOISE-001003 at Fri Jul 12 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
12/07/2013 00:05:00,   51.06,   56.58,   41.91,   53.84,   58.49,   45.92
12/07/2013 00:10:00,   47.93,   54.20,   37.65,   52.21,   57.36,   43.21
12/07/2013 00:15:00,   50.79,   56.71,   39.54,   53.31,   58.57,   44.48
12/07/2013 00:20:00,   47.69,   54.68,   39.00,   51.53,   57.39,   44.46
12/07/2013 00:25:00,   51.22,   56.46,   40.27,   53.86,   58.79,   45.14
12/07/2013 00:30:00,   49.16,   55.96,   39.08,   52.04,   57.81,   43.64
12/07/2013 00:35:00,   47.90,   54.02,   38.66,   51.03,   56.56,   43.64
12/07/2013 00:40:00,   50.20,   56.43,   40.64,   52.78,   58.53,   45.69
12/07/2013 00:45:00,   47.97,   53.68,   40.47,   51.48,   55.91,   45.12
12/07/2013 00:50:00,   48.28,   54.01,   40.31,   51.01,   55.65,   45.12
12/07/2013 00:55:00,   47.11,   53.75,   39.54,   50.14,   55.62,   44.44
12/07/2013 01:00:00,   43.98,   46.87,   40.00,   47.66,   50.25,   44.59
12/07/2013 01:05:00,   49.57,   55.27,   41.01,   52.53,   57.35,   45.55
12/07/2013 01:10:00,   49.77,   55.14,   41.39,   52.28,   57.25,   45.69
12/07/2013 01:15:00,   49.76,   55.43,   42.40,   52.79,   58.17,   46.61
12/07/2013 01:20:00,   50.05,   55.36,   40.55,   52.75,   57.86,   45.02
12/07/2013 01:25:00,   48.62,   54.35,   41.07,   51.12,   56.36,   45.57
12/07/2013 01:30:00,   49.46,   55.38,   39.96,   52.52,   58.09,   44.68
12/07/2013 01:35:00,   49.05,   55.95,   40.53,   51.77,   57.58,   45.19
12/07/2013 01:40:00,   47.46,   53.57,   40.09,   51.45,   57.41,   44.57
12/07/2013 01:45:00,   49.12,   55.18,   39.79,   51.49,   56.61,   44.08
12/07/2013 01:50:00,   47.82,   54.55,   40.56,   51.21,   56.78,   44.96
12/07/2013 01:55:00,   47.01,   53.77,   39.94,   50.03,   55.27,   45.24
12/07/2013 02:00:00,   47.52,   54.03,   38.19,   50.61,   56.62,   43.54
12/07/2013 02:05:00,   46.65,   51.51,   40.37,   49.30,   53.52,   44.57
12/07/2013 02:10:00,   46.12,   50.88,   40.50,   48.81,   52.85,   44.82
12/07/2013 02:15:00,   45.54,   52.42,   39.31,   48.81,   55.36,   43.63
12/07/2013 02:20:00,   45.63,   53.18,   38.88,   48.82,   54.76,   43.23
12/07/2013 02:25:00,   47.17,   54.55,   38.33,   50.45,   56.24,   42.94
12/07/2013 02:30:00,   44.57,   51.68,   36.02,   47.39,   52.87,   41.26
12/07/2013 02:35:00,   46.20,   52.73,   36.22,   49.50,   55.38,   41.74
12/07/2013 02:40:00,   44.37,   51.02,   35.09,   47.21,   53.33,   41.38
12/07/2013 02:45:00,   43.29,   50.31,   36.36,   46.91,   52.90,   41.95
12/07/2013 02:50:00,   44.49,   51.54,   36.74,   47.90,   53.70,   41.92
12/07/2013 02:55:00,   42.72,   48.52,   36.57,   46.17,   50.10,   42.10
12/07/2013 03:00:00,   45.45,   52.81,   37.48,   49.27,   55.54,   42.85
12/07/2013 03:05:00,   46.06,   53.18,   36.97,   49.09,   54.92,   42.69
12/07/2013 03:10:00,   47.76,   54.21,   36.97,   50.49,   55.86,   42.68
12/07/2013 03:15:00,   44.71,   51.63,   37.14,   47.72,   53.31,   42.82
12/07/2013 03:20:00,   47.22,   53.31,   36.68,   50.58,   56.04,   42.63
12/07/2013 03:25:00,   47.18,   53.41,   40.62,   52.15,   57.30,   45.99
12/07/2013 03:30:00,   46.01,   52.90,   39.33,   49.82,   55.24,   44.75
12/07/2013 03:35:00,   48.45,   55.36,   39.21,   50.86,   56.84,   44.35
12/07/2013 03:40:00,   45.66,   50.85,   39.24,   49.96,   54.57,   44.60
12/07/2013 03:45:00,   48.64,   54.15,   41.57,   51.50,   56.15,   46.75
12/07/2013 03:50:00,   48.68,   54.23,   41.72,   51.63,   56.38,   46.82
12/07/2013 03:55:00,   49.71,   55.70,   42.89,   52.04,   57.43,   47.02
12/07/2013 04:00:00,   51.69,   56.79,   43.62,   53.84,   58.27,   47.77
12/07/2013 04:05:00,   50.36,   55.63,   45.26,   53.27,   58.33,   49.45
12/07/2013 04:10:00,   51.90,   57.89,   44.68,   54.08,   58.55,   48.93
12/07/2013 04:15:00,   50.11,   54.00,   45.95,   52.92,   55.81,   49.87
12/07/2013 04:20:00,   49.87,   54.96,   45.33,   52.50,   56.58,   49.00
12/07/2013 04:25:00,   49.99,   53.95,   45.64,   52.47,   55.40,   49.06
12/07/2013 04:30:00,   50.57,   53.51,   47.79,   53.68,   55.62,   51.27
12/07/2013 04:35:00,   51.52,   55.54,   47.80,   54.02,   57.14,   51.17
12/07/2013 04:40:00,   52.20,   55.96,   47.33,   54.45,   57.59,   50.72
12/07/2013 04:45:00,   52.40,   56.34,   47.47,   55.74,   59.58,   51.21
12/07/2013 04:50:00,   50.72,   53.26,   47.73,   54.22,   56.66,   51.46
12/07/2013 04:55:00,   50.36,   53.55,   48.02,   53.23,   55.50,   51.62
12/07/2013 05:00:00,   50.66,   54.37,   47.44,   53.95,   56.74,   51.47
12/07/2013 05:05:00,   51.65,   55.58,   48.10,   54.61,   57.83,   51.83
12/07/2013 05:10:00,   52.36,   56.75,   47.26,   55.00,   58.33,   51.03
12/07/2013 05:15:00,   52.30,   56.25,   47.57,   55.11,   58.66,   51.42
12/07/2013 05:20:00,   53.84,   57.94,   49.22,   58.23,   63.45,   53.11
12/07/2013 05:25:00,   53.23,   57.14,   49.46,   56.38,   59.11,   53.13
12/07/2013 05:30:00,   53.55,   56.63,   49.87,   56.74,   59.64,   53.71
12/07/2013 05:35:00,   52.97,   55.71,   50.18,   56.13,   57.99,   53.93
12/07/2013 05:40:00,   54.23,   57.93,   50.15,   57.03,   59.91,   54.24
12/07/2013 05:45:00,   53.73,   57.14,   49.62,   56.53,   59.50,   53.52
12/07/2013 05:50:00,   52.73,   55.46,   50.35,   56.50,   58.87,   54.41
12/07/2013 05:55:00,   54.20,   58.69,   50.27,   57.83,   60.67,   54.40
12/07/2013 06:00:00,   55.81,   60.18,   51.98,   58.74,   62.34,   55.53
12/07/2013 06:05:00,   56.25,   60.02,   52.49,   60.97,   66.58,   56.45
12/07/2013 06:10:00,   54.34,   57.09,   50.80,   58.17,   60.82,   55.08
12/07/2013 06:15:00,   53.23,   56.86,   49.91,   56.61,   58.97,   54.11
12/07/2013 06:20:00,   55.64,   59.86,   49.82,   60.58,   64.86,   54.69
12/07/2013 06:25:00,   54.62,   58.51,   49.94,   59.52,   64.52,   54.26
12/07/2013 06:30:00,   54.79,   58.62,   49.93,   59.22,   62.37,   54.97
12/07/2013 06:35:00,   53.97,   56.97,   50.72,   58.58,   61.57,   55.83
12/07/2013 06:40:00,   55.86,   59.62,   50.26,   59.10,   62.19,   54.50
12/07/2013 06:45:00,   55.90,   59.10,   49.82,   60.24,   63.25,   54.75
12/07/2013 06:50:00,   53.09,   56.59,   48.69,   56.94,   60.03,   53.19
12/07/2013 06:55:00,   52.69,   56.99,   47.92,   56.68,   60.29,   52.95
12/07/2013 07:00:00,   52.18,   55.64,   47.88,   56.22,   58.72,   52.61
12/07/2013 07:05:00,   53.50,   56.75,   47.74,   57.85,   60.97,   53.26
12/07/2013 07:10:00,   54.15,   58.67,   46.87,   58.53,   62.17,   52.39
12/07/2013 07:15:00,   52.57,   55.75,   47.23,   57.96,   60.41,   53.00
