# noise_analysis run from DCC-NOISE-001003 at Sat Jul 13 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
13/07/2013 00:05:00,   50.95,   54.92,   45.75,   54.52,   58.19,   49.34
13/07/2013 00:10:00,   51.60,   55.24,   44.97,   54.22,   57.36,   49.08
13/07/2013 00:15:00,   50.97,   54.73,   45.01,   53.87,   57.60,   48.95
13/07/2013 00:20:00,   51.35,   54.64,   44.76,   54.54,   57.44,   48.60
13/07/2013 00:25:00,   51.07,   55.25,   45.38,   53.98,   57.73,   49.68
13/07/2013 00:30:00,   48.18,   52.82,   41.83,   51.68,   56.08,   46.72
13/07/2013 00:35:00,   51.60,   56.12,   44.95,   54.61,   58.87,   48.56
13/07/2013 00:40:00,   50.35,   55.42,   44.87,   54.02,   58.48,   49.04
13/07/2013 00:45:00,   51.18,   54.83,   45.88,   54.64,   58.03,   49.99
13/07/2013 00:50:00,   51.58,   55.94,   45.24,   54.37,   58.10,   48.93
13/07/2013 00:55:00,   51.38,   55.92,   45.78,   54.73,   58.05,   49.26
13/07/2013 01:00:00,   51.08,   55.20,   44.58,   54.03,   57.81,   49.15
13/07/2013 01:05:00,   52.89,   56.99,   46.93,   55.23,   58.56,   50.11
13/07/2013 01:10:00,   50.51,   55.60,   44.21,   53.73,   58.82,   48.57
13/07/2013 01:15:00,   49.85,   54.59,   44.10,   53.11,   57.25,   48.67
13/07/2013 01:20:00,   50.35,   56.65,   43.19,   52.72,   58.16,   47.50
13/07/2013 01:25:00,   50.25,   54.86,   44.34,   53.25,   58.23,   48.45
13/07/2013 01:30:00,   49.47,   54.57,   42.08,   52.26,   56.63,   46.43
13/07/2013 01:35:00,   50.55,   55.29,   43.05,   53.43,   58.11,   46.86
13/07/2013 01:40:00,   50.52,   55.52,   42.88,   53.34,   57.68,   46.35
13/07/2013 01:45:00,   51.00,   56.47,   43.78,   54.70,   59.75,   48.89
13/07/2013 01:50:00,   49.88,   54.07,   45.04,   52.80,   56.75,   48.13
13/07/2013 01:55:00,   50.44,   55.10,   44.24,   53.29,   57.52,   48.09
13/07/2013 02:00:00,   52.22,   57.22,   44.23,   55.33,   59.61,   48.79
13/07/2013 02:05:00,   50.17,   56.72,   42.25,   53.14,   58.39,   46.68
13/07/2013 02:10:00,   49.45,   54.55,   42.11,   52.30,   57.24,   46.62
13/07/2013 02:15:00,   50.16,   56.09,   42.33,   52.44,   57.84,   46.23
13/07/2013 02:20:00,   50.48,   55.46,   42.93,   53.64,   58.30,   46.86
13/07/2013 02:25:00,   47.16,   52.00,   41.42,   50.22,   54.36,   45.40
13/07/2013 02:30:00,   48.76,   54.02,   42.12,   51.49,   56.46,   45.97
13/07/2013 02:35:00,   48.98,   54.40,   41.66,   51.82,   56.95,   45.84
13/07/2013 02:40:00,   48.79,   54.49,   40.00,   51.73,   57.14,   45.01
13/07/2013 02:45:00,   49.13,   56.48,   39.34,   51.70,   58.39,   44.23
13/07/2013 02:50:00,   48.50,   55.15,   39.83,   51.53,   57.97,   44.77
