# noise_analysis run from DCC-NOISE-001003 at Tue Jul 16 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
16/07/2013 00:05:00,   51.08,   55.65,   45.08,   53.46,   57.00,   48.96
16/07/2013 00:10:00,   51.59,   55.54,   45.99,   54.04,   57.60,   49.64
16/07/2013 00:15:00,   50.02,   54.41,   45.24,   52.97,   56.79,   49.20
16/07/2013 00:20:00,   51.22,   56.13,   45.75,   53.77,   57.75,   49.42
16/07/2013 00:25:00,   50.10,   53.72,   44.82,   52.89,   55.86,   48.85
16/07/2013 00:30:00,   48.81,   52.99,   44.41,   52.10,   55.41,   48.36
16/07/2013 00:35:00,   49.43,   54.02,   44.09,   52.33,   56.05,   48.18
16/07/2013 00:40:00,   49.71,   55.04,   43.29,   52.67,   56.75,   47.70
16/07/2013 00:45:00,   49.98,   53.99,   44.50,   53.22,   56.99,   48.63
16/07/2013 00:50:00,   49.45,   53.65,   43.85,   52.93,   57.26,   47.98
16/07/2013 00:55:00,   49.64,   54.19,   43.95,   52.43,   56.33,   47.93
16/07/2013 01:00:00,   50.49,   55.63,   43.87,   52.95,   57.45,   48.17
16/07/2013 01:05:00,   51.60,   56.95,   45.02,   54.09,   58.37,   49.19
16/07/2013 01:10:00,   51.72,   57.24,   42.69,   53.69,   58.44,   46.90
16/07/2013 01:15:00,   50.08,   55.15,   42.65,   53.03,   57.12,   47.94
16/07/2013 01:20:00,   49.77,   54.40,   42.05,   52.44,   56.91,   46.27
16/07/2013 01:25:00,   48.04,   54.20,   41.82,   50.68,   55.44,   46.10
16/07/2013 01:30:00,   47.93,   53.40,   41.22,   50.58,   54.89,   45.68
16/07/2013 01:35:00,   46.68,   51.62,   41.13,   49.81,   53.58,   45.52
16/07/2013 01:40:00,   45.92,   52.13,   39.25,   48.60,   53.43,   43.95
16/07/2013 01:45:00,   46.77,   53.27,   40.05,   49.50,   54.23,   45.32
16/07/2013 01:50:00,   44.02,   46.04,   39.29,   47.81,   50.11,   44.46
16/07/2013 01:55:00,   45.07,   49.29,   39.90,   48.92,   53.33,   44.48
16/07/2013 02:00:00,   48.00,   53.61,   40.71,   50.47,   54.87,   45.34
16/07/2013 02:05:00,   44.52,   49.97,   39.19,   48.20,   51.90,   44.80
16/07/2013 02:10:00,   44.64,   48.57,   40.35,   48.76,   51.80,   45.93
16/07/2013 02:15:00,   45.64,   50.44,   39.04,   48.87,   52.70,   44.64
16/07/2013 02:20:00,   44.06,   46.59,   38.54,   47.53,   49.63,   43.82
16/07/2013 02:25:00,   43.28,   45.41,   38.20,   47.38,   48.80,   43.50
16/07/2013 02:30:00,   44.81,   47.82,   39.97,   48.19,   49.92,   45.08
16/07/2013 02:35:00,   45.40,   52.31,   39.66,   48.85,   53.86,   45.00
16/07/2013 02:40:00,   47.51,   55.42,   39.32,   50.70,   56.97,   45.05
16/07/2013 02:45:00,   46.68,   50.73,   40.59,   50.43,   54.55,   45.82
16/07/2013 02:50:00,   40.61,   42.58,   38.50,   45.78,   47.09,   44.14
16/07/2013 02:55:00,   43.52,   47.10,   38.48,   47.49,   50.61,   44.16
16/07/2013 03:00:00,   46.27,   52.54,   39.33,   49.42,   54.58,   44.72
16/07/2013 03:05:00,   45.42,   48.79,   41.53,   49.10,   51.56,   46.16
