# noise_analysis run from DCC-NOISE-001003 at Wed Jul 17 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
17/07/2013 00:05:00,   49.13,   54.57,   39.66,   51.77,   57.46,   43.20
17/07/2013 00:10:00,   48.38,   54.16,   39.36,   51.42,   56.68,   42.78
17/07/2013 00:15:00,   46.40,   53.62,   37.84,   48.54,   56.01,   41.51
17/07/2013 00:20:00,   48.10,   53.90,   40.12,   50.45,   55.69,   43.17
17/07/2013 00:25:00,   48.19,   53.87,   38.71,   51.77,   55.71,   42.40
17/07/2013 00:30:00,   49.82,   56.50,   39.92,   51.94,   58.51,   43.38
17/07/2013 00:35:00,   47.75,   53.89,   39.01,   50.13,   55.59,   42.86
17/07/2013 00:40:00,   49.63,   55.75,   40.09,   53.06,   58.29,   43.63
17/07/2013 00:45:00,   49.24,   54.25,   40.69,   52.55,   56.73,   44.54
17/07/2013 00:50:00,   45.45,   52.25,   38.71,   48.51,   54.28,   43.15
17/07/2013 00:55:00,   46.27,   51.91,   40.34,   49.16,   54.28,   44.17
17/07/2013 01:00:00,   42.77,   46.45,   38.53,   46.50,   49.55,   42.90
17/07/2013 01:05:00,   46.63,   53.35,   39.39,   49.30,   55.12,   43.41
17/07/2013 01:10:00,   46.98,   53.69,   37.90,   49.11,   55.25,   42.10
17/07/2013 01:15:00,   45.86,   50.34,   39.48,   48.71,   53.17,   43.92
17/07/2013 01:20:00,   45.68,   52.33,   38.83,   47.88,   53.42,   42.72
17/07/2013 01:25:00,   42.16,   44.78,   38.12,   45.84,   48.83,   42.27
17/07/2013 01:30:00,   45.92,   52.60,   39.37,   49.08,   55.49,   43.55
17/07/2013 01:35:00,   47.61,   55.08,   39.87,   49.95,   56.31,   43.90
17/07/2013 01:40:00,   46.50,   53.45,   39.26,   48.91,   54.91,   43.45
17/07/2013 01:45:00,   44.33,   50.39,   37.96,   47.56,   52.48,   43.12
17/07/2013 01:50:00,   44.44,   49.25,   37.77,   47.23,   51.03,   42.46
17/07/2013 01:55:00,   44.42,   50.45,   39.14,   48.30,   54.17,   43.99
17/07/2013 02:00:00,   45.77,   51.93,   38.20,   48.35,   53.65,   42.90
17/07/2013 02:05:00,   42.73,   45.29,   38.42,   45.88,   47.38,   43.00
17/07/2013 02:10:00,   43.48,   47.15,   37.87,   47.19,   50.61,   42.84
17/07/2013 02:15:00,   45.34,   51.53,   38.60,   48.51,   53.78,   43.74
17/07/2013 02:20:00,   45.14,   51.84,   37.97,   48.37,   53.97,   42.73
17/07/2013 02:25:00,   43.19,   48.29,   37.74,   46.79,   51.53,   42.40
17/07/2013 02:30:00,   41.20,   44.07,   36.24,   45.05,   47.69,   41.72
17/07/2013 02:35:00,   41.52,   43.96,   37.35,   45.60,   47.30,   42.41
17/07/2013 02:40:00,   46.22,   52.81,   37.73,   48.88,   54.67,   42.73
17/07/2013 02:45:00,   39.43,   41.51,   36.96,   44.16,   45.85,   42.53
17/07/2013 02:50:00,   43.46,   48.65,   37.09,   46.63,   50.60,   42.38
17/07/2013 02:55:00,   41.72,   43.97,   36.15,   45.65,   48.23,   41.71
17/07/2013 03:00:00,   40.45,   42.84,   36.69,   44.28,   46.37,   41.55
17/07/2013 03:05:00,   40.71,   42.77,   36.69,   45.28,   47.86,   41.85
17/07/2013 03:10:00,   45.59,   51.68,   36.95,   48.70,   54.07,   42.24
17/07/2013 03:15:00,   42.31,   47.76,   36.39,   46.43,   51.08,   41.73
17/07/2013 03:20:00,   43.24,   46.20,   36.95,   46.40,   48.25,   42.53
17/07/2013 03:25:00,   40.25,   43.48,   37.38,   44.11,   46.20,   42.16
17/07/2013 03:30:00,   44.32,   50.56,   37.15,   47.00,   52.59,   41.67
17/07/2013 03:35:00,   46.68,   54.11,   36.85,   50.06,   56.63,   42.40
17/07/2013 03:40:00,   41.61,   43.22,   36.50,   44.80,   45.94,   41.22
17/07/2013 03:45:00,   44.78,   52.50,   36.93,   47.26,   53.68,   41.51
17/07/2013 03:50:00,   43.22,   48.67,   37.25,   46.82,   51.37,   41.64
17/07/2013 03:55:00,   42.83,   45.50,   37.54,   46.42,   50.80,   41.68
17/07/2013 04:00:00,   42.55,   47.19,   38.28,   46.55,   51.28,   42.76
17/07/2013 04:05:00,   41.53,   41.77,   37.92,   45.59,   46.37,   43.04
17/07/2013 04:10:00,   45.18,   52.99,   38.90,   48.00,   54.33,   43.41
17/07/2013 04:15:00,   47.98,   54.02,   40.56,   51.13,   56.59,   44.20
17/07/2013 04:20:00,   44.79,   48.18,   40.31,   47.81,   50.37,   44.37
17/07/2013 04:25:00,   43.70,   47.49,   39.36,   46.87,   49.73,   43.38
17/07/2013 04:30:00,   43.80,   48.76,   39.40,   46.80,   50.63,   43.52
17/07/2013 04:35:00,   46.74,   52.60,   40.16,   49.38,   54.63,   44.38
17/07/2013 04:40:00,   47.54,   53.73,   41.08,   50.33,   56.47,   45.07
17/07/2013 04:45:00,   48.85,   54.58,   41.89,   50.80,   55.45,   45.62
17/07/2013 04:50:00,   47.65,   53.38,   41.29,   49.60,   53.80,   45.51
17/07/2013 04:55:00,   48.18,   52.93,   41.75,   50.50,   54.31,   45.73
17/07/2013 05:00:00,   48.23,   52.77,   42.90,   51.14,   56.01,   46.57
17/07/2013 05:05:00,   47.13,   51.54,   41.57,   49.41,   53.13,   45.74
17/07/2013 05:10:00,   50.22,   56.11,   42.08,   52.04,   57.03,   46.33
17/07/2013 05:15:00,   50.88,   54.79,   45.35,   53.42,   57.13,   48.72
17/07/2013 05:20:00,   52.19,   57.60,   44.46,   55.55,   60.03,   47.79
17/07/2013 05:25:00,   51.36,   56.43,   44.44,   54.75,   58.67,   49.01
17/07/2013 05:30:00,   49.41,   54.28,   44.09,   51.89,   55.70,   47.79
17/07/2013 05:35:00,   50.94,   55.62,   44.85,   55.48,   60.54,   49.32
17/07/2013 05:40:00,   51.48,   56.71,   44.91,   54.30,   59.09,   48.98
17/07/2013 05:45:00,   51.39,   56.18,   45.22,   53.89,   58.25,   48.72
17/07/2013 05:50:00,   51.26,   56.17,   45.81,   54.26,   58.99,   49.48
17/07/2013 05:55:00,   49.18,   53.65,   44.13,   52.18,   55.62,   48.41
17/07/2013 06:00:00,   48.56,   52.18,   43.93,   51.49,   54.57,   48.14
17/07/2013 06:05:00,   50.54,   54.99,   43.99,   54.02,   58.59,   47.88
17/07/2013 06:10:00,   50.28,   55.38,   44.60,   54.25,   58.45,   49.25
17/07/2013 06:15:00,   51.79,   56.26,   45.90,   57.07,   61.73,   50.67
17/07/2013 06:20:00,   52.88,   56.29,   47.10,   58.07,   61.50,   51.98
17/07/2013 06:25:00,   53.31,   57.88,   46.76,   57.82,   61.88,   50.84
17/07/2013 06:30:00,   53.41,   57.62,   48.92,   56.77,   60.48,   52.92
17/07/2013 06:35:00,   54.77,   59.03,   49.07,   58.73,   63.15,   52.57
17/07/2013 06:40:00,   54.79,   58.99,   49.31,   59.31,   63.20,   53.41
17/07/2013 06:45:00,   53.14,   56.97,   47.47,   56.69,   60.03,   51.20
17/07/2013 06:50:00,   55.04,   58.71,   48.99,   59.07,   63.68,   52.60
17/07/2013 06:55:00,   57.06,   61.56,   49.30,   62.54,   67.44,   54.56
17/07/2013 07:00:00,   54.91,   58.10,   49.82,   58.65,   62.05,   53.06
17/07/2013 07:05:00,   53.89,   57.11,   48.97,   57.48,   60.24,   52.85
17/07/2013 07:10:00,   54.07,   57.95,   46.86,   58.90,   62.79,   51.80
17/07/2013 07:15:00,   55.30,   58.70,   50.61,   59.25,   62.27,   54.51
17/07/2013 07:20:00,   54.90,   58.15,   49.29,   58.78,   62.46,   52.92
17/07/2013 07:25:00,   57.16,   61.09,   51.72,   62.03,   66.08,   56.26
17/07/2013 07:30:00,   54.87,   58.61,   50.33,   58.72,   61.92,   54.33
17/07/2013 07:35:00,   56.91,   60.73,   51.18,   61.46,   66.71,   55.77
17/07/2013 07:40:00,   55.75,   59.04,   51.10,   60.60,   63.63,   56.75
17/07/2013 07:45:00,   53.99,   57.37,   49.33,   57.86,   61.15,   53.40
17/07/2013 07:50:00,   55.51,   58.78,   50.51,   59.60,   62.42,   55.63
17/07/2013 07:55:00,   54.52,   58.25,   48.67,   58.29,   61.09,   52.72
17/07/2013 08:00:00,   55.53,   58.85,   50.65,   60.86,   64.62,   55.14
17/07/2013 08:05:00,   54.54,   58.01,   48.67,   58.30,   61.40,   54.30
17/07/2013 08:10:00,   53.83,   58.17,   48.20,   58.38,   61.90,   52.90
17/07/2013 08:15:00,   54.46,   58.09,   47.76,   58.11,   61.37,   52.43
17/07/2013 08:20:00,   55.28,   58.50,   48.34,   58.85,   61.84,   52.72
17/07/2013 08:25:00,   54.77,   58.18,   48.44,   58.72,   61.70,   52.99
17/07/2013 08:30:00,   54.76,   58.43,   48.14,   59.73,   64.28,   53.69
17/07/2013 08:35:00,   54.24,   58.03,   48.83,   59.06,   62.83,   53.90
17/07/2013 08:40:00,   53.40,   56.87,   46.26,   57.81,   60.82,   52.31
17/07/2013 08:45:00,   54.27,   57.86,   48.29,   59.81,   63.55,   54.52
17/07/2013 08:50:00,   54.70,   58.08,   47.84,   58.86,   61.93,   53.12
17/07/2013 08:55:00,   53.77,   57.32,   47.33,   58.91,   62.45,   53.18
17/07/2013 09:00:00,   55.21,   58.70,   48.26,   60.57,   65.25,   54.79
17/07/2013 09:05:00,   54.13,   57.47,   49.03,   59.07,   62.17,   54.95
17/07/2013 09:10:00,   54.69,   58.28,   48.36,   60.27,   63.23,   54.35
17/07/2013 09:15:00,   53.62,   58.14,   46.10,   58.86,   63.08,   50.83
17/07/2013 09:20:00,   53.75,   57.59,   48.11,   58.97,   62.61,   53.04
17/07/2013 09:25:00,   54.88,   58.03,   48.77,   59.65,   62.01,   54.21
17/07/2013 09:30:00,   56.56,   60.98,   50.07,   62.34,   68.19,   55.38
17/07/2013 09:35:00,   53.16,   56.96,   47.61,   58.68,   61.72,   54.54
