# noise_analysis run from DCC-NOISE-001003 at Thu Jul 25 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
25/07/2013 00:05:00,   56.69,   60.43,   50.60,   56.74,   60.94,   50.94
25/07/2013 00:10:00,   56.93,   61.49,   52.30,   58.22,   62.58,   51.96
25/07/2013 00:15:00,   55.22,   58.66,   51.83,   56.30,   60.01,   51.74
25/07/2013 00:20:00,   55.73,   58.99,   51.92,   56.18,   59.65,   52.15
25/07/2013 00:25:00,   55.92,   59.50,   49.29,   57.61,   61.89,   49.60
25/07/2013 00:30:00,   56.23,   60.26,   50.65,   56.29,   60.58,   50.57
25/07/2013 00:35:00,   56.34,   60.71,   48.15,   56.36,   60.65,   49.10
25/07/2013 00:40:00,   51.85,   57.02,   44.63,   52.23,   57.42,   45.84
25/07/2013 00:45:00,   51.59,   57.39,   40.22,   53.07,   58.58,   42.24
25/07/2013 00:50:00,   49.01,   55.00,   39.55,   50.07,   55.65,   41.79
25/07/2013 00:55:00,   49.40,   55.49,   40.60,   50.74,   56.31,   42.42
25/07/2013 01:00:00,   49.14,   56.07,   37.70,   50.29,   56.49,   40.58
25/07/2013 01:05:00,   50.49,   56.76,   39.27,   51.57,   57.80,   42.34
25/07/2013 01:10:00,   50.89,   57.98,   43.01,   51.84,   58.74,   44.18
25/07/2013 01:15:00,   49.67,   56.09,   41.47,   51.90,   57.93,   44.08
25/07/2013 01:20:00,   47.15,   55.10,   38.18,   49.60,   56.59,   42.15
25/07/2013 01:25:00,   47.88,   55.52,   38.93,   49.38,   56.60,   41.95
25/07/2013 01:30:00,   48.23,   55.77,   40.56,   49.62,   57.17,   42.60
25/07/2013 01:35:00,   48.24,   55.61,   38.66,   49.84,   56.75,   42.11
25/07/2013 01:40:00,   45.24,   51.80,   38.30,   48.05,   53.50,   43.27
25/07/2013 01:45:00,   45.56,   53.39,   38.14,   48.50,   54.78,   43.49
25/07/2013 01:50:00,   45.28,   52.64,   37.39,   48.70,   54.52,   43.06
25/07/2013 01:55:00,   46.01,   53.40,   37.30,   48.90,   55.08,   42.55
25/07/2013 02:00:00,   46.63,   55.27,   37.11,   49.42,   56.65,   42.56
