# noise_analysis run from DCC-NOISE-001003 at Sun Jul 28 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
28/07/2013 00:05:00,   50.97,   57.00,   44.05,   53.82,   59.02,   47.76
28/07/2013 00:10:00,   51.77,   56.47,   45.08,   54.27,   58.25,   48.06
28/07/2013 00:15:00,   51.67,   56.59,   44.38,   53.80,   58.44,   47.51
28/07/2013 00:20:00,   53.02,   57.77,   46.37,   55.66,   59.84,   49.38
28/07/2013 00:25:00,   52.80,   57.97,   44.92,   55.76,   60.50,   48.44
28/07/2013 00:30:00,   51.81,   56.41,   45.23,   53.68,   58.06,   47.80
28/07/2013 00:35:00,   55.18,   59.44,   48.95,   56.84,   60.68,   51.10
28/07/2013 00:40:00,   53.46,   57.83,   47.14,   55.64,   59.38,   50.26
28/07/2013 00:45:00,   54.37,   58.52,   47.46,   56.61,   60.41,   50.56
28/07/2013 00:50:00,   53.31,   57.22,   46.89,   55.26,   59.24,   49.08
28/07/2013 00:55:00,   52.18,   57.44,   44.74,   54.04,   58.62,   47.49
28/07/2013 01:00:00,   54.12,   58.70,   44.79,   56.71,   60.80,   48.30
28/07/2013 01:05:00,   54.78,   59.45,   47.94,   59.33,   64.79,   51.64
28/07/2013 01:10:00,   53.74,   57.83,   46.94,   57.29,   60.94,   49.53
28/07/2013 01:15:00,   54.82,   59.65,   46.71,   57.71,   62.92,   49.56
28/07/2013 01:20:00,   53.99,   58.29,   46.61,   55.97,   59.88,   49.08
28/07/2013 01:25:00,   50.92,   55.54,   44.99,   53.64,   57.65,   47.88
28/07/2013 01:30:00,   54.65,   58.84,   46.92,   56.86,   60.60,   50.24
28/07/2013 01:35:00,   53.55,   57.98,   45.94,   56.46,   60.43,   49.76
28/07/2013 01:40:00,   51.99,   57.18,   42.83,   54.37,   59.28,   47.26
28/07/2013 01:45:00,   53.34,   58.37,   45.71,   56.07,   60.63,   49.29
28/07/2013 01:50:00,   52.01,   57.33,   45.96,   54.45,   59.41,   48.91
28/07/2013 01:55:00,   53.26,   58.54,   45.61,   55.84,   60.82,   48.59
28/07/2013 02:00:00,   53.43,   57.87,   45.90,   55.73,   60.09,   49.00
28/07/2013 02:05:00,   52.50,   57.28,   44.25,   55.05,   59.46,   47.07
28/07/2013 02:10:00,   52.26,   57.30,   44.79,   54.73,   59.70,   48.13
28/07/2013 02:15:00,   52.18,   57.75,   43.54,   54.84,   60.09,   47.05
28/07/2013 02:20:00,   53.53,   58.64,   45.36,   55.75,   60.11,   48.76
28/07/2013 02:25:00,   52.12,   57.15,   43.49,   54.65,   59.15,   46.88
28/07/2013 02:30:00,   52.17,   57.79,   44.03,   54.36,   59.77,   47.55
28/07/2013 02:35:00,   51.30,   55.91,   42.70,   53.63,   58.20,   46.05
28/07/2013 02:40:00,   52.59,   57.32,   43.90,   54.97,   59.52,   47.72
28/07/2013 02:45:00,   49.90,   55.37,   43.23,   52.24,   57.29,   46.36
28/07/2013 02:50:00,   51.74,   57.63,   42.91,   53.93,   59.10,   46.13
28/07/2013 02:55:00,   51.83,   57.00,   45.32,   54.03,   58.85,   48.12
28/07/2013 03:00:00,   53.30,   57.71,   43.92,   55.36,   59.67,   47.42
28/07/2013 03:05:00,   53.01,   58.58,   45.45,   55.22,   60.00,   48.45
28/07/2013 03:10:00,   52.73,   57.57,   46.85,   54.54,   58.82,   49.51
28/07/2013 03:15:00,   51.88,   56.53,   45.29,   53.63,   58.11,   48.20
