# noise_analysis run from DCC-NOISE-001003 at Mon Jul 29 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
29/07/2013 00:05:00,   52.08,   56.95,   44.09,   54.50,   58.70,   47.81
29/07/2013 00:10:00,   53.34,   58.09,   44.89,   56.04,   60.58,   48.49
29/07/2013 00:15:00,   52.50,   58.15,   44.00,   55.54,   60.76,   47.29
29/07/2013 00:20:00,   51.87,   57.57,   43.34,   54.35,   59.47,   47.00
29/07/2013 00:25:00,   50.84,   55.94,   43.02,   52.99,   57.72,   46.19
29/07/2013 00:30:00,   53.05,   57.87,   44.13,   55.10,   59.35,   47.65
29/07/2013 00:35:00,   52.88,   58.47,   43.12,   54.83,   60.25,   45.89
29/07/2013 00:40:00,   50.64,   56.54,   42.20,   53.52,   58.92,   45.59
29/07/2013 00:45:00,   51.83,   57.33,   42.29,   55.52,   59.42,   45.50
29/07/2013 00:50:00,   52.56,   57.74,   43.01,   54.41,   59.31,   46.57
29/07/2013 00:55:00,   51.10,   57.46,   42.51,   53.47,   59.16,   46.56
29/07/2013 01:00:00,   48.34,   55.17,   39.77,   50.69,   56.79,   43.88
29/07/2013 01:05:00,   46.72,   51.50,   39.85,   48.89,   53.34,   43.55
29/07/2013 01:10:00,   48.01,   55.30,   39.22,   50.56,   56.23,   44.28
29/07/2013 01:15:00,   48.42,   54.49,   39.85,   50.82,   56.02,   43.90
29/07/2013 01:20:00,   48.86,   57.14,   38.50,   51.14,   58.38,   42.54
29/07/2013 01:25:00,   48.22,   56.20,   38.36,   51.36,   58.69,   42.32
29/07/2013 01:30:00,   46.42,   52.19,   39.65,   48.96,   53.93,   43.67
29/07/2013 01:35:00,   48.72,   55.77,   38.63,   50.82,   57.46,   42.84
29/07/2013 01:40:00,   47.95,   55.70,   38.54,   51.19,   57.91,   42.77
29/07/2013 01:45:00,   47.90,   56.03,   39.22,   50.28,   57.48,   43.72
29/07/2013 01:50:00,   48.14,   54.47,   39.80,   50.32,   56.22,   43.62
29/07/2013 01:55:00,   45.73,   51.81,   38.81,   48.72,   53.61,   42.90
29/07/2013 02:00:00,   45.31,   51.97,   37.70,   47.69,   53.09,   41.74
29/07/2013 02:05:00,   47.28,   53.10,   39.57,   50.49,   56.12,   43.83
29/07/2013 02:10:00,   48.00,   55.41,   38.01,   51.73,   58.99,   42.59
29/07/2013 02:15:00,   44.88,   50.25,   38.47,   47.67,   52.69,   42.79
29/07/2013 02:20:00,   48.48,   54.66,   40.06,   52.29,   58.22,   44.62
29/07/2013 02:25:00,   45.05,   51.19,   38.22,   47.89,   52.90,   42.77
29/07/2013 02:30:00,   47.10,   52.99,   37.99,   49.66,   54.74,   42.37
29/07/2013 02:35:00,   44.09,   47.84,   37.81,   47.04,   49.29,   42.38
29/07/2013 02:40:00,   44.65,   51.13,   36.02,   47.92,   52.95,   40.75
29/07/2013 02:45:00,   46.57,   53.61,   39.53,   48.73,   54.98,   43.50
29/07/2013 02:50:00,   46.09,   52.18,   39.93,   49.65,   55.36,   43.86
29/07/2013 02:55:00,   45.94,   50.23,   39.95,   48.57,   51.88,   44.03
29/07/2013 03:00:00,   42.37,   45.35,   36.64,   45.70,   48.34,   41.54
29/07/2013 03:05:00,   48.50,   56.26,   38.60,   50.81,   58.15,   42.64
29/07/2013 03:10:00,   46.29,   52.73,   38.45,   49.45,   54.63,   42.90
29/07/2013 03:15:00,   42.93,   44.55,   38.36,   46.38,   47.66,   42.83
29/07/2013 03:20:00,   44.22,   49.47,   38.69,   48.33,   52.92,   43.03
29/07/2013 03:25:00,   45.85,   52.61,   38.61,   48.18,   53.55,   42.16
29/07/2013 03:30:00,   47.81,   52.34,   41.82,   50.98,   57.57,   45.06
29/07/2013 03:35:00,   47.24,   52.95,   40.72,   49.28,   54.52,   44.12
29/07/2013 03:40:00,   47.06,   51.63,   41.14,   49.82,   54.20,   45.10
29/07/2013 03:45:00,   44.33,   48.24,   40.09,   48.20,   51.33,   44.27
29/07/2013 03:50:00,   46.22,   51.57,   40.65,   48.44,   52.86,   44.23
29/07/2013 03:55:00,   47.24,   53.49,   41.03,   50.08,   55.07,   45.16
29/07/2013 04:00:00,   48.01,   53.46,   41.94,   54.87,   61.45,   45.99
29/07/2013 04:05:00,   47.97,   53.14,   41.87,   53.73,   60.79,   45.88
29/07/2013 04:10:00,   47.29,   52.56,   41.89,   52.03,   56.55,   45.82
29/07/2013 04:15:00,   49.34,   54.74,   42.99,   53.92,   59.38,   47.03
29/07/2013 04:20:00,   47.31,   52.89,   41.48,   50.00,   55.00,   45.82
29/07/2013 04:25:00,   47.44,   54.02,   41.15,   50.07,   56.03,   45.42
29/07/2013 04:30:00,   46.82,   50.71,   43.54,   49.66,   52.89,   47.06
29/07/2013 04:35:00,   47.09,   51.14,   42.53,   49.43,   53.12,   46.17
29/07/2013 04:40:00,   48.48,   54.46,   42.82,   52.54,   56.78,   46.88
29/07/2013 04:45:00,   49.50,   55.51,   42.19,   52.31,   58.60,   46.67
29/07/2013 04:50:00,   48.09,   53.01,   42.97,   50.58,   54.53,   47.01
29/07/2013 04:55:00,   48.24,   54.55,   42.33,   50.90,   56.67,   46.41
29/07/2013 05:00:00,   53.04,   58.55,   45.04,   56.61,   62.19,   48.95
29/07/2013 05:05:00,   51.21,   56.51,   45.11,   53.19,   57.43,   48.61
29/07/2013 05:10:00,   53.18,   58.10,   46.89,   57.43,   62.91,   50.54
29/07/2013 05:15:00,   50.60,   55.26,   45.84,   53.17,   57.35,   49.34
29/07/2013 05:20:00,   51.34,   56.21,   45.64,   53.98,   57.90,   49.22
29/07/2013 05:25:00,   52.62,   58.70,   45.69,   56.30,   62.27,   49.49
29/07/2013 05:30:00,   52.55,   57.85,   45.80,   55.18,   60.14,   49.61
29/07/2013 05:35:00,   53.75,   59.48,   45.69,   56.98,   61.48,   50.15
29/07/2013 05:40:00,   51.06,   55.43,   45.07,   54.00,   58.47,   48.70
29/07/2013 05:45:00,   51.12,   55.72,   45.23,   54.18,   58.30,   48.78
29/07/2013 05:50:00,   51.27,   56.56,   45.34,   54.29,   58.86,   49.16
29/07/2013 05:55:00,   52.16,   55.51,   44.98,   57.12,   61.26,   49.34
29/07/2013 06:00:00,   52.66,   58.05,   46.75,   56.30,   60.80,   51.14
29/07/2013 06:05:00,   52.77,   57.25,   46.99,   57.61,   62.26,   51.20
29/07/2013 06:10:00,   51.96,   57.06,   46.19,   57.14,   62.45,   50.84
29/07/2013 06:15:00,   54.62,   58.50,   49.23,   59.08,   62.74,   54.04
29/07/2013 06:20:00,   54.50,   59.16,   47.65,   59.98,   64.55,   53.63
29/07/2013 06:25:00,   56.38,   61.32,   49.47,   60.52,   64.88,   53.84
29/07/2013 06:30:00,   52.55,   56.51,   46.54,   56.06,   58.84,   51.50
29/07/2013 06:35:00,   54.03,   58.48,   45.59,   57.95,   62.39,   50.80
29/07/2013 06:40:00,   53.71,   57.88,   47.74,   56.28,   59.82,   51.59
29/07/2013 06:45:00,   53.95,   58.98,   47.02,   56.85,   60.90,   50.92
29/07/2013 06:50:00,   55.99,   59.83,   49.68,   59.17,   62.36,   54.64
29/07/2013 06:55:00,   55.07,   58.86,   49.37,   59.69,   63.17,   54.57
29/07/2013 07:00:00,   54.45,   59.54,   47.60,   58.63,   62.43,   51.70
29/07/2013 07:05:00,   55.65,   58.69,   50.47,   58.94,   61.75,   54.17
29/07/2013 07:10:00,   56.26,   59.26,   49.44,   60.04,   63.58,   53.57
29/07/2013 07:15:00,   55.78,   59.56,   48.67,   59.87,   63.16,   53.19
29/07/2013 07:20:00,   55.23,   59.00,   47.14,   58.25,   61.61,   51.43
29/07/2013 07:25:00,   55.26,   60.04,   49.04,   59.76,   62.75,   54.73
29/07/2013 07:30:00,   54.26,   58.65,   48.07,   59.06,   62.54,   53.71
29/07/2013 07:35:00,   53.67,   57.22,   47.55,   58.37,   61.70,   53.07
29/07/2013 07:40:00,   55.02,   59.09,   49.09,   59.46,   62.80,   54.37
29/07/2013 07:45:00,   56.12,   60.71,   48.83,   60.97,   65.60,   54.43
29/07/2013 07:50:00,   54.65,   59.37,   46.06,   60.08,   63.59,   52.10
29/07/2013 07:55:00,   55.17,   58.19,   48.76,   59.44,   63.26,   52.85
29/07/2013 08:00:00,   54.94,   59.43,   48.25,   59.23,   63.49,   52.82
29/07/2013 08:05:00,   55.18,   58.73,   49.08,   59.70,   63.34,   54.01
29/07/2013 08:10:00,   53.52,   57.95,   47.32,   57.15,   60.74,   52.08
29/07/2013 08:15:00,   54.97,   58.45,   49.34,   58.72,   61.67,   54.47
29/07/2013 08:20:00,   55.79,   58.66,   50.18,   60.41,   63.47,   55.26
29/07/2013 08:25:00,   55.53,   58.46,   50.95,   59.49,   62.35,   54.90
29/07/2013 08:30:00,   55.60,   59.30,   50.24,   59.82,   62.62,   55.71
29/07/2013 08:35:00,   55.00,   58.36,   49.53,   60.10,   63.73,   53.68
29/07/2013 08:40:00,   55.83,   59.76,   48.98,   59.77,   63.85,   52.91
29/07/2013 08:45:00,   57.85,   60.45,   53.27,   62.17,   65.06,   58.35
29/07/2013 08:50:00,   55.80,   59.26,   51.12,   60.26,   63.38,   55.44
29/07/2013 08:55:00,   54.91,   58.44,   49.68,   59.48,   62.32,   54.49
29/07/2013 09:00:00,   55.51,   57.74,   51.17,   60.01,   62.76,   55.58
29/07/2013 09:05:00,   54.77,   57.91,   49.55,   60.09,   63.03,   55.30
29/07/2013 09:10:00,   55.37,   58.40,   51.30,   60.01,   62.83,   55.36
29/07/2013 09:15:00,   55.00,   58.44,   50.32,   60.49,   63.14,   54.87
29/07/2013 09:20:00,   57.72,   60.39,   50.89,   61.23,   63.61,   54.44
29/07/2013 09:25:00,   56.69,   59.58,   51.80,   63.26,   68.02,   57.22
29/07/2013 09:30:00,   55.08,   58.15,   50.38,   60.42,   63.15,   56.07
29/07/2013 09:35:00,   54.74,   57.33,   49.68,   60.52,   63.29,   54.65
29/07/2013 09:40:00,   54.72,   57.89,   50.07,   59.00,   61.47,   55.09
29/07/2013 09:45:00,   54.87,   57.75,   49.95,   58.94,   61.58,   54.11
29/07/2013 09:50:00,   54.84,   58.31,   49.29,   60.63,   64.31,   55.37
29/07/2013 09:55:00,   55.92,   57.61,   49.97,   60.69,   62.90,   55.79
