# noise_analysis run from DCC-NOISE-001003 at Sat Aug  3 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
03/08/2013 00:05:00,   53.01,   56.71,   48.53,   55.41,   58.91,   51.51
03/08/2013 00:10:00,   53.71,   58.46,   48.39,   56.01,   60.48,   51.24
03/08/2013 00:15:00,   53.07,   56.64,   47.91,   55.55,   58.71,   50.94
03/08/2013 00:20:00,   56.02,   60.55,   47.21,   58.43,   62.85,   50.66
03/08/2013 00:25:00,   61.39,   64.21,   49.60,   62.40,   65.47,   52.65
03/08/2013 00:30:00,   53.96,   57.11,   49.30,   56.70,   59.84,   52.08
03/08/2013 00:35:00,   54.11,   57.88,   48.46,   56.65,   60.07,   51.48
03/08/2013 00:40:00,   53.87,   57.46,   48.47,   56.57,   60.18,   51.23
03/08/2013 00:45:00,   54.46,   58.83,   47.87,   56.24,   60.05,   50.81
03/08/2013 00:50:00,   54.89,   57.88,   49.52,   57.31,   60.18,   52.38
03/08/2013 00:55:00,   52.94,   57.27,   47.28,   56.07,   59.75,   50.52
03/08/2013 01:00:00,   52.97,   56.34,   48.01,   55.00,   58.28,   51.04
03/08/2013 01:05:00,   53.63,   57.32,   46.49,   56.55,   60.04,   49.90
03/08/2013 01:10:00,   52.34,   55.03,   47.61,   55.37,   58.79,   50.51
03/08/2013 01:15:00,   53.50,   57.31,   48.58,   56.55,   60.00,   51.26
03/08/2013 01:20:00,   52.64,   56.07,   46.84,   55.19,   58.90,   50.26
03/08/2013 01:25:00,   53.70,   58.47,   47.31,   56.09,   60.44,   50.21
03/08/2013 01:30:00,   52.13,   55.86,   46.21,   54.15,   57.56,   49.07
03/08/2013 01:35:00,   53.02,   56.15,   47.80,   55.01,   58.28,   50.61
03/08/2013 01:40:00,   52.62,   57.30,   46.93,   54.92,   59.20,   49.37
03/08/2013 01:45:00,   52.35,   56.33,   46.54,   54.76,   59.07,   49.25
03/08/2013 01:50:00,   52.95,   57.63,   45.93,   54.79,   59.01,   49.37
03/08/2013 01:55:00,   53.48,   57.42,   46.55,   55.91,   60.03,   48.99
03/08/2013 02:00:00,   52.25,   57.29,   46.28,   54.95,   59.48,   49.19
03/08/2013 02:05:00,   50.88,   55.34,   44.16,   53.52,   57.85,   47.93
03/08/2013 02:10:00,   49.99,   54.47,   43.73,   52.40,   57.05,   47.07
03/08/2013 02:15:00,   49.67,   55.24,   43.57,   52.08,   56.95,   47.13
03/08/2013 02:20:00,   47.59,   51.70,   42.44,   50.52,   55.19,   46.38
03/08/2013 02:25:00,   48.38,   52.02,   43.69,   50.87,   54.37,   46.94
03/08/2013 02:30:00,   49.19,   54.86,   43.79,   51.36,   56.28,   47.20
03/08/2013 02:35:00,   52.60,   57.47,   45.33,   54.48,   59.03,   48.39
03/08/2013 02:40:00,   51.97,   56.69,   44.25,   54.38,   58.65,   47.88
03/08/2013 02:45:00,   49.07,   55.05,   43.26,   51.28,   56.59,   46.80
03/08/2013 02:50:00,   48.49,   53.36,   43.37,   51.13,   56.29,   46.67
03/08/2013 02:55:00,   51.94,   57.85,   45.04,   53.89,   59.31,   47.94
03/08/2013 03:00:00,   51.36,   55.94,   45.35,   53.38,   56.98,   48.59
03/08/2013 03:05:00,   52.32,   56.75,   45.51,   54.60,   58.91,   48.11
03/08/2013 03:10:00,   50.37,   56.09,   44.59,   52.68,   57.65,   47.98
03/08/2013 03:15:00,   50.98,   56.72,   44.32,   53.02,   58.55,   47.42
03/08/2013 03:20:00,   51.04,   56.51,   45.25,   53.51,   58.16,   48.39
03/08/2013 03:25:00,   51.68,   56.49,   46.09,   53.87,   58.51,   48.77
03/08/2013 03:30:00,   51.14,   56.76,   44.29,   53.11,   58.24,   47.17
03/08/2013 03:35:00,   48.82,   51.60,   44.40,   50.63,   52.80,   47.17
03/08/2013 03:40:00,   50.80,   56.23,   44.86,   53.96,   59.41,   47.59
03/08/2013 03:45:00,   50.33,   55.00,   44.84,   52.65,   57.63,   48.17
03/08/2013 03:50:00,   49.77,   55.59,   44.51,   52.23,   57.35,   47.49
03/08/2013 03:55:00,   50.74,   55.05,   45.55,   52.74,   56.68,   48.41
03/08/2013 04:00:00,   51.70,   55.24,   46.91,   54.33,   58.52,   49.27
03/08/2013 04:05:00,   51.35,   55.19,   46.55,   53.50,   57.64,   49.18
03/08/2013 04:10:00,   49.03,   52.59,   44.57,   51.43,   54.44,   47.99
03/08/2013 04:15:00,   50.96,   55.24,   46.19,   53.19,   58.19,   48.56
03/08/2013 04:20:00,   49.13,   53.16,   44.37,   51.55,   55.66,   47.98
03/08/2013 04:25:00,   49.42,   55.07,   44.34,   51.95,   57.34,   47.80
03/08/2013 04:30:00,   50.53,   55.10,   45.15,   53.26,   58.75,   48.00
03/08/2013 04:35:00,   51.86,   56.13,   46.46,   54.34,   59.30,   48.93
03/08/2013 04:40:00,   50.93,   56.32,   45.07,   53.50,   58.90,   47.78
03/08/2013 04:45:00,   51.42,   57.08,   44.76,   53.21,   58.52,   47.77
03/08/2013 04:50:00,   50.12,   55.67,   44.98,   52.46,   57.29,   48.18
03/08/2013 04:55:00,   51.45,   55.85,   45.39,   53.96,   58.80,   48.31
03/08/2013 05:00:00,   52.45,   57.17,   44.96,   55.58,   61.00,   48.37
03/08/2013 05:05:00,   50.64,   55.43,   44.98,   53.18,   57.46,   48.78
03/08/2013 05:10:00,   50.71,   55.93,   44.42,   52.96,   58.17,   47.60
03/08/2013 05:15:00,   50.71,   54.93,   44.07,   52.58,   56.18,   47.38
03/08/2013 05:20:00,   50.56,   55.10,   44.45,   52.77,   57.78,   47.89
03/08/2013 05:25:00,   51.01,   55.64,   45.07,   53.72,   59.00,   47.97
03/08/2013 05:30:00,   51.59,   56.03,   46.08,   53.49,   57.40,   49.28
03/08/2013 05:35:00,   53.85,   59.45,   45.91,   58.30,   64.97,   48.68
03/08/2013 05:40:00,   51.56,   56.38,   46.28,   54.83,   59.42,   49.07
03/08/2013 05:45:00,   50.82,   55.37,   45.56,   53.72,   58.02,   49.19
03/08/2013 05:50:00,   51.99,   57.17,   46.11,   54.95,   59.72,   49.60
03/08/2013 05:55:00,   51.56,   55.96,   46.52,   55.38,   60.86,   49.82
03/08/2013 06:00:00,   50.90,   55.17,   46.65,   53.56,   57.23,   49.99
03/08/2013 06:05:00,   55.29,   60.81,   48.23,   56.62,   61.38,   51.40
03/08/2013 06:10:00,   54.45,   59.16,   48.74,   58.66,   62.80,   52.51
03/08/2013 06:15:00,   51.31,   55.80,   46.70,   55.15,   59.44,   50.91
