# noise_analysis run from DCC-NOISE-001003 at Sun Aug  4 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
04/08/2013 00:05:00,   54.19,   58.30,   47.44,   56.82,   61.12,   50.26
04/08/2013 00:10:00,   50.28,   54.10,   45.25,   52.40,   55.69,   47.64
04/08/2013 00:15:00,   53.09,   57.26,   45.60,   55.18,   59.54,   48.55
04/08/2013 00:20:00,   51.45,   56.22,   44.90,   53.59,   58.26,   47.82
04/08/2013 00:25:00,   51.42,   56.32,   45.04,   53.58,   57.94,   47.54
04/08/2013 00:30:00,   52.64,   56.67,   45.61,   54.91,   58.70,   48.45
04/08/2013 00:35:00,   52.53,   57.81,   46.09,   55.07,   59.71,   48.31
04/08/2013 00:40:00,   53.90,   58.28,   44.73,   55.71,   60.21,   47.41
04/08/2013 00:45:00,   52.92,   57.07,   47.31,   54.78,   58.60,   49.40
04/08/2013 00:50:00,   53.88,   58.77,   47.48,   56.01,   60.68,   49.88
04/08/2013 00:55:00,   52.81,   57.25,   46.40,   54.82,   58.72,   49.14
04/08/2013 01:00:00,   52.58,   56.79,   42.74,   55.32,   59.50,   46.27
04/08/2013 01:05:00,   52.70,   58.68,   45.26,   54.59,   59.91,   47.46
04/08/2013 01:10:00,   52.80,   57.20,   46.33,   55.02,   59.25,   49.27
04/08/2013 01:15:00,   50.54,   55.87,   42.59,   53.02,   58.63,   45.85
04/08/2013 01:20:00,   52.72,   57.86,   44.04,   55.03,   59.40,   47.32
04/08/2013 01:25:00,   50.86,   56.05,   43.82,   53.25,   57.96,   46.40
04/08/2013 01:30:00,   54.30,   59.48,   47.35,   57.47,   62.86,   49.96
04/08/2013 01:35:00,   53.19,   58.19,   45.96,   55.44,   60.08,   48.78
04/08/2013 01:40:00,   52.45,   57.76,   43.53,   54.67,   59.62,   46.66
04/08/2013 01:45:00,   51.36,   56.48,   44.11,   53.25,   57.82,   47.68
04/08/2013 01:50:00,   52.17,   57.70,   44.11,   54.23,   59.44,   47.03
04/08/2013 01:55:00,   51.57,   56.81,   44.76,   53.39,   57.73,   47.91
04/08/2013 02:00:00,   51.98,   57.72,   43.76,   54.10,   59.62,   47.06
04/08/2013 02:05:00,   51.21,   57.15,   44.02,   53.29,   59.07,   47.34
04/08/2013 02:10:00,   52.08,   57.04,   43.76,   54.31,   58.85,   47.23
04/08/2013 02:15:00,   50.80,   55.91,   44.64,   53.50,   58.68,   47.55
04/08/2013 02:20:00,   52.11,   58.03,   44.58,   53.87,   59.47,   47.34
04/08/2013 02:25:00,   51.58,   57.01,   43.58,   53.64,   58.47,   47.11
04/08/2013 02:30:00,   51.94,   57.82,   43.36,   53.91,   59.34,   46.79
04/08/2013 02:35:00,   52.50,   56.94,   45.74,   54.99,   59.41,   48.74
04/08/2013 02:40:00,   52.60,   58.21,   44.34,   54.86,   60.00,   46.71
04/08/2013 02:45:00,   52.50,   57.45,   44.69,   54.59,   59.43,   46.96
04/08/2013 02:50:00,   51.42,   56.72,   42.95,   53.68,   59.63,   45.80
04/08/2013 02:55:00,   51.70,   57.13,   44.43,   53.54,   58.77,   46.97
04/08/2013 03:00:00,   51.96,   57.55,   44.31,   54.15,   59.43,   46.93
04/08/2013 03:05:00,   51.59,   57.24,   43.34,   53.57,   58.83,   46.79
04/08/2013 03:10:00,   50.77,   55.63,   43.51,   53.89,   58.97,   46.50
04/08/2013 03:15:00,   52.37,   57.88,   44.51,   54.07,   59.04,   47.40
04/08/2013 03:20:00,   53.29,   58.04,   45.14,   55.05,   59.33,   47.69
04/08/2013 03:25:00,   50.70,   55.67,   42.67,   52.85,   57.30,   45.96
04/08/2013 03:30:00,   51.68,   57.77,   42.48,   53.39,   58.96,   45.37
04/08/2013 03:35:00,   50.42,   55.14,   42.84,   52.48,   57.13,   45.66
04/08/2013 03:40:00,   47.00,   52.28,   41.51,   49.41,   54.74,   44.54
04/08/2013 03:45:00,   48.94,   54.33,   42.21,   51.05,   56.04,   45.49
04/08/2013 03:50:00,   49.36,   54.78,   42.54,   51.18,   56.07,   45.45
04/08/2013 03:55:00,   50.15,   55.34,   43.11,   52.17,   56.92,   45.41
04/08/2013 04:00:00,   50.58,   57.12,   43.38,   52.18,   58.46,   45.58
04/08/2013 04:05:00,   49.03,   55.27,   42.84,   51.26,   58.10,   44.93
04/08/2013 04:10:00,   48.09,   54.03,   43.19,   50.03,   55.91,   45.48
04/08/2013 04:15:00,   51.34,   56.90,   43.97,   52.97,   58.25,   46.30
04/08/2013 04:20:00,   46.90,   52.95,   41.86,   49.04,   54.92,   44.72
04/08/2013 04:25:00,   49.43,   55.32,   41.48,   51.26,   57.00,   44.73
04/08/2013 04:30:00,   48.41,   54.90,   42.12,   50.44,   55.91,   45.27
04/08/2013 04:35:00,   49.56,   55.10,   41.86,   51.38,   56.67,   44.25
04/08/2013 04:40:00,   49.77,   57.11,   40.68,   51.23,   58.27,   43.70
04/08/2013 04:45:00,   49.54,   57.81,   40.81,   51.60,   59.20,   43.87
04/08/2013 04:50:00,   51.02,   56.96,   42.08,   52.93,   58.20,   45.20
04/08/2013 04:55:00,   51.54,   57.04,   41.90,   52.94,   58.57,   44.56
04/08/2013 05:00:00,   48.90,   54.53,   41.80,   50.76,   56.32,   44.81
04/08/2013 05:05:00,   52.21,   59.06,   42.38,   56.67,   64.03,   46.01
04/08/2013 05:10:00,   51.99,   57.01,   43.78,   54.78,   59.29,   46.95
04/08/2013 05:15:00,   50.75,   57.49,   43.12,   52.27,   58.31,   46.26
04/08/2013 05:20:00,   51.66,   57.32,   41.61,   53.50,   58.38,   45.97
04/08/2013 05:25:00,   49.20,   55.61,   42.41,   51.41,   57.44,   45.26
04/08/2013 05:30:00,   50.77,   57.55,   42.60,   52.38,   58.15,   45.08
04/08/2013 05:35:00,   51.40,   57.23,   43.03,   53.34,   59.01,   45.84
04/08/2013 05:40:00,   50.46,   57.39,   42.52,   52.90,   59.42,   45.33
04/08/2013 05:45:00,   49.83,   54.60,   42.29,   51.71,   56.70,   45.27
04/08/2013 05:50:00,   54.13,   61.35,   42.76,   59.00,   66.61,   45.71
04/08/2013 05:55:00,   49.49,   54.36,   43.38,   52.82,   57.72,   47.54
04/08/2013 06:00:00,   51.04,   56.59,   43.18,   55.70,   62.16,   47.09
04/08/2013 06:05:00,   51.12,   56.67,   43.36,   54.61,   58.56,   47.10
04/08/2013 06:10:00,   50.66,   54.91,   44.51,   54.60,   60.22,   47.95
04/08/2013 06:15:00,   52.82,   58.33,   44.90,   56.40,   61.83,   49.48
04/08/2013 06:20:00,   48.60,   54.58,   43.16,   51.04,   55.52,   46.75
