# noise_analysis run from DCC-NOISE-001003 at Mon Aug  5 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
05/08/2013 00:05:00,   51.78,   57.43,   40.83,   54.03,   58.77,   45.83
05/08/2013 00:10:00,   52.61,   58.52,   38.95,   55.17,   59.89,   45.76
05/08/2013 00:15:00,   52.42,   58.51,   39.49,   55.11,   59.87,   45.03
05/08/2013 00:20:00,   49.86,   56.64,   35.81,   52.32,   58.49,   43.57
05/08/2013 00:25:00,   49.56,   56.70,   37.47,   51.94,   58.22,   42.44
05/08/2013 00:30:00,   50.76,   57.73,   39.32,   53.94,   60.05,   44.36
05/08/2013 00:35:00,   53.82,   59.07,   40.18,   56.30,   60.89,   46.15
05/08/2013 00:40:00,   51.17,   58.18,   37.41,   53.31,   59.83,   42.24
05/08/2013 00:45:00,   51.18,   57.00,   40.59,   53.85,   58.62,   44.80
05/08/2013 00:50:00,   51.20,   56.74,   37.77,   53.52,   59.14,   41.38
05/08/2013 00:55:00,   53.38,   58.54,   43.05,   55.75,   60.04,   46.62
05/08/2013 01:00:00,   53.03,   58.08,   40.38,   54.96,   59.71,   44.12
05/08/2013 01:05:00,   49.40,   55.88,   37.14,   51.71,   57.32,   43.43
05/08/2013 01:10:00,   52.95,   57.97,   42.92,   55.64,   59.99,   45.89
05/08/2013 01:15:00,   52.08,   57.49,   41.85,   54.41,   59.53,   44.65
05/08/2013 01:20:00,   53.17,   60.01,   43.05,   54.99,   60.97,   45.25
05/08/2013 01:25:00,   51.91,   57.53,   43.51,   53.47,   58.85,   44.76
05/08/2013 01:30:00,   53.18,   59.10,   42.49,   54.88,   60.51,   44.65
05/08/2013 01:35:00,   51.60,   57.68,   39.53,   53.43,   59.51,   42.52
05/08/2013 01:40:00,   52.95,   58.76,   39.91,   55.25,   60.57,   41.96
05/08/2013 01:45:00,   50.49,   57.29,   40.13,   52.79,   58.84,   43.00
05/08/2013 01:50:00,   49.07,   56.33,   38.73,   50.40,   57.44,   41.22
05/08/2013 01:55:00,   50.75,   56.82,   38.44,   52.74,   58.24,   41.30
05/08/2013 02:00:00,   49.22,   55.59,   38.87,   52.40,   58.27,   42.91
05/08/2013 02:05:00,   47.48,   55.27,   37.38,   49.78,   57.14,   40.10
05/08/2013 02:10:00,   50.99,   56.84,   39.80,   54.23,   59.53,   43.41
05/08/2013 02:15:00,   52.45,   58.31,   38.65,   54.71,   59.62,   43.05
05/08/2013 02:20:00,   50.80,   57.37,   40.36,   52.45,   58.31,   42.97
05/08/2013 02:25:00,   50.98,   58.11,   37.71,   54.04,   60.07,   42.34
05/08/2013 02:30:00,   49.64,   56.89,   37.64,   52.22,   59.31,   40.33
05/08/2013 02:35:00,   47.54,   54.20,   36.19,   49.70,   56.06,   39.85
05/08/2013 02:40:00,   48.05,   55.71,   36.62,   50.42,   57.92,   40.00
05/08/2013 02:45:00,   49.39,   57.13,   37.46,   52.51,   60.25,   40.78
05/08/2013 02:50:00,   49.87,   56.54,   37.28,   51.67,   57.98,   40.88
05/08/2013 02:55:00,   44.79,   51.63,   36.23,   47.12,   53.62,   39.55
05/08/2013 03:00:00,   49.23,   57.08,   36.39,   50.65,   58.04,   39.55
05/08/2013 03:05:00,   47.03,   54.67,   35.15,   49.49,   57.80,   38.35
05/08/2013 03:10:00,   47.69,   55.64,   36.53,   49.19,   56.53,   39.74
05/08/2013 03:15:00,   53.20,   57.71,   39.57,   54.09,   58.51,   41.65
05/08/2013 03:20:00,   48.70,   56.69,   38.83,   50.42,   57.77,   41.08
05/08/2013 03:25:00,   47.08,   54.78,   38.40,   48.70,   55.73,   41.15
05/08/2013 03:30:00,   47.80,   55.16,   38.00,   49.50,   56.76,   40.17
05/08/2013 03:35:00,   47.29,   53.71,   37.14,   49.34,   55.40,   40.25
05/08/2013 03:40:00,   48.00,   55.25,   37.55,   50.92,   56.62,   41.15
05/08/2013 03:45:00,   48.42,   55.31,   38.44,   50.59,   57.43,   40.62
05/08/2013 03:50:00,   49.78,   57.37,   39.29,   51.24,   58.03,   41.71
05/08/2013 03:55:00,   43.35,   50.30,   35.88,   45.41,   51.53,   38.15
05/08/2013 04:00:00,   45.84,   52.78,   36.99,   47.64,   54.72,   39.39
05/08/2013 04:05:00,   45.73,   54.48,   35.48,   49.71,   56.52,   38.30
05/08/2013 04:10:00,   47.13,   54.97,   37.61,   50.00,   57.07,   40.71
05/08/2013 04:15:00,   47.55,   55.37,   37.26,   49.84,   56.76,   39.36
05/08/2013 04:20:00,   48.72,   55.08,   38.05,   51.89,   58.33,   40.49
05/08/2013 04:25:00,   46.64,   53.57,   35.80,   48.59,   55.33,   38.48
05/08/2013 04:30:00,   47.20,   54.01,   37.16,   49.52,   57.12,   39.67
05/08/2013 04:35:00,   45.14,   54.59,   35.81,   47.28,   56.93,   38.35
05/08/2013 04:40:00,   44.50,   51.15,   36.82,   47.12,   54.09,   40.06
05/08/2013 04:45:00,   46.16,   53.64,   38.90,   48.99,   55.52,   41.80
05/08/2013 04:50:00,   49.25,   55.37,   39.41,   50.27,   55.90,   41.66
05/08/2013 04:55:00,   48.11,   54.35,   38.85,   49.67,   54.98,   41.61
05/08/2013 05:00:00,   49.15,   56.10,   39.59,   50.71,   56.87,   42.89
05/08/2013 05:05:00,   49.62,   56.61,   39.67,   51.90,   57.88,   43.71
05/08/2013 05:10:00,   48.13,   54.63,   39.89,   49.68,   56.18,   43.59
05/08/2013 05:15:00,   47.30,   54.01,   40.32,   49.96,   55.81,   44.04
05/08/2013 05:20:00,   49.24,   56.92,   40.21,   52.00,   59.22,   44.04
05/08/2013 05:25:00,   47.31,   54.29,   40.63,   50.06,   56.53,   44.10
05/08/2013 05:30:00,   52.38,   57.88,   43.15,   54.73,   59.61,   46.18
05/08/2013 05:35:00,   48.55,   55.25,   41.79,   50.86,   57.01,   45.39
05/08/2013 05:40:00,   52.74,   58.70,   42.91,   55.14,   60.19,   46.63
05/08/2013 05:45:00,   52.12,   57.79,   43.40,   55.69,   61.49,   48.30
05/08/2013 05:50:00,   49.52,   56.47,   42.72,   52.75,   58.44,   46.75
05/08/2013 05:55:00,   47.74,   53.33,   42.77,   50.67,   55.38,   46.54
