# noise_analysis run from DCC-NOISE-001003 at Tue Aug  6 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
06/08/2013 00:05:00,   50.28,   56.21,   40.28,   52.41,   57.88,   43.45
06/08/2013 00:10:00,   49.83,   56.15,   40.90,   52.20,   57.67,   44.28
06/08/2013 00:15:00,   49.07,   55.81,   40.40,   51.60,   57.48,   44.43
06/08/2013 00:20:00,   52.04,   55.96,   43.86,   55.17,   59.23,   47.18
06/08/2013 00:25:00,   51.27,   55.93,   43.80,   53.83,   58.01,   46.95
06/08/2013 00:30:00,   50.95,   56.79,   42.33,   54.66,   60.65,   46.72
06/08/2013 00:35:00,   51.08,   56.62,   43.19,   53.75,   58.68,   47.38
06/08/2013 00:40:00,   50.31,   55.61,   42.30,   52.86,   57.71,   45.46
06/08/2013 00:45:00,   50.13,   55.85,   39.87,   52.97,   58.14,   43.88
06/08/2013 00:50:00,   48.58,   54.43,   40.66,   51.26,   56.66,   44.22
06/08/2013 00:55:00,   47.00,   53.76,   39.95,   50.09,   56.14,   44.60
06/08/2013 01:00:00,   46.94,   53.54,   39.09,   49.17,   54.96,   42.91
06/08/2013 01:05:00,   52.10,   57.75,   39.39,   56.43,   64.45,   44.03
06/08/2013 01:10:00,   49.03,   55.69,   36.81,   50.84,   56.99,   41.77
06/08/2013 01:15:00,   42.62,   47.61,   36.13,   46.39,   51.46,   41.68
06/08/2013 01:20:00,   47.83,   54.45,   38.13,   50.28,   56.48,   43.13
06/08/2013 01:25:00,   43.65,   49.51,   37.13,   47.25,   53.37,   41.92
06/08/2013 01:30:00,   45.70,   53.40,   37.06,   48.57,   54.71,   42.61
06/08/2013 01:35:00,   47.13,   52.82,   40.29,   49.58,   54.68,   44.11
06/08/2013 01:40:00,   45.28,   51.42,   38.06,   49.83,   55.42,   42.64
06/08/2013 01:45:00,   45.29,   53.22,   37.43,   48.21,   55.01,   41.85
06/08/2013 01:50:00,   43.36,   50.72,   37.19,   47.30,   52.40,   42.74
06/08/2013 01:55:00,   44.22,   48.67,   37.66,   47.33,   50.28,   43.14
06/08/2013 02:00:00,   42.98,   46.79,   36.66,   45.92,   48.49,   40.84
06/08/2013 02:05:00,   45.06,   51.13,   37.95,   47.85,   53.80,   42.04
06/08/2013 02:10:00,   48.13,   54.41,   40.48,   50.87,   56.84,   43.96
06/08/2013 02:15:00,   48.14,   53.51,   38.62,   50.56,   55.73,   43.29
06/08/2013 02:20:00,   42.15,   46.05,   36.39,   45.57,   47.98,   41.84
06/08/2013 02:25:00,   44.91,   50.99,   38.49,   48.02,   53.04,   43.31
06/08/2013 02:30:00,   40.49,   42.09,   36.89,   44.23,   45.47,   41.78
06/08/2013 02:35:00,   41.95,   46.19,   36.87,   45.69,   48.42,   41.78
06/08/2013 02:40:00,   44.70,   47.34,   38.56,   48.03,   51.15,   43.20
06/08/2013 02:45:00,   45.50,   53.71,   37.53,   47.70,   54.80,   41.95
06/08/2013 02:50:00,   42.20,   44.41,   36.83,   45.39,   48.49,   40.86
06/08/2013 02:55:00,   44.91,   49.64,   37.35,   47.93,   51.74,   41.54
06/08/2013 03:00:00,   38.06,   39.81,   35.64,   42.19,   43.90,   40.18
06/08/2013 03:05:00,   43.30,   49.27,   37.64,   46.61,   51.35,   41.78
06/08/2013 03:10:00,   45.01,   51.05,   38.88,   48.33,   54.38,   43.10
06/08/2013 03:15:00,   47.79,   51.95,   39.13,   50.46,   53.72,   42.70
06/08/2013 03:20:00,   44.25,   50.48,   38.20,   48.17,   54.35,   42.94
06/08/2013 03:25:00,   45.87,   51.41,   40.03,   49.22,   54.31,   44.11
06/08/2013 03:30:00,   46.22,   52.85,   40.03,   49.07,   54.59,   43.94
06/08/2013 03:35:00,   44.48,   49.21,   39.32,   47.54,   52.23,   43.44
06/08/2013 03:40:00,   46.97,   53.27,   38.36,   50.37,   56.21,   42.00
06/08/2013 03:45:00,   46.24,   51.49,   39.86,   48.45,   53.10,   43.17
06/08/2013 03:50:00,   46.65,   52.18,   40.81,   50.45,   56.54,   44.49
06/08/2013 03:55:00,   44.63,   50.38,   39.07,   47.73,   51.90,   43.22
06/08/2013 04:00:00,   44.08,   50.03,   39.31,   47.23,   52.90,   42.78
06/08/2013 04:05:00,   46.66,   52.50,   39.50,   49.13,   54.72,   43.20
06/08/2013 04:10:00,   44.02,   47.50,   39.32,   46.45,   49.10,   42.76
06/08/2013 04:15:00,   50.31,   57.10,   41.15,   52.46,   58.72,   44.55
06/08/2013 04:20:00,   45.70,   51.72,   39.88,   47.98,   53.36,   43.25
06/08/2013 04:25:00,   45.38,   48.94,   40.77,   48.02,   51.89,   43.88
06/08/2013 04:30:00,   47.80,   53.51,   41.27,   49.91,   54.35,   44.64
06/08/2013 04:35:00,   50.50,   56.19,   43.76,   52.58,   57.80,   46.98
06/08/2013 04:40:00,   49.22,   55.11,   42.34,   51.75,   57.43,   45.88
06/08/2013 04:45:00,   47.93,   52.78,   42.54,   50.56,   55.26,   46.28
06/08/2013 04:50:00,   48.78,   53.95,   42.38,   51.35,   55.68,   45.76
06/08/2013 04:55:00,   49.78,   54.76,   44.11,   51.91,   56.36,   47.23
06/08/2013 05:00:00,   49.51,   54.21,   43.46,   52.43,   56.81,   46.98
06/08/2013 05:05:00,   52.52,   57.31,   45.88,   55.08,   59.53,   49.45
06/08/2013 05:10:00,   53.93,   58.68,   44.02,   58.00,   63.66,   47.49
06/08/2013 05:15:00,   52.25,   58.01,   44.21,   54.95,   59.28,   47.75
06/08/2013 05:20:00,   51.96,   57.04,   44.53,   54.04,   58.68,   47.88
06/08/2013 05:25:00,   50.78,   55.48,   44.72,   53.67,   58.55,   48.43
06/08/2013 05:30:00,   52.07,   57.02,   46.46,   55.16,   59.73,   50.26
06/08/2013 05:35:00,   52.01,   57.46,   45.45,   55.04,   60.08,   49.06
06/08/2013 05:40:00,   51.71,   56.66,   46.12,   56.26,   59.92,   50.01
06/08/2013 05:45:00,   52.34,   56.58,   46.93,   56.53,   61.29,   50.69
06/08/2013 05:50:00,   52.72,   57.70,   47.16,   55.58,   60.08,   50.11
06/08/2013 05:55:00,   55.05,   59.05,   49.80,   58.88,   63.53,   52.92
06/08/2013 06:00:00,   55.59,   59.51,   48.20,   60.06,   62.71,   51.40
06/08/2013 06:05:00,   53.30,   57.37,   47.87,   56.97,   60.88,   51.48
06/08/2013 06:10:00,   54.29,   58.03,   47.73,   57.30,   61.20,   51.23
06/08/2013 06:15:00,   55.09,   58.38,   49.68,   58.51,   61.24,   53.92
06/08/2013 06:20:00,   53.79,   56.85,   48.40,   57.35,   60.93,   52.44
06/08/2013 06:25:00,   54.72,   58.42,   48.95,   58.80,   62.85,   52.91
06/08/2013 06:30:00,   55.36,   59.12,   48.34,   59.39,   62.96,   52.44
06/08/2013 06:35:00,   56.34,   59.57,   50.79,   60.08,   62.96,   55.71
06/08/2013 06:40:00,   55.58,   59.28,   51.35,   60.15,   63.79,   55.36
06/08/2013 06:45:00,   56.03,   59.83,   50.48,   61.07,   64.89,   54.25
06/08/2013 06:50:00,   55.74,   59.68,   51.26,   59.66,   62.44,   56.04
06/08/2013 06:55:00,   56.46,   61.17,   49.36,   61.20,   66.41,   54.34
06/08/2013 07:00:00,   55.35,   58.70,   50.61,   59.08,   61.47,   55.12
06/08/2013 07:05:00,   55.77,   59.41,   50.17,   60.15,   63.48,   54.75
06/08/2013 07:10:00,   55.85,   59.18,   51.25,   59.47,   61.93,   55.97
06/08/2013 07:15:00,   55.98,   59.11,   51.70,   60.18,   62.78,   56.63
06/08/2013 07:20:00,   55.66,   58.96,   50.93,   60.44,   62.72,   55.89
06/08/2013 07:25:00,   56.88,   59.64,   51.77,   62.05,   65.12,   57.17
06/08/2013 07:30:00,   55.21,   59.00,   49.50,   60.01,   63.40,   54.15
06/08/2013 07:35:00,   55.51,   59.27,   50.89,   59.81,   63.21,   55.61
