# noise_analysis run from DCC-NOISE-001003 at Wed Aug  7 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
07/08/2013 00:05:00,   50.06,   56.07,   41.08,   53.03,   57.93,   45.69
07/08/2013 00:10:00,   46.99,   53.77,   37.56,   50.50,   56.47,   42.73
07/08/2013 00:15:00,   47.02,   53.87,   37.70,   50.75,   56.50,   42.28
07/08/2013 00:20:00,   48.30,   55.26,   36.75,   50.70,   56.66,   41.21
07/08/2013 00:25:00,   44.73,   51.00,   36.17,   48.99,   53.84,   40.95
07/08/2013 00:30:00,   48.59,   55.94,   38.18,   51.72,   57.46,   43.45
07/08/2013 00:35:00,   47.44,   53.88,   36.16,   50.47,   57.46,   41.96
07/08/2013 00:40:00,   44.36,   49.80,   35.90,   48.08,   53.73,   41.00
07/08/2013 00:45:00,   46.73,   54.02,   35.88,   49.16,   55.17,   40.71
07/08/2013 00:50:00,   47.28,   54.33,   37.08,   50.06,   56.14,   41.55
07/08/2013 00:55:00,   44.11,   52.61,   34.79,   46.62,   53.73,   39.90
07/08/2013 01:00:00,   45.51,   53.55,   36.09,   48.49,   54.60,   41.38
07/08/2013 01:05:00,   44.82,   51.47,   35.01,   48.37,   54.59,   40.61
07/08/2013 01:10:00,   43.74,   50.44,   34.39,   46.92,   52.66,   39.54
07/08/2013 01:15:00,   45.59,   53.50,   34.72,   48.59,   55.71,   40.59
07/08/2013 01:20:00,   45.88,   53.96,   34.90,   48.31,   55.45,   40.31
07/08/2013 01:25:00,   43.95,   51.18,   34.88,   46.45,   52.52,   40.37
07/08/2013 01:30:00,   42.04,   48.93,   34.85,   44.92,   50.52,   39.94
07/08/2013 01:35:00,   43.50,   50.19,   37.16,   46.89,   52.91,   42.34
07/08/2013 01:40:00,   45.79,   54.20,   36.83,   48.10,   55.39,   41.45
07/08/2013 01:45:00,   41.61,   44.61,   35.64,   45.06,   47.65,   40.57
07/08/2013 01:50:00,   46.05,   54.03,   36.83,   48.74,   56.04,   41.26
07/08/2013 01:55:00,   44.09,   51.33,   35.71,   47.48,   53.75,   40.69
07/08/2013 02:00:00,   41.61,   46.84,   34.92,   44.46,   48.53,   40.16
