# noise_analysis run from DCC-NOISE-001003 at Thu Aug  8 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
08/08/2013 00:05:00,   47.24,   53.01,   36.19,   50.65,   55.50,   41.20
08/08/2013 00:10:00,   44.98,   51.62,   34.76,   47.71,   53.74,   39.84
08/08/2013 00:15:00,   48.35,   55.38,   37.27,   51.00,   57.52,   41.05
08/08/2013 00:20:00,   46.73,   54.47,   35.69,   49.77,   57.11,   40.39
08/08/2013 00:25:00,   49.03,   54.71,   37.33,   52.14,   57.26,   41.52
08/08/2013 00:30:00,   49.14,   56.23,   36.27,   51.33,   57.29,   41.20
08/08/2013 00:35:00,   48.60,   56.78,   34.62,   50.44,   58.01,   38.96
08/08/2013 00:40:00,   47.13,   54.46,   34.98,   49.26,   56.68,   39.19
08/08/2013 00:45:00,   47.06,   54.26,   34.08,   49.15,   55.66,   39.02
08/08/2013 00:50:00,   45.51,   53.62,   33.98,   49.39,   56.51,   38.92
08/08/2013 00:55:00,   46.51,   54.81,   34.32,   48.69,   56.28,   38.76
08/08/2013 01:00:00,   43.40,   49.54,   34.26,   46.81,   52.66,   39.13
08/08/2013 01:05:00,   47.48,   54.49,   35.38,   50.55,   57.10,   39.52
08/08/2013 01:10:00,   43.74,   52.97,   33.30,   45.85,   54.10,   37.65
08/08/2013 01:15:00,   45.23,   52.59,   33.38,   47.77,   55.12,   37.35
08/08/2013 01:20:00,   44.10,   52.69,   31.92,   45.96,   53.66,   35.86
08/08/2013 01:25:00,   44.71,   53.71,   32.48,   47.24,   55.12,   37.41
08/08/2013 01:30:00,   42.57,   50.54,   32.46,   45.89,   53.44,   37.78
08/08/2013 01:35:00,   44.26,   52.62,   32.42,   47.29,   55.89,   38.07
08/08/2013 01:40:00,   40.42,   46.25,   32.98,   44.65,   51.21,   38.44
08/08/2013 01:45:00,   43.73,   50.11,   33.51,   47.06,   52.61,   39.12
08/08/2013 01:50:00,   40.72,   47.12,   33.71,   43.53,   49.14,   38.58
08/08/2013 01:55:00,   41.05,   46.89,   33.31,   44.22,   49.05,   38.41
08/08/2013 02:00:00,   41.31,   47.07,   33.47,   44.08,   48.24,   38.29
08/08/2013 02:05:00,   43.23,   51.95,   33.92,   47.99,   55.32,   39.06
08/08/2013 02:10:00,   37.52,   39.90,   33.54,   42.21,   44.98,   39.23
08/08/2013 02:15:00,   39.70,   41.67,   33.78,   43.55,   45.65,   39.34
08/08/2013 02:20:00,   42.88,   50.35,   34.34,   46.03,   53.02,   39.63
08/08/2013 02:25:00,   46.04,   53.75,   34.62,   49.32,   55.69,   40.20
08/08/2013 02:30:00,   38.39,   42.97,   33.62,   43.26,   48.10,   38.93
08/08/2013 02:35:00,   37.15,   38.76,   33.62,   41.18,   42.77,   38.58
08/08/2013 02:40:00,   42.00,   46.06,   34.94,   45.56,   50.98,   40.12
08/08/2013 02:45:00,   40.06,   43.58,   34.16,   43.71,   45.99,   39.57
08/08/2013 02:50:00,   39.12,   39.71,   33.92,   43.43,   44.14,   39.58
08/08/2013 02:55:00,   44.53,   51.79,   34.01,   47.23,   53.68,   39.61
08/08/2013 03:00:00,   43.14,   52.56,   33.75,   46.41,   54.48,   38.98
08/08/2013 03:05:00,   39.27,   42.14,   34.55,   43.11,   45.74,   39.49
08/08/2013 03:10:00,   41.87,   45.33,   36.74,   46.17,   49.17,   43.00
08/08/2013 03:15:00,   45.72,   53.20,   35.43,   48.58,   54.81,   41.40
08/08/2013 03:20:00,   46.64,   54.88,   34.83,   48.88,   56.92,   40.10
08/08/2013 03:25:00,   42.62,   49.11,   34.86,   46.15,   52.53,   40.14
08/08/2013 03:30:00,   44.31,   52.60,   34.84,   47.15,   54.56,   40.01
08/08/2013 03:35:00,   42.52,   50.03,   35.26,   45.44,   51.12,   40.18
08/08/2013 03:40:00,   43.96,   51.19,   36.16,   46.52,   53.15,   40.86
08/08/2013 03:45:00,   42.40,   46.75,   35.79,   45.32,   49.81,   41.07
08/08/2013 03:50:00,   43.34,   49.04,   34.86,   46.74,   52.61,   40.37
08/08/2013 03:55:00,   44.15,   52.20,   35.42,   47.46,   54.73,   40.98
08/08/2013 04:00:00,   43.46,   49.92,   36.33,   46.97,   52.86,   40.90
08/08/2013 04:05:00,   44.71,   50.82,   37.92,   47.46,   53.20,   41.56
08/08/2013 04:10:00,   45.08,   51.15,   38.62,   48.10,   53.93,   42.95
08/08/2013 04:15:00,   45.80,   46.72,   42.05,   48.74,   49.85,   45.70
08/08/2013 04:20:00,   47.46,   52.76,   42.47,   50.22,   54.25,   45.75
08/08/2013 04:25:00,   47.98,   50.47,   44.76,   51.12,   53.39,   48.46
08/08/2013 04:30:00,   48.79,   53.74,   42.92,   51.51,   55.41,   47.02
08/08/2013 04:35:00,   49.46,   54.59,   42.98,   52.82,   57.60,   47.36
08/08/2013 04:40:00,   48.20,   54.30,   41.04,   51.15,   55.94,   45.49
08/08/2013 04:45:00,   47.93,   54.22,   41.30,   50.68,   56.01,   45.41
08/08/2013 04:50:00,   49.92,   55.50,   41.09,   52.61,   56.97,   45.60
08/08/2013 04:55:00,   50.71,   56.55,   42.60,   53.46,   58.16,   46.44
08/08/2013 05:00:00,   52.68,   57.42,   44.66,   54.39,   58.93,   48.39
08/08/2013 05:05:00,   52.34,   58.32,   43.26,   54.51,   59.49,   47.49
08/08/2013 05:10:00,   51.89,   57.03,   43.62,   53.74,   58.49,   47.74
08/08/2013 05:15:00,   50.74,   57.05,   42.94,   53.98,   59.09,   46.90
08/08/2013 05:20:00,   52.97,   59.25,   42.69,   55.84,   62.68,   47.85
08/08/2013 05:25:00,   51.14,   56.74,   42.78,   54.09,   58.70,   46.77
08/08/2013 05:30:00,   49.65,   55.07,   43.07,   52.94,   57.58,   47.81
08/08/2013 05:35:00,   52.20,   57.15,   44.53,   54.64,   59.21,   49.07
08/08/2013 05:40:00,   51.76,   56.47,   43.58,   55.21,   58.79,   48.24
08/08/2013 05:45:00,   49.04,   53.68,   43.58,   53.28,   58.06,   48.44
08/08/2013 05:50:00,   52.89,   57.23,   45.72,   57.17,   60.39,   50.30
08/08/2013 05:55:00,   51.33,   55.90,   43.48,   55.40,   59.12,   48.98
08/08/2013 06:00:00,   52.09,   56.94,   44.45,   55.63,   59.82,   49.02
08/08/2013 06:05:00,   52.32,   57.37,   45.91,   56.28,   60.13,   50.75
08/08/2013 06:10:00,   54.71,   59.58,   46.39,   59.52,   63.26,   51.21
08/08/2013 06:15:00,   54.50,   58.86,   45.61,   58.63,   63.36,   50.39
08/08/2013 06:20:00,   52.22,   56.84,   45.44,   55.54,   59.52,   49.94
08/08/2013 06:25:00,   53.55,   57.47,   45.92,   57.35,   61.40,   50.80
08/08/2013 06:30:00,   55.94,   59.63,   49.56,   59.76,   63.20,   54.56
08/08/2013 06:35:00,   55.80,   59.34,   50.27,   60.07,   63.40,   54.53
08/08/2013 06:40:00,   54.51,   58.74,   47.96,   58.92,   62.73,   53.29
08/08/2013 06:45:00,   55.43,   59.55,   48.72,   60.39,   65.09,   53.90
08/08/2013 06:50:00,   54.58,   57.58,   49.25,   58.79,   62.40,   53.85
08/08/2013 06:55:00,   54.90,   59.07,   49.01,   58.89,   62.47,   54.01
08/08/2013 07:00:00,   55.84,   59.38,   50.13,   59.91,   62.92,   54.81
08/08/2013 07:05:00,   55.63,   59.18,   50.59,   59.66,   62.47,   54.98
08/08/2013 07:10:00,   54.88,   58.77,   48.55,   58.71,   61.31,   54.74
08/08/2013 07:15:00,   55.80,   59.94,   48.99,   60.40,   64.81,   53.69
08/08/2013 07:20:00,   55.38,   58.58,   48.82,   59.35,   62.43,   54.97
08/08/2013 07:25:00,   54.01,   58.00,   49.11,   59.46,   63.07,   54.02
08/08/2013 07:30:00,   55.24,   59.54,   48.77,   60.04,   63.45,   54.90
08/08/2013 07:35:00,   55.35,   59.50,   48.06,   60.22,   64.59,   53.66
08/08/2013 07:40:00,   55.35,   59.18,   48.75,   59.53,   62.35,   54.48
08/08/2013 07:45:00,   54.45,   58.30,   48.99,   58.91,   61.85,   54.74
08/08/2013 07:50:00,   53.39,   57.22,   45.26,   58.42,   61.87,   52.58
08/08/2013 07:55:00,   54.05,   58.29,   46.60,   59.58,   63.14,   53.82
08/08/2013 08:00:00,   54.18,   58.32,   47.95,   58.94,   62.82,   53.46
08/08/2013 08:05:00,   54.30,   57.78,   46.31,   58.94,   63.16,   52.22
08/08/2013 08:10:00,   53.98,   57.92,   47.57,   58.33,   61.33,   53.14
08/08/2013 08:15:00,   54.03,   57.69,   47.10,   58.45,   61.82,   53.09
08/08/2013 08:20:00,   53.07,   57.61,   45.36,   57.74,   61.63,   51.06
08/08/2013 08:25:00,   54.01,   58.02,   47.87,   58.21,   61.31,   53.44
08/08/2013 08:30:00,   54.54,   59.15,   47.20,   58.76,   63.43,   52.85
08/08/2013 08:35:00,   55.91,   60.61,   47.96,   60.82,   65.11,   54.04
08/08/2013 08:40:00,   55.15,   58.38,   50.02,   60.57,   64.05,   55.46
08/08/2013 08:45:00,   54.32,   57.52,   48.60,   59.29,   61.97,   53.57
08/08/2013 08:50:00,   52.67,   56.22,   47.81,   58.00,   60.91,   53.51
08/08/2013 08:55:00,   54.10,   57.49,   47.36,   60.49,   65.18,   53.44
08/08/2013 09:00:00,   55.01,   58.24,   46.64,   60.96,   63.80,   52.74
08/08/2013 09:05:00,   55.28,   58.51,   49.59,   59.87,   62.94,   55.20
08/08/2013 09:10:00,   54.37,   58.29,   46.69,   58.60,   62.90,   52.18
08/08/2013 09:15:00,   55.29,   59.23,   46.82,   60.28,   64.95,   53.08
08/08/2013 09:20:00,   54.70,   58.48,   48.06,   59.85,   62.96,   54.01
08/08/2013 09:25:00,   54.44,   58.27,   48.83,   58.43,   61.50,   53.82
08/08/2013 09:30:00,   54.26,   58.86,   47.89,   58.70,   62.05,   53.25
08/08/2013 09:35:00,   54.84,   58.33,   49.05,   59.00,   62.21,   53.86
08/08/2013 09:40:00,   54.07,   57.58,   48.53,   58.67,   62.13,   54.05
08/08/2013 09:45:00,   54.55,   57.55,   49.69,   60.16,   63.97,   54.36
08/08/2013 09:50:00,   54.51,   57.93,   49.99,   59.44,   62.16,   55.40
08/08/2013 09:55:00,   54.84,   57.97,   50.54,   59.43,   62.14,   55.31
08/08/2013 10:00:00,   54.15,   57.38,   49.59,   59.09,   61.87,   55.15
08/08/2013 10:05:00,   55.23,   58.86,   50.07,   60.28,   65.11,   54.90
08/08/2013 10:10:00,   54.06,   57.32,   49.05,   59.32,   62.76,   54.49
08/08/2013 10:15:00,   55.02,   57.86,   49.30,   60.11,   63.52,   54.66
08/08/2013 10:20:00,   53.98,   56.85,   48.47,   58.81,   61.43,   53.94
08/08/2013 10:25:00,   54.12,   57.32,   48.74,   58.64,   61.75,   53.76
08/08/2013 10:30:00,   54.96,   58.56,   49.19,   59.97,   64.30,   53.84
08/08/2013 10:35:00,   56.95,   61.00,   50.53,   61.67,   65.07,   56.06
08/08/2013 10:40:00,   54.29,   57.63,   49.32,   60.26,   63.70,   55.25
08/08/2013 10:45:00,   54.96,   58.41,   48.54,   59.67,   63.20,   54.23
08/08/2013 10:50:00,   54.27,   56.90,   49.57,   60.29,   63.34,   56.13
08/08/2013 10:55:00,   54.56,   58.22,   49.23,   59.23,   62.51,   54.32
08/08/2013 11:00:00,   55.81,   59.02,   50.84,   61.67,   65.60,   56.87
08/08/2013 11:05:00,   55.07,   57.87,   50.37,   59.89,   62.23,   54.93
08/08/2013 11:10:00,   54.51,   57.66,   50.08,   59.71,   62.47,   55.89
08/08/2013 11:15:00,   54.93,   57.91,   50.23,   59.75,   62.46,   55.45
08/08/2013 11:20:00,   55.92,   58.34,   50.40,   61.05,   63.59,   55.97
08/08/2013 11:25:00,   58.54,   60.95,   51.07,   63.10,   65.30,   55.30
08/08/2013 11:30:00,   56.76,   60.05,   50.71,   62.74,   66.43,   56.44
08/08/2013 11:35:00,   61.74,   64.98,   56.35,   65.67,   68.69,   61.47
08/08/2013 11:40:00,   56.69,   59.35,   51.14,   62.78,   64.79,   57.88
08/08/2013 11:45:00,   57.74,   60.46,   53.87,   64.23,   66.98,   60.40
08/08/2013 11:50:00,   56.03,   59.71,   50.13,   61.53,   66.04,   54.37
08/08/2013 11:55:00,   55.62,   58.83,   50.85,   61.49,   64.89,   56.63
08/08/2013 12:00:00,   54.17,   56.96,   49.86,   59.21,   61.89,   53.47
08/08/2013 12:05:00,   54.46,   57.92,   48.91,   58.55,   61.65,   53.54
08/08/2013 12:10:00,   54.08,   56.81,   49.62,   59.72,   61.79,   55.64
08/08/2013 12:15:00,   53.89,   57.60,   47.95,   58.58,   62.21,   53.86
08/08/2013 12:20:00,   54.34,   57.44,   49.47,   59.08,   61.76,   55.46
08/08/2013 12:25:00,   54.62,   57.59,   48.67,   59.96,   63.07,   53.26
08/08/2013 12:30:00,   54.71,   57.91,   49.34,   60.13,   63.41,   55.12
08/08/2013 12:35:00,   54.13,   57.08,   48.34,   59.14,   61.61,   53.81
08/08/2013 12:40:00,   54.45,   57.45,   49.85,   58.93,   61.51,   55.48
08/08/2013 12:45:00,   56.00,   58.63,   51.01,   62.39,   65.51,   56.43
08/08/2013 12:50:00,   53.93,   57.30,   48.90,   59.86,   63.24,   55.24
08/08/2013 12:55:00,   55.69,   57.72,   51.55,   61.21,   64.19,   56.25
08/08/2013 13:00:00,   54.27,   57.01,   49.96,   59.74,   63.16,   54.73
08/08/2013 13:05:00,   55.21,   58.50,   50.95,   59.15,   61.76,   55.75
08/08/2013 13:10:00,   54.19,   57.42,   50.13,   59.48,   62.09,   55.72
08/08/2013 13:15:00,   55.14,   57.94,   50.42,   61.72,   65.83,   56.83
08/08/2013 13:20:00,   54.03,   56.45,   50.73,   58.53,   61.06,   55.04
08/08/2013 13:25:00,   55.37,   57.89,   50.71,   61.34,   64.07,   55.43
08/08/2013 13:30:00,   55.22,   57.65,   51.04,   60.86,   63.61,   56.51
08/08/2013 13:35:00,   54.81,   57.90,   50.23,   60.28,   63.71,   55.79
08/08/2013 13:40:00,   55.03,   56.85,   51.42,   60.70,   63.28,   56.03
08/08/2013 13:45:00,   54.95,   58.00,   49.93,   60.25,   63.44,   55.13
08/08/2013 13:50:00,   54.87,   58.20,   50.67,   59.47,   62.47,   55.01
08/08/2013 13:55:00,   54.94,   57.68,   51.73,   60.63,   64.69,   56.09
08/08/2013 14:00:00,   55.26,   57.78,   50.70,   60.61,   63.21,   55.87
08/08/2013 14:05:00,   54.96,   58.49,   50.72,   60.85,   63.91,   56.25
08/08/2013 14:10:00,   55.19,   57.58,   50.83,   59.90,   62.41,   56.31
08/08/2013 14:15:00,   55.78,   58.02,   52.19,   59.77,   62.24,   55.62
08/08/2013 14:20:00,   55.03,   58.04,   49.91,   60.11,   63.60,   54.50
08/08/2013 14:25:00,   54.64,   57.09,   50.60,   59.82,   62.30,   56.32
08/08/2013 14:30:00,   55.42,   58.85,   49.28,   61.30,   65.06,   54.85
08/08/2013 14:35:00,   55.82,   58.11,   50.70,   63.13,   67.05,   56.65
08/08/2013 14:40:00,   55.28,   57.96,   50.60,   60.34,   63.35,   56.02
08/08/2013 14:45:00,   54.95,   57.32,   51.52,   60.10,   62.09,   56.27
08/08/2013 14:50:00,   55.64,   58.04,   51.78,   60.34,   62.99,   56.36
08/08/2013 14:55:00,   57.04,   59.46,   50.93,   61.76,   64.94,   55.83
08/08/2013 15:00:00,   55.92,   58.88,   51.13,   60.70,   63.93,   56.34
08/08/2013 15:05:00,   54.93,   57.33,   51.38,   59.73,   61.95,   55.66
08/08/2013 15:10:00,   57.62,   59.82,   53.92,   63.09,   66.66,   57.99
08/08/2013 15:15:00,   55.10,   58.01,   49.86,   60.09,   63.56,   54.17
08/08/2013 15:20:00,   55.91,   58.20,   51.46,   60.58,   63.84,   55.84
08/08/2013 15:25:00,   55.90,   58.38,   52.43,   60.92,   63.29,   57.44
08/08/2013 15:30:00,   55.39,   57.62,   51.49,   59.76,   62.29,   55.50
08/08/2013 15:35:00,   56.16,   58.11,   52.40,   60.91,   63.53,   56.87
08/08/2013 15:40:00,   55.18,   57.23,   51.31,   60.28,   62.97,   55.72
08/08/2013 15:45:00,   55.49,   58.08,   50.09,   59.81,   62.72,   54.90
08/08/2013 15:50:00,   55.33,   57.65,   51.89,   60.37,   62.92,   56.69
08/08/2013 15:55:00,   55.05,   58.04,   50.92,   59.26,   62.27,   55.33
08/08/2013 16:00:00,   56.70,   59.11,   51.47,   60.74,   63.45,   55.98
08/08/2013 16:05:00,   55.06,   57.52,   50.79,   61.17,   63.32,   56.50
08/08/2013 16:10:00,   55.65,   58.18,   51.89,   59.91,   62.31,   55.84
08/08/2013 16:15:00,   56.45,   58.87,   52.83,   61.12,   64.22,   55.89
08/08/2013 16:20:00,   55.66,   58.30,   50.72,   60.06,   62.43,   56.37
08/08/2013 16:25:00,   55.91,   58.31,   51.40,   62.22,   65.82,   56.15
08/08/2013 16:30:00,   55.42,   57.73,   51.64,   60.66,   62.98,   56.17
08/08/2013 16:35:00,   55.30,   58.53,   49.73,   60.77,   64.42,   55.19
08/08/2013 16:40:00,   55.92,   58.52,   51.56,   60.19,   62.78,   56.32
08/08/2013 16:45:00,   55.86,   59.50,   50.29,   59.96,   63.73,   54.57
08/08/2013 16:50:00,   55.60,   58.11,   50.91,   60.78,   63.36,   56.56
08/08/2013 16:55:00,   55.38,   57.74,   49.68,   59.84,   63.07,   54.94
08/08/2013 17:00:00,   56.28,   58.67,   52.01,   60.66,   63.48,   56.18
08/08/2013 17:05:00,   56.15,   58.63,   51.34,   60.31,   63.57,   54.40
08/08/2013 17:10:00,   55.78,   58.40,   50.23,   59.57,   62.67,   54.64
08/08/2013 17:15:00,   55.69,   59.02,   49.84,   59.94,   62.75,   55.12
08/08/2013 17:20:00,   56.96,   59.08,   53.71,   61.11,   63.10,   57.56
08/08/2013 17:25:00,   56.14,   58.96,   52.27,   60.06,   62.52,   56.52
08/08/2013 17:30:00,   56.84,   59.68,   51.42,   61.18,   64.37,   55.47
08/08/2013 17:35:00,   56.29,   59.91,   51.67,   61.20,   64.88,   54.41
08/08/2013 17:40:00,   56.94,   58.83,   52.72,   61.95,   64.87,   57.48
08/08/2013 17:45:00,   55.52,   58.41,   48.73,   58.85,   61.31,   52.65
08/08/2013 17:50:00,   55.33,   57.58,   51.97,   59.70,   61.74,   56.71
08/08/2013 17:55:00,   54.98,   57.59,   49.96,   60.63,   63.15,   56.27
08/08/2013 18:00:00,   55.04,   57.79,   50.39,   59.23,   61.58,   54.76
08/08/2013 18:05:00,   55.84,   58.18,   50.80,   59.77,   62.95,   54.97
08/08/2013 18:10:00,   55.15,   58.46,   50.79,   58.69,   61.74,   54.66
08/08/2013 18:15:00,   56.60,   58.84,   52.03,   59.81,   62.05,   55.91
08/08/2013 18:20:00,   55.97,   58.61,   52.20,   59.78,   62.41,   56.25
08/08/2013 18:25:00,   55.52,   58.41,   50.38,   59.46,   62.06,   54.98
08/08/2013 18:30:00,   56.43,   59.04,   51.84,   60.67,   63.15,   56.84
08/08/2013 18:35:00,   56.39,   58.80,   50.85,   60.02,   62.43,   55.91
08/08/2013 18:40:00,   55.16,   58.16,   50.21,   59.17,   61.89,   54.94
08/08/2013 18:45:00,   55.97,   58.98,   50.11,   60.00,   63.41,   53.10
08/08/2013 18:50:00,   54.67,   57.99,   49.24,   59.02,   61.31,   54.28
08/08/2013 18:55:00,   55.81,   59.11,   51.13,   58.99,   61.93,   54.76
08/08/2013 19:00:00,   56.00,   58.49,   51.69,   59.23,   61.80,   55.03
08/08/2013 19:05:00,   56.06,   58.71,   50.89,   59.78,   62.08,   56.38
08/08/2013 19:10:00,   55.11,   58.10,   50.47,   58.55,   61.58,   54.37
08/08/2013 19:15:00,   56.66,   59.34,   52.63,   60.83,   63.30,   56.34
08/08/2013 19:20:00,   56.46,   59.21,   51.47,   60.60,   63.11,   55.08
08/08/2013 19:25:00,   55.95,   58.99,   51.49,   59.70,   62.59,   55.05
08/08/2013 19:30:00,   56.88,   59.83,   51.34,   60.63,   64.50,   55.14
08/08/2013 19:35:00,   55.60,   58.47,   50.85,   59.44,   63.00,   54.92
08/08/2013 19:40:00,   55.67,   58.92,   51.29,   58.93,   61.83,   54.56
08/08/2013 19:45:00,   55.75,   58.02,   52.46,   59.23,   61.22,   56.19
08/08/2013 19:50:00,   55.79,   58.47,   52.07,   59.39,   61.57,   55.96
08/08/2013 19:55:00,   55.04,   57.65,   50.45,   58.76,   61.29,   53.69
08/08/2013 20:00:00,   55.69,   58.89,   50.59,   58.81,   61.75,   53.88
08/08/2013 20:05:00,   56.02,   59.29,   50.99,   61.38,   65.61,   55.03
08/08/2013 20:10:00,   55.36,   58.38,   51.34,   59.76,   62.93,   55.53
08/08/2013 20:15:00,   55.78,   58.51,   51.68,   60.59,   63.65,   55.98
08/08/2013 20:20:00,   55.33,   58.73,   50.98,   58.48,   61.22,   54.41
08/08/2013 20:25:00,   55.93,   59.12,   51.19,   60.00,   63.29,   55.28
08/08/2013 20:30:00,   55.77,   58.18,   51.72,   60.43,   63.95,   55.75
08/08/2013 20:35:00,   55.66,   58.24,   51.66,   59.62,   61.40,   55.73
08/08/2013 20:40:00,   56.16,   58.72,   51.83,   59.76,   62.28,   55.82
08/08/2013 20:45:00,   54.80,   57.64,   50.20,   58.00,   60.34,   54.41
08/08/2013 20:50:00,   57.70,   59.26,   49.86,   61.04,   63.61,   53.51
08/08/2013 20:55:00,   56.48,   60.53,   50.51,   61.92,   66.54,   54.71
08/08/2013 21:00:00,   55.19,   58.79,   51.04,   58.88,   62.36,   54.14
08/08/2013 21:05:00,   54.39,   57.79,   48.73,   57.42,   60.15,   52.17
08/08/2013 21:10:00,   54.07,   57.30,   49.75,   57.79,   60.39,   54.08
08/08/2013 21:15:00,   53.87,   56.81,   49.34,   58.19,   61.13,   53.46
08/08/2013 21:20:00,   53.85,   57.08,   49.06,   57.86,   61.31,   52.44
