# noise_analysis run from DCC-NOISE-001003 at Fri Aug  9 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
09/08/2013 00:05:00,   50.58,   55.09,   46.67,   53.52,   56.95,   50.35
09/08/2013 00:10:00,   50.33,   54.98,   45.41,   53.31,   56.94,   49.06
09/08/2013 00:15:00,   50.99,   55.94,   45.68,   53.83,   58.64,   49.47
09/08/2013 00:20:00,   51.84,   57.26,   44.43,   54.48,   59.25,   48.53
09/08/2013 00:25:00,   50.67,   56.21,   44.63,   53.22,   57.81,   48.47
09/08/2013 00:30:00,   48.57,   52.97,   43.41,   51.49,   55.13,   47.66
09/08/2013 00:35:00,   51.74,   57.21,   45.18,   54.11,   58.64,   49.30
09/08/2013 00:40:00,   49.41,   53.16,   45.30,   52.19,   55.31,   48.79
09/08/2013 00:45:00,   52.68,   56.92,   47.43,   55.24,   59.00,   50.08
09/08/2013 00:50:00,   51.63,   56.30,   44.91,   55.63,   59.73,   48.90
09/08/2013 00:55:00,   50.13,   54.84,   43.51,   54.22,   59.83,   47.72
09/08/2013 01:00:00,   51.97,   56.88,   44.20,   54.31,   58.33,   47.78
09/08/2013 01:05:00,   49.98,   55.28,   43.92,   52.43,   56.75,   47.80
09/08/2013 01:10:00,   50.00,   54.58,   43.34,   52.72,   56.90,   47.27
09/08/2013 01:15:00,   48.94,   53.72,   43.50,   51.70,   55.68,   47.39
09/08/2013 01:20:00,   50.65,   56.51,   43.41,   53.16,   58.44,   47.49
09/08/2013 01:25:00,   48.98,   54.56,   43.70,   51.74,   56.56,   47.44
09/08/2013 01:30:00,   50.69,   55.40,   44.54,   52.73,   56.65,   48.19
09/08/2013 01:35:00,   48.77,   53.14,   43.07,   51.61,   56.15,   47.12
09/08/2013 01:40:00,   49.76,   55.77,   43.61,   52.48,   58.34,   47.63
09/08/2013 01:45:00,   49.68,   54.74,   42.67,   52.46,   57.13,   47.18
09/08/2013 01:50:00,   49.77,   54.59,   44.17,   52.38,   56.62,   48.03
09/08/2013 01:55:00,   50.39,   55.57,   43.85,   52.43,   57.52,   47.49
09/08/2013 02:00:00,   48.98,   53.16,   44.60,   52.26,   55.69,   48.38
09/08/2013 02:05:00,   49.60,   52.71,   44.71,   52.56,   55.78,   47.99
09/08/2013 02:10:00,   50.07,   54.01,   45.66,   52.76,   56.43,   48.72
09/08/2013 02:15:00,   51.91,   57.06,   45.56,   54.21,   59.34,   48.48
09/08/2013 02:20:00,   47.17,   49.65,   43.46,   50.22,   53.23,   47.22
09/08/2013 02:25:00,   48.49,   52.58,   43.44,   51.79,   55.87,   47.17
09/08/2013 02:30:00,   48.06,   51.94,   43.01,   51.61,   56.60,   46.95
09/08/2013 02:35:00,   50.39,   54.46,   45.31,   52.74,   56.51,   48.29
09/08/2013 02:40:00,   46.38,   48.01,   42.87,   49.72,   51.15,   47.13
09/08/2013 02:45:00,   47.65,   49.80,   43.60,   50.57,   53.45,   47.16
09/08/2013 02:50:00,   50.11,   56.02,   42.68,   52.53,   57.85,   46.28
09/08/2013 02:55:00,   49.09,   52.76,   44.37,   52.37,   56.21,   48.14
09/08/2013 03:00:00,   47.31,   49.98,   42.64,   50.58,   53.11,   46.43
09/08/2013 03:05:00,   48.67,   54.39,   40.99,   51.15,   56.04,   45.01
09/08/2013 03:10:00,   50.10,   56.12,   43.04,   53.91,   59.48,   46.25
09/08/2013 03:15:00,   47.98,   52.51,   43.24,   51.23,   55.24,   46.33
09/08/2013 03:20:00,   49.23,   53.73,   42.33,   52.24,   56.78,   46.31
09/08/2013 03:25:00,   48.35,   53.50,   43.06,   51.58,   55.75,   46.84
09/08/2013 03:30:00,   48.63,   54.44,   42.86,   51.69,   57.03,   46.83
09/08/2013 03:35:00,   46.06,   48.84,   41.96,   49.28,   51.66,   45.77
09/08/2013 03:40:00,   49.19,   55.05,   43.67,   51.58,   56.03,   47.42
09/08/2013 03:45:00,   48.07,   52.67,   43.54,   51.50,   56.09,   47.42
09/08/2013 03:50:00,   46.98,   49.07,   43.69,   50.28,   52.52,   47.70
09/08/2013 03:55:00,   49.21,   53.81,   44.51,   52.02,   55.60,   48.23
09/08/2013 04:00:00,   48.16,   51.78,   43.13,   51.13,   53.85,   47.34
09/08/2013 04:05:00,   47.93,   52.90,   43.05,   50.90,   54.64,   46.99
09/08/2013 04:10:00,   47.31,   52.48,   43.12,   50.22,   54.14,   47.15
09/08/2013 04:15:00,   48.27,   53.20,   43.05,   51.01,   55.41,   46.92
09/08/2013 04:20:00,   46.66,   49.03,   43.64,   49.93,   51.87,   47.66
09/08/2013 04:25:00,   47.32,   49.98,   43.75,   50.70,   53.82,   47.64
09/08/2013 04:30:00,   47.79,   51.30,   44.39,   51.59,   55.61,   47.86
09/08/2013 04:35:00,   50.19,   55.16,   44.42,   53.60,   58.44,   48.83
09/08/2013 04:40:00,   49.57,   54.52,   44.40,   52.60,   56.50,   48.40
09/08/2013 04:45:00,   49.21,   53.47,   45.07,   51.99,   55.35,   48.74
09/08/2013 04:50:00,   51.39,   56.49,   45.86,   54.25,   59.05,   49.67
09/08/2013 04:55:00,   51.23,   55.51,   45.80,   55.62,   60.34,   49.73
09/08/2013 05:00:00,   52.02,   55.78,   46.99,   54.67,   57.91,   50.53
09/08/2013 05:05:00,   55.46,   59.36,   47.94,   60.03,   63.31,   51.35
09/08/2013 05:10:00,   51.51,   55.26,   47.64,   54.06,   57.32,   50.87
09/08/2013 05:15:00,   51.44,   56.25,   46.13,   54.19,   58.60,   49.79
09/08/2013 05:20:00,   51.85,   56.27,   46.24,   55.01,   59.55,   50.18
09/08/2013 05:25:00,   52.87,   58.42,   46.54,   58.03,   64.80,   50.42
09/08/2013 05:30:00,   52.96,   58.48,   47.18,   55.90,   60.37,   51.20
09/08/2013 05:35:00,   53.50,   57.74,   48.15,   57.10,   61.08,   51.91
09/08/2013 05:40:00,   55.57,   60.29,   48.43,   61.86,   67.75,   52.73
09/08/2013 05:45:00,   53.54,   56.98,   49.47,   57.08,   60.34,   53.41
09/08/2013 05:50:00,   53.47,   57.67,   49.56,   57.13,   60.73,   53.26
09/08/2013 05:55:00,   55.31,   59.41,   51.19,   59.95,   64.14,   55.58
09/08/2013 06:00:00,   55.35,   58.18,   51.06,   59.07,   62.04,   54.87
09/08/2013 06:05:00,   55.22,   59.18,   51.12,   58.73,   62.77,   55.03
09/08/2013 06:10:00,   55.38,   58.81,   50.64,   59.54,   62.56,   54.82
09/08/2013 06:15:00,   55.87,   59.84,   50.08,   59.66,   63.53,   53.65
09/08/2013 06:20:00,   56.34,   59.45,   51.74,   60.69,   63.82,   56.01
09/08/2013 06:25:00,   55.60,   59.79,   51.43,   59.27,   62.83,   55.23
09/08/2013 06:30:00,   55.71,   58.62,   51.20,   59.15,   61.29,   55.16
09/08/2013 06:35:00,   55.78,   57.76,   52.59,   60.38,   62.72,   56.90
09/08/2013 06:40:00,   57.88,   61.36,   52.73,   62.24,   65.65,   56.81
09/08/2013 06:45:00,   55.87,   58.64,   52.31,   60.11,   62.87,   56.17
09/08/2013 06:50:00,   57.33,   59.86,   52.02,   61.80,   64.67,   56.02
09/08/2013 06:55:00,   57.34,   61.36,   52.36,   61.28,   65.88,   56.12
09/08/2013 07:00:00,   56.82,   60.00,   52.42,   60.28,   63.97,   56.09
09/08/2013 07:05:00,   56.62,   59.01,   52.84,   60.41,   63.03,   56.66
09/08/2013 07:10:00,   56.24,   59.25,   52.85,   59.90,   62.56,   56.61
09/08/2013 07:15:00,   56.45,   59.84,   52.46,   59.66,   62.28,   55.95
09/08/2013 07:20:00,   57.63,   60.57,   53.31,   60.82,   63.44,   56.87
09/08/2013 07:25:00,   56.39,   59.38,   50.79,   60.43,   63.64,   55.36
09/08/2013 07:30:00,   56.86,   59.68,   52.93,   60.61,   64.29,   56.40
09/08/2013 07:35:00,   58.10,   61.27,   54.03,   62.54,   66.07,   57.66
09/08/2013 07:40:00,   55.69,   58.81,   51.66,   60.07,   62.89,   55.49
09/08/2013 07:45:00,   57.36,   61.22,   51.50,   61.99,   66.25,   56.97
09/08/2013 07:50:00,   57.59,   60.95,   53.30,   62.37,   65.41,   57.50
09/08/2013 07:55:00,   56.69,   59.45,   52.83,   61.85,   64.10,   57.36
09/08/2013 08:00:00,   56.86,   59.19,   53.21,   61.32,   63.84,   57.80
09/08/2013 08:05:00,   58.16,   60.49,   54.02,   62.12,   63.90,   58.68
09/08/2013 08:10:00,   56.68,   59.45,   52.54,   60.53,   62.62,   57.42
09/08/2013 08:15:00,   56.56,   59.83,   52.37,   61.97,   65.60,   57.02
09/08/2013 08:20:00,   56.54,   59.36,   51.68,   61.29,   64.23,   57.17
09/08/2013 08:25:00,   56.58,   60.16,   51.44,   60.39,   63.57,   55.31
09/08/2013 08:30:00,   56.95,   60.25,   52.91,   60.53,   63.64,   56.79
09/08/2013 08:35:00,   56.67,   59.71,   52.37,   60.42,   62.94,   56.17
09/08/2013 08:40:00,   56.42,   59.67,   52.13,   61.25,   64.21,   56.71
09/08/2013 08:45:00,   55.58,   58.58,   51.82,   59.47,   61.92,   55.66
09/08/2013 08:50:00,   57.66,   61.08,   53.43,   60.96,   63.70,   56.98
09/08/2013 08:55:00,   55.98,   58.55,   52.01,   61.79,   64.84,   57.08
09/08/2013 09:00:00,   57.53,   60.99,   52.61,   61.00,   64.42,   56.35
09/08/2013 09:05:00,   57.72,   60.32,   53.65,   62.09,   64.89,   57.49
09/08/2013 09:10:00,   57.72,   60.37,   53.50,   62.38,   65.65,   56.71
09/08/2013 09:15:00,   56.72,   59.68,   52.21,   60.60,   63.85,   56.11
09/08/2013 09:20:00,   56.96,   59.14,   53.51,   61.28,   63.79,   57.73
09/08/2013 09:25:00,   56.27,   59.30,   51.49,   60.06,   62.37,   55.46
09/08/2013 09:30:00,   57.11,   61.09,   51.98,   62.28,   66.99,   56.63
09/08/2013 09:35:00,   56.35,   58.84,   52.80,   60.31,   62.48,   56.18
09/08/2013 09:40:00,   56.23,   58.92,   52.12,   60.35,   63.21,   55.99
09/08/2013 09:45:00,   57.47,   60.17,   53.32,   61.10,   63.56,   57.66
09/08/2013 09:50:00,   56.74,   58.95,   52.75,   61.04,   63.51,   56.69
09/08/2013 09:55:00,   56.26,   58.80,   52.88,   60.96,   63.73,   57.58
09/08/2013 10:00:00,   56.70,   59.65,   52.41,   60.51,   63.42,   56.17
09/08/2013 10:05:00,   57.48,   60.21,   51.86,   61.07,   64.03,   55.72
09/08/2013 10:10:00,   55.53,   58.80,   51.17,   59.26,   62.26,   55.07
09/08/2013 10:15:00,   54.67,   57.85,   50.17,   59.48,   62.66,   54.92
09/08/2013 10:20:00,   56.36,   59.48,   51.20,   60.71,   63.78,   55.64
09/08/2013 10:25:00,   55.79,   58.48,   51.51,   60.67,   63.56,   55.77
09/08/2013 10:30:00,   56.60,   59.55,   52.04,   60.70,   63.85,   56.33
09/08/2013 10:35:00,   55.50,   58.72,   50.78,   59.56,   62.48,   55.60
09/08/2013 10:40:00,   56.18,   59.16,   51.32,   60.66,   64.01,   56.10
09/08/2013 10:45:00,   56.34,   58.84,   50.67,   60.19,   62.79,   55.33
09/08/2013 10:50:00,   56.28,   58.69,   52.53,   61.22,   64.22,   57.19
09/08/2013 10:55:00,   56.69,   59.53,   52.73,   60.43,   63.55,   56.71
09/08/2013 11:00:00,   56.99,   59.44,   52.42,   61.72,   64.73,   57.20
09/08/2013 11:05:00,   56.76,   59.16,   52.90,   61.42,   64.61,   56.93
09/08/2013 11:10:00,   55.75,   58.75,   51.63,   59.97,   62.35,   55.87
09/08/2013 11:15:00,   57.32,   59.65,   52.76,   61.19,   63.99,   57.01
09/08/2013 11:20:00,   57.30,   59.98,   53.85,   61.50,   64.26,   57.47
09/08/2013 11:25:00,   55.10,   58.21,   51.00,   60.02,   63.00,   55.41
