# noise_analysis run from DCC-NOISE-001003 at Sat Aug 10 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
10/08/2013 00:05:00,   51.98,   56.87,   44.23,   54.52,   58.51,   48.25
10/08/2013 00:10:00,   51.17,   55.92,   43.82,   53.60,   58.05,   47.78
10/08/2013 00:15:00,   50.32,   56.09,   43.56,   53.44,   59.44,   46.90
10/08/2013 00:20:00,   52.61,   58.00,   43.95,   56.72,   63.35,   47.22
10/08/2013 00:25:00,   50.50,   54.68,   43.86,   53.64,   57.67,   47.56
10/08/2013 00:30:00,   51.33,   55.97,   44.46,   54.81,   59.37,   48.37
10/08/2013 00:35:00,   50.82,   55.71,   43.57,   54.35,   58.84,   47.33
10/08/2013 00:40:00,   49.78,   54.35,   42.61,   52.58,   56.80,   46.51
10/08/2013 00:45:00,   51.85,   55.53,   45.51,   54.52,   58.47,   49.20
10/08/2013 00:50:00,   51.33,   55.49,   44.01,   54.20,   58.11,   47.65
10/08/2013 00:55:00,   50.05,   54.76,   43.96,   52.80,   56.79,   47.48
10/08/2013 01:00:00,   50.51,   55.13,   43.56,   53.23,   57.48,   46.91
10/08/2013 01:05:00,   51.01,   57.24,   42.80,   53.86,   59.25,   46.71
10/08/2013 01:10:00,   50.84,   55.42,   43.18,   53.56,   57.93,   46.93
10/08/2013 01:15:00,   51.49,   57.06,   42.26,   54.39,   59.69,   45.57
10/08/2013 01:20:00,   52.15,   57.14,   44.47,   55.22,   59.17,   49.18
10/08/2013 01:25:00,   51.59,   57.09,   43.33,   53.86,   58.40,   47.76
10/08/2013 01:30:00,   53.38,   57.59,   45.26,   55.87,   60.11,   48.83
10/08/2013 01:35:00,   48.10,   53.80,   41.46,   51.02,   55.65,   45.61
10/08/2013 01:40:00,   50.38,   54.79,   43.69,   53.00,   56.75,   47.39
10/08/2013 01:45:00,   49.99,   55.71,   41.16,   52.02,   57.57,   45.30
10/08/2013 01:50:00,   48.34,   53.63,   41.42,   50.65,   55.10,   44.91
10/08/2013 01:55:00,   51.08,   56.40,   41.30,   53.28,   58.46,   44.53
10/08/2013 02:00:00,   50.34,   55.48,   42.25,   52.78,   57.63,   45.56
10/08/2013 02:05:00,   47.13,   54.18,   39.99,   49.94,   55.33,   44.57
10/08/2013 02:10:00,   48.82,   54.81,   41.14,   51.46,   57.43,   45.30
10/08/2013 02:15:00,   49.44,   55.37,   39.96,   52.25,   57.93,   43.88
10/08/2013 02:20:00,   50.30,   56.47,   41.49,   52.66,   58.08,   45.45
10/08/2013 02:25:00,   48.33,   54.59,   40.62,   50.75,   56.76,   43.78
10/08/2013 02:30:00,   51.23,   56.75,   43.68,   54.03,   59.22,   46.81
10/08/2013 02:35:00,   48.82,   54.55,   40.95,   52.53,   57.81,   44.47
10/08/2013 02:40:00,   47.21,   52.50,   40.43,   49.74,   54.58,   44.40
10/08/2013 02:45:00,   45.36,   50.21,   39.52,   48.36,   53.31,   43.63
10/08/2013 02:50:00,   47.68,   54.23,   39.89,   50.21,   55.70,   44.07
10/08/2013 02:55:00,   48.68,   56.07,   40.37,   51.17,   58.07,   44.27
10/08/2013 03:00:00,   49.64,   55.05,   41.63,   51.69,   57.17,   45.74
10/08/2013 03:05:00,   49.57,   56.29,   40.86,   51.79,   57.97,   45.21
10/08/2013 03:10:00,   48.07,   55.04,   40.54,   50.78,   56.27,   44.94
10/08/2013 03:15:00,   51.01,   56.37,   41.83,   53.66,   58.47,   45.72
10/08/2013 03:20:00,   50.39,   55.11,   44.02,   53.06,   57.74,   46.91
10/08/2013 03:25:00,   45.96,   49.54,   40.94,   50.43,   55.04,   45.44
10/08/2013 03:30:00,   49.85,   56.62,   40.92,   52.45,   58.44,   45.44
10/08/2013 03:35:00,   47.65,   55.26,   38.41,   49.77,   56.53,   42.31
10/08/2013 03:40:00,   47.92,   53.84,   40.34,   50.20,   55.83,   43.87
10/08/2013 03:45:00,   48.71,   55.16,   40.71,   50.36,   56.47,   43.53
10/08/2013 03:50:00,   46.54,   52.44,   40.61,   49.49,   55.07,   44.40
10/08/2013 03:55:00,   48.32,   53.39,   43.12,   50.99,   55.62,   46.62
10/08/2013 04:00:00,   46.72,   52.44,   42.20,   49.77,   54.55,   46.24
10/08/2013 04:05:00,   48.83,   55.15,   41.42,   50.97,   57.17,   45.08
10/08/2013 04:10:00,   47.56,   52.89,   41.96,   49.90,   54.56,   45.57
10/08/2013 04:15:00,   47.78,   53.63,   41.91,   50.73,   56.08,   45.59
10/08/2013 04:20:00,   48.21,   53.34,   41.28,   50.52,   54.89,   45.31
10/08/2013 04:25:00,   48.04,   53.61,   40.75,   50.22,   55.56,   44.56
10/08/2013 04:30:00,   48.08,   54.00,   41.66,   51.37,   56.93,   45.18
10/08/2013 04:35:00,   46.86,   51.15,   41.64,   49.51,   53.93,   44.77
10/08/2013 04:40:00,   48.53,   54.78,   41.20,   50.28,   55.59,   44.20
10/08/2013 04:45:00,   47.01,   52.17,   42.05,   49.72,   53.90,   45.43
10/08/2013 04:50:00,   50.75,   56.60,   42.90,   54.05,   59.64,   46.59
10/08/2013 04:55:00,   49.01,   54.52,   41.58,   51.19,   55.79,   45.06
10/08/2013 05:00:00,   48.27,   53.33,   42.56,   50.51,   54.94,   46.16
10/08/2013 05:05:00,   49.84,   56.17,   42.38,   51.64,   57.60,   45.94
10/08/2013 05:10:00,   49.30,   54.44,   43.05,   51.71,   56.61,   46.74
10/08/2013 05:15:00,   49.67,   54.84,   43.48,   52.67,   57.55,   47.09
10/08/2013 05:20:00,   50.76,   55.27,   44.60,   54.47,   59.00,   48.27
10/08/2013 05:25:00,   52.01,   57.38,   43.68,   54.35,   59.88,   47.27
10/08/2013 05:30:00,   53.41,   59.83,   43.52,   58.23,   64.99,   47.44
10/08/2013 05:35:00,   49.98,   56.18,   43.44,   52.45,   57.93,   47.20
10/08/2013 05:40:00,   50.71,   56.09,   42.60,   54.44,   59.07,   46.13
10/08/2013 05:45:00,   49.40,   54.64,   42.37,   53.36,   59.04,   46.38
10/08/2013 05:50:00,   51.73,   58.11,   44.17,   56.69,   62.60,   48.76
10/08/2013 05:55:00,   51.20,   56.33,   44.65,   53.33,   57.57,   48.04
10/08/2013 06:00:00,   52.68,   56.43,   46.27,   57.39,   62.06,   50.50
10/08/2013 06:05:00,   52.07,   57.40,   44.69,   56.45,   61.47,   48.65
10/08/2013 06:10:00,   49.79,   55.91,   43.73,   53.69,   58.89,   47.43
10/08/2013 06:15:00,   51.98,   57.04,   44.83,   55.29,   59.82,   49.25
10/08/2013 06:20:00,   50.58,   56.68,   42.99,   54.60,   59.72,   47.20
10/08/2013 06:25:00,   50.51,   55.71,   43.65,   55.15,   59.20,   48.84
10/08/2013 06:30:00,   53.31,   59.26,   42.99,   56.82,   61.91,   47.81
10/08/2013 06:35:00,   55.67,   60.94,   45.41,   60.35,   67.65,   49.56
10/08/2013 06:40:00,   51.81,   56.99,   44.11,   56.24,   60.82,   49.22
10/08/2013 06:45:00,   51.29,   56.64,   44.91,   56.10,   60.53,   49.54
10/08/2013 06:50:00,   53.58,   57.59,   45.97,   58.09,   62.31,   50.46
10/08/2013 06:55:00,   52.89,   57.50,   46.24,   57.52,   61.83,   50.28
10/08/2013 07:00:00,   54.69,   58.44,   48.15,   58.65,   61.47,   51.25
10/08/2013 07:05:00,   54.61,   58.57,   47.44,   59.73,   63.44,   51.82
10/08/2013 07:10:00,   54.88,   59.98,   47.59,   58.76,   63.75,   51.54
10/08/2013 07:15:00,   55.42,   60.70,   46.48,   57.51,   62.09,   50.29
10/08/2013 07:20:00,   53.93,   58.60,   47.03,   57.47,   61.21,   50.61
10/08/2013 07:25:00,   52.84,   58.04,   44.90,   55.56,   60.29,   49.12
10/08/2013 07:30:00,   52.54,   57.36,   45.75,   56.73,   61.68,   49.75
10/08/2013 07:35:00,   53.59,   58.18,   47.16,   56.70,   61.70,   50.45
10/08/2013 07:40:00,   50.53,   54.26,   44.11,   53.40,   57.29,   47.86
10/08/2013 07:45:00,   52.95,   56.97,   45.87,   56.00,   59.77,   49.30
10/08/2013 07:50:00,   53.79,   57.61,   47.94,   57.55,   61.29,   52.44
10/08/2013 07:55:00,   52.75,   57.12,   45.63,   55.27,   59.58,   48.70
10/08/2013 08:00:00,   52.89,   56.32,   46.89,   56.13,   60.01,   49.90
10/08/2013 08:05:00,   53.03,   57.05,   45.50,   56.99,   61.23,   49.30
10/08/2013 08:10:00,   53.39,   57.01,   48.14,   56.51,   60.32,   50.47
10/08/2013 08:15:00,   53.49,   57.51,   47.30,   57.38,   61.54,   50.25
10/08/2013 08:20:00,   54.10,   58.03,   48.55,   57.00,   61.14,   51.42
10/08/2013 08:25:00,   54.23,   57.89,   47.60,   58.12,   62.78,   51.56
10/08/2013 08:30:00,   54.33,   57.83,   48.29,   57.48,   61.18,   51.88
10/08/2013 08:35:00,   54.79,   58.67,   49.26,   57.38,   60.42,   52.89
10/08/2013 08:40:00,   54.59,   58.04,   49.08,   59.28,   63.88,   52.75
10/08/2013 08:45:00,   54.63,   57.91,   49.06,   57.17,   60.02,   52.05
10/08/2013 08:50:00,   55.38,   59.14,   49.77,   60.12,   64.66,   55.44
10/08/2013 08:55:00,   55.13,   58.86,   48.43,   58.89,   61.66,   52.22
10/08/2013 09:00:00,   54.07,   57.78,   49.01,   58.63,   62.15,   53.03
10/08/2013 09:05:00,   55.38,   59.18,   49.40,   58.94,   62.37,   52.99
10/08/2013 09:10:00,   55.51,   59.19,   48.15,   59.71,   62.50,   51.39
10/08/2013 09:15:00,   54.18,   58.06,   47.94,   57.43,   60.83,   51.56
10/08/2013 09:20:00,   54.94,   58.17,   50.71,   58.62,   61.96,   54.62
10/08/2013 09:25:00,   55.49,   59.02,   50.96,   59.54,   63.11,   54.26
10/08/2013 09:30:00,   54.92,   58.41,   49.26,   58.59,   61.43,   53.33
10/08/2013 09:35:00,   54.51,   58.01,   49.29,   57.80,   61.21,   52.33
10/08/2013 09:40:00,   55.17,   58.48,   50.26,   59.14,   62.37,   54.69
10/08/2013 09:45:00,   54.39,   57.49,   50.18,   57.76,   60.35,   53.38
10/08/2013 09:50:00,   58.37,   62.03,   51.16,   60.71,   64.89,   54.62
10/08/2013 09:55:00,   54.81,   57.73,   49.91,   57.92,   60.54,   53.68
10/08/2013 10:00:00,   54.84,   58.38,   49.77,   58.14,   61.43,   52.97
10/08/2013 10:05:00,   54.90,   58.30,   49.44,   59.49,   62.23,   54.10
10/08/2013 10:10:00,   54.95,   58.31,   50.41,   59.26,   62.25,   54.03
10/08/2013 10:15:00,   54.94,   58.43,   48.87,   58.95,   61.95,   51.84
10/08/2013 10:20:00,   56.70,   59.86,   50.13,   60.50,   64.09,   52.91
10/08/2013 10:25:00,   53.67,   56.90,   49.03,   57.24,   60.14,   52.43
10/08/2013 10:30:00,   55.21,   58.20,   50.16,   59.20,   62.77,   53.78
10/08/2013 10:35:00,   55.85,   58.37,   50.96,   59.65,   62.32,   55.72
10/08/2013 10:40:00,   55.67,   59.25,   51.00,   59.72,   63.61,   54.56
10/08/2013 10:45:00,   54.25,   57.38,   48.64,   58.89,   62.08,   54.46
10/08/2013 10:50:00,   55.44,   58.63,   50.11,   60.18,   63.48,   54.73
10/08/2013 10:55:00,   55.26,   58.35,   49.58,   59.98,   62.69,   54.71
10/08/2013 11:00:00,   53.74,   56.58,   49.27,   58.40,   60.64,   54.33
10/08/2013 11:05:00,   54.23,   56.97,   49.92,   58.70,   61.87,   53.34
10/08/2013 11:10:00,   54.87,   57.74,   49.87,   59.06,   62.42,   54.01
10/08/2013 11:15:00,   56.28,   59.32,   51.26,   60.24,   63.12,   55.40
10/08/2013 11:20:00,   55.16,   58.35,   49.73,   60.72,   64.68,   55.10
10/08/2013 11:25:00,   54.20,   56.72,   49.76,   58.10,   60.34,   53.62
10/08/2013 11:30:00,   56.35,   58.75,   52.15,   59.58,   61.98,   55.92
10/08/2013 11:35:00,   55.75,   58.44,   50.73,   59.53,   62.35,   54.26
10/08/2013 11:40:00,   54.02,   56.89,   49.36,   58.82,   61.36,   54.62
10/08/2013 11:45:00,   55.06,   57.87,   50.57,   60.69,   63.47,   56.21
10/08/2013 11:50:00,   56.09,   58.94,   50.66,   60.17,   63.72,   54.90
10/08/2013 11:55:00,   55.49,   58.39,   48.77,   59.13,   62.36,   53.12
10/08/2013 12:00:00,   54.98,   58.25,   48.15,   58.41,   61.60,   52.45
10/08/2013 12:05:00,   56.23,   58.30,   50.23,   59.67,   62.00,   54.20
10/08/2013 12:10:00,   54.97,   57.62,   49.99,   58.25,   60.29,   53.71
10/08/2013 12:15:00,   55.50,   58.39,   50.78,   60.18,   63.10,   55.31
10/08/2013 12:20:00,   55.82,   58.04,   50.68,   59.99,   62.29,   55.53
