# noise_analysis run from DCC-NOISE-001003 at Sun Aug 11 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
11/08/2013 00:05:00,   53.21,   57.17,   47.10,   56.04,   59.94,   50.29
11/08/2013 00:10:00,   52.06,   55.92,   46.12,   54.41,   58.11,   49.14
11/08/2013 00:15:00,   52.70,   57.51,   46.28,   55.13,   59.78,   49.01
11/08/2013 00:20:00,   51.32,   55.73,   45.90,   53.40,   57.24,   48.01
11/08/2013 00:25:00,   54.38,   58.51,   46.78,   57.12,   60.66,   49.13
11/08/2013 00:30:00,   52.30,   56.06,   46.98,   55.19,   59.21,   49.83
11/08/2013 00:35:00,   53.19,   58.92,   45.56,   56.14,   61.67,   48.08
11/08/2013 00:40:00,   53.24,   57.41,   46.85,   56.14,   60.08,   49.49
11/08/2013 00:45:00,   52.75,   56.58,   47.06,   54.90,   58.45,   50.27
11/08/2013 00:50:00,   53.16,   57.67,   47.53,   56.89,   63.17,   50.37
11/08/2013 00:55:00,   53.29,   57.78,   46.86,   55.68,   59.90,   49.65
11/08/2013 01:00:00,   53.98,   57.19,   49.03,   56.42,   60.04,   51.29
11/08/2013 01:05:00,   53.47,   56.78,   48.09,   56.35,   59.49,   51.24
11/08/2013 01:10:00,   51.68,   56.54,   43.78,   54.03,   58.57,   46.30
11/08/2013 01:15:00,   52.93,   57.54,   46.34,   55.12,   59.71,   48.81
11/08/2013 01:20:00,   52.75,   56.42,   47.01,   55.86,   59.79,   50.11
11/08/2013 01:25:00,   53.58,   57.66,   48.47,   56.52,   60.79,   51.22
11/08/2013 01:30:00,   53.18,   57.27,   46.60,   55.93,   60.19,   49.69
11/08/2013 01:35:00,   53.21,   58.11,   46.23,   55.35,   60.12,   48.53
11/08/2013 01:40:00,   52.90,   57.84,   44.77,   54.88,   59.32,   47.03
11/08/2013 01:45:00,   49.69,   55.77,   42.16,   51.95,   57.71,   45.37
11/08/2013 01:50:00,   51.05,   56.10,   44.55,   53.00,   57.76,   47.30
11/08/2013 01:55:00,   51.69,   56.02,   46.08,   53.79,   57.82,   48.61
