# noise_analysis run from DCC-NOISE-001003 at Wed Aug 14 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
14/08/2013 00:05:00,   48.20,   56.22,   37.00,   49.98,   57.14,   41.34
14/08/2013 00:10:00,   47.87,   55.35,   37.13,   49.83,   56.57,   42.01
14/08/2013 00:15:00,   50.75,   56.74,   39.72,   53.75,   59.15,   43.33
14/08/2013 00:20:00,   48.67,   55.40,   38.16,   50.91,   56.89,   42.77
14/08/2013 00:25:00,   45.02,   51.40,   36.98,   48.54,   54.07,   41.20
14/08/2013 00:30:00,   46.85,   54.58,   36.71,   49.48,   56.31,   40.77
14/08/2013 00:35:00,   49.16,   56.94,   36.83,   51.02,   58.28,   41.21
14/08/2013 00:40:00,   46.82,   53.42,   35.85,   50.95,   57.42,   40.77
14/08/2013 00:45:00,   45.66,   53.98,   35.28,   47.87,   55.48,   40.11
14/08/2013 00:50:00,   44.65,   53.74,   34.64,   47.30,   55.51,   39.44
14/08/2013 00:55:00,   43.87,   51.53,   35.07,   46.24,   53.07,   39.52
14/08/2013 01:00:00,   46.66,   54.13,   35.68,   49.33,   56.47,   39.99
14/08/2013 01:05:00,   41.35,   46.16,   33.17,   43.78,   48.21,   37.12
14/08/2013 01:10:00,   40.17,   47.23,   32.84,   42.89,   49.53,   36.42
14/08/2013 01:15:00,   46.00,   53.87,   35.40,   47.82,   54.80,   38.60
14/08/2013 01:20:00,   40.03,   44.43,   33.56,   42.93,   46.09,   37.89
14/08/2013 01:25:00,   44.18,   50.24,   35.22,   46.86,   52.82,   39.53
14/08/2013 01:30:00,   44.04,   52.45,   33.62,   46.48,   53.96,   38.52
14/08/2013 01:35:00,   42.91,   48.14,   34.00,   45.35,   50.11,   38.58
14/08/2013 01:40:00,   44.95,   52.88,   34.75,   47.60,   55.48,   39.17
14/08/2013 01:45:00,   42.76,   50.01,   35.14,   45.57,   52.87,   39.99
14/08/2013 01:50:00,   40.80,   48.33,   33.28,   43.54,   51.09,   37.80
14/08/2013 01:55:00,   43.39,   51.18,   34.33,   46.32,   53.35,   39.11
14/08/2013 02:00:00,   39.32,   43.65,   33.94,   42.50,   45.48,   38.92
14/08/2013 02:05:00,   36.67,   38.21,   34.97,   41.07,   41.99,   39.64
14/08/2013 02:10:00,   41.66,   44.78,   35.46,   45.07,   48.17,   40.27
14/08/2013 02:15:00,   42.48,   48.00,   35.57,   45.90,   51.49,   40.35
14/08/2013 02:20:00,   42.84,   49.77,   36.53,   45.53,   51.53,   40.84
14/08/2013 02:25:00,   43.05,   50.07,   36.09,   46.13,   52.22,   40.44
14/08/2013 02:30:00,   41.21,   43.79,   36.37,   44.31,   46.38,   40.40
14/08/2013 02:35:00,   41.94,   45.52,   36.16,   45.13,   48.36,   40.46
14/08/2013 02:40:00,   44.18,   48.23,   37.53,   47.16,   50.49,   41.81
14/08/2013 02:45:00,   39.74,   41.98,   36.52,   43.87,   45.68,   41.17
14/08/2013 02:50:00,   45.56,   51.77,   39.31,   48.45,   54.12,   44.05
14/08/2013 02:55:00,   44.97,   52.37,   38.19,   48.55,   54.19,   43.76
14/08/2013 03:00:00,   43.33,   46.35,   38.49,   47.53,   50.08,   43.39
14/08/2013 03:05:00,   44.25,   50.23,   37.83,   48.14,   53.10,   42.76
14/08/2013 03:10:00,   47.39,   54.67,   38.49,   50.45,   55.95,   43.65
14/08/2013 03:15:00,   45.23,   51.24,   38.59,   49.30,   54.19,   43.62
14/08/2013 03:20:00,   44.39,   49.28,   38.97,   47.89,   52.15,   43.80
14/08/2013 03:25:00,   44.51,   51.92,   37.71,   48.25,   54.67,   42.62
14/08/2013 03:30:00,   43.07,   47.30,   37.99,   46.65,   50.39,   42.72
14/08/2013 03:35:00,   41.99,   44.64,   37.49,   46.25,   48.83,   42.43
