# noise_analysis run from DCC-NOISE-001003 at Mon Aug 19 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
19/08/2013 00:05:00,   51.86,   56.24,   45.19,   54.50,   58.39,   49.05
19/08/2013 00:10:00,   50.71,   56.12,   42.41,   52.96,   57.96,   46.46
19/08/2013 00:15:00,   51.63,   56.41,   45.52,   53.97,   57.85,   49.30
19/08/2013 00:20:00,   52.32,   58.06,   44.92,   54.60,   59.80,   48.52
19/08/2013 00:25:00,   50.32,   56.65,   42.56,   52.40,   57.83,   46.43
19/08/2013 00:30:00,   50.40,   56.18,   43.21,   53.06,   57.80,   46.77
19/08/2013 00:35:00,   50.51,   56.74,   42.80,   52.87,   58.33,   46.22
19/08/2013 00:40:00,   48.31,   54.34,   41.95,   50.89,   56.30,   45.86
19/08/2013 00:45:00,   48.97,   55.37,   41.31,   51.74,   57.10,   45.61
19/08/2013 00:50:00,   49.98,   55.56,   41.01,   52.61,   57.56,   45.55
19/08/2013 00:55:00,   49.48,   55.48,   41.43,   52.48,   57.88,   45.94
19/08/2013 01:00:00,   47.61,   53.79,   40.25,   50.03,   55.29,   44.32
19/08/2013 01:05:00,   47.56,   53.04,   40.72,   50.50,   54.87,   44.81
19/08/2013 01:10:00,   50.23,   55.86,   41.24,   52.29,   57.72,   44.90
19/08/2013 01:15:00,   45.96,   50.25,   38.88,   48.93,   53.65,   43.64
19/08/2013 01:20:00,   48.07,   54.59,   39.91,   50.60,   56.29,   44.67
19/08/2013 01:25:00,   49.51,   55.92,   40.98,   51.55,   57.59,   44.71
19/08/2013 01:30:00,   45.57,   51.83,   38.53,   48.66,   54.03,   43.04
19/08/2013 01:35:00,   46.33,   51.85,   38.74,   49.04,   54.21,   43.48
19/08/2013 01:40:00,   47.72,   54.01,   38.99,   49.89,   54.50,   43.81
19/08/2013 01:45:00,   47.11,   53.50,   40.59,   49.55,   55.09,   44.56
19/08/2013 01:50:00,   44.14,   46.47,   39.35,   47.75,   49.65,   43.92
19/08/2013 01:55:00,   45.53,   49.91,   39.16,   48.92,   53.52,   43.71
19/08/2013 02:00:00,   45.02,   49.94,   38.24,   47.94,   52.44,   43.50
19/08/2013 02:05:00,   50.41,   56.12,   41.49,   54.88,   61.14,   45.64
19/08/2013 02:10:00,   45.51,   51.29,   38.73,   48.09,   52.85,   43.09
19/08/2013 02:15:00,   46.84,   53.26,   39.82,   49.29,   54.54,   44.02
19/08/2013 02:20:00,   43.46,   48.60,   39.09,   46.82,   50.57,   43.37
19/08/2013 02:25:00,   47.62,   53.78,   40.48,   50.05,   55.25,   44.26
19/08/2013 02:30:00,   43.74,   45.57,   40.74,   47.22,   48.99,   44.79
19/08/2013 02:35:00,   46.64,   51.38,   40.90,   50.22,   55.32,   45.00
19/08/2013 02:40:00,   46.40,   52.01,   40.24,   49.87,   54.73,   44.36
19/08/2013 02:45:00,   48.99,   54.91,   41.65,   51.64,   57.05,   46.15
19/08/2013 02:50:00,   47.63,   52.79,   41.58,   50.41,   54.36,   45.29
19/08/2013 02:55:00,   50.64,   57.46,   42.85,   53.53,   59.62,   47.00
19/08/2013 03:00:00,   47.41,   53.16,   42.47,   50.45,   55.14,   46.74
19/08/2013 03:05:00,   47.58,   52.60,   42.01,   50.99,   55.65,   46.27
19/08/2013 03:10:00,   47.98,   52.60,   41.54,   50.88,   54.63,   46.30
19/08/2013 03:15:00,   46.29,   48.37,   42.73,   50.28,   52.61,   46.59
19/08/2013 03:20:00,   47.47,   51.79,   42.75,   50.89,   53.93,   46.97
19/08/2013 03:25:00,   48.78,   54.52,   43.26,   51.80,   56.21,   47.55
19/08/2013 03:30:00,   48.86,   54.32,   44.54,   51.63,   56.22,   48.14
19/08/2013 03:35:00,   45.61,   48.07,   43.38,   48.82,   50.65,   46.88
19/08/2013 03:40:00,   48.33,   52.49,   44.56,   51.17,   54.59,   48.29
19/08/2013 03:45:00,   48.28,   52.64,   44.71,   52.16,   56.26,   48.71
19/08/2013 03:50:00,   48.00,   51.44,   44.72,   51.70,   54.96,   48.38
19/08/2013 03:55:00,   47.84,   50.20,   45.19,   51.53,   53.79,   49.05
19/08/2013 04:00:00,   49.20,   53.33,   45.26,   53.08,   57.34,   49.09
19/08/2013 04:05:00,   47.16,   49.54,   44.41,   50.19,   52.22,   47.86
19/08/2013 04:10:00,   48.52,   51.66,   45.03,   51.37,   53.92,   48.96
19/08/2013 04:15:00,   46.21,   47.61,   43.96,   49.85,   50.91,   48.10
19/08/2013 04:20:00,   50.41,   54.83,   45.66,   53.80,   57.09,   49.93
19/08/2013 04:25:00,   49.77,   55.17,   44.89,   53.16,   58.28,   48.71
19/08/2013 04:30:00,   49.34,   53.76,   44.19,   52.10,   55.26,   47.84
19/08/2013 04:35:00,   48.31,   52.46,   44.75,   51.38,   55.38,   48.03
19/08/2013 04:40:00,   50.94,   55.62,   45.61,   54.07,   58.15,   48.90
19/08/2013 04:45:00,   50.78,   55.57,   46.12,   53.24,   57.22,   49.59
19/08/2013 04:50:00,   53.44,   58.30,   47.53,   57.24,   63.02,   50.93
19/08/2013 04:55:00,   50.38,   54.31,   46.73,   53.46,   57.22,   50.24
19/08/2013 05:00:00,   50.67,   55.27,   46.32,   53.56,   56.90,   50.03
19/08/2013 05:05:00,   51.77,   57.07,   46.86,   54.80,   58.96,   50.67
19/08/2013 05:10:00,   55.02,   60.37,   48.22,   57.83,   62.54,   51.81
19/08/2013 05:15:00,   51.27,   55.72,   46.63,   54.55,   58.71,   50.23
19/08/2013 05:20:00,   51.96,   55.55,   47.34,   54.70,   58.03,   50.96
19/08/2013 05:25:00,   52.42,   56.35,   48.11,   55.09,   58.26,   51.47
19/08/2013 05:30:00,   54.37,   58.30,   49.77,   57.05,   60.49,   53.19
19/08/2013 05:35:00,   52.68,   55.46,   49.52,   56.34,   59.24,   53.23
19/08/2013 05:40:00,   54.71,   58.62,   49.95,   59.35,   64.14,   53.42
19/08/2013 05:45:00,   53.93,   57.69,   49.53,   56.60,   59.67,   53.13
19/08/2013 05:50:00,   55.68,   59.32,   51.11,   59.96,   65.08,   54.40
19/08/2013 05:55:00,   57.69,   60.20,   51.28,   63.05,   66.23,   54.98
19/08/2013 06:00:00,   57.79,   61.75,   52.33,   62.50,   66.65,   56.83
19/08/2013 06:05:00,   56.53,   61.41,   51.37,   60.43,   65.79,   54.99
19/08/2013 06:10:00,   57.12,   60.47,   52.60,   60.57,   64.12,   56.41
19/08/2013 06:15:00,   57.47,   61.08,   52.35,   60.96,   64.36,   56.24
19/08/2013 06:20:00,   56.00,   59.17,   52.16,   59.04,   61.81,   55.48
19/08/2013 06:25:00,   57.82,   60.45,   53.86,   62.33,   66.17,   57.93
19/08/2013 06:30:00,   57.34,   59.94,   54.10,   61.92,   64.37,   58.92
19/08/2013 06:35:00,   57.59,   60.44,   54.23,   61.70,   63.78,   58.69
19/08/2013 06:40:00,   57.46,   60.53,   53.68,   61.62,   64.23,   58.44
19/08/2013 06:45:00,   57.72,   60.79,   53.60,   62.12,   65.11,   58.15
19/08/2013 06:50:00,   57.49,   60.40,   53.46,   61.39,   63.76,   58.29
19/08/2013 06:55:00,   57.99,   61.46,   52.79,   62.98,   67.40,   57.87
19/08/2013 07:00:00,   57.30,   59.68,   53.61,   62.04,   64.31,   58.66
19/08/2013 07:05:00,   58.93,   62.81,   54.49,   63.04,   67.05,   59.08
19/08/2013 07:10:00,   59.07,   61.67,   55.48,   63.58,   66.30,   60.36
19/08/2013 07:15:00,   58.71,   61.96,   54.50,   62.85,   66.64,   58.81
