# noise_analysis run from DCC-NOISE-001003 at Thu Aug 22 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
22/08/2013 00:05:00,   51.81,   56.47,   43.79,   55.62,   59.82,   47.25
22/08/2013 00:10:00,   49.35,   54.91,   41.87,   51.78,   56.62,   45.39
22/08/2013 00:15:00,   49.88,   56.52,   42.44,   52.01,   57.73,   45.92
22/08/2013 00:20:00,   50.94,   55.38,   42.98,   54.12,   59.87,   46.69
22/08/2013 00:25:00,   50.57,   56.27,   43.20,   52.64,   58.11,   46.66
22/08/2013 00:30:00,   51.69,   57.12,   42.91,   53.66,   57.96,   46.31
22/08/2013 00:35:00,   51.03,   56.23,   42.88,   52.94,   57.61,   46.60
22/08/2013 00:40:00,   53.05,   59.41,   44.06,   55.24,   60.63,   47.17
22/08/2013 00:45:00,   50.47,   56.66,   41.10,   52.89,   57.87,   44.73
22/08/2013 00:50:00,   49.49,   56.65,   40.51,   51.60,   58.66,   43.48
22/08/2013 00:55:00,   48.72,   55.25,   39.62,   51.17,   56.74,   43.59
22/08/2013 01:00:00,   49.38,   55.39,   42.34,   51.84,   56.76,   46.40
22/08/2013 01:05:00,   50.18,   55.36,   41.95,   52.35,   56.65,   46.27
22/08/2013 01:10:00,   51.63,   56.83,   44.11,   53.80,   59.09,   47.57
22/08/2013 01:15:00,   46.17,   52.42,   40.04,   49.09,   54.31,   44.14
22/08/2013 01:20:00,   47.85,   54.23,   39.22,   50.89,   56.77,   43.61
22/08/2013 01:25:00,   50.23,   57.68,   40.04,   55.13,   62.80,   43.81
22/08/2013 01:30:00,   48.70,   54.30,   42.14,   50.61,   55.86,   45.07
22/08/2013 01:35:00,   47.99,   54.13,   40.24,   50.29,   56.34,   43.87
22/08/2013 01:40:00,   49.70,   54.58,   42.00,   51.70,   56.16,   45.12
22/08/2013 01:45:00,   44.33,   49.28,   38.13,   47.23,   51.54,   42.33
22/08/2013 01:50:00,   43.74,   48.10,   37.76,   46.61,   49.97,   41.49
22/08/2013 01:55:00,   48.48,   55.45,   37.53,   50.66,   56.78,   41.80
22/08/2013 02:00:00,   45.94,   53.45,   38.09,   49.34,   56.19,   42.26
22/08/2013 02:05:00,   42.53,   47.65,   37.08,   45.86,   49.54,   41.76
22/08/2013 02:10:00,   47.89,   55.68,   39.22,   50.35,   56.97,   43.33
22/08/2013 02:15:00,   47.86,   54.95,   39.48,   49.77,   56.38,   43.61
22/08/2013 02:20:00,   46.55,   53.03,   38.45,   49.20,   55.05,   43.24
22/08/2013 02:25:00,   42.10,   44.35,   37.11,   45.71,   48.18,   42.27
22/08/2013 02:30:00,   42.64,   47.40,   36.14,   45.86,   49.34,   41.30
22/08/2013 02:35:00,   41.94,   47.21,   35.97,   45.21,   49.61,   40.46
22/08/2013 02:40:00,   40.46,   43.57,   36.87,   45.30,   47.27,   42.34
22/08/2013 02:45:00,   40.63,   42.64,   36.00,   44.20,   45.73,   40.83
22/08/2013 02:50:00,   41.48,   45.75,   35.60,   45.10,   48.21,   40.54
22/08/2013 02:55:00,   45.21,   52.24,   35.51,   48.15,   55.03,   41.32
22/08/2013 03:00:00,   45.26,   53.55,   37.05,   47.70,   54.86,   41.30
22/08/2013 03:05:00,   42.47,   48.05,   36.15,   45.44,   49.79,   40.01
22/08/2013 03:10:00,   44.19,   50.93,   36.17,   47.45,   53.90,   40.70
22/08/2013 03:15:00,   40.94,   44.12,   35.26,   43.69,   46.37,   39.42
22/08/2013 03:20:00,   40.98,   48.01,   34.81,   44.21,   49.28,   39.79
22/08/2013 03:25:00,   40.05,   43.49,   35.22,   43.29,   46.01,   38.93
22/08/2013 03:30:00,   42.81,   48.52,   35.34,   45.85,   50.63,   40.06
22/08/2013 03:35:00,   39.51,   40.77,   34.53,   42.43,   43.95,   37.99
22/08/2013 03:40:00,   43.29,   50.24,   35.42,   46.16,   52.03,   40.02
22/08/2013 03:45:00,   47.85,   54.40,   37.73,   49.59,   55.64,   41.90
22/08/2013 03:50:00,   40.65,   46.69,   33.66,   44.21,   50.69,   37.26
22/08/2013 03:55:00,   45.29,   51.47,   34.52,   48.25,   54.93,   38.15
22/08/2013 04:00:00,   44.71,   51.38,   35.55,   47.39,   53.89,   40.57
22/08/2013 04:05:00,   44.27,   51.47,   35.64,   47.58,   53.37,   40.51
22/08/2013 04:10:00,   41.53,   45.29,   35.31,   44.36,   47.57,   39.02
22/08/2013 04:15:00,   44.91,   51.57,   36.86,   48.09,   55.26,   40.99
22/08/2013 04:20:00,   44.28,   50.33,   35.19,   46.69,   52.48,   38.80
22/08/2013 04:25:00,   45.52,   54.07,   34.99,   47.94,   55.95,   39.43
22/08/2013 04:30:00,   39.50,   41.67,   35.23,   44.19,   48.26,   39.69
22/08/2013 04:35:00,   47.29,   53.81,   36.95,   49.62,   55.62,   41.44
22/08/2013 04:40:00,   45.25,   52.39,   37.19,   47.80,   54.96,   41.36
22/08/2013 04:45:00,   45.08,   51.87,   37.37,   48.23,   54.14,   41.87
22/08/2013 04:50:00,   41.80,   46.81,   36.69,   45.50,   50.54,   41.59
22/08/2013 04:55:00,   42.20,   46.74,   36.43,   45.65,   48.87,   41.50
22/08/2013 05:00:00,   45.42,   51.74,   37.42,   47.98,   53.97,   41.87
