# noise_analysis run from DCC-NOISE-001003 at Fri Aug 23 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
23/08/2013 00:05:00,   51.34,   56.28,   43.01,   54.19,   58.46,   48.00
23/08/2013 00:10:00,   50.58,   57.10,   39.67,   53.28,   58.76,   45.26
23/08/2013 00:15:00,   52.36,   57.32,   41.78,   54.97,   60.02,   47.25
23/08/2013 00:20:00,   50.66,   55.64,   41.31,   53.38,   58.00,   46.42
23/08/2013 00:25:00,   50.69,   56.38,   42.84,   53.44,   58.07,   47.43
23/08/2013 00:30:00,   49.32,   54.87,   40.84,   52.08,   56.68,   46.23
23/08/2013 00:35:00,   49.58,   55.98,   41.53,   52.54,   58.27,   46.82
23/08/2013 00:40:00,   49.78,   54.99,   42.48,   53.23,   57.36,   47.28
23/08/2013 00:45:00,   49.34,   54.46,   41.43,   52.63,   57.27,   46.69
23/08/2013 00:50:00,   50.31,   55.84,   42.43,   53.24,   58.35,   47.16
23/08/2013 00:55:00,   51.86,   57.22,   42.81,   54.60,   59.13,   47.06
23/08/2013 01:00:00,   49.61,   55.55,   40.31,   52.92,   58.52,   46.12
23/08/2013 01:05:00,   49.64,   54.86,   41.32,   52.75,   57.28,   46.00
23/08/2013 01:10:00,   49.63,   55.51,   40.62,   52.34,   57.20,   45.73
23/08/2013 01:15:00,   49.38,   54.14,   41.70,   52.47,   56.70,   46.58
23/08/2013 01:20:00,   50.08,   56.26,   40.65,   53.37,   58.96,   46.04
23/08/2013 01:25:00,   47.82,   54.68,   40.02,   50.67,   56.82,   45.32
23/08/2013 01:30:00,   50.98,   56.62,   42.13,   53.45,   58.24,   46.71
23/08/2013 01:35:00,   45.72,   52.44,   38.29,   49.74,   54.89,   45.02
23/08/2013 01:40:00,   48.79,   55.11,   40.14,   51.88,   57.33,   45.45
23/08/2013 01:45:00,   49.16,   55.31,   41.08,   51.70,   56.84,   45.51
23/08/2013 01:50:00,   49.31,   55.59,   40.86,   51.40,   56.86,   45.31
23/08/2013 01:55:00,   48.73,   55.41,   41.41,   51.66,   56.87,   46.95
23/08/2013 02:00:00,   48.40,   54.73,   39.97,   51.45,   56.27,   45.24
23/08/2013 02:05:00,   49.14,   56.05,   39.57,   51.58,   57.53,   44.92
23/08/2013 02:10:00,   47.27,   54.17,   40.09,   50.17,   55.34,   45.32
23/08/2013 02:15:00,   43.87,   48.45,   37.74,   47.33,   50.75,   43.81
23/08/2013 02:20:00,   47.35,   55.22,   39.69,   50.18,   56.32,   45.15
23/08/2013 02:25:00,   47.98,   54.10,   39.25,   51.47,   57.20,   45.51
23/08/2013 02:30:00,   44.48,   46.34,   40.47,   48.77,   50.34,   45.83
23/08/2013 02:35:00,   47.56,   52.84,   41.10,   51.46,   55.62,   47.31
23/08/2013 02:40:00,   49.88,   57.71,   41.62,   52.41,   58.58,   46.88
23/08/2013 02:45:00,   44.00,   45.62,   40.33,   48.89,   50.16,   46.15
23/08/2013 02:50:00,   45.16,   47.84,   41.33,   49.44,   51.10,   46.87
23/08/2013 02:55:00,   45.41,   48.15,   40.45,   49.07,   51.71,   45.79
23/08/2013 03:00:00,   42.88,   43.28,   39.30,   47.77,   49.43,   44.89
23/08/2013 03:05:00,   45.44,   50.82,   39.23,   48.94,   53.61,   44.46
23/08/2013 03:10:00,   47.60,   55.47,   38.92,   50.26,   57.21,   43.75
23/08/2013 03:15:00,   46.20,   52.97,   38.33,   49.42,   55.85,   43.30
23/08/2013 03:20:00,   47.41,   52.98,   39.57,   50.99,   56.41,   44.40
23/08/2013 03:25:00,   47.68,   54.23,   41.97,   51.04,   55.52,   46.70
23/08/2013 03:30:00,   46.20,   50.54,   41.76,   50.49,   53.85,   46.80
23/08/2013 03:35:00,   47.15,   52.51,   41.14,   50.53,   55.11,   46.51
23/08/2013 03:40:00,   48.00,   53.94,   41.64,   50.82,   55.34,   46.62
23/08/2013 03:45:00,   48.56,   54.44,   41.91,   51.50,   56.42,   46.81
23/08/2013 03:50:00,   50.58,   56.60,   43.56,   53.73,   58.68,   47.57
23/08/2013 03:55:00,   46.77,   52.73,   40.86,   50.60,   55.36,   45.84
23/08/2013 04:00:00,   48.65,   55.31,   41.02,   51.79,   57.78,   46.27
23/08/2013 04:05:00,   46.99,   54.17,   39.60,   50.02,   55.52,   45.10
23/08/2013 04:10:00,   42.58,   44.40,   40.00,   47.07,   48.27,   45.30
23/08/2013 04:15:00,   47.56,   53.59,   40.30,   51.30,   56.62,   45.74
23/08/2013 04:20:00,   45.39,   50.54,   40.09,   50.85,   56.38,   45.05
23/08/2013 04:25:00,   46.92,   52.71,   40.06,   50.10,   55.54,   44.92
23/08/2013 04:30:00,   44.22,   49.77,   39.01,   47.81,   51.06,   44.69
23/08/2013 04:35:00,   47.59,   56.01,   38.48,   50.05,   57.49,   43.96
23/08/2013 04:40:00,   47.01,   54.64,   36.89,   50.26,   56.99,   43.01
23/08/2013 04:45:00,   44.44,   49.53,   38.41,   47.52,   50.56,   43.46
23/08/2013 04:50:00,   45.91,   52.11,   38.43,   49.03,   54.41,   43.91
23/08/2013 04:55:00,   46.61,   53.16,   38.48,   49.30,   54.91,   43.84
23/08/2013 05:00:00,   46.67,   53.27,   38.80,   50.16,   55.83,   44.54
23/08/2013 05:05:00,   46.80,   53.37,   38.22,   49.58,   54.77,   43.84
23/08/2013 05:10:00,   46.92,   54.05,   39.05,   49.74,   55.74,   43.98
23/08/2013 05:15:00,   46.59,   54.00,   37.10,   49.45,   55.99,   43.07
23/08/2013 05:20:00,   47.48,   54.60,   37.43,   50.81,   56.98,   43.59
23/08/2013 05:25:00,   45.61,   53.26,   36.92,   49.37,   56.30,   43.22
23/08/2013 05:30:00,   41.95,   48.34,   35.48,   46.20,   50.74,   42.13
23/08/2013 05:35:00,   47.16,   54.00,   37.00,   53.31,   59.94,   43.72
23/08/2013 05:40:00,   49.68,   56.51,   39.12,   53.57,   58.97,   43.97
23/08/2013 05:45:00,   50.47,   56.61,   39.46,   53.23,   57.84,   44.46
23/08/2013 05:50:00,   53.29,   59.10,   42.27,   57.64,   61.81,   47.06
23/08/2013 05:55:00,   49.85,   55.61,   42.56,   51.74,   56.96,   45.25
23/08/2013 06:00:00,   50.90,   55.70,   43.01,   54.21,   58.76,   47.09
23/08/2013 06:05:00,   51.00,   56.74,   42.35,   53.96,   59.01,   46.36
23/08/2013 06:10:00,   48.82,   55.25,   40.63,   51.44,   57.24,   44.95
23/08/2013 06:15:00,   50.92,   56.63,   41.99,   53.99,   59.61,   46.93
23/08/2013 06:20:00,   51.60,   56.33,   44.58,   54.79,   58.62,   48.84
23/08/2013 06:25:00,   53.97,   59.53,   44.60,   57.00,   61.37,   49.17
23/08/2013 06:30:00,   53.13,   58.65,   45.26,   56.68,   62.78,   49.56
23/08/2013 06:35:00,   54.03,   58.21,   46.72,   57.94,   63.63,   51.00
23/08/2013 06:40:00,   52.39,   56.72,   46.59,   54.70,   58.35,   50.24
23/08/2013 06:45:00,   52.04,   56.72,   46.04,   56.10,   60.70,   50.81
23/08/2013 06:50:00,   53.71,   58.54,   45.51,   56.32,   60.48,   49.75
23/08/2013 06:55:00,   52.85,   57.47,   45.53,   56.03,   60.29,   49.92
23/08/2013 07:00:00,   54.02,   58.42,   46.70,   57.57,   61.40,   50.98
23/08/2013 07:05:00,   54.34,   59.73,   45.70,   57.92,   62.06,   49.49
23/08/2013 07:10:00,   54.45,   59.51,   46.11,   57.34,   61.38,   50.38
23/08/2013 07:15:00,   52.56,   56.34,   45.46,   56.14,   59.46,   50.61
23/08/2013 07:20:00,   53.14,   59.55,   44.12,   56.98,   62.07,   48.38
23/08/2013 07:25:00,   53.62,   57.69,   44.03,   57.57,   61.51,   49.40
23/08/2013 07:30:00,   54.65,   59.44,   47.71,   58.81,   62.73,   52.98
23/08/2013 07:35:00,   55.77,   59.63,   49.05,   60.10,   63.57,   53.06
23/08/2013 07:40:00,   55.35,   59.43,   45.84,   59.63,   62.92,   50.86
23/08/2013 07:45:00,   54.95,   59.02,   47.58,   59.83,   62.97,   55.70
23/08/2013 07:50:00,   54.83,   58.26,   48.67,   59.75,   61.91,   56.92
23/08/2013 07:55:00,   55.10,   59.56,   48.70,   59.48,   62.50,   55.85
23/08/2013 08:00:00,   57.16,   61.06,   51.24,   60.42,   64.07,   54.59
23/08/2013 08:05:00,   54.74,   59.07,   47.61,   58.81,   62.78,   52.43
23/08/2013 08:10:00,   61.26,   67.40,   53.12,   63.96,   68.42,   58.64
23/08/2013 08:15:00,   57.63,   61.49,   50.28,   60.60,   63.89,   56.31
