# noise_analysis run from DCC-NOISE-001003 at Tue Aug 27 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
27/08/2013 00:05:00,   52.24,   58.00,   44.27,   54.95,   60.12,   47.86
27/08/2013 00:10:00,   51.02,   56.45,   43.74,   53.17,   58.04,   47.34
27/08/2013 00:15:00,   51.73,   56.63,   46.40,   54.23,   57.88,   49.94
27/08/2013 00:20:00,   50.70,   55.61,   44.99,   54.06,   58.00,   48.76
27/08/2013 00:25:00,   50.37,   55.04,   44.61,   52.97,   56.73,   48.49
27/08/2013 00:30:00,   48.16,   54.65,   42.43,   50.96,   56.62,   46.45
27/08/2013 00:35:00,   48.31,   54.08,   42.71,   50.93,   55.24,   46.66
27/08/2013 00:40:00,   49.63,   54.95,   42.18,   52.37,   57.37,   46.13
27/08/2013 00:45:00,   51.71,   56.57,   44.17,   54.49,   58.83,   48.33
27/08/2013 00:50:00,   51.19,   55.97,   43.70,   53.70,   58.34,   47.44
27/08/2013 00:55:00,   50.56,   56.70,   42.53,   53.26,   58.93,   46.42
27/08/2013 01:00:00,   48.02,   54.57,   42.27,   50.55,   55.97,   46.41
27/08/2013 01:05:00,   50.43,   56.48,   42.33,   52.68,   57.79,   46.22
27/08/2013 01:10:00,   48.20,   54.78,   41.16,   51.74,   57.13,   45.83
27/08/2013 01:15:00,   50.01,   55.90,   43.15,   52.57,   57.89,   47.23
27/08/2013 01:20:00,   51.87,   57.76,   44.32,   53.88,   58.61,   47.61
27/08/2013 01:25:00,   47.37,   51.57,   42.39,   50.35,   53.97,   46.46
27/08/2013 01:30:00,   50.85,   56.64,   42.66,   53.80,   59.03,   47.27
27/08/2013 01:35:00,   49.02,   54.73,   42.57,   51.50,   56.57,   46.70
27/08/2013 01:40:00,   49.89,   56.19,   41.95,   52.31,   58.13,   46.36
27/08/2013 01:45:00,   49.92,   55.77,   42.82,   52.36,   57.73,   46.34
27/08/2013 01:50:00,   47.13,   53.17,   40.70,   49.80,   54.91,   45.05
27/08/2013 01:55:00,   48.39,   54.64,   41.09,   51.22,   56.86,   45.20
27/08/2013 02:00:00,   49.46,   55.28,   41.57,   51.33,   56.05,   45.62
27/08/2013 02:05:00,   47.13,   53.46,   39.37,   49.77,   55.44,   43.61
27/08/2013 02:10:00,   46.31,   51.00,   40.21,   49.24,   52.86,   44.27
27/08/2013 02:15:00,   46.31,   53.64,   38.82,   48.67,   54.42,   43.56
27/08/2013 02:20:00,   45.92,   50.35,   39.69,   48.85,   52.52,   44.02
27/08/2013 02:25:00,   49.16,   55.77,   40.73,   50.87,   56.43,   44.80
27/08/2013 02:30:00,   46.84,   53.82,   38.53,   52.40,   60.21,   43.67
27/08/2013 02:35:00,   44.35,   50.15,   39.30,   48.00,   53.80,   43.45
