# noise_analysis run from DCC-NOISE-001003 at Fri Nov  1 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
01/11/2013 00:05:00,   56.47,   60.36,   50.70,   58.27,   61.53,   53.34
01/11/2013 00:10:00,   56.14,   59.79,   50.49,   58.28,   61.61,   53.42
01/11/2013 00:15:00,   56.30,   59.53,   52.10,   58.70,   61.62,   55.42
01/11/2013 00:20:00,   56.90,   61.15,   51.15,   59.12,   63.21,   53.75
01/11/2013 00:25:00,   53.80,   58.14,   48.62,   56.22,   59.94,   51.90
01/11/2013 00:30:00,   55.05,   60.82,   49.22,   56.64,   61.86,   51.74
01/11/2013 00:35:00,   53.19,   57.02,   48.42,   55.68,   59.23,   51.21
01/11/2013 00:40:00,   55.87,   59.48,   51.02,   58.89,   62.42,   53.71
01/11/2013 00:45:00,   54.08,   58.05,   49.22,   56.08,   59.34,   52.33
01/11/2013 00:50:00,   54.29,   59.55,   48.36,   56.19,   61.24,   51.22
01/11/2013 00:55:00,   52.48,   57.02,   47.47,   54.53,   58.11,   50.30
01/11/2013 01:00:00,   54.88,   60.11,   48.92,   56.96,   61.67,   51.89
01/11/2013 01:07:00,   54.56,   59.12,   48.75,   56.41,   60.92,   51.39
01/11/2013 01:12:00,   53.75,   57.46,   48.58,   55.71,   58.83,   51.52
01/11/2013 01:17:00,   53.96,   57.96,   48.12,   56.86,   60.66,   51.08
01/11/2013 01:22:00,   54.08,   58.48,   48.31,   56.05,   59.52,   51.19
01/11/2013 01:27:00,   54.50,   59.70,   47.60,   56.09,   60.39,   50.89
01/11/2013 01:32:00,   55.07,   59.53,   47.30,   57.15,   61.10,   50.93
01/11/2013 01:37:00,   52.97,   57.56,   47.75,   55.27,   59.02,   50.91
01/11/2013 01:42:00,   52.37,   57.19,   47.14,   54.66,   59.17,   50.20
01/11/2013 01:47:00,   52.15,   57.18,   46.77,   54.23,   58.58,   49.99
01/11/2013 01:52:00,   52.77,   58.09,   46.53,   54.52,   59.06,   49.59
01/11/2013 01:57:00,   52.45,   56.60,   47.25,   54.48,   58.33,   49.86
