# noise_analysis run from DCC-NOISE-001003 at Sat Nov  2 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
02/11/2013 00:05:00,   54.45,   59.02,   47.41,   56.12,   60.39,   50.32
02/11/2013 00:10:00,   53.59,   58.44,   47.35,   55.87,   59.90,   50.29
02/11/2013 00:15:00,   53.92,   58.01,   47.90,   57.46,   60.85,   50.52
02/11/2013 00:20:00,   53.90,   57.58,   47.34,   56.15,   59.65,   50.31
02/11/2013 00:25:00,   53.75,   58.10,   47.96,   57.33,   61.49,   50.61
02/11/2013 00:30:00,   54.33,   60.28,   46.65,   56.89,   61.39,   50.14
02/11/2013 00:35:00,   53.78,   58.71,   47.44,   56.13,   60.08,   50.26
02/11/2013 00:40:00,   54.22,   58.21,   47.59,   57.40,   60.91,   51.35
02/11/2013 00:45:00,   53.91,   58.01,   48.41,   56.24,   60.22,   51.86
02/11/2013 00:50:00,   56.59,   62.07,   47.09,   60.01,   66.17,   49.98
02/11/2013 00:55:00,   60.95,   65.51,   51.10,   64.92,   68.29,   54.12
02/11/2013 01:00:00,   55.96,   60.64,   48.40,   59.35,   63.72,   52.58
02/11/2013 01:07:00,   60.33,   66.90,   50.21,   63.03,   70.74,   53.21
02/11/2013 01:12:00,   58.48,   60.12,   47.96,   62.17,   61.51,   50.30
02/11/2013 01:17:00,   53.67,   59.18,   46.51,   56.22,   60.57,   49.27
02/11/2013 01:22:00,   52.89,   58.93,   44.07,   54.76,   60.25,   47.69
02/11/2013 01:27:00,   54.57,   60.05,   45.13,   56.05,   61.03,   47.89
02/11/2013 01:32:00,   55.40,   61.05,   48.48,   57.35,   62.78,   51.36
02/11/2013 01:37:00,   54.94,   59.84,   47.60,   56.58,   61.04,   50.49
02/11/2013 01:42:00,   55.71,   59.89,   49.11,   57.71,   61.90,   51.86
02/11/2013 01:47:00,   54.07,   59.47,   46.34,   55.98,   60.89,   49.19
02/11/2013 01:52:00,   52.96,   59.14,   44.28,   54.51,   60.13,   47.85
02/11/2013 01:57:00,   53.72,   58.86,   44.54,   55.72,   60.93,   48.00
02/11/2013 02:02:00,   52.47,   58.52,   44.96,   54.30,   59.45,   48.53
02/11/2013 02:07:00,   52.94,   57.72,   46.79,   55.44,   59.73,   50.11
02/11/2013 02:12:00,   53.84,   59.82,   44.64,   56.80,   61.65,   48.11
02/11/2013 02:17:00,   53.12,   57.72,   46.78,   55.37,   59.95,   49.76
02/11/2013 02:22:00,   54.19,   59.95,   44.58,   56.50,   61.42,   48.40
02/11/2013 02:27:00,   51.04,   55.98,   45.07,   53.41,   57.58,   48.64
02/11/2013 02:32:00,   53.99,   59.60,   46.18,   55.65,   60.79,   49.03
02/11/2013 02:37:00,   50.30,   57.23,   42.29,   52.29,   58.31,   46.25
02/11/2013 02:42:00,   50.60,   57.08,   42.17,   53.27,   59.20,   45.54
02/11/2013 02:47:00,   50.41,   56.94,   41.38,   52.42,   58.55,   44.82
02/11/2013 02:52:00,   51.56,   57.92,   41.22,   52.92,   58.55,   44.46
02/11/2013 02:57:00,   50.37,   56.08,   39.88,   53.00,   58.37,   44.51
02/11/2013 03:02:00,   51.09,   56.60,   40.18,   53.50,   58.31,   44.07
02/11/2013 03:07:00,   49.63,   56.01,   42.46,   51.58,   57.38,   45.86
02/11/2013 03:12:00,   48.83,   55.07,   39.57,   51.10,   57.64,   43.13
02/11/2013 03:17:00,   51.54,   58.19,   41.94,   53.69,   59.74,   45.12
02/11/2013 03:22:00,   48.11,   54.59,   39.90,   50.09,   56.31,   43.71
02/11/2013 03:27:00,   49.90,   55.90,   42.24,   51.63,   56.71,   45.45
02/11/2013 03:32:00,   50.87,   57.35,   43.23,   52.97,   58.64,   46.76
02/11/2013 03:37:00,   48.33,   54.42,   42.75,   51.63,   56.53,   46.36
02/11/2013 03:42:00,   52.04,   59.52,   41.50,   53.57,   60.41,   45.05
02/11/2013 03:47:00,   51.04,   57.43,   41.61,   53.02,   59.00,   45.94
02/11/2013 03:52:00,   51.73,   57.97,   42.20,   53.65,   59.26,   45.88
02/11/2013 03:57:00,   50.47,   56.76,   41.22,   52.47,   58.37,   45.17
02/11/2013 04:02:00,   52.57,   58.97,   42.76,   54.40,   60.32,   46.07
02/11/2013 04:07:00,   49.20,   56.13,   39.95,   51.45,   57.35,   43.71
02/11/2013 04:12:00,   46.01,   52.44,   38.86,   48.93,   55.11,   43.06
02/11/2013 04:17:00,   47.86,   55.15,   39.24,   50.87,   57.38,   43.41
02/11/2013 04:22:00,   50.44,   59.32,   39.53,   51.83,   59.76,   42.83
02/11/2013 04:27:00,   46.90,   54.31,   38.85,   48.98,   55.31,   42.64
