# noise_analysis run from DCC-NOISE-001003 at Sun Nov  3 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
03/11/2013 00:05:00,   55.88,   59.43,   50.40,   58.52,   61.73,   52.89
03/11/2013 00:10:00,   56.49,   60.24,   51.51,   59.17,   62.70,   53.70
03/11/2013 00:15:00,   56.77,   60.52,   50.80,   59.64,   63.27,   53.32
03/11/2013 00:20:00,   56.45,   60.10,   50.76,   58.71,   61.78,   53.42
03/11/2013 00:25:00,   56.41,   59.98,   49.31,   59.10,   62.84,   51.69
03/11/2013 00:30:00,   55.52,   58.86,   51.43,   57.84,   61.20,   53.51
03/11/2013 00:35:00,   55.30,   59.07,   50.97,   57.95,   61.45,   52.95
03/11/2013 00:40:00,   54.82,   58.61,   51.10,   57.01,   60.99,   53.07
03/11/2013 00:45:00,   54.63,   57.78,   50.17,   57.21,   60.03,   52.39
03/11/2013 00:50:00,   55.69,   59.16,   51.01,   57.61,   60.83,   52.87
03/11/2013 00:55:00,   56.08,   59.00,   51.98,   58.44,   61.46,   53.69
03/11/2013 01:00:00,   56.93,   60.05,   52.71,   58.93,   62.56,   54.45
03/11/2013 01:07:00,   56.06,   59.13,   50.77,   57.97,   61.00,   52.74
03/11/2013 01:12:00,   56.00,   59.89,   50.42,   57.91,   61.48,   52.75
03/11/2013 01:17:00,   55.03,   58.52,   49.88,   56.94,   59.99,   52.61
03/11/2013 01:22:00,   56.55,   60.15,   50.69,   59.04,   62.67,   53.68
03/11/2013 01:27:00,   56.76,   61.48,   48.34,   58.37,   62.77,   50.59
03/11/2013 01:32:00,   55.91,   60.49,   50.10,   57.51,   61.77,   52.37
03/11/2013 01:37:00,   55.88,   58.92,   50.91,   58.08,   60.94,   53.14
03/11/2013 01:42:00,   55.38,   59.51,   50.87,   57.32,   61.51,   52.91
03/11/2013 01:47:00,   57.12,   60.61,   50.74,   58.95,   62.22,   53.05
03/11/2013 01:52:00,   56.78,   59.90,   52.45,   58.82,   62.56,   54.62
03/11/2013 01:57:00,   56.62,   59.55,   52.02,   58.63,   61.84,   53.93
03/11/2013 02:02:00,   56.95,   61.25,   51.40,   58.93,   62.93,   53.44
03/11/2013 02:07:00,   56.21,   59.96,   51.11,   58.42,   61.66,   53.42
03/11/2013 02:12:00,   55.15,   58.58,   50.22,   58.56,   62.61,   52.60
03/11/2013 02:17:00,   56.27,   60.13,   50.52,   58.81,   62.62,   52.94
03/11/2013 02:22:00,   56.02,   60.07,   50.33,   58.85,   62.34,   53.20
03/11/2013 02:27:00,   55.62,   58.90,   49.05,   57.75,   60.90,   51.47
03/11/2013 02:32:00,   56.22,   59.71,   50.13,   58.23,   61.55,   52.49
03/11/2013 02:37:00,   56.59,   60.54,   50.87,   59.16,   63.46,   53.14
03/11/2013 02:42:00,   56.64,   59.62,   51.21,   58.65,   61.59,   53.83
03/11/2013 02:47:00,   57.17,   60.87,   50.43,   59.50,   62.40,   53.09
03/11/2013 02:52:00,   55.83,   59.99,   50.16,   57.93,   61.94,   52.27
03/11/2013 02:57:00,   56.51,   60.48,   50.74,   58.88,   62.53,   53.27
03/11/2013 03:02:00,   56.30,   60.02,   51.21,   58.84,   61.80,   53.52
03/11/2013 03:07:00,   56.30,   59.32,   49.91,   58.62,   61.89,   51.75
03/11/2013 03:12:00,   56.26,   60.36,   50.49,   58.17,   61.84,   52.58
03/11/2013 03:17:00,   55.81,   59.98,   49.17,   57.89,   62.13,   51.44
03/11/2013 03:22:00,   55.80,   59.58,   50.16,   58.22,   61.66,   52.13
03/11/2013 03:27:00,   56.00,   60.66,   49.28,   57.99,   62.23,   51.89
03/11/2013 03:32:00,   54.55,   58.55,   48.76,   56.69,   60.86,   50.87
03/11/2013 03:37:00,   54.98,   59.29,   50.22,   57.25,   60.89,   52.31
03/11/2013 03:42:00,   54.71,   58.96,   49.65,   57.14,   61.05,   52.02
03/11/2013 03:47:00,   54.04,   58.72,   48.81,   56.18,   60.77,   51.05
03/11/2013 03:52:00,   54.21,   58.57,   48.24,   56.85,   60.65,   50.73
03/11/2013 03:57:00,   55.20,   60.00,   48.61,   57.09,   61.39,   51.20
03/11/2013 04:02:00,   55.08,   60.19,   49.11,   57.33,   62.02,   51.31
03/11/2013 04:07:00,   52.51,   56.38,   47.54,   55.50,   60.16,   49.91
03/11/2013 04:12:00,   54.63,   59.11,   48.26,   56.27,   60.44,   50.46
03/11/2013 04:17:00,   52.35,   56.54,   47.65,   55.76,   59.50,   49.96
03/11/2013 04:22:00,   51.95,   55.37,   47.61,   54.44,   58.32,   50.09
