# noise_analysis run from DCC-NOISE-001003 at Mon Nov  4 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
04/11/2013 00:05:00,   53.33,   57.70,   46.49,   54.85,   59.38,   48.70
04/11/2013 00:10:00,   55.01,   59.63,   47.81,   56.68,   61.18,   49.60
04/11/2013 00:15:00,   52.77,   59.29,   45.90,   54.32,   59.85,   48.00
04/11/2013 00:20:00,   51.93,   57.37,   46.09,   54.83,   60.21,   48.52
04/11/2013 00:25:00,   53.89,   59.19,   46.66,   56.10,   60.42,   49.32
04/11/2013 00:30:00,   53.93,   58.32,   46.70,   56.03,   60.83,   49.13
04/11/2013 00:35:00,   52.80,   58.41,   45.87,   54.72,   59.52,   48.37
04/11/2013 00:40:00,   54.65,   59.59,   47.38,   56.52,   60.91,   49.88
04/11/2013 00:45:00,   51.81,   56.87,   46.23,   54.06,   58.72,   49.16
04/11/2013 00:50:00,   53.79,   58.53,   46.79,   55.22,   59.43,   49.03
04/11/2013 00:55:00,   55.10,   59.57,   47.66,   56.62,   60.98,   49.96
04/11/2013 01:00:00,   54.42,   59.23,   46.31,   55.91,   60.20,   48.93
04/11/2013 01:07:00,   50.96,   56.69,   45.02,   52.76,   58.00,   47.94
04/11/2013 01:12:00,   52.10,   57.11,   45.27,   54.05,   58.74,   47.99
04/11/2013 01:17:00,   51.35,   57.53,   45.01,   53.51,   59.26,   47.55
04/11/2013 01:22:00,   52.28,   57.02,   46.25,   54.48,   58.75,   48.73
04/11/2013 01:27:00,   52.22,   57.48,   45.98,   53.78,   58.61,   48.82
04/11/2013 01:32:00,   50.16,   57.44,   44.26,   52.44,   58.18,   47.53
04/11/2013 01:37:00,   50.90,   57.17,   43.81,   52.62,   57.95,   46.77
04/11/2013 01:42:00,   50.98,   57.10,   43.15,   53.16,   58.21,   46.43
04/11/2013 01:47:00,   48.49,   53.54,   43.12,   50.66,   54.90,   46.42
04/11/2013 01:52:00,   50.49,   56.17,   43.26,   52.34,   57.72,   45.90
04/11/2013 01:57:00,   51.32,   57.09,   41.55,   52.80,   57.81,   44.97
04/11/2013 02:02:00,   48.31,   54.43,   41.72,   50.64,   55.53,   45.18
04/11/2013 02:07:00,   50.09,   55.30,   43.36,   52.23,   56.87,   46.69
04/11/2013 02:12:00,   44.73,   47.47,   40.25,   47.61,   49.75,   43.72
04/11/2013 02:17:00,   47.72,   51.99,   41.30,   50.13,   53.88,   44.78
04/11/2013 02:22:00,   49.75,   56.41,   42.20,   52.05,   57.32,   46.32
04/11/2013 02:27:00,   48.47,   53.04,   42.44,   50.65,   55.24,   46.07
04/11/2013 02:32:00,   48.16,   53.02,   43.02,   50.75,   55.36,   46.37
04/11/2013 02:37:00,   47.78,   52.42,   41.74,   50.56,   54.64,   45.65
04/11/2013 02:42:00,   45.10,   47.29,   42.07,   48.19,   50.11,   45.64
04/11/2013 02:47:00,   47.37,   53.24,   41.64,   50.13,   54.83,   45.88
04/11/2013 02:52:00,   47.78,   53.03,   40.91,   50.34,   54.94,   45.16
04/11/2013 02:57:00,   46.99,   51.17,   42.54,   49.82,   53.70,   46.09
04/11/2013 03:02:00,   49.74,   55.13,   43.06,   52.20,   57.39,   46.55
04/11/2013 03:07:00,   50.59,   56.83,   43.10,   53.09,   58.79,   47.58
04/11/2013 03:12:00,   50.37,   55.93,   42.28,   52.11,   56.85,   45.76
04/11/2013 03:17:00,   48.17,   54.09,   41.72,   50.69,   55.38,   45.66
04/11/2013 03:22:00,   47.54,   52.52,   42.48,   50.61,   55.45,   46.70
04/11/2013 03:27:00,   47.24,   53.22,   41.29,   50.64,   55.95,   45.21
04/11/2013 03:32:00,   48.04,   52.35,   43.00,   51.08,   54.39,   46.96
04/11/2013 03:37:00,   50.14,   55.32,   44.55,   52.45,   57.35,   47.91
04/11/2013 03:42:00,   48.03,   51.27,   43.74,   51.20,   54.80,   47.58
04/11/2013 03:47:00,   51.28,   57.61,   43.82,   54.10,   60.00,   47.79
04/11/2013 03:52:00,   48.42,   52.27,   43.73,   50.89,   54.59,   47.27
04/11/2013 03:57:00,   49.23,   52.84,   44.78,   52.11,   56.45,   47.92
04/11/2013 04:02:00,   49.10,   53.64,   45.00,   51.57,   54.94,   48.12
04/11/2013 04:07:00,   48.01,   51.78,   43.96,   50.93,   53.62,   47.52
04/11/2013 04:12:00,   47.80,   50.74,   44.08,   50.58,   53.37,   47.43
04/11/2013 04:17:00,   47.54,   49.88,   44.39,   50.83,   53.47,   48.26
04/11/2013 04:22:00,   51.02,   55.26,   46.13,   53.29,   56.99,   49.54
04/11/2013 04:27:00,   48.71,   52.84,   45.15,   51.28,   55.33,   48.12
04/11/2013 04:32:00,   50.97,   55.04,   46.84,   53.04,   56.23,   49.76
04/11/2013 04:37:00,   49.52,   53.03,   46.17,   52.36,   56.00,   49.01
04/11/2013 04:42:00,   51.52,   55.53,   47.28,   55.09,   59.09,   50.86
04/11/2013 04:47:00,   50.65,   54.00,   46.63,   53.14,   55.84,   49.87
04/11/2013 04:52:00,   50.79,   55.36,   47.41,   53.17,   56.47,   50.45
04/11/2013 04:57:00,   52.51,   56.95,   47.94,   55.13,   59.53,   50.94
04/11/2013 05:02:00,   52.36,   56.90,   47.74,   55.28,   59.50,   50.79
04/11/2013 05:07:00,   51.83,   55.19,   47.72,   54.30,   57.56,   50.80
04/11/2013 05:12:00,   51.11,   54.09,   47.97,   53.66,   55.91,   51.23
04/11/2013 05:17:00,   52.38,   55.69,   48.65,   54.98,   57.77,   51.71
