# noise_analysis run from DCC-NOISE-001003 at Tue Nov  5 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
05/11/2013 00:05:00,   53.72,   57.73,   48.25,   55.81,   59.14,   51.46
05/11/2013 00:10:00,   55.29,   59.54,   48.52,   57.08,   60.52,   51.19
05/11/2013 00:15:00,   53.53,   58.79,   48.33,   55.54,   59.97,   51.40
05/11/2013 00:20:00,   53.69,   58.18,   47.39,   55.73,   59.76,   50.36
05/11/2013 00:25:00,   52.97,   57.94,   46.00,   55.10,   59.22,   49.62
05/11/2013 00:30:00,   53.28,   57.22,   46.58,   55.41,   59.11,   50.41
05/11/2013 00:35:00,   52.56,   56.98,   46.95,   54.77,   58.45,   50.07
05/11/2013 00:40:00,   53.32,   56.91,   47.85,   55.97,   59.59,   50.57
05/11/2013 00:45:00,   54.69,   58.67,   47.96,   56.51,   59.95,   50.55
05/11/2013 00:50:00,   53.21,   57.48,   44.71,   55.44,   59.30,   49.15
05/11/2013 00:55:00,   53.82,   57.96,   48.16,   56.05,   59.94,   50.74
05/11/2013 01:00:00,   53.05,   57.54,   47.46,   55.44,   59.30,   50.68
05/11/2013 01:07:00,   52.27,   56.67,   47.14,   55.33,   59.39,   50.13
05/11/2013 01:12:00,   56.15,   60.31,   50.85,   58.86,   61.82,   53.88
05/11/2013 01:17:00,   53.65,   57.67,   47.64,   56.30,   60.28,   51.30
05/11/2013 01:22:00,   53.25,   57.52,   49.09,   56.54,   60.36,   51.91
05/11/2013 01:27:00,   54.10,   58.85,   47.79,   57.59,   61.40,   51.28
05/11/2013 01:32:00,   55.24,   59.31,   49.62,   58.25,   61.99,   52.75
05/11/2013 01:37:00,   54.29,   57.60,   48.60,   58.76,   62.22,   51.82
05/11/2013 01:42:00,   52.95,   56.95,   47.61,   57.07,   61.10,   51.03
05/11/2013 01:47:00,   58.75,   63.14,   48.30,   64.64,   70.71,   51.16
05/11/2013 01:52:00,   55.23,   60.77,   47.87,   60.54,   65.36,   50.22
05/11/2013 01:57:00,   56.19,   59.56,   50.67,   61.73,   68.79,   53.43
05/11/2013 02:02:00,   54.85,   58.82,   48.78,   60.09,   62.85,   51.38
05/11/2013 02:07:00,   51.73,   55.40,   46.34,   55.03,   58.77,   49.47
05/11/2013 02:12:00,   54.46,   58.09,   49.87,   58.16,   61.66,   52.61
05/11/2013 02:17:00,   54.79,   58.60,   48.60,   59.59,   63.52,   52.05
05/11/2013 02:22:00,   54.94,   58.12,   48.95,   59.97,   65.20,   52.16
05/11/2013 02:27:00,   53.51,   57.55,   48.17,   57.69,   62.62,   51.05
05/11/2013 02:32:00,   53.11,   57.35,   47.97,   58.26,   62.16,   50.94
05/11/2013 02:37:00,   52.92,   56.83,   47.26,   57.44,   61.59,   50.24
05/11/2013 02:42:00,   52.73,   56.87,   47.48,   57.25,   60.16,   50.77
05/11/2013 02:47:00,   50.25,   53.61,   45.76,   54.69,   58.28,   49.15
05/11/2013 02:52:00,   51.97,   55.56,   47.41,   55.90,   60.61,   50.56
05/11/2013 02:57:00,   50.60,   53.64,   44.90,   55.13,   59.74,   48.85
05/11/2013 03:02:00,   48.38,   50.92,   44.93,   52.43,   56.49,   48.61
05/11/2013 03:07:00,   48.06,   51.88,   43.62,   52.16,   56.48,   47.67
05/11/2013 03:12:00,   48.56,   53.58,   42.43,   52.01,   55.98,   47.13
