# noise_analysis run from DCC-NOISE-001003 at Wed Nov  6 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
06/11/2013 00:05:00,   52.24,   56.60,   46.72,   54.57,   58.46,   50.06
06/11/2013 00:10:00,   52.31,   56.78,   47.69,   55.49,   58.84,   51.06
06/11/2013 00:15:00,   52.49,   56.40,   47.18,   54.59,   58.12,   50.44
06/11/2013 00:20:00,   52.22,   56.53,   46.86,   54.64,   58.40,   49.96
06/11/2013 00:25:00,   54.28,   59.26,   47.41,   56.17,   60.47,   50.73
06/11/2013 00:30:00,   50.80,   55.59,   46.07,   53.65,   57.47,   49.70
06/11/2013 00:35:00,   54.64,   59.83,   47.08,   55.69,   60.31,   49.92
06/11/2013 00:40:00,   53.90,   57.95,   46.15,   54.85,   58.73,   49.62
06/11/2013 00:45:00,   50.94,   57.86,   44.23,   52.99,   58.37,   48.01
06/11/2013 00:50:00,   51.37,   56.51,   44.35,   53.25,   57.93,   48.11
06/11/2013 00:55:00,   51.67,   56.48,   46.11,   54.08,   58.39,   49.08
06/11/2013 01:00:00,   51.79,   56.74,   43.87,   53.60,   57.96,   47.71
06/11/2013 01:07:00,   51.53,   56.57,   45.39,   54.19,   59.08,   48.65
06/11/2013 01:12:00,   50.65,   55.55,   44.55,   53.40,   57.55,   48.31
06/11/2013 01:17:00,   49.38,   54.86,   43.37,   51.96,   56.49,   47.10
06/11/2013 01:22:00,   48.81,   53.30,   43.79,   51.64,   55.06,   47.73
06/11/2013 01:27:00,   50.47,   55.98,   44.40,   52.77,   57.75,   47.94
06/11/2013 01:32:00,   51.21,   56.14,   44.71,   53.56,   57.85,   48.49
06/11/2013 01:37:00,   48.59,   54.96,   42.14,   51.29,   56.01,   46.95
06/11/2013 01:42:00,   47.11,   49.95,   42.90,   50.21,   52.08,   47.11
06/11/2013 01:47:00,   48.16,   52.76,   42.30,   51.20,   55.29,   47.38
06/11/2013 01:52:00,   50.38,   56.10,   43.71,   52.39,   57.01,   47.53
06/11/2013 01:57:00,   48.17,   53.29,   41.59,   50.97,   55.60,   46.27
06/11/2013 02:02:00,   45.90,   48.25,   41.63,   49.03,   50.79,   45.90
