# noise_analysis run from DCC-NOISE-001003 at Thu Nov  7 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
07/11/2013 00:05:00,   54.73,   59.68,   49.46,   56.65,   60.61,   52.78
07/11/2013 00:10:00,   53.79,   58.38,   48.96,   58.98,   62.06,   52.77
07/11/2013 00:15:00,   51.82,   55.31,   47.35,   54.51,   57.28,   51.04
07/11/2013 00:20:00,   54.07,   57.99,   49.52,   56.35,   59.83,   52.54
07/11/2013 00:25:00,   55.83,   60.10,   49.21,   58.18,   61.74,   52.71
07/11/2013 00:30:00,   52.59,   57.11,   47.73,   55.32,   58.52,   51.49
07/11/2013 00:35:00,   53.08,   58.12,   48.50,   55.17,   58.92,   51.79
07/11/2013 00:40:00,   54.12,   58.45,   49.33,   56.44,   59.78,   53.08
07/11/2013 00:45:00,   53.92,   58.63,   47.19,   56.12,   60.16,   51.47
07/11/2013 00:50:00,   52.41,   58.59,   46.44,   54.80,   59.58,   50.47
07/11/2013 00:55:00,   52.52,   56.73,   47.10,   54.83,   58.26,   50.63
07/11/2013 01:00:00,   52.56,   58.26,   45.27,   54.73,   59.35,   49.11
07/11/2013 01:06:00,   49.66,   54.22,   44.73,   52.37,   55.92,   48.47
07/11/2013 01:11:00,   50.20,   54.43,   45.30,   52.83,   55.62,   49.25
07/11/2013 01:16:00,   51.58,   58.24,   45.23,   53.70,   59.35,   48.54
07/11/2013 01:21:00,   51.97,   57.05,   46.35,   53.97,   58.11,   49.63
07/11/2013 01:26:00,   53.56,   58.66,   45.60,   55.74,   59.79,   49.03
07/11/2013 01:31:00,   51.74,   57.19,   44.86,   54.25,   59.39,   48.58
07/11/2013 01:36:00,   50.48,   56.10,   44.05,   52.86,   57.27,   48.34
07/11/2013 01:41:00,   52.22,   58.46,   45.15,   54.45,   60.10,   49.33
07/11/2013 01:46:00,   51.65,   58.23,   44.16,   53.91,   59.44,   48.75
07/11/2013 01:51:00,   51.71,   57.61,   45.25,   54.29,   58.54,   49.84
07/11/2013 01:56:00,   52.01,   56.86,   45.28,   54.88,   58.84,   50.26
07/11/2013 02:01:00,   50.46,   55.15,   45.18,   53.36,   57.17,   49.34
07/11/2013 02:06:00,   51.11,   56.05,   45.37,   53.84,   57.50,   49.88
07/11/2013 02:11:00,   50.60,   55.06,   44.80,   54.17,   58.51,   48.97
07/11/2013 02:16:00,   52.38,   58.34,   44.07,   54.53,   59.57,   48.07
07/11/2013 02:21:00,   51.15,   56.38,   45.82,   53.80,   57.74,   49.59
07/11/2013 02:26:00,   48.45,   52.42,   43.45,   51.52,   54.76,   47.52
07/11/2013 02:31:00,   48.27,   53.17,   43.85,   51.30,   54.35,   48.18
07/11/2013 02:36:00,   45.86,   47.68,   43.14,   49.94,   51.71,   47.72
07/11/2013 02:41:00,   49.65,   55.51,   44.75,   52.60,   57.51,   48.66
07/11/2013 02:46:00,   46.28,   47.46,   43.61,   50.91,   52.54,   48.48
07/11/2013 02:51:00,   49.16,   53.34,   44.71,   52.28,   55.35,   49.34
07/11/2013 02:56:00,   50.59,   56.35,   43.30,   52.87,   57.24,   47.93
07/11/2013 03:01:00,   48.14,   52.10,   43.14,   51.28,   54.02,   47.63
07/11/2013 03:06:00,   49.58,   54.96,   44.29,   52.25,   56.40,   48.49
07/11/2013 03:11:00,   50.61,   55.34,   45.37,   53.20,   57.55,   49.12
07/11/2013 03:16:00,   50.32,   55.62,   44.67,   53.20,   57.24,   48.68
07/11/2013 03:21:00,   52.56,   58.76,   46.29,   55.89,   61.41,   50.30
07/11/2013 03:26:00,   50.58,   55.97,   45.57,   53.48,   57.68,   49.61
07/11/2013 03:31:00,   51.33,   57.48,   45.30,   54.13,   59.54,   49.63
07/11/2013 03:36:00,   48.39,   52.00,   44.23,   51.11,   53.46,   48.21
07/11/2013 03:41:00,   49.55,   55.53,   43.78,   52.31,   56.76,   48.19
07/11/2013 03:46:00,   48.60,   50.70,   44.36,   51.80,   53.55,   47.98
07/11/2013 03:51:00,   49.35,   54.06,   44.23,   51.97,   55.75,   48.31
07/11/2013 03:56:00,   51.77,   57.44,   43.53,   54.91,   59.89,   47.78
07/11/2013 04:01:00,   47.12,   49.46,   43.54,   51.04,   53.19,   48.31
07/11/2013 04:06:00,   49.27,   53.69,   44.53,   52.52,   56.14,   48.52
07/11/2013 04:11:00,   49.09,   50.98,   44.83,   52.36,   54.59,   49.07
07/11/2013 04:16:00,   50.34,   54.64,   45.64,   53.08,   56.45,   49.31
07/11/2013 04:21:00,   50.58,   54.89,   45.40,   52.84,   56.61,   49.08
07/11/2013 04:26:00,   49.20,   54.54,   44.19,   51.83,   55.66,   48.51
07/11/2013 04:31:00,   49.41,   51.54,   46.23,   52.59,   54.25,   50.27
07/11/2013 04:36:00,   49.45,   54.08,   45.22,   52.70,   56.86,   49.41
07/11/2013 04:41:00,   50.25,   53.30,   46.86,   52.97,   55.41,   50.06
07/11/2013 04:46:00,   50.96,   55.16,   47.37,   53.35,   56.36,   50.73
07/11/2013 04:51:00,   50.72,   55.24,   46.29,   53.07,   56.50,   49.65
07/11/2013 04:56:00,   50.05,   54.79,   45.42,   52.76,   56.67,   49.14
07/11/2013 05:01:00,   48.71,   52.67,   45.14,   52.91,   56.75,   49.04
07/11/2013 05:06:00,   51.47,   57.39,   46.19,   54.55,   58.79,   49.90
07/11/2013 05:11:00,   53.25,   57.44,   48.59,   55.46,   58.97,   52.12
07/11/2013 05:16:00,   51.75,   55.06,   47.40,   55.04,   58.47,   50.99
07/11/2013 05:21:00,   52.90,   57.36,   48.31,   55.69,   59.38,   51.79
07/11/2013 05:26:00,   52.62,   56.25,   47.73,   55.17,   58.55,   51.46
07/11/2013 05:31:00,   52.42,   57.13,   47.89,   54.90,   58.86,   51.29
07/11/2013 05:36:00,   55.12,   60.39,   50.05,   57.36,   61.80,   52.97
07/11/2013 05:41:00,   51.83,   55.95,   48.49,   54.38,   57.95,   51.60
07/11/2013 05:46:00,   53.64,   57.37,   49.90,   55.96,   58.72,   53.03
07/11/2013 05:51:00,   54.15,   59.02,   49.77,   56.53,   60.39,   52.94
07/11/2013 05:56:00,   54.75,   59.79,   50.08,   56.67,   60.51,   53.26
07/11/2013 06:01:00,   54.24,   58.05,   50.38,   56.32,   59.26,   53.62
07/11/2013 06:06:00,   54.48,   57.91,   50.79,   57.45,   60.32,   53.74
07/11/2013 06:11:00,   55.11,   59.04,   50.56,   57.41,   61.15,   53.70
07/11/2013 06:16:00,   55.37,   58.77,   51.52,   57.80,   60.90,   54.62
07/11/2013 06:21:00,   56.22,   60.38,   51.18,   59.28,   62.50,   55.09
07/11/2013 06:26:00,   56.39,   59.68,   52.69,   59.63,   62.03,   56.83
07/11/2013 06:31:00,   54.90,   57.85,   52.05,   58.27,   60.85,   55.38
07/11/2013 06:36:00,   56.92,   60.43,   52.87,   59.65,   62.21,   56.22
07/11/2013 06:41:00,   56.96,   59.28,   53.64,   60.40,   63.50,   57.22
07/11/2013 06:46:00,   57.84,   61.46,   53.92,   61.46,   65.46,   56.97
07/11/2013 06:51:00,   59.37,   63.18,   54.31,   64.30,   69.57,   57.39
07/11/2013 06:56:00,   58.52,   61.43,   55.61,   62.77,   65.17,   59.66
07/11/2013 07:01:00,   58.18,   61.38,   54.94,   61.91,   65.40,   58.32
07/11/2013 07:06:00,   58.25,   60.90,   54.99,   61.64,   64.27,   58.05
07/11/2013 07:11:00,   58.85,   62.08,   55.17,   62.44,   65.52,   59.20
07/11/2013 07:16:00,   59.82,   63.30,   55.53,   64.86,   69.28,   60.42
07/11/2013 07:21:00,   58.55,   61.28,   54.94,   61.59,   64.15,   58.45
07/11/2013 07:26:00,   60.11,   63.14,   55.03,   63.48,   66.16,   58.27
07/11/2013 07:31:00,   59.08,   61.43,   55.60,   62.26,   64.07,   58.86
07/11/2013 07:36:00,   60.14,   62.84,   56.82,   63.90,   67.53,   60.34
07/11/2013 07:41:00,   60.17,   62.93,   56.48,   63.67,   67.20,   59.60
07/11/2013 07:46:00,   59.71,   62.14,   56.34,   62.42,   64.26,   59.35
07/11/2013 07:51:00,   59.58,   62.36,   55.88,   62.54,   64.49,   59.92
07/11/2013 07:56:00,   59.78,   62.18,   56.63,   62.91,   65.17,   59.69
07/11/2013 08:01:00,   60.04,   63.23,   56.95,   62.74,   65.80,   59.94
07/11/2013 08:06:00,   60.05,   62.90,   56.18,   63.58,   66.58,   59.63
07/11/2013 08:11:00,   60.12,   63.44,   56.71,   64.06,   67.32,   60.60
07/11/2013 08:16:00,   59.46,   61.50,   56.10,   63.51,   65.40,   60.24
07/11/2013 08:21:00,   58.95,   62.10,   55.44,   62.56,   65.33,   58.97
07/11/2013 08:26:00,   59.48,   61.29,   56.58,   63.97,   65.83,   61.19
07/11/2013 08:31:00,   60.34,   62.87,   56.12,   64.36,   66.51,   61.13
07/11/2013 08:36:00,   58.49,   60.99,   55.46,   62.13,   64.42,   59.44
07/11/2013 08:41:00,   58.10,   60.50,   55.48,   62.32,   64.28,   59.76
07/11/2013 08:46:00,   58.84,   61.22,   55.26,   63.25,   65.66,   59.44
07/11/2013 08:51:00,   60.57,   62.18,   56.53,   64.64,   67.08,   60.40
07/11/2013 08:56:00,   59.23,   61.51,   56.81,   62.62,   64.44,   60.16
07/11/2013 09:01:00,   59.42,   61.92,   56.25,   62.98,   65.29,   60.17
07/11/2013 09:06:00,   59.11,   61.84,   55.91,   63.12,   65.31,   60.12
07/11/2013 09:11:00,   59.87,   62.20,   56.72,   63.60,   66.13,   60.57
07/11/2013 09:16:00,   59.46,   61.71,   56.90,   62.68,   64.65,   60.35
07/11/2013 09:21:00,   60.16,   62.13,   57.50,   63.13,   65.00,   60.42
07/11/2013 09:26:00,   60.51,   63.15,   56.30,   63.89,   66.59,   59.94
07/11/2013 09:31:00,   59.02,   61.36,   56.31,   62.84,   64.80,   59.68
07/11/2013 09:36:00,   59.34,   61.39,   55.95,   62.99,   65.08,   59.90
07/11/2013 09:41:00,   59.15,   61.23,   55.44,   63.02,   65.75,   59.32
07/11/2013 09:46:00,   59.91,   62.24,   56.38,   64.62,   67.79,   60.68
07/11/2013 09:51:00,   60.18,   62.31,   56.75,   63.76,   65.75,   60.05
07/11/2013 09:56:00,   59.57,   62.07,   56.29,   63.34,   65.65,   60.00
07/11/2013 10:01:00,   59.30,   61.64,   55.69,   62.52,   64.49,   58.69
07/11/2013 10:06:00,   59.64,   62.16,   55.70,   62.48,   64.67,   59.04
07/11/2013 10:11:00,   58.74,   61.02,   55.66,   63.03,   65.96,   59.24
07/11/2013 10:16:00,   59.33,   62.28,   55.19,   63.00,   65.52,   59.53
07/11/2013 10:21:00,   58.61,   61.35,   54.66,   62.08,   64.64,   58.12
07/11/2013 10:26:00,   58.67,   61.00,   55.36,   63.55,   67.43,   59.28
07/11/2013 10:31:00,   59.11,   61.45,   55.27,   63.07,   65.06,   58.87
07/11/2013 10:36:00,   58.16,   60.84,   54.22,   61.66,   64.12,   58.03
07/11/2013 10:41:00,   58.85,   61.36,   55.44,   62.42,   64.52,   59.05
07/11/2013 10:46:00,   59.55,   62.10,   55.80,   63.38,   66.01,   59.61
07/11/2013 10:51:00,   59.85,   62.66,   56.19,   63.44,   66.43,   59.74
