# noise_analysis run from DCC-NOISE-001003 at Mon Nov 11 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
11/11/2013 00:05:00,   55.20,   59.90,   48.25,   57.04,   61.18,   51.54
11/11/2013 00:10:00,   53.50,   58.80,   46.99,   55.44,   60.11,   50.03
11/11/2013 00:15:00,   53.89,   59.62,   45.44,   55.92,   60.69,   49.01
11/11/2013 00:20:00,   53.95,   59.38,   46.65,   56.12,   60.57,   50.17
11/11/2013 00:25:00,   54.20,   59.39,   45.13,   56.42,   60.49,   49.12
11/11/2013 00:30:00,   54.22,   60.10,   46.87,   56.85,   61.41,   50.90
11/11/2013 00:35:00,   52.40,   57.54,   46.78,   54.75,   59.09,   50.47
11/11/2013 00:40:00,   53.85,   59.88,   44.66,   56.61,   62.12,   48.18
11/11/2013 00:45:00,   54.93,   60.17,   46.70,   57.56,   61.78,   50.35
11/11/2013 00:50:00,   54.29,   59.96,   46.01,   56.11,   61.31,   48.93
11/11/2013 00:55:00,   54.03,   59.12,   45.48,   55.62,   60.11,   48.71
11/11/2013 01:00:00,   54.80,   60.49,   46.06,   56.37,   61.28,   48.88
11/11/2013 01:06:00,   53.51,   57.96,   46.18,   55.71,   60.08,   49.78
11/11/2013 01:11:00,   53.19,   60.05,   45.29,   55.04,   60.80,   48.73
11/11/2013 01:16:00,   53.78,   58.60,   46.49,   55.64,   60.12,   50.01
11/11/2013 01:21:00,   54.14,   59.92,   44.71,   55.58,   60.55,   48.05
11/11/2013 01:26:00,   52.91,   58.58,   44.88,   54.90,   59.58,   48.77
11/11/2013 01:31:00,   49.13,   55.74,   43.01,   51.48,   57.16,   46.92
11/11/2013 01:36:00,   51.35,   57.71,   42.64,   53.57,   59.26,   47.05
11/11/2013 01:41:00,   49.42,   54.43,   42.83,   52.08,   56.38,   46.96
11/11/2013 01:46:00,   49.17,   56.06,   42.04,   51.38,   57.04,   46.20
11/11/2013 01:51:00,   47.07,   52.98,   42.32,   50.35,   55.32,   46.67
11/11/2013 01:56:00,   49.05,   54.18,   43.55,   51.98,   55.58,   47.82
11/11/2013 02:01:00,   49.76,   54.50,   42.16,   52.96,   56.74,   47.48
11/11/2013 02:06:00,   50.30,   56.50,   41.63,   53.00,   57.97,   47.23
11/11/2013 02:11:00,   51.13,   58.20,   42.77,   53.75,   60.63,   46.87
11/11/2013 02:16:00,   50.52,   56.13,   43.13,   53.40,   58.87,   47.17
11/11/2013 02:21:00,   47.90,   53.52,   42.06,   50.35,   55.23,   45.54
11/11/2013 02:26:00,   49.68,   55.13,   41.66,   52.62,   57.46,   45.81
11/11/2013 02:31:00,   46.69,   50.28,   41.11,   50.09,   54.40,   45.64
11/11/2013 02:36:00,   46.22,   50.31,   39.95,   49.70,   54.20,   44.52
11/11/2013 02:41:00,   50.61,   57.14,   41.86,   52.70,   58.57,   45.79
11/11/2013 02:46:00,   47.76,   52.96,   41.36,   50.22,   55.54,   45.57
11/11/2013 02:51:00,   46.91,   50.81,   42.42,   49.94,   53.83,   45.81
11/11/2013 02:56:00,   47.77,   51.78,   41.88,   49.98,   53.32,   45.61
11/11/2013 03:01:00,   48.55,   54.86,   41.76,   51.55,   57.34,   45.65
11/11/2013 03:06:00,   46.08,   50.60,   40.84,   50.28,   53.63,   45.91
11/11/2013 03:11:00,   48.42,   52.09,   43.58,   52.02,   56.08,   47.27
11/11/2013 03:16:00,   47.82,   52.00,   42.35,   50.91,   55.05,   46.44
11/11/2013 03:21:00,   46.66,   49.18,   42.95,   50.45,   54.45,   46.52
11/11/2013 03:26:00,   46.41,   50.52,   41.17,   49.69,   54.05,   45.02
11/11/2013 03:31:00,   45.95,   48.43,   41.89,   49.06,   51.62,   45.58
11/11/2013 03:36:00,   46.31,   50.15,   41.63,   49.34,   52.32,   45.87
11/11/2013 03:41:00,   49.06,   53.24,   44.08,   51.66,   55.66,   47.14
11/11/2013 03:46:00,   49.00,   53.42,   43.53,   51.83,   56.69,   46.92
11/11/2013 03:51:00,   50.28,   55.71,   43.01,   52.92,   57.34,   46.69
11/11/2013 03:56:00,   48.28,   50.87,   44.13,   51.11,   54.50,   47.66
11/11/2013 04:01:00,   46.40,   48.01,   42.18,   50.25,   53.29,   46.14
11/11/2013 04:06:00,   50.67,   54.97,   43.58,   53.45,   57.52,   47.63
11/11/2013 04:11:00,   49.49,   54.19,   44.04,   52.04,   55.95,   47.53
11/11/2013 04:16:00,   48.62,   52.78,   43.80,   51.37,   55.24,   47.40
11/11/2013 04:21:00,   48.17,   50.30,   43.03,   51.66,   55.71,   46.83
11/11/2013 04:26:00,   49.83,   54.08,   44.17,   52.78,   58.08,   47.71
11/11/2013 04:31:00,   47.76,   50.52,   44.45,   50.57,   52.99,   47.86
11/11/2013 04:36:00,   49.79,   53.65,   43.92,   52.60,   55.99,   48.08
11/11/2013 04:41:00,   50.82,   54.90,   46.18,   53.24,   56.88,   49.22
11/11/2013 04:46:00,   48.41,   51.07,   45.14,   52.80,   55.11,   48.25
11/11/2013 04:51:00,   50.53,   53.86,   45.84,   54.18,   59.94,   48.88
11/11/2013 04:56:00,   51.67,   55.82,   46.11,   54.18,   58.44,   49.37
11/11/2013 05:01:00,   52.24,   56.23,   46.30,   55.02,   57.75,   50.07
11/11/2013 05:06:00,   50.39,   54.47,   45.42,   52.93,   56.25,   49.10
11/11/2013 05:11:00,   50.18,   54.73,   45.03,   52.68,   56.77,   48.65
11/11/2013 05:16:00,   50.95,   54.62,   46.65,   54.31,   57.25,   50.46
11/11/2013 05:21:00,   52.28,   56.39,   47.42,   55.06,   58.25,   50.79
11/11/2013 05:26:00,   52.70,   57.11,   48.17,   55.72,   59.62,   51.80
11/11/2013 05:31:00,   51.17,   56.79,   46.69,   53.49,   57.74,   50.45
11/11/2013 05:36:00,   52.10,   56.54,   47.68,   54.77,   58.81,   51.10
11/11/2013 05:41:00,   53.54,   58.29,   48.70,   57.06,   61.45,   52.43
11/11/2013 05:46:00,   52.97,   56.66,   48.52,   55.12,   58.32,   51.70
11/11/2013 05:51:00,   54.00,   58.42,   49.02,   56.73,   60.73,   52.15
11/11/2013 05:56:00,   54.62,   58.97,   48.49,   56.34,   60.26,   51.58
11/11/2013 06:01:00,   54.38,   58.28,   49.87,   56.84,   60.25,   53.23
11/11/2013 06:06:00,   54.53,   58.24,   49.17,   58.24,   62.22,   52.63
11/11/2013 06:11:00,   54.50,   58.24,   49.11,   57.86,   61.71,   52.45
11/11/2013 06:16:00,   54.43,   57.41,   50.39,   58.65,   62.39,   54.36
11/11/2013 06:21:00,   54.58,   58.85,   49.38,   56.81,   60.77,   52.72
11/11/2013 06:26:00,   54.83,   58.43,   50.73,   58.34,   61.57,   54.55
11/11/2013 06:31:00,   54.55,   57.33,   50.64,   57.49,   60.31,   53.88
11/11/2013 06:36:00,   56.60,   60.46,   52.35,   59.71,   63.92,   55.70
11/11/2013 06:41:00,   57.89,   61.72,   51.57,   62.56,   68.18,   54.89
11/11/2013 06:46:00,   57.06,   59.76,   52.83,   60.88,   64.03,   56.80
11/11/2013 06:51:00,   57.95,   61.08,   52.28,   62.11,   65.93,   55.84
11/11/2013 06:56:00,   57.10,   60.31,   52.86,   60.01,   63.39,   55.94
11/11/2013 07:01:00,   58.10,   61.58,   54.41,   61.77,   64.90,   58.39
11/11/2013 07:06:00,   59.39,   63.46,   53.28,   64.97,   70.17,   56.74
11/11/2013 07:11:00,   57.70,   60.28,   53.55,   61.07,   64.12,   56.91
11/11/2013 07:16:00,   57.33,   60.06,   53.68,   60.44,   62.90,   57.00
11/11/2013 07:21:00,   57.97,   60.50,   55.02,   61.15,   63.53,   58.21
11/11/2013 07:26:00,   58.80,   62.05,   54.19,   62.97,   65.88,   58.18
11/11/2013 07:31:00,   59.00,   61.58,   54.86,   62.61,   65.37,   59.00
11/11/2013 07:36:00,   59.63,   62.66,   55.66,   63.20,   66.12,   59.68
11/11/2013 07:41:00,   59.18,   61.69,   55.90,   62.89,   65.54,   59.71
11/11/2013 07:46:00,   58.69,   61.37,   55.57,   61.33,   63.29,   58.99
11/11/2013 07:51:00,   58.43,   60.94,   55.15,   62.18,   64.55,   58.51
11/11/2013 07:56:00,   60.23,   63.10,   56.43,   63.29,   65.87,   59.75
11/11/2013 08:01:00,   59.46,   62.26,   55.55,   63.04,   65.88,   59.12
11/11/2013 08:06:00,   59.29,   61.90,   55.94,   62.95,   65.06,   59.85
11/11/2013 08:11:00,   59.53,   61.88,   56.45,   63.21,   65.34,   60.31
11/11/2013 08:16:00,   59.74,   62.14,   55.90,   63.94,   66.70,   60.08
11/11/2013 08:21:00,   58.40,   60.70,   54.78,   62.29,   64.72,   58.79
11/11/2013 08:26:00,   58.27,   60.48,   55.36,   61.95,   63.99,   59.01
11/11/2013 08:31:00,   59.21,   61.47,   56.67,   64.42,   67.91,   60.78
11/11/2013 08:36:00,   59.14,   61.62,   56.30,   63.16,   65.57,   60.38
11/11/2013 08:41:00,   59.49,   61.91,   56.70,   63.34,   65.54,   60.64
11/11/2013 08:46:00,   59.10,   61.07,   56.25,   62.62,   63.94,   60.39
11/11/2013 08:51:00,   59.01,   60.95,   56.48,   62.51,   64.57,   60.11
11/11/2013 08:56:00,   59.34,   61.64,   56.31,   63.88,   66.02,   60.16
11/11/2013 09:01:00,   60.89,   62.76,   57.97,   64.78,   66.49,   61.45
11/11/2013 09:06:00,   59.85,   62.23,   56.29,   62.93,   65.04,   59.72
11/11/2013 09:11:00,   59.96,   61.78,   57.03,   64.08,   66.52,   60.19
11/11/2013 09:16:00,   59.21,   61.21,   56.43,   62.61,   64.77,   59.82
11/11/2013 09:21:00,   59.91,   62.43,   56.41,   64.30,   66.29,   60.05
11/11/2013 09:26:00,   59.36,   61.60,   56.47,   63.71,   65.89,   60.58
11/11/2013 09:31:00,   59.88,   62.43,   56.63,   63.11,   65.29,   59.60
11/11/2013 09:36:00,   60.22,   63.06,   55.78,   63.50,   66.38,   59.68
11/11/2013 09:41:00,   59.50,   61.98,   55.51,   62.89,   65.24,   59.41
11/11/2013 09:46:00,   59.45,   62.35,   55.46,   63.10,   65.57,   59.53
11/11/2013 09:51:00,   62.06,   64.83,   57.38,   65.43,   68.87,   60.59
11/11/2013 09:56:00,   59.49,   62.11,   55.67,   63.88,   66.90,   59.38
11/11/2013 10:01:00,   59.04,   61.69,   55.58,   63.56,   66.60,   59.53
11/11/2013 10:06:00,   57.78,   60.58,   54.23,   60.98,   63.13,   57.56
11/11/2013 10:11:00,   59.38,   62.01,   55.50,   62.91,   65.70,   59.38
11/11/2013 10:16:00,   59.79,   62.11,   56.05,   62.92,   64.79,   59.46
11/11/2013 10:21:00,   58.69,   61.46,   54.94,   62.03,   64.39,   58.96
11/11/2013 10:26:00,   59.09,   62.02,   55.44,   61.72,   64.05,   58.71
11/11/2013 10:31:00,   59.57,   61.97,   55.80,   62.90,   65.51,   58.90
11/11/2013 10:36:00,   59.85,   62.18,   55.78,   62.58,   64.88,   59.72
11/11/2013 10:41:00,   58.74,   61.38,   55.40,   61.81,   63.94,   59.41
11/11/2013 10:46:00,   59.97,   62.22,   57.16,   63.50,   66.10,   60.45
11/11/2013 10:51:00,   59.62,   62.07,   55.31,   62.59,   65.39,   58.76
11/11/2013 10:56:00,   60.39,   63.16,   56.36,   63.38,   65.61,   59.23
11/11/2013 11:01:00,   60.45,   63.10,   56.33,   63.54,   66.38,   59.77
11/11/2013 11:06:00,   60.39,   62.52,   57.00,   63.82,   67.54,   59.34
11/11/2013 11:11:00,   59.26,   61.64,   56.08,   62.73,   64.72,   59.44
11/11/2013 11:16:00,   59.96,   62.35,   56.64,   63.48,   66.19,   60.10
11/11/2013 11:21:00,   60.02,   62.70,   56.06,   64.19,   67.61,   59.30
11/11/2013 11:26:00,   59.37,   61.37,   56.11,   63.23,   65.30,   59.91
11/11/2013 11:31:00,   60.64,   62.60,   57.76,   64.90,   66.61,   61.22
11/11/2013 11:36:00,   60.19,   62.40,   57.06,   64.44,   66.66,   61.11
11/11/2013 11:41:00,   60.17,   62.29,   56.62,   64.16,   66.02,   60.94
11/11/2013 11:46:00,   60.47,   62.97,   56.81,   64.55,   67.04,   60.30
11/11/2013 11:51:00,   60.17,   62.10,   57.18,   64.90,   67.87,   61.35
11/11/2013 11:56:00,   59.38,   61.85,   55.64,   63.82,   66.80,   59.91
11/11/2013 12:01:00,   60.63,   62.70,   56.83,   63.77,   65.76,   60.31
11/11/2013 12:06:00,   60.11,   62.60,   55.71,   63.77,   66.27,   59.54
11/11/2013 12:11:00,   59.13,   62.12,   55.73,   63.75,   67.60,   59.63
11/11/2013 12:16:00,   59.15,   61.33,   56.56,   64.36,   66.75,   61.14
11/11/2013 12:21:00,   60.83,   63.74,   56.93,   65.04,   68.18,   60.43
11/11/2013 12:26:00,   60.06,   62.58,   56.11,   64.16,   67.03,   60.26
11/11/2013 12:31:00,   58.95,   61.35,   55.80,   62.37,   64.57,   59.01
11/11/2013 12:36:00,   60.33,   62.91,   56.68,   63.73,   66.40,   59.73
11/11/2013 12:41:00,   60.45,   62.61,   56.74,   64.00,   65.98,   59.96
11/11/2013 12:46:00,   59.91,   62.62,   56.51,   63.07,   65.01,   60.12
11/11/2013 12:51:00,   59.92,   62.59,   54.83,   63.35,   65.77,   58.97
11/11/2013 12:56:00,   58.81,   61.56,   55.35,   62.28,   64.68,   59.16
11/11/2013 13:01:00,   59.25,   61.13,   55.33,   62.67,   65.31,   59.37
11/11/2013 13:06:00,   59.34,   61.22,   56.73,   63.06,   65.16,   59.88
11/11/2013 13:11:00,   59.27,   61.89,   55.91,   64.72,   67.79,   60.16
11/11/2013 13:16:00,   57.64,   59.88,   54.97,   61.95,   63.97,   59.17
11/11/2013 13:21:00,   59.02,   61.35,   55.80,   64.07,   67.00,   60.42
11/11/2013 13:26:00,   58.84,   61.19,   55.68,   63.93,   66.04,   61.16
11/11/2013 13:31:00,   58.08,   60.76,   52.89,   62.44,   64.81,   57.72
