# noise_analysis run from DCC-NOISE-001003 at Tue Nov 12 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
12/11/2013 00:05:00,   54.57,   60.60,   47.66,   56.49,   61.42,   51.40
12/11/2013 00:10:00,   52.40,   56.57,   48.07,   54.89,   57.95,   52.04
12/11/2013 00:15:00,   53.04,   57.28,   48.16,   56.23,   60.59,   52.00
12/11/2013 00:20:00,   53.20,   59.07,   46.32,   57.07,   63.21,   50.29
12/11/2013 00:25:00,   50.54,   55.69,   45.47,   53.44,   57.41,   49.68
12/11/2013 00:30:00,   51.33,   57.37,   44.73,   54.01,   58.95,   49.10
12/11/2013 00:35:00,   50.84,   56.95,   44.84,   53.09,   57.99,   48.90
12/11/2013 00:40:00,   51.96,   58.10,   46.36,   54.28,   59.36,   49.99
12/11/2013 00:45:00,   52.00,   57.19,   45.10,   54.41,   58.67,   49.40
12/11/2013 00:50:00,   50.33,   55.18,   44.96,   53.26,   56.82,   49.68
12/11/2013 00:55:00,   51.64,   56.88,   46.32,   54.16,   58.67,   50.25
12/11/2013 01:00:00,   53.24,   57.65,   47.09,   55.69,   59.75,   50.84
12/11/2013 01:06:00,   50.78,   55.74,   44.91,   53.89,   58.14,   49.16
12/11/2013 01:11:00,   53.59,   58.65,   46.31,   55.28,   59.94,   49.68
12/11/2013 01:16:00,   50.88,   56.01,   45.29,   53.91,   58.02,   49.34
12/11/2013 01:21:00,   53.40,   58.30,   47.02,   56.29,   59.86,   50.86
12/11/2013 01:26:00,   52.97,   58.73,   45.58,   56.45,   61.42,   50.06
12/11/2013 01:31:00,   50.23,   55.89,   45.53,   53.26,   57.36,   49.87
12/11/2013 01:36:00,   53.20,   59.42,   44.36,   55.74,   60.63,   49.21
12/11/2013 01:41:00,   49.88,   55.66,   44.41,   52.77,   56.99,   48.76
12/11/2013 01:46:00,   49.06,   54.09,   43.67,   51.99,   55.81,   48.25
12/11/2013 01:51:00,   49.79,   56.37,   43.72,   52.79,   57.96,   48.46
12/11/2013 01:56:00,   50.82,   56.99,   44.97,   53.62,   58.59,   49.57
12/11/2013 02:01:00,   50.65,   56.41,   44.49,   53.42,   57.60,   49.22
12/11/2013 02:06:00,   46.53,   49.20,   43.01,   50.64,   52.91,   47.90
12/11/2013 02:11:00,   48.20,   50.52,   44.50,   51.99,   53.44,   49.35
12/11/2013 02:16:00,   48.35,   53.65,   43.15,   51.74,   55.55,   48.44
12/11/2013 02:21:00,   50.49,   56.58,   43.78,   53.29,   58.45,   48.43
12/11/2013 02:26:00,   46.70,   50.36,   41.53,   50.76,   53.69,   47.01
12/11/2013 02:31:00,   48.87,   54.75,   42.47,   51.86,   56.27,   47.62
12/11/2013 02:36:00,   48.09,   53.68,   41.69,   51.73,   56.29,   47.09
12/11/2013 02:41:00,   50.51,   56.12,   43.48,   52.98,   57.33,   48.18
12/11/2013 02:46:00,   47.50,   52.49,   42.92,   51.06,   54.66,   47.37
12/11/2013 02:51:00,   47.41,   52.37,   42.60,   51.37,   55.17,   48.12
12/11/2013 02:56:00,   45.19,   48.69,   41.30,   49.07,   51.75,   46.14
12/11/2013 03:01:00,   47.20,   52.35,   42.53,   50.58,   54.78,   47.32
12/11/2013 03:06:00,   47.70,   53.90,   41.42,   51.74,   56.26,   46.71
12/11/2013 03:11:00,   47.54,   52.92,   40.70,   50.99,   55.34,   46.25
12/11/2013 03:16:00,   49.07,   53.47,   42.15,   52.07,   55.24,   47.85
12/11/2013 03:21:00,   48.07,   52.32,   43.34,   51.48,   54.28,   48.55
12/11/2013 03:26:00,   50.61,   56.54,   44.53,   53.51,   58.05,   48.91
12/11/2013 03:31:00,   48.16,   51.10,   44.41,   51.77,   53.60,   49.40
12/11/2013 03:36:00,   50.95,   56.76,   44.22,   53.88,   58.50,   48.61
12/11/2013 03:41:00,   44.74,   46.25,   42.88,   49.57,   51.04,   47.87
12/11/2013 03:46:00,   46.77,   48.83,   43.86,   51.02,   52.40,   48.51
12/11/2013 03:51:00,   48.12,   50.01,   44.65,   51.44,   52.79,   49.01
12/11/2013 03:56:00,   49.70,   54.08,   44.60,   52.89,   57.33,   48.83
12/11/2013 04:01:00,   49.80,   53.00,   44.70,   52.90,   55.37,   48.98
12/11/2013 04:06:00,   49.32,   53.64,   45.32,   52.49,   55.22,   49.76
12/11/2013 04:11:00,   48.53,   52.29,   44.78,   52.21,   54.87,   49.41
12/11/2013 04:16:00,   46.53,   47.84,   44.63,   51.00,   52.30,   49.13
12/11/2013 04:21:00,   47.94,   49.56,   44.88,   51.56,   52.63,   49.27
12/11/2013 04:26:00,   46.34,   48.00,   43.69,   50.50,   52.08,   48.31
12/11/2013 04:31:00,   49.68,   53.67,   46.39,   53.10,   55.88,   50.59
12/11/2013 04:36:00,   50.37,   54.97,   46.75,   53.51,   57.28,   50.74
12/11/2013 04:41:00,   51.51,   55.90,   47.48,   54.56,   58.25,   51.09
12/11/2013 04:46:00,   49.37,   49.95,   48.13,   53.43,   54.72,   51.80
12/11/2013 04:51:00,   50.55,   51.97,   48.74,   54.76,   55.65,   52.51
12/11/2013 04:56:00,   52.82,   57.07,   48.51,   55.75,   59.09,   52.28
12/11/2013 05:01:00,   51.80,   54.58,   49.11,   55.37,   57.89,   52.79
12/11/2013 05:06:00,   51.94,   54.89,   49.07,   55.16,   57.27,   52.77
12/11/2013 05:11:00,   52.84,   56.18,   50.48,   56.13,   59.25,   53.87
