# noise_analysis run from DCC-NOISE-001003 at Wed Nov 20 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
20/11/2013 00:05:00,   54.54,   58.55,   49.60,   58.02,   61.52,   53.53
20/11/2013 00:10:00,   55.36,   59.57,   49.68,   58.68,   62.31,   53.87
20/11/2013 00:15:00,   54.15,   58.50,   49.23,   57.21,   60.56,   53.11
20/11/2013 00:20:00,   54.05,   57.97,   49.58,   59.22,   62.15,   53.27
20/11/2013 00:25:00,   54.12,   59.03,   48.10,   58.11,   64.15,   51.98
20/11/2013 00:30:00,   54.15,   59.14,   47.92,   57.16,   61.53,   51.62
20/11/2013 00:35:00,   51.42,   55.81,   46.49,   55.04,   58.72,   50.86
20/11/2013 00:40:00,   52.68,   56.57,   45.30,   56.06,   60.21,   49.65
20/11/2013 00:45:00,   51.83,   56.03,   47.50,   54.90,   58.82,   51.26
20/11/2013 00:50:00,   52.23,   56.72,   47.43,   55.88,   59.09,   51.45
20/11/2013 00:55:00,   52.84,   58.87,   47.52,   55.83,   60.65,   51.46
20/11/2013 01:00:00,   53.14,   58.00,   47.73,   56.12,   59.68,   51.76
20/11/2013 01:06:00,   53.48,   58.42,   46.80,   57.03,   60.84,   51.42
20/11/2013 01:11:00,   53.99,   58.08,   48.92,   57.52,   60.99,   52.30
20/11/2013 01:16:00,   53.18,   57.42,   48.59,   57.93,   61.98,   52.78
20/11/2013 01:21:00,   52.74,   56.85,   47.54,   56.88,   60.65,   51.61
20/11/2013 01:26:00,   54.16,   59.08,   48.02,   57.96,   61.99,   52.39
20/11/2013 01:31:00,   54.26,   58.81,   46.40,   59.92,   65.94,   51.29
20/11/2013 01:36:00,   54.51,   58.54,   48.81,   61.00,   65.97,   52.78
20/11/2013 01:41:00,   52.54,   56.31,   47.68,   58.51,   63.79,   52.17
20/11/2013 01:46:00,   51.32,   53.90,   47.68,   56.66,   60.08,   51.87
20/11/2013 01:51:00,   50.85,   52.77,   45.77,   58.86,   63.47,   50.74
20/11/2013 01:56:00,   51.91,   54.83,   47.78,   59.18,   64.39,   53.06
20/11/2013 02:01:00,   53.25,   56.87,   48.24,   60.80,   66.69,   52.52
20/11/2013 02:06:00,   53.35,   57.14,   47.61,   60.66,   66.20,   52.34
20/11/2013 02:11:00,   52.96,   58.16,   46.00,   60.30,   65.55,   50.60
20/11/2013 02:16:00,   54.10,   59.76,   47.51,   60.80,   66.47,   52.60
20/11/2013 02:21:00,   51.82,   56.45,   45.45,   58.05,   62.45,   50.79
20/11/2013 02:26:00,   51.20,   53.19,   46.34,   58.68,   63.32,   51.02
20/11/2013 02:31:00,   53.60,   57.37,   47.54,   58.22,   61.88,   51.72
20/11/2013 02:36:00,   54.09,   59.80,   47.41,   59.42,   64.30,   50.78
20/11/2013 02:41:00,   52.09,   55.33,   47.31,   59.40,   64.35,   52.12
20/11/2013 02:46:00,   47.34,   49.82,   43.53,   53.28,   57.09,   48.47
20/11/2013 02:51:00,   47.70,   50.74,   44.62,   53.46,   56.99,   49.16
20/11/2013 02:56:00,   48.93,   52.43,   45.55,   56.14,   59.97,   49.92
