# noise_analysis run from DCC-NOISE-001003 at Thu Nov 21 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
21/11/2013 00:05:00,   53.32,   58.36,   47.13,   55.77,   59.62,   51.22
21/11/2013 00:10:00,   53.89,   58.06,   47.99,   56.55,   60.23,   51.84
21/11/2013 00:15:00,   54.31,   58.56,   46.82,   57.28,   61.21,   51.32
21/11/2013 00:20:00,   51.60,   57.45,   44.67,   54.05,   59.00,   48.58
21/11/2013 00:25:00,   52.94,   57.72,   47.13,   55.24,   59.38,   50.86
21/11/2013 00:30:00,   50.32,   56.38,   46.40,   53.88,   58.61,   50.21
21/11/2013 00:35:00,   52.43,   57.68,   46.58,   54.79,   59.06,   50.44
21/11/2013 00:40:00,   53.27,   57.80,   45.54,   56.12,   59.66,   50.04
21/11/2013 00:45:00,   51.18,   56.95,   45.83,   53.81,   58.20,   49.87
21/11/2013 00:50:00,   49.13,   52.90,   44.90,   53.37,   56.46,   49.59
21/11/2013 00:55:00,   50.25,   55.29,   45.04,   53.24,   57.24,   49.34
21/11/2013 01:00:00,   52.74,   58.09,   46.18,   54.83,   59.31,   50.08
21/11/2013 01:06:00,   50.17,   55.44,   44.29,   53.14,   57.66,   48.61
21/11/2013 01:11:00,   56.17,   61.88,   46.17,   59.99,   66.69,   50.26
21/11/2013 01:16:00,   48.97,   53.46,   43.68,   52.38,   56.64,   48.01
21/11/2013 01:21:00,   49.36,   55.32,   44.37,   52.48,   57.00,   48.83
21/11/2013 01:26:00,   54.01,   59.55,   46.22,   55.78,   60.41,   49.93
21/11/2013 01:31:00,   47.77,   53.55,   42.10,   51.11,   55.58,   46.45
21/11/2013 01:36:00,   50.15,   56.55,   43.65,   52.85,   57.56,   48.48
21/11/2013 01:41:00,   46.98,   50.13,   43.36,   51.13,   53.93,   47.81
21/11/2013 01:46:00,   49.36,   56.58,   42.53,   52.23,   57.89,   47.61
21/11/2013 01:51:00,   49.13,   54.51,   44.04,   52.03,   56.06,   48.20
21/11/2013 01:56:00,   49.06,   53.67,   44.71,   53.02,   56.90,   48.42
21/11/2013 02:01:00,   49.12,   51.88,   44.23,   54.55,   58.79,   48.65
21/11/2013 02:06:00,   50.51,   55.39,   45.19,   55.24,   59.40,   49.16
21/11/2013 02:11:00,   48.51,   52.11,   43.66,   52.17,   55.34,   48.30
21/11/2013 02:16:00,   49.66,   56.45,   44.57,   52.53,   57.77,   48.45
21/11/2013 02:21:00,   49.91,   54.88,   43.88,   52.88,   56.91,   48.54
21/11/2013 02:26:00,   47.42,   51.52,   43.64,   51.26,   55.50,   48.25
21/11/2013 02:31:00,   48.34,   54.38,   41.42,   50.99,   56.22,   46.08
21/11/2013 02:36:00,   49.22,   54.71,   42.68,   51.86,   56.43,   46.87
21/11/2013 02:41:00,   50.66,   56.44,   43.69,   53.15,   57.72,   48.28
21/11/2013 02:46:00,   45.87,   48.99,   42.10,   49.65,   51.89,   46.66
21/11/2013 02:51:00,   48.74,   54.69,   43.05,   51.93,   57.17,   47.03
21/11/2013 02:56:00,   47.52,   53.58,   42.05,   50.88,   55.69,   46.07
21/11/2013 03:01:00,   50.44,   56.82,   43.91,   53.46,   59.10,   47.53
21/11/2013 03:06:00,   47.65,   52.32,   41.51,   51.32,   55.35,   46.11
21/11/2013 03:11:00,   48.30,   55.34,   43.05,   51.55,   57.01,   46.93
21/11/2013 03:16:00,   49.70,   56.22,   41.30,   52.55,   57.64,   45.24
21/11/2013 03:21:00,   46.01,   50.34,   41.16,   49.80,   52.60,   45.85
21/11/2013 03:26:00,   47.12,   50.23,   42.87,   51.55,   54.49,   48.19
21/11/2013 03:31:00,   45.42,   48.64,   42.27,   50.54,   53.70,   47.73
21/11/2013 03:36:00,   48.02,   52.16,   42.68,   51.99,   56.15,   47.45
21/11/2013 03:41:00,   45.19,   46.64,   41.96,   51.01,   51.91,   46.68
21/11/2013 03:46:00,   45.33,   47.65,   42.67,   50.69,   53.14,   47.00
21/11/2013 03:51:00,   50.33,   55.77,   43.97,   54.62,   60.02,   48.69
21/11/2013 03:56:00,   50.00,   56.88,   43.97,   53.90,   59.71,   48.85
21/11/2013 04:01:00,   48.95,   54.52,   43.10,   53.57,   58.82,   47.83
21/11/2013 04:06:00,   46.54,   50.39,   42.47,   51.02,   54.86,   46.50
21/11/2013 04:11:00,   49.72,   55.51,   43.94,   54.21,   59.44,   48.01
21/11/2013 04:16:00,   49.41,   55.07,   44.94,   54.01,   58.72,   48.63
21/11/2013 04:21:00,   47.26,   51.08,   43.51,   51.28,   55.40,   47.47
21/11/2013 04:26:00,   49.15,   53.43,   44.63,   52.77,   57.64,   49.16
21/11/2013 04:31:00,   48.36,   52.30,   44.35,   52.24,   55.21,   48.59
21/11/2013 04:36:00,   47.09,   49.06,   44.06,   51.42,   53.48,   48.51
21/11/2013 04:41:00,   46.70,   47.79,   43.71,   50.88,   52.26,   47.86
21/11/2013 04:46:00,   48.41,   50.96,   45.24,   52.52,   55.73,   49.34
21/11/2013 04:51:00,   47.75,   50.19,   45.02,   52.26,   54.28,   49.09
21/11/2013 04:56:00,   50.48,   54.99,   45.85,   53.97,   57.76,   49.71
21/11/2013 05:01:00,   47.70,   51.53,   44.41,   51.34,   54.06,   48.33
21/11/2013 05:06:00,   48.30,   51.53,   44.86,   51.89,   54.86,   48.61
21/11/2013 05:11:00,   50.50,   56.36,   45.49,   55.25,   60.01,   49.54
21/11/2013 05:16:00,   50.95,   56.45,   45.10,   53.67,   57.95,   49.46
21/11/2013 05:21:00,   50.68,   55.24,   46.29,   54.56,   59.67,   50.02
21/11/2013 05:26:00,   51.97,   57.85,   45.28,   55.32,   60.88,   48.96
21/11/2013 05:31:00,   52.43,   57.12,   46.64,   55.24,   59.23,   50.80
21/11/2013 05:36:00,   52.26,   57.29,   47.08,   55.55,   60.12,   50.67
21/11/2013 05:41:00,   52.92,   57.49,   47.36,   55.39,   59.28,   51.06
21/11/2013 05:46:00,   51.91,   55.74,   47.87,   55.80,   58.58,   51.55
21/11/2013 05:51:00,   51.97,   56.87,   46.73,   55.34,   59.14,   51.42
21/11/2013 05:56:00,   54.54,   58.12,   48.63,   57.22,   60.55,   52.45
21/11/2013 06:01:00,   54.20,   58.17,   49.16,   57.36,   60.60,   52.75
21/11/2013 06:06:00,   52.70,   56.32,   48.92,   56.55,   60.08,   52.45
