# noise_analysis run from DCC-NOISE-001003 at Fri Nov 22 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
22/11/2013 00:05:00,   53.98,   58.33,   47.89,   56.12,   59.84,   51.88
22/11/2013 00:10:00,   54.91,   59.23,   48.03,   57.05,   61.10,   51.70
22/11/2013 00:15:00,   55.03,   59.57,   48.12,   56.99,   61.46,   51.61
22/11/2013 00:20:00,   53.94,   58.60,   47.71,   56.21,   60.33,   51.37
22/11/2013 00:25:00,   52.32,   57.37,   47.35,   54.61,   58.99,   50.29
22/11/2013 00:30:00,   52.05,   57.30,   47.09,   54.06,   58.28,   50.27
22/11/2013 00:35:00,   55.07,   59.85,   47.95,   56.61,   60.84,   50.70
22/11/2013 00:40:00,   52.92,   58.08,   47.86,   55.13,   59.56,   51.13
22/11/2013 00:45:00,   54.60,   59.79,   47.10,   56.39,   61.05,   50.92
22/11/2013 00:50:00,   54.24,   59.01,   46.75,   55.87,   60.13,   50.22
22/11/2013 00:55:00,   51.99,   56.01,   46.11,   54.25,   57.53,   49.83
22/11/2013 01:00:00,   53.85,   59.81,   44.95,   55.53,   60.68,   49.16
22/11/2013 01:06:00,   54.61,   60.61,   46.09,   56.48,   61.71,   49.95
22/11/2013 01:11:00,   54.20,   58.14,   47.07,   56.05,   59.29,   50.67
22/11/2013 01:16:00,   50.79,   56.07,   44.97,   53.04,   57.26,   48.89
22/11/2013 01:21:00,   50.33,   57.57,   44.55,   52.78,   58.75,   48.46
22/11/2013 01:26:00,   54.16,   59.80,   44.84,   56.14,   60.57,   48.81
22/11/2013 01:31:00,   53.05,   59.67,   45.66,   54.64,   60.12,   48.86
22/11/2013 01:36:00,   54.33,   58.64,   46.43,   55.85,   59.97,   49.71
22/11/2013 01:41:00,   51.05,   57.20,   44.89,   53.12,   58.13,   48.47
22/11/2013 01:46:00,   52.58,   57.83,   45.73,   54.85,   59.45,   49.51
22/11/2013 01:51:00,   46.40,   47.55,   43.23,   49.84,   51.04,   47.45
22/11/2013 01:56:00,   52.34,   57.71,   45.20,   54.58,   59.53,   49.34
22/11/2013 02:01:00,   49.15,   54.52,   42.01,   51.97,   56.48,   46.53
22/11/2013 02:06:00,   48.97,   53.55,   43.60,   51.66,   54.94,   47.83
22/11/2013 02:11:00,   49.82,   55.88,   45.27,   52.96,   57.23,   49.67
22/11/2013 02:16:00,   49.41,   54.68,   42.70,   51.87,   56.76,   47.11
22/11/2013 02:21:00,   50.88,   56.38,   43.25,   53.65,   58.07,   48.01
22/11/2013 02:26:00,   50.05,   56.05,   43.57,   52.57,   57.27,   48.02
22/11/2013 02:31:00,   47.84,   49.18,   43.45,   51.06,   52.28,   47.89
22/11/2013 02:36:00,   51.63,   57.40,   45.28,   53.69,   58.39,   48.91
22/11/2013 02:41:00,   48.90,   54.28,   42.36,   51.46,   55.39,   46.81
22/11/2013 02:46:00,   48.26,   52.89,   43.73,   51.56,   55.11,   47.91
22/11/2013 02:51:00,   49.49,   54.28,   42.93,   52.18,   56.85,   47.29
22/11/2013 02:56:00,   46.74,   48.58,   43.95,   50.72,   52.40,   48.10
22/11/2013 03:01:00,   49.89,   55.38,   43.59,   52.51,   57.05,   47.85
22/11/2013 03:06:00,   50.49,   56.45,   44.24,   52.99,   57.89,   48.36
22/11/2013 03:11:00,   49.52,   55.47,   43.84,   51.86,   57.12,   47.28
22/11/2013 03:16:00,   47.49,   50.47,   42.91,   50.43,   53.52,   46.43
22/11/2013 03:21:00,   48.93,   55.32,   42.87,   51.81,   57.19,   46.40
22/11/2013 03:26:00,   50.48,   57.37,   42.22,   52.81,   59.29,   46.22
22/11/2013 03:31:00,   48.39,   52.83,   42.87,   51.62,   55.34,   47.75
22/11/2013 03:36:00,   47.90,   51.78,   43.04,   51.03,   55.07,   46.69
22/11/2013 03:41:00,   49.37,   54.86,   43.59,   52.46,   56.45,   47.88
22/11/2013 03:46:00,   50.58,   56.76,   44.00,   53.21,   57.81,   48.47
22/11/2013 03:51:00,   50.04,   55.63,   43.30,   52.37,   57.14,   47.23
22/11/2013 03:56:00,   49.08,   54.22,   43.59,   52.58,   56.64,   48.08
22/11/2013 04:01:00,   51.94,   57.96,   43.35,   55.03,   60.11,   47.49
22/11/2013 04:06:00,   48.73,   53.86,   44.20,   51.54,   55.12,   48.15
22/11/2013 04:11:00,   50.03,   56.02,   44.25,   52.66,   57.25,   48.20
22/11/2013 04:16:00,   49.45,   53.74,   44.80,   52.24,   55.66,   48.71
22/11/2013 04:21:00,   48.46,   52.33,   45.37,   51.65,   54.04,   49.25
22/11/2013 04:26:00,   51.33,   56.70,   45.91,   53.84,   57.96,   49.65
22/11/2013 04:31:00,   49.14,   51.73,   45.00,   52.31,   54.83,   48.68
22/11/2013 04:36:00,   47.53,   49.19,   44.51,   51.03,   52.77,   48.19
22/11/2013 04:41:00,   50.84,   55.36,   45.60,   53.49,   57.45,   49.54
22/11/2013 04:46:00,   47.25,   48.44,   44.94,   50.95,   52.38,   48.74
22/11/2013 04:51:00,   50.77,   55.96,   44.16,   53.82,   57.84,   48.67
