# noise_analysis run from DCC-NOISE-001003 at Sat Nov 23 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
23/11/2013 00:05:00,   55.22,   59.77,   48.65,   57.18,   61.07,   51.55
23/11/2013 00:10:00,   54.94,   58.86,   49.10,   56.79,   60.17,   52.44
23/11/2013 00:15:00,   54.96,   58.81,   47.82,   57.15,   60.55,   51.44
23/11/2013 00:20:00,   54.78,   59.50,   48.13,   57.20,   61.59,   51.25
23/11/2013 00:25:00,   54.94,   59.16,   49.02,   56.59,   60.47,   51.82
23/11/2013 00:30:00,   54.82,   58.21,   49.48,   57.80,   60.74,   52.51
23/11/2013 00:35:00,   55.83,   60.34,   48.42,   57.35,   61.67,   50.84
23/11/2013 00:40:00,   54.30,   59.63,   48.43,   56.04,   60.54,   51.18
23/11/2013 00:45:00,   55.30,   60.23,   46.14,   56.78,   60.66,   49.83
23/11/2013 00:50:00,   56.55,   61.82,   48.52,   58.04,   62.50,   51.41
23/11/2013 00:55:00,   55.00,   59.26,   49.56,   56.93,   60.41,   52.94
23/11/2013 01:00:00,   56.27,   60.51,   49.55,   57.89,   61.58,   52.66
23/11/2013 01:06:00,   54.96,   59.43,   48.59,   56.77,   60.79,   51.27
23/11/2013 01:11:00,   55.45,   59.87,   47.96,   57.17,   60.94,   50.45
23/11/2013 01:16:00,   55.60,   60.10,   49.00,   57.24,   61.46,   51.86
23/11/2013 01:21:00,   56.85,   61.43,   50.34,   58.24,   62.35,   52.56
23/11/2013 01:26:00,   54.78,   60.25,   48.92,   56.54,   61.63,   51.83
23/11/2013 01:31:00,   54.95,   60.23,   49.00,   57.03,   61.53,   52.24
23/11/2013 01:36:00,   55.23,   60.49,   47.98,   58.11,   63.44,   51.45
23/11/2013 01:41:00,   55.07,   58.99,   48.52,   57.09,   61.07,   51.56
23/11/2013 01:46:00,   54.58,   59.14,   47.92,   56.31,   60.56,   50.86
23/11/2013 01:51:00,   55.12,   58.86,   49.82,   56.73,   59.99,   52.60
