# noise_analysis run from DCC-NOISE-001003 at Sun Nov 24 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
24/11/2013 00:05:00,   55.72,   60.63,   48.54,   57.40,   61.72,   51.28
24/11/2013 00:10:00,   55.36,   59.13,   49.22,   57.14,   60.84,   51.52
24/11/2013 00:15:00,   56.31,   61.04,   49.51,   57.62,   62.03,   51.06
24/11/2013 00:20:00,   54.57,   59.08,   47.21,   56.09,   60.42,   49.49
24/11/2013 00:25:00,   54.40,   58.18,   48.96,   56.82,   59.94,   51.61
24/11/2013 00:30:00,   56.12,   60.58,   48.97,   57.29,   61.30,   51.09
24/11/2013 00:35:00,   54.86,   60.36,   46.83,   56.87,   62.66,   49.25
24/11/2013 00:40:00,   55.40,   59.72,   48.60,   57.66,   62.26,   51.15
24/11/2013 00:45:00,   54.84,   59.10,   46.26,   56.54,   60.41,   48.48
24/11/2013 00:50:00,   55.84,   60.74,   47.31,   57.55,   61.92,   49.64
24/11/2013 00:55:00,   55.41,   59.92,   48.19,   58.39,   63.21,   50.56
24/11/2013 01:00:00,   55.30,   59.81,   49.25,   58.45,   62.64,   51.64
24/11/2013 01:06:00,   54.60,   60.46,   46.22,   56.30,   61.95,   48.32
24/11/2013 01:11:00,   54.95,   60.47,   46.72,   56.69,   61.73,   48.67
24/11/2013 01:16:00,   54.84,   60.17,   46.46,   56.24,   61.09,   48.60
24/11/2013 01:21:00,   55.38,   60.47,   47.11,   57.07,   61.95,   49.32
24/11/2013 01:26:00,   55.63,   60.02,   46.62,   56.88,   60.87,   48.88
24/11/2013 01:31:00,   53.82,   59.49,   46.28,   55.70,   60.76,   48.49
24/11/2013 01:36:00,   55.14,   60.73,   46.13,   57.45,   62.44,   48.59
24/11/2013 01:41:00,   52.94,   57.93,   45.49,   55.67,   60.26,   48.20
24/11/2013 01:46:00,   55.12,   60.28,   47.90,   57.03,   61.52,   49.96
24/11/2013 01:51:00,   56.43,   60.43,   48.53,   58.25,   62.09,   50.84
24/11/2013 01:56:00,   55.23,   59.55,   48.00,   56.62,   60.71,   50.40
24/11/2013 02:01:00,   55.41,   60.24,   47.30,   56.74,   61.46,   49.59
24/11/2013 02:06:00,   56.98,   61.15,   49.07,   58.33,   62.09,   51.01
24/11/2013 02:11:00,   55.99,   60.44,   48.25,   57.22,   61.31,   50.42
24/11/2013 02:16:00,   55.54,   59.16,   49.38,   57.54,   61.20,   52.03
24/11/2013 02:21:00,   53.58,   59.19,   44.26,   55.54,   60.13,   47.43
24/11/2013 02:26:00,   52.38,   56.60,   45.96,   54.07,   58.31,   48.26
24/11/2013 02:31:00,   54.19,   59.03,   43.88,   55.70,   60.23,   46.91
24/11/2013 02:36:00,   53.33,   59.39,   44.57,   54.68,   59.98,   46.99
24/11/2013 02:41:00,   52.94,   57.89,   44.31,   54.32,   58.95,   46.35
24/11/2013 02:46:00,   52.43,   57.19,   45.95,   54.29,   58.85,   48.63
24/11/2013 02:51:00,   52.79,   58.93,   43.65,   54.42,   59.94,   46.12
24/11/2013 02:56:00,   55.75,   60.06,   48.08,   56.92,   60.85,   50.16
24/11/2013 03:01:00,   54.15,   59.30,   44.94,   55.47,   60.20,   47.03
24/11/2013 03:06:00,   53.46,   58.97,   45.72,   55.42,   59.99,   47.99
24/11/2013 03:11:00,   53.73,   59.25,   45.49,   55.03,   60.30,   48.29
24/11/2013 03:16:00,   52.81,   58.41,   45.33,   55.27,   60.95,   47.61
