# noise_analysis run from DCC-NOISE-001003 at Mon Dec  2 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
02/12/2013 00:05:00,   52.26,   57.89,   43.19,   55.18,   59.63,   45.93
02/12/2013 00:10:00,   51.33,   57.13,   44.17,   53.02,   58.78,   46.21
02/12/2013 00:15:00,   51.74,   57.09,   44.69,   53.63,   58.65,   46.47
02/12/2013 00:20:00,   53.87,   58.97,   44.61,   55.26,   59.74,   46.46
02/12/2013 00:25:00,   54.34,   60.60,   43.34,   55.76,   60.87,   46.73
02/12/2013 00:30:00,   53.05,   57.96,   44.00,   54.08,   58.67,   45.95
02/12/2013 00:35:00,   51.19,   57.61,   41.07,   52.73,   58.79,   43.26
02/12/2013 00:40:00,   53.68,   59.20,   43.04,   54.89,   60.52,   45.58
02/12/2013 00:45:00,   50.79,   57.26,   41.09,   51.95,   57.73,   43.51
02/12/2013 00:50:00,   53.98,   58.60,   45.41,   55.69,   60.23,   48.11
02/12/2013 00:55:00,   53.56,   59.47,   41.77,   57.63,   61.95,   44.67
02/12/2013 01:00:00,   51.35,   56.84,   40.61,   52.62,   57.79,   43.16
02/12/2013 01:07:00,   52.20,   57.70,   43.62,   53.57,   58.61,   45.82
02/12/2013 01:12:00,   52.90,   58.70,   43.66,   54.19,   59.54,   45.98
02/12/2013 01:17:00,   53.05,   58.75,   43.69,   54.82,   60.43,   46.31
02/12/2013 01:22:00,   54.16,   59.96,   44.37,   55.73,   61.19,   47.85
02/12/2013 01:27:00,   53.04,   58.67,   44.11,   55.21,   60.95,   47.06
02/12/2013 01:32:00,   51.59,   58.17,   39.16,   53.20,   59.58,   42.71
02/12/2013 01:37:00,   49.19,   56.64,   39.33,   50.96,   57.64,   42.81
02/12/2013 01:42:00,   51.22,   57.11,   42.40,   52.64,   58.33,   44.81
02/12/2013 01:47:00,   45.72,   52.76,   38.25,   47.70,   53.85,   41.51
02/12/2013 01:52:00,   48.66,   55.67,   38.27,   50.32,   57.24,   41.36
02/12/2013 01:57:00,   49.14,   56.27,   40.07,   50.51,   57.06,   42.57
02/12/2013 02:02:00,   49.54,   56.22,   39.78,   50.97,   57.70,   42.77
02/12/2013 02:07:00,   50.94,   57.53,   39.57,   53.50,   59.69,   43.55
02/12/2013 02:12:00,   44.23,   48.31,   37.08,   46.56,   50.06,   41.26
02/12/2013 02:17:00,   48.68,   56.89,   37.03,   50.23,   57.76,   41.76
