# noise_analysis run from DCC-NOISE-001003 at Tue Dec  3 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
03/12/2013 00:05:00,   52.90,   57.27,   47.12,   55.95,   59.21,   50.32
03/12/2013 00:10:00,   53.50,   59.17,   45.70,   55.83,   60.61,   49.24
03/12/2013 00:15:00,   52.44,   57.81,   45.87,   54.30,   58.94,   49.45
03/12/2013 00:20:00,   53.57,   59.30,   46.39,   55.10,   60.10,   49.65
03/12/2013 00:25:00,   53.09,   57.94,   47.79,   54.92,   58.79,   50.94
03/12/2013 00:30:00,   52.36,   56.73,   46.56,   54.71,   58.54,   50.22
03/12/2013 00:35:00,   54.12,   59.19,   46.83,   55.82,   60.13,   50.29
03/12/2013 00:40:00,   49.84,   55.07,   44.64,   52.65,   56.96,   48.91
03/12/2013 00:45:00,   53.01,   58.27,   44.25,   55.50,   60.57,   48.11
03/12/2013 00:50:00,   51.64,   57.89,   44.63,   56.42,   61.52,   49.05
03/12/2013 00:55:00,   49.88,   55.25,   44.73,   52.85,   57.27,   49.06
03/12/2013 01:00:00,   53.03,   58.91,   45.34,   55.13,   60.16,   49.43
03/12/2013 01:07:00,   52.28,   58.28,   45.45,   54.34,   59.67,   49.26
03/12/2013 01:12:00,   50.45,   55.01,   44.78,   53.36,   56.90,   49.16
03/12/2013 01:17:00,   52.81,   60.38,   43.49,   54.37,   61.25,   48.02
03/12/2013 01:22:00,   53.48,   59.36,   44.00,   55.26,   60.17,   48.20
03/12/2013 01:27:00,   48.79,   52.49,   43.97,   52.08,   54.91,   48.79
03/12/2013 01:32:00,   50.45,   55.95,   45.41,   53.57,   57.98,   49.42
03/12/2013 01:37:00,   52.09,   57.76,   44.55,   54.27,   59.07,   49.02
03/12/2013 01:42:00,   46.21,   47.95,   43.15,   50.54,   52.55,   47.76
03/12/2013 01:47:00,   47.97,   52.32,   43.71,   52.40,   56.15,   48.27
03/12/2013 01:52:00,   49.54,   55.71,   43.06,   52.08,   56.81,   47.63
03/12/2013 01:57:00,   51.22,   58.38,   43.51,   52.88,   59.09,   47.32
03/12/2013 02:02:00,   47.55,   49.94,   42.82,   50.64,   52.71,   47.18
03/12/2013 02:07:00,   50.62,   57.59,   43.86,   55.08,   60.02,   48.30
03/12/2013 02:12:00,   51.28,   57.18,   44.88,   54.48,   59.43,   49.50
03/12/2013 02:17:00,   47.60,   52.71,   42.72,   50.87,   54.23,   47.54
03/12/2013 02:22:00,   47.49,   53.49,   41.82,   50.44,   56.09,   46.32
03/12/2013 02:27:00,   50.90,   57.04,   43.69,   52.78,   57.56,   47.84
03/12/2013 02:32:00,   46.72,   50.72,   41.10,   49.85,   53.20,   45.80
03/12/2013 02:37:00,   45.20,   50.07,   40.61,   48.64,   52.58,   45.24
03/12/2013 02:42:00,   42.63,   44.02,   41.00,   47.17,   48.37,   45.83
03/12/2013 02:47:00,   48.48,   52.45,   42.96,   52.42,   55.94,   47.84
03/12/2013 02:52:00,   47.72,   53.28,   43.08,   50.70,   54.47,   47.57
03/12/2013 02:57:00,   49.48,   56.30,   42.24,   51.95,   57.45,   46.77
03/12/2013 03:02:00,   46.11,   49.17,   42.12,   50.11,   52.92,   46.92
03/12/2013 03:07:00,   48.46,   53.83,   42.65,   52.26,   56.57,   48.26
03/12/2013 03:12:00,   46.40,   47.86,   43.45,   50.29,   51.80,   47.82
03/12/2013 03:17:00,   47.98,   51.59,   43.43,   50.99,   53.16,   47.97
03/12/2013 03:22:00,   49.93,   55.97,   43.26,   52.64,   57.45,   48.61
03/12/2013 03:27:00,   46.74,   50.20,   42.53,   50.23,   52.81,   47.00
03/12/2013 03:32:00,   43.93,   45.46,   41.97,   48.28,   49.65,   46.36
03/12/2013 03:37:00,   43.59,   44.39,   42.49,   47.68,   48.52,   46.56
03/12/2013 03:42:00,   50.39,   55.74,   43.50,   52.83,   57.47,   47.19
03/12/2013 03:47:00,   46.87,   53.29,   40.45,   49.69,   54.48,   45.14
03/12/2013 03:52:00,   46.21,   47.92,   42.57,   49.40,   50.88,   46.69
03/12/2013 03:57:00,   46.43,   50.26,   41.42,   49.92,   52.92,   45.58
03/12/2013 04:02:00,   48.58,   52.43,   43.48,   51.05,   53.40,   47.68
03/12/2013 04:07:00,   48.70,   53.51,   43.61,   51.78,   55.17,   47.90
03/12/2013 04:12:00,   49.20,   54.77,   43.46,   51.74,   56.53,   47.64
03/12/2013 04:17:00,   48.42,   52.48,   44.69,   51.82,   55.20,   48.14
03/12/2013 04:22:00,   48.05,   51.98,   42.77,   51.23,   54.32,   47.39
03/12/2013 04:27:00,   46.90,   50.37,   42.60,   50.53,   53.28,   47.11
03/12/2013 04:32:00,   49.41,   53.18,   44.85,   52.30,   56.23,   48.79
03/12/2013 04:37:00,   47.78,   52.18,   43.75,   50.86,   53.94,   48.08
03/12/2013 04:42:00,   49.04,   52.56,   45.61,   52.28,   54.99,   49.68
03/12/2013 04:47:00,   50.00,   54.99,   45.39,   52.62,   56.40,   49.17
03/12/2013 04:52:00,   47.36,   49.28,   44.90,   50.69,   51.93,   48.71
03/12/2013 04:57:00,   49.39,   53.29,   45.92,   52.40,   55.16,   49.61
03/12/2013 05:02:00,   48.65,   51.45,   45.44,   52.21,   55.14,   48.97
03/12/2013 05:07:00,   50.35,   55.42,   46.47,   53.85,   57.57,   49.99
03/12/2013 05:12:00,   49.76,   52.46,   46.33,   52.87,   56.66,   49.69
03/12/2013 05:17:00,   51.01,   54.85,   46.15,   53.90,   56.97,   49.83
03/12/2013 05:22:00,   50.92,   56.00,   46.30,   54.51,   59.43,   50.17
03/12/2013 05:27:00,   51.46,   56.13,   46.75,   54.12,   57.76,   50.40
03/12/2013 05:32:00,   52.28,   57.22,   47.89,   54.69,   58.49,   51.37
03/12/2013 05:37:00,   53.94,   58.91,   48.41,   56.46,   60.93,   52.07
03/12/2013 05:42:00,   53.04,   57.42,   48.38,   55.66,   59.06,   52.23
03/12/2013 05:47:00,   53.48,   58.34,   48.63,   55.54,   59.44,   52.00
03/12/2013 05:52:00,   51.89,   55.95,   47.67,   54.64,   57.66,   51.29
03/12/2013 05:57:00,   54.59,   59.52,   48.05,   56.65,   61.14,   51.87
03/12/2013 06:02:00,   53.23,   57.65,   48.32,   55.82,   59.63,   51.95
03/12/2013 06:07:00,   52.04,   56.27,   47.99,   55.59,   59.12,   51.89
03/12/2013 06:12:00,   51.81,   55.37,   48.27,   56.54,   60.86,   52.13
03/12/2013 06:17:00,   54.06,   58.44,   49.45,   56.93,   60.69,   53.10
03/12/2013 06:22:00,   54.12,   58.76,   50.02,   57.11,   60.66,   53.34
03/12/2013 06:27:00,   55.20,   58.45,   50.94,   57.97,   60.54,   54.23
03/12/2013 06:32:00,   55.12,   58.63,   50.22,   58.33,   61.57,   53.48
03/12/2013 06:37:00,   57.38,   61.17,   52.37,   61.48,   64.82,   55.76
03/12/2013 06:42:00,   55.46,   58.06,   51.69,   59.04,   62.08,   55.01
03/12/2013 06:47:00,   59.12,   64.16,   52.54,   63.89,   69.83,   55.85
03/12/2013 06:52:00,   56.91,   60.31,   52.47,   60.46,   63.49,   56.23
03/12/2013 06:57:00,   56.78,   59.76,   52.61,   60.28,   63.75,   56.03
03/12/2013 07:02:00,   57.26,   60.63,   52.69,   60.92,   63.92,   56.86
03/12/2013 07:07:00,   58.61,   61.96,   52.89,   61.74,   65.51,   55.90
03/12/2013 07:12:00,   57.28,   60.38,   53.18,   60.22,   62.65,   56.54
03/12/2013 07:17:00,   57.82,   60.63,   54.73,   61.16,   63.70,   58.06
03/12/2013 07:22:00,   57.97,   61.65,   52.79,   62.82,   66.68,   57.43
03/12/2013 07:27:00,   58.40,   61.55,   53.33,   62.31,   65.71,   57.27
03/12/2013 07:32:00,   58.45,   61.97,   54.31,   62.33,   66.07,   58.11
03/12/2013 07:37:00,   58.56,   61.16,   54.67,   62.54,   65.67,   57.93
03/12/2013 07:42:00,   58.97,   61.65,   55.30,   62.63,   65.17,   59.41
03/12/2013 07:47:00,   59.33,   62.20,   55.39,   63.16,   65.93,   59.00
03/12/2013 07:52:00,   58.97,   61.45,   55.47,   62.88,   65.20,   59.20
03/12/2013 07:57:00,   58.48,   61.38,   54.42,   62.71,   66.47,   58.67
03/12/2013 08:02:00,   59.22,   63.18,   54.25,   64.21,   68.21,   58.90
03/12/2013 08:07:00,   57.94,   61.12,   54.95,   61.90,   64.54,   59.00
03/12/2013 08:12:00,   59.15,   62.28,   54.77,   63.40,   67.36,   59.77
03/12/2013 08:17:00,   59.14,   62.37,   54.46,   62.14,   65.00,   57.69
03/12/2013 08:22:00,   59.88,   62.60,   56.24,   62.97,   65.19,   59.88
03/12/2013 08:27:00,   58.93,   61.35,   55.72,   62.50,   64.66,   59.68
03/12/2013 08:32:00,   58.25,   61.36,   54.57,   62.31,   65.87,   58.54
03/12/2013 08:37:00,   57.60,   60.11,   55.06,   62.11,   64.66,   59.83
03/12/2013 08:42:00,   58.97,   61.89,   55.11,   64.21,   67.44,   59.04
03/12/2013 08:47:00,   58.63,   61.41,   54.83,   63.85,   66.92,   59.54
03/12/2013 08:52:00,   58.56,   62.66,   55.21,   62.47,   66.51,   59.18
03/12/2013 08:57:00,   58.96,   61.71,   55.69,   62.82,   64.70,   59.64
03/12/2013 09:02:00,   58.95,   61.21,   55.76,   62.81,   64.68,   59.96
03/12/2013 09:07:00,   59.51,   62.26,   55.40,   62.68,   64.85,   59.52
