# noise_analysis run from DCC-NOISE-001003 at Wed Dec  4 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
04/12/2013 00:05:00,   52.28,   57.76,   45.67,   54.87,   60.12,   48.33
04/12/2013 00:10:00,   53.31,   57.64,   46.70,   54.91,   58.62,   49.98
04/12/2013 00:15:00,   52.44,   58.03,   45.30,   54.16,   58.68,   48.84
04/12/2013 00:20:00,   53.03,   57.99,   45.34,   54.44,   58.99,   48.29
04/12/2013 00:25:00,   53.27,   59.02,   46.98,   54.76,   59.80,   49.52
04/12/2013 00:30:00,   52.62,   58.58,   44.64,   54.23,   59.33,   48.09
04/12/2013 00:35:00,   53.43,   58.53,   45.83,   54.97,   59.43,   49.05
04/12/2013 00:40:00,   51.50,   57.73,   45.34,   53.25,   58.41,   48.49
04/12/2013 00:45:00,   50.05,   54.65,   42.68,   52.23,   56.35,   46.41
04/12/2013 00:50:00,   55.02,   61.42,   45.14,   56.23,   61.90,   48.54
04/12/2013 00:55:00,   53.54,   60.08,   45.55,   56.97,   62.72,   48.58
04/12/2013 01:00:00,   50.75,   56.12,   42.74,   52.75,   57.43,   47.54
04/12/2013 01:07:00,   53.34,   59.74,   45.71,   54.76,   60.19,   48.88
04/12/2013 01:12:00,   53.22,   58.61,   45.00,   54.88,   60.12,   48.51
04/12/2013 01:17:00,   53.65,   59.00,   45.20,   55.54,   59.55,   48.98
04/12/2013 01:22:00,   52.58,   58.90,   45.16,   54.25,   59.66,   48.55
04/12/2013 01:27:00,   49.71,   55.58,   43.62,   52.12,   56.53,   47.53
04/12/2013 01:32:00,   51.97,   59.56,   43.82,   53.74,   60.30,   47.74
04/12/2013 01:37:00,   47.78,   50.06,   42.99,   50.64,   52.06,   47.19
04/12/2013 01:42:00,   49.49,   54.56,   43.59,   52.16,   56.38,   47.83
04/12/2013 01:47:00,   50.76,   57.83,   42.72,   52.68,   58.00,   46.94
04/12/2013 01:52:00,   50.46,   56.90,   43.09,   52.42,   57.76,   46.99
04/12/2013 01:57:00,   50.28,   57.86,   42.62,   52.49,   58.83,   47.07
04/12/2013 02:02:00,   49.74,   54.34,   43.70,   52.23,   56.89,   47.24
04/12/2013 02:07:00,   52.21,   58.92,   44.70,   54.03,   59.34,   48.80
04/12/2013 02:12:00,   48.45,   53.98,   42.66,   50.87,   55.21,   46.85
04/12/2013 02:17:00,   50.78,   57.41,   44.00,   52.70,   58.34,   47.98
04/12/2013 02:22:00,   45.87,   48.57,   42.02,   49.50,   51.97,   46.62
04/12/2013 02:27:00,   49.27,   54.68,   42.52,   51.92,   55.98,   46.69
04/12/2013 02:32:00,   45.17,   47.93,   42.09,   49.65,   52.81,   46.55
04/12/2013 02:37:00,   46.49,   52.25,   41.71,   49.84,   53.71,   46.17
04/12/2013 02:42:00,   47.60,   53.63,   42.15,   51.65,   56.05,   47.34
04/12/2013 02:47:00,   47.62,   52.72,   42.62,   51.53,   54.73,   47.72
04/12/2013 02:52:00,   48.49,   52.78,   43.89,   51.21,   54.60,   47.44
04/12/2013 02:57:00,   46.89,   50.74,   42.33,   50.36,   52.77,   46.78
04/12/2013 03:02:00,   46.39,   49.35,   42.23,   49.98,   52.28,   46.71
04/12/2013 03:07:00,   48.65,   53.13,   43.12,   51.41,   54.85,   47.49
04/12/2013 03:12:00,   48.71,   55.37,   42.13,   51.55,   57.05,   46.52
04/12/2013 03:17:00,   48.23,   54.27,   41.89,   51.11,   54.82,   46.43
04/12/2013 03:22:00,   48.45,   54.94,   43.61,   51.59,   56.01,   47.91
04/12/2013 03:27:00,   47.87,   53.10,   43.66,   51.43,   55.68,   48.05
04/12/2013 03:32:00,   49.43,   55.62,   43.87,   52.31,   57.02,   48.30
04/12/2013 03:37:00,   49.61,   53.04,   44.29,   52.71,   55.49,   48.76
04/12/2013 03:42:00,   47.24,   49.30,   43.69,   51.03,   52.21,   48.55
04/12/2013 03:47:00,   49.83,   55.20,   44.32,   52.44,   57.09,   48.27
04/12/2013 03:52:00,   49.76,   54.42,   44.37,   52.63,   56.52,   48.22
04/12/2013 03:57:00,   50.21,   54.45,   44.63,   53.03,   56.43,   49.16
04/12/2013 04:02:00,   48.41,   48.89,   46.06,   51.72,   52.48,   49.64
04/12/2013 04:07:00,   46.00,   47.65,   43.69,   49.96,   51.65,   47.86
04/12/2013 04:12:00,   49.52,   52.28,   45.28,   52.89,   55.76,   49.34
04/12/2013 04:17:00,   49.35,   51.52,   44.74,   52.63,   56.24,   48.78
04/12/2013 04:22:00,   50.41,   55.00,   46.12,   53.09,   56.94,   49.67
04/12/2013 04:27:00,   49.61,   52.37,   46.70,   52.57,   54.50,   50.27
04/12/2013 04:32:00,   50.99,   55.99,   45.60,   53.19,   57.30,   49.20
04/12/2013 04:37:00,   49.34,   51.04,   46.60,   52.80,   54.67,   50.36
04/12/2013 04:42:00,   51.19,   53.89,   47.53,   54.23,   56.41,   51.13
04/12/2013 04:47:00,   51.42,   54.74,   48.01,   54.01,   56.23,   51.43
04/12/2013 04:52:00,   51.01,   55.37,   47.74,   53.65,   57.12,   50.97
04/12/2013 04:57:00,   53.66,   57.95,   49.57,   56.05,   60.02,   52.66
04/12/2013 05:02:00,   52.43,   56.40,   48.83,   55.02,   57.79,   52.29
04/12/2013 05:07:00,   50.71,   52.38,   48.42,   53.91,   54.94,   51.97
04/12/2013 05:12:00,   51.53,   54.23,   48.15,   54.36,   56.45,   51.67
04/12/2013 05:17:00,   51.56,   53.56,   49.23,   54.54,   55.83,   52.45
04/12/2013 05:22:00,   53.58,   57.06,   50.65,   56.85,   60.06,   53.66
04/12/2013 05:27:00,   54.15,   58.88,   49.96,   57.64,   62.19,   52.86
04/12/2013 05:32:00,   56.24,   59.51,   52.49,   59.12,   62.33,   55.34
04/12/2013 05:37:00,   56.62,   61.04,   51.15,   59.81,   63.70,   54.31
04/12/2013 05:42:00,   55.71,   59.50,   52.36,   57.90,   60.86,   55.32
04/12/2013 05:47:00,   55.75,   60.23,   51.33,   58.09,   61.69,   54.18
04/12/2013 05:52:00,   56.56,   59.62,   53.38,   59.00,   61.56,   56.38
04/12/2013 05:57:00,   56.88,   60.68,   53.65,   58.80,   61.66,   56.40
04/12/2013 06:02:00,   57.35,   60.11,   53.49,   59.85,   62.54,   56.79
04/12/2013 06:07:00,   55.72,   59.14,   52.75,   58.24,   60.76,   55.57
04/12/2013 06:12:00,   55.80,   58.20,   53.18,   58.54,   60.50,   56.43
04/12/2013 06:17:00,   57.65,   61.52,   53.91,   61.45,   64.58,   57.51
04/12/2013 06:22:00,   57.78,   61.40,   54.53,   60.45,   63.79,   57.52
04/12/2013 06:27:00,   57.13,   60.07,   54.74,   59.97,   62.15,   57.79
04/12/2013 06:32:00,   57.72,   60.03,   55.27,   60.92,   63.81,   58.52
04/12/2013 06:37:00,   58.67,   61.23,   55.75,   61.72,   63.84,   58.94
04/12/2013 06:42:00,   59.23,   62.09,   56.58,   62.01,   64.27,   59.80
04/12/2013 06:47:00,   59.88,   62.84,   56.20,   63.58,   66.67,   60.03
04/12/2013 06:52:00,   60.65,   62.70,   57.78,   64.34,   66.41,   61.17
04/12/2013 06:57:00,   60.88,   63.06,   58.01,   64.16,   66.60,   61.23
04/12/2013 07:02:00,   61.11,   63.06,   58.84,   63.98,   65.66,   61.76
04/12/2013 07:07:00,   60.67,   62.47,   58.46,   63.19,   64.87,   61.39
04/12/2013 07:12:00,   61.32,   64.00,   58.64,   64.17,   66.72,   61.58
04/12/2013 07:17:00,   61.21,   62.94,   59.15,   64.05,   65.95,   61.86
04/12/2013 07:22:00,   61.37,   63.01,   59.32,   64.50,   66.10,   62.67
04/12/2013 07:27:00,   61.01,   62.84,   59.11,   64.00,   65.45,   62.13
04/12/2013 07:32:00,   61.63,   63.86,   59.34,   64.73,   66.88,   62.55
04/12/2013 07:37:00,   61.07,   63.14,   58.78,   63.86,   65.92,   61.83
04/12/2013 07:42:00,   62.16,   63.97,   59.26,   65.20,   66.86,   62.65
04/12/2013 07:47:00,   61.34,   63.63,   59.07,   63.98,   66.13,   61.82
04/12/2013 07:52:00,   60.94,   63.01,   58.29,   64.16,   66.17,   61.61
04/12/2013 07:57:00,   61.50,   63.91,   58.01,   64.74,   67.62,   61.71
04/12/2013 08:02:00,   65.86,   66.22,   59.09,   67.42,   67.80,   62.31
04/12/2013 08:07:00,   61.84,   63.90,   59.46,   64.24,   65.72,   62.50
04/12/2013 08:12:00,   60.70,   62.79,   58.62,   63.80,   65.47,   61.76
04/12/2013 08:17:00,   61.44,   63.76,   58.40,   65.17,   67.42,   62.33
04/12/2013 08:22:00,   60.97,   63.55,   58.36,   64.59,   66.90,   61.87
04/12/2013 08:27:00,   60.91,   63.14,   58.75,   64.10,   65.91,   62.02
04/12/2013 08:32:00,   60.57,   62.57,   58.24,   63.97,   65.69,   61.77
04/12/2013 08:37:00,   61.20,   63.38,   59.01,   64.87,   67.12,   62.51
04/12/2013 08:42:00,   61.14,   63.19,   58.45,   65.00,   67.61,   62.39
04/12/2013 08:47:00,   60.97,   63.19,   58.66,   64.40,   66.28,   62.42
04/12/2013 08:52:00,   61.10,   62.76,   59.10,   64.71,   66.17,   62.75
04/12/2013 08:57:00,   62.52,   64.19,   60.05,   65.85,   67.26,   63.62
04/12/2013 09:02:00,   63.23,   64.69,   61.70,   65.75,   67.15,   64.15
04/12/2013 09:07:00,   63.59,   65.10,   61.58,   65.69,   67.31,   63.86
04/12/2013 09:12:00,   62.21,   63.94,   59.61,   65.15,   67.08,   62.73
04/12/2013 09:17:00,   61.97,   64.18,   59.39,   65.32,   67.39,   62.75
04/12/2013 09:22:00,   61.93,   63.96,   59.46,   65.25,   67.12,   63.02
04/12/2013 09:27:00,   61.75,   63.76,   59.46,   65.12,   67.01,   62.82
04/12/2013 09:32:00,   61.35,   63.15,   58.93,   65.02,   67.08,   62.62
04/12/2013 09:37:00,   61.45,   63.44,   58.79,   64.82,   66.67,   62.65
04/12/2013 09:42:00,   62.22,   64.19,   59.61,   65.10,   66.95,   63.18
04/12/2013 09:47:00,   62.09,   64.16,   59.25,   64.97,   66.65,   62.56
04/12/2013 09:52:00,   63.51,   65.27,   60.99,   65.51,   67.04,   63.47
04/12/2013 09:57:00,   63.79,   65.59,   60.80,   67.06,   69.15,   63.30
04/12/2013 10:02:00,   63.03,   64.78,   60.64,   65.72,   67.47,   63.76
04/12/2013 10:07:00,   60.95,   63.40,   58.33,   63.94,   65.65,   61.78
04/12/2013 10:12:00,   61.90,   64.00,   59.52,   64.91,   66.47,   62.83
04/12/2013 10:17:00,   62.08,   64.14,   59.02,   64.86,   66.78,   62.10
