# noise_analysis run from DCC-NOISE-001003 at Thu Dec  5 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
05/12/2013 00:05:00,   55.80,   59.16,   51.13,   58.80,   61.76,   54.44
05/12/2013 00:10:00,   54.69,   59.01,   48.72,   57.83,   61.27,   52.37
05/12/2013 00:15:00,   55.64,   59.41,   50.58,   58.33,   61.93,   54.09
05/12/2013 00:20:00,   54.43,   58.69,   49.00,   57.34,   61.34,   52.68
05/12/2013 00:25:00,   54.28,   58.18,   48.25,   57.02,   60.19,   52.32
05/12/2013 00:30:00,   54.27,   58.98,   48.02,   58.53,   62.02,   52.22
05/12/2013 00:35:00,   55.06,   58.45,   49.67,   58.83,   62.42,   53.23
05/12/2013 00:40:00,   54.05,   59.13,   48.17,   58.11,   62.47,   53.03
05/12/2013 00:45:00,   55.25,   59.88,   49.47,   58.98,   62.17,   53.24
05/12/2013 00:50:00,   53.34,   58.38,   45.59,   56.19,   60.27,   50.65
05/12/2013 00:55:00,   54.92,   58.59,   48.49,   60.04,   64.84,   52.28
05/12/2013 01:00:00,   52.70,   57.04,   46.17,   57.00,   60.98,   50.68
05/12/2013 01:07:00,   54.30,   59.25,   48.37,   58.94,   63.74,   51.97
05/12/2013 01:12:00,   53.81,   58.59,   48.17,   57.73,   61.31,   51.98
05/12/2013 01:17:00,   53.82,   58.55,   48.13,   58.13,   61.93,   51.69
05/12/2013 01:22:00,   51.58,   56.12,   46.61,   54.98,   58.48,   50.86
05/12/2013 01:27:00,   51.56,   56.56,   46.31,   56.22,   60.42,   50.62
05/12/2013 01:32:00,   54.05,   59.41,   47.05,   58.10,   62.09,   51.93
05/12/2013 01:37:00,   53.89,   58.19,   47.05,   58.59,   62.60,   52.13
05/12/2013 01:42:00,   52.04,   56.44,   46.74,   58.08,   61.35,   51.27
05/12/2013 01:47:00,   51.55,   55.69,   46.17,   57.85,   63.42,   50.95
05/12/2013 01:52:00,   53.11,   57.80,   47.25,   59.09,   62.28,   52.44
05/12/2013 01:57:00,   51.52,   55.54,   46.95,   57.13,   61.38,   51.66
05/12/2013 02:02:00,   54.60,   59.07,   47.91,   59.68,   63.32,   52.52
05/12/2013 02:07:00,   53.97,   58.86,   47.64,   60.30,   62.30,   52.40
05/12/2013 02:12:00,   51.76,   55.86,   47.12,   55.80,   59.08,   51.83
05/12/2013 02:17:00,   52.55,   56.12,   47.44,   57.98,   61.82,   52.40
05/12/2013 02:22:00,   53.96,   58.42,   47.66,   58.88,   63.24,   52.02
05/12/2013 02:27:00,   52.26,   56.76,   46.66,   57.77,   62.49,   51.74
05/12/2013 02:32:00,   52.80,   56.46,   47.35,   57.81,   61.71,   52.24
05/12/2013 02:37:00,   55.30,   59.16,   47.89,   62.59,   65.73,   52.62
05/12/2013 02:42:00,   55.06,   59.40,   49.00,   62.93,   69.40,   53.49
05/12/2013 02:47:00,   52.98,   56.18,   48.45,   60.31,   65.43,   53.38
05/12/2013 02:52:00,   53.31,   56.83,   48.66,   59.34,   62.68,   53.30
05/12/2013 02:57:00,   55.05,   60.20,   49.02,   62.44,   68.31,   53.41
05/12/2013 03:02:00,   51.89,   55.44,   47.93,   58.44,   62.30,   53.23
05/12/2013 03:07:00,   56.45,   61.01,   49.43,   65.40,   72.23,   54.31
05/12/2013 03:12:00,   54.10,   57.78,   49.21,   59.84,   63.69,   53.69
05/12/2013 03:17:00,   56.29,   59.95,   48.87,   64.03,   69.05,   54.11
05/12/2013 03:22:00,   55.46,   60.09,   49.46,   61.65,   65.87,   54.79
05/12/2013 03:27:00,   56.21,   59.55,   50.63,   63.67,   69.12,   55.32
05/12/2013 03:32:00,   53.02,   57.07,   47.97,   59.99,   64.18,   53.02
05/12/2013 03:37:00,   53.95,   57.55,   48.67,   62.74,   68.50,   53.85
05/12/2013 03:42:00,   54.97,   58.45,   49.84,   61.76,   66.78,   54.59
05/12/2013 03:47:00,   58.43,   63.78,   48.62,   67.32,   74.36,   53.81
05/12/2013 03:52:00,   56.21,   60.30,   51.02,   65.02,   71.68,   55.60
05/12/2013 03:57:00,   56.52,   59.43,   51.92,   63.51,   67.60,   56.52
05/12/2013 04:02:00,   57.35,   60.90,   52.37,   66.33,   72.20,   57.44
05/12/2013 04:07:00,   58.14,   61.87,   53.02,   66.67,   72.32,   57.25
05/12/2013 04:12:00,   57.10,   60.30,   51.06,   65.60,   69.18,   56.59
05/12/2013 04:17:00,   61.09,   67.46,   52.30,   71.42,   78.95,   57.55
05/12/2013 04:22:00,   59.96,   62.89,   52.97,   69.13,   75.73,   57.82
05/12/2013 04:27:00,   59.63,   64.49,   51.02,   69.89,   76.37,   56.57
05/12/2013 04:32:00,   57.05,   60.32,   51.21,   65.71,   70.99,   55.68
05/12/2013 04:37:00,   57.00,   60.68,   51.33,   65.37,   71.25,   56.59
05/12/2013 04:42:00,   57.10,   60.05,   52.66,   64.31,   69.52,   57.68
05/12/2013 04:47:00,   61.01,   66.98,   53.14,   71.06,   79.28,   57.97
05/12/2013 04:52:00,   58.59,   62.36,   52.61,   66.55,   72.24,   57.61
05/12/2013 04:57:00,   61.81,   66.42,   53.82,   70.47,   77.80,   59.05
05/12/2013 05:02:00,   60.19,   65.11,   53.49,   70.26,   76.44,   59.00
05/12/2013 05:07:00,   60.28,   65.11,   53.91,   70.29,   77.43,   59.12
05/12/2013 05:12:00,   59.69,   63.99,   53.22,   68.65,   74.99,   58.17
05/12/2013 05:17:00,   59.92,   63.53,   53.15,   69.32,   75.02,   58.36
