# noise_analysis run from DCC-NOISE-001003 at Fri Dec  6 14:40:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
06/12/2013 14:45:00,   59.22,   61.48,   55.94,   63.00,   65.20,   59.05
06/12/2013 14:50:00,   60.59,   62.70,   57.63,   63.58,   65.41,   60.72
06/12/2013 14:55:00,   62.16,   63.64,   59.62,   64.27,   66.09,   61.38
06/12/2013 15:00:00,   61.91,   63.66,   59.08,   64.90,   66.84,   62.50
06/12/2013 15:05:00,   61.36,   63.21,   57.94,   64.32,   67.02,   60.63
06/12/2013 15:10:00,   62.81,   64.65,   59.88,   64.27,   65.69,   61.83
06/12/2013 15:15:00,   63.97,   65.23,   62.10,   65.14,   67.01,   62.61
06/12/2013 15:20:00,   64.01,   65.24,   62.27,   65.60,   67.12,   63.33
06/12/2013 15:25:00,   63.26,   64.88,   60.22,   64.99,   66.97,   62.29
06/12/2013 15:30:00,   60.42,   63.51,   56.27,   64.28,   67.75,   59.74
06/12/2013 15:35:00,   58.44,   60.70,   56.18,   62.68,   64.42,   60.46
06/12/2013 15:40:00,   58.29,   60.48,   55.66,   62.38,   64.38,   59.81
06/12/2013 15:45:00,   58.63,   60.41,   55.52,   62.73,   64.39,   59.89
06/12/2013 15:50:00,   59.55,   61.70,   56.73,   63.02,   65.08,   60.64
06/12/2013 15:55:00,   59.34,   61.53,   55.69,   63.47,   66.11,   59.59
06/12/2013 16:00:00,   60.01,   61.86,   56.24,   63.39,   65.53,   60.01
06/12/2013 16:05:00,   59.12,   61.23,   55.76,   63.73,   66.88,   60.01
06/12/2013 16:10:00,   58.84,   61.05,   55.60,   63.03,   65.19,   60.09
06/12/2013 16:15:00,   59.47,   62.26,   55.30,   63.48,   67.13,   59.20
06/12/2013 16:20:00,   58.85,   60.91,   55.12,   62.59,   64.58,   59.36
06/12/2013 16:25:00,   59.75,   61.94,   56.23,   63.61,   65.83,   60.13
06/12/2013 16:30:00,   59.32,   61.28,   56.58,   63.52,   65.81,   61.02
06/12/2013 16:35:00,   58.87,   60.74,   55.82,   62.83,   64.48,   59.77
06/12/2013 16:40:00,   58.92,   60.96,   56.05,   63.26,   64.96,   60.23
06/12/2013 16:45:00,   58.20,   60.85,   55.95,   62.48,   64.17,   59.80
06/12/2013 16:50:00,   59.82,   62.40,   56.11,   63.50,   66.75,   59.86
06/12/2013 16:55:00,   60.35,   62.41,   57.43,   63.89,   66.04,   61.17
06/12/2013 17:00:00,   59.73,   61.65,   56.04,   63.19,   65.00,   59.75
06/12/2013 17:05:00,   59.79,   62.03,   56.25,   63.22,   65.19,   60.36
06/12/2013 17:10:00,   60.43,   62.49,   56.70,   63.57,   65.49,   60.98
06/12/2013 17:15:00,   59.64,   61.73,   55.43,   62.95,   64.80,   59.47
06/12/2013 17:20:00,   58.54,   60.53,   55.46,   63.23,   65.35,   59.62
06/12/2013 17:25:00,   59.13,   60.83,   56.44,   62.72,   64.49,   60.34
06/12/2013 17:30:00,   59.84,   62.49,   56.39,   62.53,   64.81,   59.42
06/12/2013 17:35:00,   59.03,   61.07,   56.13,   62.71,   65.31,   60.02
06/12/2013 17:40:00,   58.86,   61.08,   55.17,   61.99,   64.18,   58.73
06/12/2013 17:45:00,   59.45,   62.14,   54.47,   62.98,   65.70,   57.95
06/12/2013 17:50:00,   59.95,   62.66,   56.24,   63.12,   65.17,   60.34
06/12/2013 17:55:00,   59.37,   61.51,   55.93,   63.60,   65.72,   59.79
06/12/2013 18:00:00,   60.79,   62.50,   57.25,   64.63,   66.93,   61.77
06/12/2013 18:05:00,   60.66,   62.73,   57.33,   63.51,   65.37,   60.46
06/12/2013 18:10:00,   59.48,   61.64,   56.37,   62.30,   64.42,   59.89
06/12/2013 18:15:00,   60.62,   62.61,   57.85,   64.02,   65.76,   61.81
06/12/2013 18:20:00,   60.19,   62.69,   57.03,   63.36,   65.48,   60.13
06/12/2013 18:25:00,   60.01,   62.35,   56.65,   62.84,   64.69,   59.81
06/12/2013 18:30:00,   60.28,   62.82,   57.27,   62.95,   64.84,   60.69
06/12/2013 18:35:00,   59.85,   62.05,   55.80,   62.76,   65.05,   58.80
06/12/2013 18:40:00,   60.21,   62.34,   56.69,   63.01,   65.04,   60.16
06/12/2013 18:45:00,   59.82,   61.72,   57.13,   62.94,   64.84,   60.32
06/12/2013 18:50:00,   60.76,   63.44,   57.16,   63.35,   65.61,   60.17
06/12/2013 18:55:00,   62.73,   63.28,   56.14,   65.33,   66.82,   59.58
06/12/2013 19:00:00,   60.07,   62.64,   55.95,   62.91,   65.37,   59.34
06/12/2013 19:05:00,   60.30,   62.24,   57.07,   63.08,   65.26,   60.25
06/12/2013 19:10:00,   61.01,   63.35,   57.12,   63.57,   65.64,   60.72
06/12/2013 19:15:00,   60.04,   62.89,   55.38,   62.71,   65.24,   58.52
06/12/2013 19:20:00,   60.59,   63.28,   55.95,   63.01,   65.37,   59.26
06/12/2013 19:25:00,   60.64,   63.29,   57.17,   63.17,   65.52,   60.12
06/12/2013 19:30:00,   60.64,   62.86,   56.86,   63.09,   65.14,   60.34
06/12/2013 19:35:00,   59.54,   61.55,   56.96,   62.74,   64.69,   59.99
06/12/2013 19:40:00,   60.06,   63.16,   55.68,   63.08,   65.97,   59.02
06/12/2013 19:45:00,   59.29,   62.32,   55.59,   62.58,   65.01,   58.83
06/12/2013 19:50:00,   59.94,   62.54,   56.11,   62.56,   64.50,   59.24
06/12/2013 19:55:00,   62.59,   63.38,   55.89,   64.49,   66.36,   58.62
06/12/2013 20:00:00,   59.54,   62.56,   55.23,   61.85,   64.30,   58.53
06/12/2013 20:05:00,   59.62,   62.29,   55.71,   61.78,   64.08,   58.76
06/12/2013 20:10:00,   62.71,   62.00,   55.36,   64.84,   65.78,   59.28
06/12/2013 20:15:00,   59.84,   62.77,   55.74,   64.02,   67.73,   59.74
06/12/2013 20:20:00,   59.48,   61.60,   55.64,   62.58,   64.88,   59.50
06/12/2013 20:25:00,   58.99,   61.40,   56.02,   61.86,   63.76,   58.90
06/12/2013 20:30:00,   58.83,   61.54,   55.07,   62.34,   64.87,   58.20
06/12/2013 20:35:00,   58.57,   61.71,   54.64,   61.54,   64.12,   58.36
06/12/2013 20:40:00,   59.88,   62.82,   55.98,   62.56,   65.13,   58.59
06/12/2013 20:45:00,   59.08,   62.17,   54.60,   61.48,   64.47,   58.04
06/12/2013 20:50:00,   59.90,   62.92,   55.49,   63.12,   66.07,   59.04
06/12/2013 20:55:00,   59.31,   62.02,   55.16,   61.53,   63.65,   58.68
06/12/2013 21:00:00,   59.26,   62.41,   54.88,   61.93,   64.80,   58.24
06/12/2013 21:05:00,   59.30,   61.14,   56.16,   62.27,   64.71,   58.77
06/12/2013 21:10:00,   59.04,   61.69,   55.59,   61.47,   63.54,   58.30
06/12/2013 21:15:00,   59.61,   62.49,   55.41,   62.38,   64.57,   58.25
06/12/2013 21:20:00,   59.12,   61.91,   55.18,   61.79,   63.76,   58.59
06/12/2013 21:25:00,   58.94,   62.02,   54.02,   60.92,   63.40,   57.10
06/12/2013 21:30:00,   58.58,   62.41,   54.02,   61.68,   65.27,   57.45
06/12/2013 21:35:00,   58.45,   61.11,   53.99,   60.71,   62.94,   56.67
06/12/2013 21:40:00,   58.72,   61.66,   54.45,   61.89,   64.55,   57.82
06/12/2013 21:45:00,   58.03,   61.46,   53.52,   60.50,   63.35,   56.40
06/12/2013 21:50:00,   57.22,   60.54,   52.81,   59.68,   62.72,   55.84
06/12/2013 21:55:00,   58.59,   62.30,   53.16,   61.09,   63.85,   56.62
06/12/2013 22:00:00,   57.85,   60.86,   53.51,   60.64,   63.02,   56.38
06/12/2013 22:05:00,   59.17,   61.42,   55.07,   63.42,   67.77,   57.61
06/12/2013 22:10:00,   59.19,   62.29,   55.31,   61.42,   64.23,   57.53
06/12/2013 22:15:00,   58.73,   61.26,   55.21,   60.77,   63.00,   57.49
06/12/2013 22:20:00,   58.61,   61.76,   52.57,   60.69,   63.68,   55.94
06/12/2013 22:25:00,   58.29,   61.13,   52.94,   60.56,   62.88,   56.26
06/12/2013 22:30:00,   57.48,   60.80,   53.08,   60.60,   64.41,   55.67
06/12/2013 22:35:00,   58.89,   62.21,   55.07,   62.04,   65.20,   57.92
06/12/2013 22:40:00,   57.05,   59.84,   53.04,   59.01,   61.62,   55.43
06/12/2013 22:45:00,   56.34,   59.71,   51.02,   59.26,   62.38,   54.10
06/12/2013 22:50:00,   57.15,   61.30,   51.43,   59.20,   62.63,   53.97
06/12/2013 22:55:00,   57.08,   60.40,   51.26,   59.99,   62.84,   54.87
06/12/2013 23:00:00,   56.70,   60.57,   51.88,   58.70,   62.15,   54.98
06/12/2013 23:05:00,   57.93,   62.01,   51.92,   60.57,   63.63,   54.42
06/12/2013 23:10:00,   57.06,   60.08,   51.24,   59.39,   62.20,   53.90
06/12/2013 23:15:00,   56.75,   60.87,   49.56,   58.54,   62.27,   52.87
06/12/2013 23:20:00,   55.86,   60.02,   49.08,   57.77,   61.12,   51.67
06/12/2013 23:25:00,   56.12,   60.02,   50.18,   57.96,   61.17,   52.76
06/12/2013 23:30:00,   57.40,   61.07,   52.25,   59.86,   62.94,   54.94
06/12/2013 23:35:00,   56.85,   60.72,   51.41,   59.35,   62.64,   54.24
06/12/2013 23:40:00,   56.18,   59.73,   49.60,   58.34,   61.39,   53.39
06/12/2013 23:45:00,   55.70,   60.48,   48.67,   57.81,   62.27,   51.80
06/12/2013 23:50:00,   56.11,   59.44,   50.86,   57.88,   60.50,   53.32
06/12/2013 23:55:00,   56.37,   59.70,   50.59,   58.09,   61.39,   53.41

