# noise_analysis run from DCC-NOISE-001003 at Sat Dec  7 00:02:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
07/12/2013 00:07:00,   55.02,   59.30,   48.50,   59.43,   65.03,   51.51
07/12/2013 00:12:00,   54.89,   59.16,   49.04,   57.06,   60.56,   51.97
07/12/2013 00:17:00,   56.43,   60.25,   51.17,   58.25,   61.46,   53.66
07/12/2013 00:22:00,   53.16,   57.61,   47.64,   55.53,   59.57,   50.75
07/12/2013 00:27:00,   54.45,   59.19,   47.47,   56.59,   60.10,   50.80
07/12/2013 00:32:00,   55.53,   60.04,   48.85,   59.15,   63.04,   52.04
07/12/2013 00:37:00,   56.04,   60.19,   48.56,   57.57,   61.15,   51.67
07/12/2013 00:42:00,   56.15,   59.78,   49.79,   58.81,   62.67,   52.06
07/12/2013 00:47:00,   54.24,   58.04,   49.01,   56.21,   60.07,   51.87
07/12/2013 00:52:00,   56.66,   60.22,   50.99,   58.18,   61.38,   53.31
07/12/2013 00:57:00,   54.91,   59.54,   48.52,   56.77,   60.61,   51.42
07/12/2013 01:02:00,   55.20,   59.28,   49.21,   56.82,   60.39,   51.70
07/12/2013 01:07:00,   55.75,   60.64,   48.96,   57.74,   62.18,   51.69
07/12/2013 01:12:00,   54.61,   58.30,   48.00,   56.49,   59.91,   50.89
07/12/2013 01:17:00,   56.01,   60.30,   50.27,   57.96,   61.90,   52.79
07/12/2013 01:22:00,   56.04,   59.98,   50.10,   57.73,   61.81,   52.51
07/12/2013 01:27:00,   54.95,   59.58,   49.43,   57.08,   61.14,   52.30
07/12/2013 01:32:00,   55.90,   60.41,   49.24,   57.73,   61.58,   52.15
07/12/2013 01:37:00,   56.94,   60.98,   50.54,   59.21,   62.87,   54.10
07/12/2013 01:42:00,   56.27,   60.85,   48.81,   58.23,   62.06,   52.18
07/12/2013 01:47:00,   55.66,   59.79,   47.67,   57.93,   61.64,   50.68
07/12/2013 01:52:00,   54.41,   58.52,   48.36,   56.30,   60.07,   51.38
07/12/2013 01:57:00,   54.94,   60.25,   47.60,   56.58,   61.33,   50.61
07/12/2013 02:02:00,   54.07,   59.30,   46.56,   56.62,   61.31,   49.79
07/12/2013 02:07:00,   55.35,   60.61,   47.80,   57.25,   62.20,   50.69
07/12/2013 02:12:00,   55.33,   59.92,   47.65,   56.98,   61.12,   50.56
07/12/2013 02:17:00,   55.43,   60.60,   46.35,   56.71,   61.26,   49.47
07/12/2013 02:22:00,   56.45,   60.70,   49.56,   58.25,   62.31,   52.45
07/12/2013 02:27:00,   54.35,   59.09,   47.22,   56.96,   60.09,   50.83
07/12/2013 02:32:00,   55.27,   59.47,   47.56,   57.17,   61.02,   50.58
07/12/2013 02:37:00,   54.04,   59.29,   45.64,   55.79,   60.43,   49.23
07/12/2013 02:42:00,   51.49,   56.67,   45.35,   54.63,   59.34,   49.03
07/12/2013 02:47:00,   55.35,   60.07,   47.61,   57.41,   61.71,   50.87
07/12/2013 02:52:00,   53.52,   58.33,   47.02,   55.40,   59.40,   50.04
07/12/2013 02:57:00,   53.17,   59.12,   45.59,   55.49,   60.69,   49.10
07/12/2013 03:02:00,   55.33,   61.43,   46.17,   57.67,   63.36,   50.41
07/12/2013 03:07:00,   53.66,   59.14,   46.60,   55.74,   60.57,   50.12
07/12/2013 03:12:00,   54.30,   59.19,   46.79,   56.50,   60.85,   50.24
07/12/2013 03:17:00,   55.53,   60.55,   47.63,   57.83,   62.09,   50.64
07/12/2013 03:22:00,   53.49,   59.15,   47.25,   55.73,   60.78,   50.07
07/12/2013 03:27:00,   54.37,   59.21,   47.70,   56.41,   60.89,   50.74
07/12/2013 03:32:00,   52.65,   57.60,   46.33,   55.90,   60.56,   49.53
07/12/2013 03:37:00,   51.01,   56.04,   45.59,   53.47,   57.65,   49.20
07/12/2013 03:42:00,   51.89,   57.47,   45.64,   54.58,   58.82,   49.32
07/12/2013 03:47:00,   53.38,   59.01,   46.68,   55.33,   60.26,   49.68
07/12/2013 03:52:00,   55.24,   61.26,   46.90,   56.74,   62.43,   49.57
07/12/2013 03:57:00,   52.73,   58.60,   45.53,   54.77,   60.13,   49.01
07/12/2013 04:02:00,   53.65,   60.26,   45.21,   55.33,   61.30,   48.80
07/12/2013 04:07:00,   51.61,   57.42,   44.97,   53.69,   59.15,   48.52
07/12/2013 04:12:00,   53.08,   57.82,   46.57,   54.95,   59.82,   49.50
07/12/2013 04:17:00,   54.10,   59.14,   47.15,   56.72,   61.30,   50.44
07/12/2013 04:22:00,   52.50,   56.48,   46.57,   55.09,   59.01,   49.66
07/12/2013 04:27:00,   53.76,   58.72,   47.31,   55.74,   60.55,   49.95
07/12/2013 04:32:00,   55.17,   59.27,   47.62,   57.00,   60.79,   50.31
07/12/2013 04:37:00,   55.08,   60.55,   46.33,   56.62,   61.46,   49.36
07/12/2013 04:42:00,   52.85,   58.04,   47.06,   54.94,   59.71,   50.26
07/12/2013 04:47:00,   53.21,   57.73,   47.39,   55.36,   59.77,   50.02
07/12/2013 04:52:00,   53.48,   58.40,   47.55,   55.15,   59.98,   50.35
07/12/2013 04:57:00,   52.96,   58.34,   45.27,   54.90,   60.05,   48.80
07/12/2013 05:02:00,   52.82,   58.41,   46.92,   54.84,   59.27,   50.31
07/12/2013 05:07:00,   52.07,   57.62,   46.45,   54.56,   59.78,   49.66
07/12/2013 05:12:00,   52.17,   57.77,   46.61,   54.62,   59.42,   50.01
07/12/2013 05:17:00,   49.79,   54.45,   45.26,   52.29,   56.24,   48.74
07/12/2013 05:22:00,   51.54,   56.66,   45.89,   53.63,   58.10,   49.03
07/12/2013 05:27:00,   51.24,   56.26,   45.84,   53.55,   57.92,   49.10
07/12/2013 05:32:00,   53.25,   58.55,   46.88,   56.40,   61.84,   49.72
07/12/2013 05:37:00,   54.31,   60.50,   46.78,   55.96,   61.09,   49.76
07/12/2013 05:42:00,   50.61,   55.04,   45.88,   53.32,   57.10,   49.22
07/12/2013 05:47:00,   53.05,   58.75,   46.48,   55.82,   60.84,   50.01
07/12/2013 05:52:00,   54.04,   60.10,   46.91,   56.56,   62.28,   49.77
07/12/2013 05:57:00,   53.19,   58.68,   47.39,   55.93,   60.62,   50.41
07/12/2013 06:02:00,   52.96,   58.49,   47.30,   55.03,   59.93,   50.46
07/12/2013 06:07:00,   52.67,   58.12,   45.99,   54.97,   59.64,   49.66
07/12/2013 06:12:00,   51.90,   56.94,   46.51,   54.13,   58.54,   49.81
07/12/2013 06:17:00,   53.17,   57.95,   47.37,   55.97,   59.84,   50.62
07/12/2013 06:22:00,   52.86,   56.58,   47.73,   55.81,   59.23,   51.33
07/12/2013 06:27:00,   54.62,   59.41,   48.69,   56.09,   60.28,   51.64
07/12/2013 06:32:00,   51.79,   56.16,   47.73,   55.01,   59.17,   50.91
