# noise_analysis run from DCC-NOISE-001003 at Sun Dec  8 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
08/12/2013 00:05:00,   56.22,   59.93,   49.04,   58.67,   61.73,   51.52
08/12/2013 00:10:00,   55.09,   59.26,   49.05,   57.54,   61.10,   51.99
08/12/2013 00:15:00,   55.71,   59.60,   49.80,   58.64,   62.27,   52.73
08/12/2013 00:20:00,   56.05,   60.66,   49.06,   57.63,   61.61,   51.49
08/12/2013 00:25:00,   54.65,   58.84,   48.91,   56.91,   60.78,   51.57
08/12/2013 00:30:00,   56.59,   61.42,   50.08,   58.27,   62.57,   52.77
08/12/2013 00:35:00,   54.58,   59.54,   48.23,   56.67,   61.28,   50.67
08/12/2013 00:40:00,   54.68,   58.93,   49.27,   56.61,   60.25,   51.87
08/12/2013 00:45:00,   57.31,   61.60,   49.46,   58.87,   62.48,   52.36
08/12/2013 00:50:00,   55.51,   60.22,   48.77,   57.16,   60.98,   51.41
08/12/2013 00:55:00,   55.31,   59.35,   48.89,   57.20,   60.77,   51.57
08/12/2013 01:00:00,   57.02,   61.21,   49.59,   58.57,   62.69,   52.01
08/12/2013 01:05:00,   58.17,   61.46,   53.29,   60.31,   62.79,   55.56
08/12/2013 01:10:00,   55.42,   59.92,   49.61,   57.26,   61.18,   52.24
08/12/2013 01:15:00,   57.02,   60.61,   50.94,   58.79,   62.13,   53.29
08/12/2013 01:20:00,   55.18,   59.88,   47.91,   57.28,   61.14,   50.87
08/12/2013 01:25:00,   54.39,   58.93,   47.85,   56.44,   60.29,   50.65
08/12/2013 01:30:00,   56.33,   60.53,   49.05,   58.15,   62.13,   51.46
08/12/2013 01:35:00,   55.12,   60.21,   47.92,   57.45,   61.68,   50.44
08/12/2013 01:40:00,   56.67,   61.14,   49.35,   58.45,   62.24,   52.13
08/12/2013 01:45:00,   56.23,   61.13,   49.11,   58.26,   62.65,   51.44
08/12/2013 01:50:00,   55.96,   60.54,   47.89,   57.93,   61.92,   51.22
08/12/2013 01:55:00,   55.86,   60.20,   49.25,   58.09,   61.56,   51.74
08/12/2013 02:00:00,   56.70,   60.79,   47.36,   58.74,   62.82,   50.28
08/12/2013 02:05:00,   55.29,   59.27,   48.77,   57.85,   61.33,   51.89
08/12/2013 02:10:00,   56.60,   60.11,   49.61,   58.29,   61.86,   52.30
08/12/2013 02:15:00,   55.54,   59.56,   49.04,   57.85,   61.33,   52.07
08/12/2013 02:20:00,   55.34,   59.30,   48.02,   57.78,   61.87,   51.06
08/12/2013 02:25:00,   55.44,   59.72,   48.95,   57.76,   62.03,   51.68
08/12/2013 02:30:00,   56.28,   61.22,   48.96,   58.47,   62.82,   52.21
08/12/2013 02:35:00,   59.90,   62.03,   48.35,   61.05,   63.20,   50.92
08/12/2013 02:40:00,   56.76,   61.67,   50.01,   58.29,   62.96,   52.56
08/12/2013 02:45:00,   57.14,   60.96,   50.85,   59.63,   63.38,   53.32
08/12/2013 02:50:00,   55.93,   60.30,   48.40,   58.45,   62.67,   51.54
08/12/2013 02:55:00,   57.41,   61.64,   51.68,   59.85,   63.61,   53.57
08/12/2013 03:00:00,   55.22,   59.79,   49.27,   57.51,   61.59,   52.16
08/12/2013 03:05:00,   53.56,   58.40,   47.32,   55.73,   59.74,   50.39
08/12/2013 03:10:00,   55.49,   60.20,   47.65,   57.45,   61.53,   50.59
08/12/2013 03:15:00,   55.96,   60.88,   49.01,   57.63,   62.34,   51.67
08/12/2013 03:20:00,   56.94,   61.22,   50.40,   59.09,   63.61,   53.03
08/12/2013 03:25:00,   54.57,   59.36,   46.88,   56.83,   61.07,   50.37
08/12/2013 03:30:00,   54.36,   60.03,   47.68,   57.80,   63.12,   50.92
08/12/2013 03:35:00,   54.73,   59.04,   46.62,   56.81,   60.61,   49.53
08/12/2013 03:40:00,   55.20,   59.08,   48.99,   57.96,   61.32,   51.21
08/12/2013 03:45:00,   56.50,   60.48,   49.54,   59.49,   62.78,   52.73
08/12/2013 03:50:00,   53.52,   58.15,   47.12,   56.74,   61.16,   50.54
08/12/2013 03:55:00,   53.73,   58.25,   47.54,   56.78,   60.73,   51.34
08/12/2013 04:00:00,   53.89,   58.90,   47.41,   56.19,   61.12,   50.27
08/12/2013 04:05:00,   55.11,   59.64,   47.22,   57.16,   61.52,   50.75
08/12/2013 04:10:00,   54.85,   58.97,   47.37,   57.59,   60.84,   51.08
08/12/2013 04:15:00,   53.91,   58.81,   47.57,   56.57,   60.59,   50.83
08/12/2013 04:20:00,   54.79,   59.28,   49.03,   58.64,   63.74,   52.44
08/12/2013 04:25:00,   53.44,   58.30,   46.69,   55.87,   59.60,   49.97
08/12/2013 04:30:00,   53.48,   57.90,   47.59,   57.05,   60.19,   51.23
08/12/2013 04:35:00,   53.39,   59.17,   45.86,   57.41,   62.10,   49.10
08/12/2013 04:40:00,   54.57,   59.26,   47.17,   56.60,   60.93,   50.06
08/12/2013 04:45:00,   54.05,   59.34,   46.71,   56.54,   61.41,   49.64
08/12/2013 04:50:00,   52.56,   57.39,   46.48,   55.89,   60.80,   50.01
08/12/2013 04:55:00,   51.95,   57.48,   44.27,   55.38,   59.24,   48.29
08/12/2013 05:00:00,   53.77,   59.64,   44.52,   56.63,   61.14,   48.54
08/12/2013 05:05:00,   52.11,   58.44,   45.51,   55.50,   60.10,   49.63
08/12/2013 05:10:00,   51.54,   56.87,   45.28,   56.19,   61.84,   49.12
08/12/2013 05:15:00,   52.19,   58.44,   45.35,   56.17,   62.00,   48.64
08/12/2013 05:20:00,   52.95,   58.34,   45.79,   55.66,   60.60,   49.00
08/12/2013 05:25:00,   54.20,   59.41,   47.80,   56.32,   61.11,   50.48
08/12/2013 05:30:00,   49.09,   54.47,   43.38,   54.34,   58.81,   47.38
08/12/2013 05:35:00,   54.00,   58.44,   46.54,   55.92,   59.90,   49.43
08/12/2013 05:40:00,   52.38,   58.24,   45.58,   56.16,   61.28,   49.76
08/12/2013 05:45:00,   52.68,   57.98,   44.51,   55.13,   59.62,   48.38
08/12/2013 05:50:00,   53.52,   58.89,   46.82,   55.86,   60.74,   49.96
08/12/2013 05:55:00,   51.31,   57.19,   44.69,   55.19,   60.28,   48.60
08/12/2013 06:00:00,   51.00,   56.76,   45.33,   53.64,   58.55,   48.96
08/12/2013 06:05:00,   51.41,   57.08,   43.91,   54.35,   58.86,   48.37
08/12/2013 06:10:00,   52.71,   58.39,   45.15,   57.13,   63.04,   49.82
08/12/2013 06:15:00,   51.49,   55.86,   45.67,   55.88,   60.50,   49.52
08/12/2013 06:20:00,   49.33,   53.41,   43.88,   52.76,   56.86,   47.72
08/12/2013 06:25:00,   52.09,   56.15,   46.64,   55.86,   59.78,   50.44
08/12/2013 06:30:00,   51.69,   56.18,   45.74,   54.49,   58.59,   49.06
08/12/2013 06:35:00,   55.14,   59.97,   47.72,   57.36,   61.62,   50.72
08/12/2013 06:40:00,   54.69,   58.54,   48.81,   58.25,   61.46,   51.87
08/12/2013 06:45:00,   53.35,   58.27,   47.02,   56.61,   60.94,   50.85
08/12/2013 06:50:00,   54.16,   59.50,   47.99,   57.93,   62.47,   51.83
08/12/2013 06:55:00,   55.12,   60.63,   48.00,   58.71,   63.09,   51.74
08/12/2013 07:00:00,   53.66,   58.42,   47.84,   58.16,   62.75,   51.57
08/12/2013 07:05:00,   56.00,   61.21,   48.79,   60.78,   65.29,   53.10
08/12/2013 07:10:00,   55.21,   61.22,   47.69,   59.90,   65.70,   52.34
08/12/2013 07:15:00,   52.72,   57.41,   46.69,   57.47,   62.14,   51.29
08/12/2013 07:20:00,   54.99,   60.40,   48.67,   57.30,   61.50,   52.38
08/12/2013 07:25:00,   53.07,   57.48,   45.86,   58.08,   63.44,   49.97
08/12/2013 07:30:00,   53.97,   58.65,   48.10,   57.36,   60.63,   52.24
08/12/2013 07:35:00,   55.48,   59.75,   49.50,   58.57,   62.61,   53.09
08/12/2013 07:40:00,   54.69,   59.45,   49.10,   57.83,   61.09,   52.61
08/12/2013 07:45:00,   55.26,   59.39,   49.84,   58.59,   62.23,   53.54
08/12/2013 07:50:00,   56.50,   60.23,   50.46,   60.33,   63.99,   54.05
08/12/2013 07:55:00,   54.63,   59.25,   48.37,   57.00,   60.96,   51.52
08/12/2013 08:00:00,   54.64,   59.25,   47.89,   58.87,   63.82,   52.85
