# noise_analysis run from DCC-NOISE-001003 at Tue Dec 10 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
10/12/2013 00:05:00,   51.15,   56.32,   43.35,   53.86,   58.40,   46.77
10/12/2013 00:10:00,   53.23,   58.63,   44.70,   56.83,   61.14,   48.00
10/12/2013 00:15:00,   52.07,   57.98,   42.22,   58.61,   65.93,   47.57
10/12/2013 00:20:00,   52.53,   58.72,   42.92,   55.04,   60.66,   47.08
10/12/2013 00:25:00,   52.20,   57.72,   43.34,   55.76,   60.63,   48.38
10/12/2013 00:30:00,   52.05,   57.13,   43.80,   58.19,   64.23,   47.79
10/12/2013 00:35:00,   51.97,   58.59,   42.26,   55.29,   59.97,   46.75
10/12/2013 00:40:00,   51.60,   57.01,   41.40,   54.31,   58.72,   45.70
10/12/2013 00:45:00,   51.82,   57.59,   43.28,   56.72,   61.57,   47.36
10/12/2013 00:50:00,   52.66,   57.18,   43.97,   55.10,   59.13,   47.40
10/12/2013 00:55:00,   50.13,   56.05,   42.53,   52.17,   57.01,   46.44
10/12/2013 01:00:00,   49.16,   54.04,   42.44,   53.43,   57.09,   47.16
10/12/2013 01:05:00,   52.03,   57.71,   42.10,   53.62,   58.73,   45.98
10/12/2013 01:10:00,   50.87,   56.86,   41.54,   54.24,   59.69,   46.64
10/12/2013 01:15:00,   48.43,   55.26,   40.05,   51.16,   57.13,   44.73
10/12/2013 01:20:00,   47.56,   54.47,   39.34,   50.26,   56.01,   44.12
10/12/2013 01:25:00,   48.76,   56.52,   39.52,   50.90,   57.67,   44.18
10/12/2013 01:30:00,   48.97,   56.09,   39.99,   51.46,   57.61,   44.82
10/12/2013 01:35:00,   43.26,   46.04,   39.46,   48.40,   51.72,   44.49
10/12/2013 01:40:00,   49.32,   55.61,   40.75,   51.46,   56.98,   45.37
10/12/2013 01:45:00,   47.23,   52.26,   40.03,   50.41,   54.56,   45.11
10/12/2013 01:50:00,   52.14,   59.00,   40.94,   53.89,   59.45,   44.70
10/12/2013 01:55:00,   49.90,   57.01,   40.49,   53.29,   59.54,   44.38
10/12/2013 02:00:00,   46.79,   54.44,   39.26,   51.72,   58.11,   44.25
10/12/2013 02:05:00,   43.07,   46.17,   38.91,   48.01,   51.58,   43.69
10/12/2013 02:10:00,   45.06,   51.01,   38.49,   48.34,   53.50,   43.47
10/12/2013 02:15:00,   47.63,   54.94,   39.35,   49.89,   56.22,   43.96
10/12/2013 02:20:00,   45.39,   50.98,   39.34,   49.74,   55.73,   43.87
10/12/2013 02:25:00,   45.83,   52.92,   38.00,   48.51,   54.77,   42.71
10/12/2013 02:30:00,   44.70,   52.34,   37.71,   47.56,   52.98,   42.42
10/12/2013 02:35:00,   43.07,   46.97,   36.90,   46.24,   48.39,   42.04
10/12/2013 02:40:00,   43.21,   47.62,   36.88,   46.26,   49.08,   42.02
10/12/2013 02:45:00,   42.62,   44.35,   37.86,   46.70,   48.93,   42.68
10/12/2013 02:50:00,   43.08,   45.01,   38.18,   51.49,   56.26,   43.58
10/12/2013 02:55:00,   46.65,   51.94,   39.29,   50.32,   55.52,   44.52
10/12/2013 03:00:00,   45.74,   53.40,   38.09,   49.60,   55.56,   43.70
10/12/2013 03:05:00,   49.76,   57.37,   39.57,   52.36,   58.64,   44.81
10/12/2013 03:10:00,   44.64,   47.89,   40.81,   50.46,   55.08,   45.54
10/12/2013 03:15:00,   49.55,   56.84,   39.42,   54.57,   61.56,   44.25
10/12/2013 03:20:00,   48.81,   53.91,   38.96,   54.01,   59.85,   44.30
10/12/2013 03:25:00,   47.42,   54.34,   39.93,   52.19,   58.79,   44.41
10/12/2013 03:30:00,   45.66,   52.29,   39.13,   56.94,   64.34,   44.54
10/12/2013 03:35:00,   45.09,   51.15,   38.91,   49.48,   55.43,   44.17
10/12/2013 03:40:00,   46.38,   50.69,   39.83,   52.34,   58.06,   44.96
10/12/2013 03:45:00,   46.23,   50.76,   39.94,   55.33,   61.98,   44.93
10/12/2013 03:50:00,   49.82,   56.35,   40.72,   54.78,   60.78,   45.35
10/12/2013 03:55:00,   46.50,   53.06,   40.12,   50.91,   57.03,   44.88
10/12/2013 04:00:00,   50.00,   56.15,   41.66,   54.35,   59.44,   46.57
10/12/2013 04:05:00,   49.15,   56.43,   40.47,   52.71,   58.68,   45.64
10/12/2013 04:10:00,   46.34,   51.27,   39.48,   55.18,   62.85,   44.41
10/12/2013 04:15:00,   44.05,   45.69,   39.61,   48.48,   51.47,   44.14
10/12/2013 04:20:00,   43.59,   47.42,   40.41,   47.93,   50.86,   44.93
10/12/2013 04:25:00,   45.46,   47.33,   41.10,   49.46,   52.64,   45.71
10/12/2013 04:30:00,   45.95,   51.37,   40.55,   52.72,   57.88,   45.91
10/12/2013 04:35:00,   50.35,   55.61,   42.73,   55.05,   60.53,   47.00
10/12/2013 04:40:00,   47.77,   53.05,   43.11,   55.30,   59.83,   48.04
10/12/2013 04:45:00,   46.63,   51.28,   40.90,   51.81,   56.52,   46.05
10/12/2013 04:50:00,   43.62,   45.55,   40.76,   50.90,   56.14,   45.24
10/12/2013 04:55:00,   46.24,   50.30,   41.69,   51.49,   55.98,   46.20
10/12/2013 05:00:00,   47.79,   52.98,   41.26,   52.80,   58.07,   46.27
10/12/2013 05:05:00,   47.21,   52.77,   42.34,   54.19,   59.41,   47.09
10/12/2013 05:10:00,   48.69,   54.36,   42.71,   54.16,   58.93,   47.45
10/12/2013 05:15:00,   45.62,   50.17,   41.88,   50.20,   53.68,   46.88
10/12/2013 05:20:00,   49.54,   54.69,   43.49,   54.61,   60.07,   47.52
10/12/2013 05:25:00,   47.86,   52.66,   42.25,   52.42,   57.61,   46.54
10/12/2013 05:30:00,   50.51,   56.67,   43.16,   53.52,   57.99,   47.87
10/12/2013 05:35:00,   50.49,   56.19,   43.44,   54.97,   59.64,   47.81
10/12/2013 05:40:00,   50.76,   54.98,   44.93,   53.86,   58.05,   48.94
10/12/2013 05:45:00,   53.05,   57.51,   45.38,   56.24,   59.12,   49.89
10/12/2013 05:50:00,   53.37,   59.03,   45.56,   56.96,   61.55,   49.36
10/12/2013 05:55:00,   53.39,   58.08,   46.17,   55.84,   60.56,   49.43
10/12/2013 06:00:00,   53.97,   59.11,   45.62,   56.32,   60.84,   49.19
10/12/2013 06:05:00,   54.20,   60.03,   45.85,   57.54,   62.10,   49.54
10/12/2013 06:10:00,   49.27,   54.51,   43.81,   52.64,   56.78,   48.51
10/12/2013 06:15:00,   52.75,   58.29,   45.30,   56.13,   61.29,   50.02
10/12/2013 06:20:00,   52.05,   57.51,   45.39,   55.57,   60.60,   50.03
10/12/2013 06:25:00,   52.70,   57.36,   45.75,   55.96,   60.21,   50.30
10/12/2013 06:30:00,   53.58,   58.20,   46.86,   56.29,   60.42,   50.86
10/12/2013 06:35:00,   54.07,   58.72,   47.96,   57.91,   62.88,   52.07
10/12/2013 06:40:00,   53.65,   57.47,   47.94,   57.40,   61.46,   51.10
10/12/2013 06:45:00,   55.58,   60.42,   48.25,   59.02,   64.00,   52.11
10/12/2013 06:50:00,   56.86,   60.58,   50.45,   61.72,   65.86,   54.55
10/12/2013 06:55:00,   55.09,   58.80,   48.54,   57.75,   60.96,   52.22
10/12/2013 07:00:00,   57.01,   61.72,   50.47,   62.38,   68.50,   54.25
10/12/2013 07:05:00,   56.51,   60.16,   51.21,   60.28,   63.98,   54.90
10/12/2013 07:10:00,   57.30,   61.61,   51.26,   61.41,   65.70,   55.45
10/12/2013 07:15:00,   57.56,   60.83,   52.56,   61.27,   65.08,   56.38
10/12/2013 07:20:00,   55.45,   58.39,   51.10,   59.87,   63.12,   54.50
10/12/2013 07:25:00,   58.14,   61.49,   53.13,   61.85,   65.26,   56.67
10/12/2013 07:30:00,   58.50,   61.34,   54.42,   63.13,   66.27,   57.73
10/12/2013 07:35:00,   57.27,   60.31,   51.83,   60.92,   63.19,   56.00
10/12/2013 07:40:00,   58.79,   62.02,   54.34,   63.25,   67.66,   57.86
10/12/2013 07:45:00,   57.97,   61.24,   52.12,   62.59,   65.45,   57.45
10/12/2013 07:50:00,   57.80,   60.60,   54.08,   61.47,   64.24,   57.99
