# noise_analysis run from DCC-NOISE-001003 at Mon Dec 16 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
16/12/2013 00:05:00,   56.65,   60.94,   49.34,   58.54,   62.85,   52.19
16/12/2013 00:10:00,   54.98,   59.82,   47.69,   56.74,   60.75,   50.64
16/12/2013 00:15:00,   52.65,   58.31,   46.17,   55.26,   60.52,   49.36
16/12/2013 00:20:00,   55.27,   60.25,   49.07,   56.97,   61.54,   51.32
16/12/2013 00:25:00,   54.34,   58.85,   48.26,   56.87,   61.09,   50.97
16/12/2013 00:30:00,   55.63,   59.85,   48.86,   57.37,   61.48,   51.51
16/12/2013 00:35:00,   53.64,   57.87,   47.84,   56.86,   61.11,   51.00
16/12/2013 00:40:00,   53.72,   60.14,   46.54,   56.78,   62.52,   49.70
16/12/2013 00:45:00,   55.33,   59.74,   46.81,   57.96,   61.79,   50.04
16/12/2013 00:50:00,   55.69,   60.92,   46.20,   56.89,   61.42,   49.24
16/12/2013 00:55:00,   55.14,   60.01,   46.66,   56.75,   61.10,   49.35
16/12/2013 01:00:00,   55.25,   60.55,   46.20,   56.37,   61.17,   48.65
16/12/2013 01:05:00,   55.05,   59.81,   45.38,   56.31,   60.49,   48.14
16/12/2013 01:10:00,   53.17,   59.03,   44.07,   54.48,   59.90,   47.36
16/12/2013 01:15:00,   53.20,   57.88,   46.45,   54.64,   58.83,   49.02
16/12/2013 01:20:00,   55.90,   61.14,   47.50,   57.33,   61.96,   50.15
16/12/2013 01:25:00,   54.69,   60.58,   46.03,   56.28,   61.31,   48.95
16/12/2013 01:30:00,   54.47,   59.75,   46.81,   56.25,   60.70,   50.02
16/12/2013 01:35:00,   50.79,   56.66,   41.50,   53.29,   58.18,   45.88
16/12/2013 01:40:00,   50.51,   56.40,   42.04,   51.84,   57.04,   45.22
16/12/2013 01:45:00,   52.10,   58.86,   44.04,   53.87,   59.79,   46.90
16/12/2013 01:50:00,   51.11,   57.89,   41.90,   52.93,   58.56,   45.00
16/12/2013 01:55:00,   50.37,   56.30,   39.92,   51.91,   57.76,   44.11
16/12/2013 02:00:00,   49.47,   56.35,   41.50,   51.22,   56.57,   45.10
16/12/2013 02:05:00,   51.32,   57.96,   42.40,   53.10,   59.11,   46.35
