# noise_analysis run from DCC-NOISE-001003 at Fri Dec 20 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
20/12/2013 00:05:00,   57.01,   61.22,   51.97,   59.42,   63.05,   55.09
20/12/2013 00:10:00,   57.13,   61.26,   51.76,   59.63,   63.06,   54.99
20/12/2013 00:15:00,   59.34,   62.10,   55.07,   61.90,   64.49,   57.77
20/12/2013 00:20:00,   56.44,   60.60,   51.39,   58.82,   62.17,   54.87
20/12/2013 00:25:00,   57.17,   60.46,   52.50,   59.94,   62.92,   55.57
20/12/2013 00:30:00,   56.89,   60.56,   52.21,   59.64,   62.58,   55.43
20/12/2013 00:35:00,   57.60,   61.80,   52.08,   60.44,   63.58,   54.99
20/12/2013 00:40:00,   58.64,   62.64,   52.80,   60.65,   63.84,   55.61
20/12/2013 00:45:00,   56.76,   61.24,   49.67,   58.94,   63.08,   53.09
20/12/2013 00:50:00,   55.23,   59.44,   50.39,   57.79,   61.60,   53.68
20/12/2013 00:55:00,   56.17,   60.21,   49.74,   58.42,   61.82,   53.02
20/12/2013 01:00:00,   55.51,   60.27,   50.65,   58.47,   62.16,   53.78
20/12/2013 01:05:00,   55.97,   59.66,   48.84,   58.84,   62.88,   53.19
20/12/2013 01:10:00,   55.94,   61.15,   49.59,   57.74,   62.20,   52.70
20/12/2013 01:15:00,   55.21,   58.81,   50.74,   57.69,   60.74,   53.55
20/12/2013 01:20:00,   55.71,   60.45,   49.39,   58.15,   62.10,   52.83
20/12/2013 01:25:00,   56.26,   61.66,   49.54,   58.26,   62.74,   52.45
20/12/2013 01:30:00,   55.26,   60.54,   48.38,   57.90,   62.23,   52.36
20/12/2013 01:35:00,   55.97,   60.32,   49.50,   58.90,   62.70,   53.48
20/12/2013 01:40:00,   54.63,   58.98,   49.37,   57.47,   61.11,   52.99
20/12/2013 01:45:00,   55.24,   60.26,   48.44,   58.91,   63.09,   52.10
20/12/2013 01:50:00,   54.31,   59.16,   48.97,   58.18,   63.05,   52.49
20/12/2013 01:55:00,   51.21,   56.01,   46.76,   55.18,   58.55,   51.23
20/12/2013 02:00:00,   54.40,   58.63,   48.42,   59.01,   62.00,   52.60
20/12/2013 02:05:00,   53.58,   58.48,   47.42,   57.51,   61.38,   51.69
20/12/2013 02:10:00,   54.10,   59.97,   48.39,   56.71,   61.09,   52.08
