# noise_analysis run from DCC-NOISE-001003 at Sat Dec 21 00:03:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
21/12/2013 00:08:00,   55.79,   60.69,   49.96,   58.62,   62.55,   53.19
21/12/2013 00:13:00,   56.91,   61.10,   51.68,   59.08,   62.49,   55.29
21/12/2013 00:18:00,   57.82,   61.67,   52.37,   61.15,   64.08,   55.81
21/12/2013 00:23:00,   57.94,   61.03,   52.89,   62.21,   64.86,   56.15
21/12/2013 00:28:00,   57.45,   60.36,   52.97,   61.43,   64.46,   56.20
21/12/2013 00:33:00,   55.77,   59.15,   50.86,   60.11,   63.14,   55.20
21/12/2013 00:38:00,   56.90,   60.74,   51.28,   60.75,   64.45,   55.41
21/12/2013 00:43:00,   56.64,   60.32,   50.92,   61.39,   64.70,   54.21
21/12/2013 00:48:00,   57.19,   61.10,   51.31,   59.40,   62.84,   54.69
21/12/2013 00:53:00,   57.51,   61.36,   51.61,   61.47,   65.30,   55.00
21/12/2013 00:58:00,   56.62,   60.56,   50.84,   60.24,   63.99,   55.16
21/12/2013 01:03:00,   56.16,   59.96,   51.30,   60.61,   64.45,   55.36
21/12/2013 01:08:00,   57.53,   62.83,   50.38,   59.66,   63.89,   54.18
21/12/2013 01:13:00,   54.17,   58.45,   49.74,   57.83,   61.39,   53.43
21/12/2013 01:18:00,   56.01,   60.26,   50.63,   60.41,   64.44,   54.02
21/12/2013 01:23:00,   57.22,   60.75,   51.06,   61.36,   65.51,   55.13
21/12/2013 01:28:00,   58.05,   61.89,   50.99,   63.89,   68.75,   54.70
21/12/2013 01:33:00,   55.79,   59.38,   51.09,   59.60,   62.60,   54.70
21/12/2013 01:38:00,   54.86,   58.98,   49.39,   58.88,   61.92,   53.06
21/12/2013 01:43:00,   55.19,   59.23,   49.34,   59.08,   63.04,   52.91
21/12/2013 01:48:00,   55.54,   60.32,   50.31,   57.74,   61.29,   53.22
21/12/2013 01:53:00,   57.18,   61.28,   51.41,   59.67,   62.92,   54.72
21/12/2013 01:58:00,   55.54,   59.81,   49.16,   58.72,   62.24,   53.47
21/12/2013 02:03:00,   56.24,   60.96,   49.41,   60.16,   64.33,   52.38
21/12/2013 02:08:00,   56.57,   59.37,   51.59,   59.01,   61.71,   54.59
21/12/2013 02:13:00,   55.76,   60.41,   49.78,   59.40,   63.14,   53.88
21/12/2013 02:18:00,   55.92,   59.64,   50.85,   58.88,   61.82,   54.01
21/12/2013 02:23:00,   56.54,   60.31,   50.22,   59.47,   63.55,   53.20
