# noise_analysis run from DCC-NOISE-001003 at Wed Dec 25 00:02:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
25/12/2013 00:07:00,   55.23,   58.93,   49.23,   57.21,   60.65,   51.62
25/12/2013 00:12:00,   55.44,   59.59,   49.38,   57.34,   60.79,   51.85
25/12/2013 00:17:00,   55.38,   59.31,   49.37,   57.01,   60.53,   52.14
25/12/2013 00:22:00,   56.51,   60.93,   50.71,   58.12,   61.98,   52.97
25/12/2013 00:27:00,   57.43,   61.36,   49.87,   58.81,   62.61,   51.86
25/12/2013 00:32:00,   54.81,   59.88,   47.45,   56.48,   60.71,   50.80
25/12/2013 00:37:00,   56.26,   60.24,   49.62,   58.12,   61.89,   51.89
25/12/2013 00:42:00,   55.27,   59.35,   47.75,   56.95,   60.40,   50.41
25/12/2013 00:47:00,   52.89,   57.81,   47.89,   54.71,   58.94,   50.06
25/12/2013 00:52:00,   51.93,   56.08,   45.49,   54.17,   57.90,   48.51
25/12/2013 00:57:00,   54.51,   59.03,   48.48,   56.59,   60.79,   50.70
25/12/2013 01:02:00,   54.41,   59.36,   47.19,   56.37,   60.21,   50.82
25/12/2013 01:07:00,   53.39,   58.12,   44.60,   55.20,   59.41,   47.91
25/12/2013 01:12:00,   53.85,   58.58,   44.73,   55.34,   59.57,   47.63
25/12/2013 01:17:00,   55.91,   59.66,   48.71,   57.79,   61.39,   51.43
25/12/2013 01:22:00,   55.43,   60.80,   47.64,   56.81,   61.54,   50.30
25/12/2013 01:27:00,   55.36,   60.12,   46.79,   56.87,   61.18,   49.69
25/12/2013 01:32:00,   51.17,   56.62,   42.54,   53.18,   58.44,   45.69
25/12/2013 01:37:00,   53.88,   59.94,   43.91,   55.20,   60.44,   47.54
25/12/2013 01:42:00,   51.30,   57.09,   44.08,   53.18,   58.22,   47.12
25/12/2013 01:47:00,   50.09,   56.00,   43.08,   51.83,   56.48,   46.41
25/12/2013 01:52:00,   49.32,   54.87,   42.79,   51.03,   55.41,   45.60
25/12/2013 01:57:00,   49.86,   56.21,   43.41,   52.11,   57.77,   46.77
25/12/2013 02:02:00,   51.91,   57.18,   43.83,   53.15,   58.12,   46.48
25/12/2013 02:07:00,   49.13,   54.51,   43.18,   51.23,   55.35,   46.78
25/12/2013 02:12:00,   47.28,   52.22,   40.12,   49.35,   53.51,   43.62
25/12/2013 02:17:00,   47.94,   53.43,   40.50,   50.50,   55.19,   43.55
25/12/2013 02:22:00,   51.72,   57.72,   43.66,   53.12,   58.49,   46.69
25/12/2013 02:27:00,   45.62,   49.89,   40.39,   48.13,   52.22,   43.51
25/12/2013 02:32:00,   47.45,   52.95,   40.69,   49.55,   53.59,   43.89
25/12/2013 02:37:00,   49.50,   54.87,   42.53,   51.00,   55.41,   46.01
25/12/2013 02:42:00,   47.67,   54.42,   41.28,   49.75,   55.06,   44.39
25/12/2013 02:47:00,   46.14,   49.79,   38.93,   47.86,   51.30,   42.19
25/12/2013 02:52:00,   51.47,   59.05,   43.31,   52.96,   59.47,   46.52
25/12/2013 02:57:00,   44.08,   48.84,   39.06,   47.14,   52.00,   42.41
25/12/2013 03:02:00,   43.28,   44.92,   41.03,   47.13,   48.08,   44.83
25/12/2013 03:07:00,   42.54,   44.33,   38.57,   45.72,   47.07,   43.19
25/12/2013 03:12:00,   49.80,   56.18,   42.29,   54.45,   59.01,   45.32
25/12/2013 03:17:00,   45.08,   47.94,   40.88,   48.08,   50.24,   44.84
25/12/2013 03:22:00,   46.65,   51.24,   40.84,   48.50,   52.32,   43.82
25/12/2013 03:27:00,   47.11,   52.36,   40.58,   49.49,   53.37,   43.50
25/12/2013 03:32:00,   47.05,   53.59,   39.47,   49.04,   55.24,   42.79
25/12/2013 03:37:00,   45.02,   48.05,   38.28,   47.23,   49.71,   41.90
25/12/2013 03:42:00,   44.34,   46.11,   37.50,   47.10,   48.60,   41.18
25/12/2013 03:47:00,   47.22,   53.98,   38.83,   48.60,   54.67,   42.00
25/12/2013 03:52:00,   41.34,   43.99,   37.09,   44.72,   47.16,   40.80
25/12/2013 03:57:00,   44.96,   49.37,   38.66,   47.79,   51.73,   41.98
25/12/2013 04:02:00,   43.30,   48.20,   36.77,   45.62,   50.48,   40.48
25/12/2013 04:07:00,   43.87,   47.45,   39.42,   47.08,   50.23,   42.60
25/12/2013 04:12:00,   47.41,   51.93,   40.65,   52.46,   58.03,   44.24
25/12/2013 04:17:00,   44.83,   49.98,   39.46,   46.97,   51.87,   42.76
25/12/2013 04:22:00,   42.43,   44.27,   38.02,   45.61,   47.47,   41.68
25/12/2013 04:27:00,   44.43,   50.62,   37.86,   47.11,   51.14,   42.49
25/12/2013 04:32:00,   38.53,   40.89,   35.81,   42.52,   44.37,   40.50
25/12/2013 04:37:00,   42.26,   45.54,   36.72,   45.46,   48.94,   40.97
25/12/2013 04:42:00,   42.70,   44.24,   38.84,   46.35,   47.49,   42.57
25/12/2013 04:47:00,   40.77,   41.92,   36.01,   43.90,   45.05,   40.63
25/12/2013 04:52:00,   46.27,   50.11,   37.07,   49.50,   55.58,   41.39
25/12/2013 04:57:00,   41.15,   42.01,   39.88,   45.84,   46.47,   45.00
25/12/2013 05:02:00,   39.67,   40.89,   37.83,   43.22,   44.32,   41.84
25/12/2013 05:07:00,   44.39,   48.19,   38.97,   46.80,   49.84,   42.34
25/12/2013 05:12:00,   49.14,   54.65,   41.84,   51.51,   56.19,   46.11
25/12/2013 05:17:00,   44.57,   48.36,   38.41,   47.11,   50.32,   42.07
25/12/2013 05:22:00,   41.90,   44.53,   37.65,   45.75,   48.46,   41.46
25/12/2013 05:27:00,   47.60,   52.29,   40.62,   49.42,   52.96,   43.62
25/12/2013 05:32:00,   44.44,   50.52,   38.04,   46.49,   50.54,   41.84
25/12/2013 05:37:00,   44.19,   49.00,   37.64,   47.05,   49.82,   41.80
25/12/2013 05:42:00,   41.62,   43.85,   38.21,   45.38,   47.44,   41.94
25/12/2013 05:47:00,   43.12,   45.03,   38.61,   45.93,   48.39,   42.24
25/12/2013 05:52:00,   43.17,   44.26,   41.40,   47.87,   49.50,   46.07
25/12/2013 05:57:00,   49.60,   57.16,   38.93,   52.05,   58.91,   42.69
25/12/2013 06:02:00,   42.32,   44.18,   38.33,   46.67,   48.50,   42.49
25/12/2013 06:07:00,   46.59,   50.34,   42.41,   50.09,   53.42,   47.14
25/12/2013 06:12:00,   48.09,   54.66,   42.05,   49.97,   55.62,   45.01
25/12/2013 06:17:00,   46.19,   51.41,   38.83,   50.21,   54.97,   43.17
25/12/2013 06:22:00,   48.76,   54.86,   42.26,   51.53,   56.80,   46.54
25/12/2013 06:27:00,   49.03,   55.59,   40.78,   51.10,   56.85,   44.82
25/12/2013 06:32:00,   45.90,   47.29,   41.83,   49.44,   51.69,   44.91
25/12/2013 06:37:00,   47.52,   51.69,   42.86,   50.45,   54.34,   46.72
25/12/2013 06:42:00,   46.83,   50.54,   41.73,   49.50,   53.29,   45.69
25/12/2013 06:47:00,   49.09,   52.39,   44.10,   51.80,   54.94,   47.48
25/12/2013 06:52:00,   51.49,   57.90,   44.94,   53.58,   58.80,   48.27
25/12/2013 06:57:00,   48.89,   55.21,   43.04,   51.83,   57.32,   46.50
25/12/2013 07:02:00,   55.54,   58.89,   46.00,   57.94,   62.28,   49.05
25/12/2013 07:07:00,   52.42,   57.64,   45.39,   55.97,   61.65,   48.83
25/12/2013 07:12:00,   49.42,   54.68,   43.74,   51.83,   56.40,   47.40
25/12/2013 07:17:00,   51.43,   56.21,   45.32,   53.63,   57.47,   48.73
25/12/2013 07:22:00,   53.79,   58.88,   43.86,   55.79,   59.78,   48.02
25/12/2013 07:27:00,   54.17,   59.19,   46.70,   55.81,   60.14,   49.88
25/12/2013 07:32:00,   56.31,   60.62,   47.90,   59.56,   63.33,   50.78
25/12/2013 07:37:00,   54.88,   61.07,   46.93,   56.72,   62.08,   50.25
25/12/2013 07:42:00,   54.54,   58.87,   48.34,   55.73,   59.21,   50.56
25/12/2013 07:47:00,   56.27,   59.69,   50.56,   57.69,   60.81,   52.68
25/12/2013 07:52:00,   55.63,   61.05,   47.50,   57.72,   62.15,   51.31
25/12/2013 07:57:00,   55.97,   60.00,   49.72,   58.27,   61.63,   52.48
25/12/2013 08:02:00,   53.41,   58.16,   44.95,   54.90,   59.31,   48.22
25/12/2013 08:07:00,   54.99,   59.15,   49.11,   56.95,   60.40,   51.22
25/12/2013 08:12:00,   54.83,   58.85,   48.64,   55.48,   58.81,   51.40
25/12/2013 08:17:00,   54.33,   58.71,   48.48,   56.03,   59.86,   51.17
25/12/2013 08:22:00,   55.49,   61.46,   47.75,   56.45,   61.93,   50.10
25/12/2013 08:27:00,   55.36,   59.67,   49.63,   57.48,   61.62,   52.33
25/12/2013 08:32:00,   54.65,   59.36,   48.72,   57.24,   61.52,   51.76
25/12/2013 08:37:00,   55.02,   58.62,   49.68,   56.64,   60.26,   51.41
25/12/2013 08:42:00,   57.76,   61.54,   52.29,   59.22,   62.54,   54.32
25/12/2013 08:47:00,   55.98,   58.91,   49.56,   57.88,   60.72,   51.98
25/12/2013 08:52:00,   55.72,   60.11,   48.17,   57.67,   61.16,   51.97
25/12/2013 08:57:00,   56.02,   59.95,   50.70,   57.65,   61.17,   52.55
25/12/2013 09:02:00,   55.77,   60.30,   50.18,   57.80,   61.34,   52.96
25/12/2013 09:07:00,   55.73,   59.85,   49.34,   57.05,   60.52,   51.59
25/12/2013 09:12:00,   55.73,   60.03,   49.52,   57.19,   60.66,   51.69
25/12/2013 09:17:00,   56.27,   61.03,   49.08,   57.76,   61.85,   51.13
25/12/2013 09:22:00,   57.58,   61.55,   51.92,   59.35,   62.93,   54.74
25/12/2013 09:27:00,   56.90,   61.47,   51.02,   58.69,   62.25,   54.08
25/12/2013 09:32:00,   56.55,   60.03,   51.14,   58.32,   61.88,   53.64
25/12/2013 09:37:00,   57.79,   60.92,   52.61,   59.86,   62.82,   55.04
25/12/2013 09:42:00,   56.30,   60.48,   50.42,   57.64,   61.61,   52.89
25/12/2013 09:47:00,   58.72,   62.06,   53.70,   59.86,   63.22,   55.85
25/12/2013 09:52:00,   58.30,   61.42,   53.65,   60.08,   63.02,   56.31
25/12/2013 09:57:00,   58.91,   62.86,   52.88,   60.80,   64.17,   55.85
25/12/2013 10:02:00,   59.47,   62.45,   54.96,   60.59,   63.30,   56.68
25/12/2013 10:07:00,   57.75,   60.45,   54.38,   59.52,   61.88,   56.76
25/12/2013 10:12:00,   59.15,   62.06,   55.03,   60.68,   63.50,   57.39
25/12/2013 10:17:00,   58.58,   61.63,   53.93,   60.50,   63.18,   56.65
25/12/2013 10:22:00,   58.49,   61.89,   52.82,   59.96,   62.98,   55.55
25/12/2013 10:27:00,   58.15,   61.03,   53.01,   59.65,   62.08,   54.99
25/12/2013 10:32:00,   58.84,   61.79,   54.36,   60.68,   63.45,   56.74
