# noise_analysis run from DCC-NOISE-001003 at Thu Dec 26 00:00:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
26/12/2013 00:05:00,   54.41,   59.54,   46.51,   56.06,   60.96,   49.20
26/12/2013 00:10:00,   54.05,   59.30,   46.78,   55.48,   60.28,   49.57
26/12/2013 00:15:00,   52.34,   56.54,   46.70,   54.27,   58.06,   48.75
26/12/2013 00:20:00,   54.43,   59.51,   47.70,   55.61,   60.61,   49.76
26/12/2013 00:25:00,   54.01,   58.95,   47.87,   55.55,   59.77,   50.20
26/12/2013 00:30:00,   51.94,   56.05,   46.78,   54.24,   57.89,   49.28
26/12/2013 00:35:00,   52.75,   57.76,   47.25,   54.54,   59.01,   49.59
26/12/2013 00:40:00,   54.16,   59.21,   46.78,   56.01,   60.95,   49.61
26/12/2013 00:45:00,   53.20,   59.04,   45.66,   54.56,   60.16,   48.00
26/12/2013 00:50:00,   53.37,   59.43,   46.10,   55.09,   61.03,   49.06
26/12/2013 00:55:00,   52.82,   58.82,   45.45,   54.03,   59.32,   47.72
26/12/2013 01:00:00,   53.05,   59.70,   44.74,   54.52,   60.47,   47.52
26/12/2013 01:05:00,   52.81,   57.60,   45.97,   54.38,   58.46,   48.55
26/12/2013 01:10:00,   51.59,   56.16,   45.73,   52.88,   56.87,   47.89
26/12/2013 01:15:00,   52.81,   56.72,   46.48,   54.71,   58.04,   49.67
26/12/2013 01:20:00,   52.51,   57.66,   45.08,   54.45,   59.51,   47.27
26/12/2013 01:25:00,   54.28,   58.27,   47.88,   56.34,   60.56,   50.40
26/12/2013 01:30:00,   52.41,   57.06,   46.27,   54.54,   59.07,   49.15
26/12/2013 01:35:00,   52.18,   58.78,   43.43,   55.08,   60.71,   46.29
26/12/2013 01:40:00,   50.57,   55.90,   44.46,   53.44,   57.78,   47.62
26/12/2013 01:45:00,   54.02,   58.93,   44.15,   55.94,   59.97,   46.22
26/12/2013 01:50:00,   51.86,   57.78,   44.64,   54.90,   60.41,   47.48
26/12/2013 01:55:00,   50.70,   56.05,   45.28,   53.94,   59.59,   47.54
26/12/2013 02:00:00,   51.47,   57.39,   43.14,   53.27,   58.54,   45.96
26/12/2013 02:05:00,   49.83,   54.94,   43.60,   51.82,   55.94,   46.19
26/12/2013 02:10:00,   52.15,   58.46,   43.48,   53.49,   59.00,   45.90
26/12/2013 02:15:00,   51.45,   57.80,   44.45,   52.85,   58.73,   47.62
26/12/2013 02:20:00,   52.15,   58.41,   44.36,   53.40,   58.80,   46.28
26/12/2013 02:25:00,   51.23,   56.82,   42.89,   53.35,   58.28,   46.70
26/12/2013 02:30:00,   52.51,   58.72,   43.76,   55.66,   61.55,   46.10
26/12/2013 02:35:00,   49.17,   55.51,   40.53,   50.87,   56.14,   43.57
26/12/2013 02:40:00,   47.50,   51.54,   42.12,   51.05,   56.75,   46.40
26/12/2013 02:45:00,   47.10,   52.52,   39.66,   49.76,   54.18,   43.64
26/12/2013 02:50:00,   41.69,   43.52,   39.27,   46.04,   47.45,   42.76
26/12/2013 02:55:00,   50.24,   56.61,   41.05,   52.64,   57.90,   44.06
26/12/2013 03:00:00,   51.23,   58.75,   42.56,   54.33,   60.10,   46.20
26/12/2013 03:05:00,   50.72,   55.49,   43.77,   56.00,   60.06,   48.26
26/12/2013 03:10:00,   52.94,   58.67,   43.84,   55.94,   61.58,   47.70
26/12/2013 03:15:00,   49.99,   56.94,   41.13,   52.78,   58.20,   44.90
26/12/2013 03:20:00,   51.24,   56.25,   43.94,   53.09,   57.69,   47.09
26/12/2013 03:25:00,   50.86,   57.38,   41.57,   52.07,   57.99,   44.46
26/12/2013 03:30:00,   52.00,   57.84,   41.36,   54.17,   59.39,   44.55
26/12/2013 03:35:00,   48.38,   54.13,   43.59,   52.00,   56.22,   47.92
26/12/2013 03:40:00,   51.46,   57.23,   43.68,   53.14,   57.89,   47.06
26/12/2013 03:45:00,   51.43,   57.16,   42.54,   53.06,   57.94,   45.78
26/12/2013 03:50:00,   48.97,   55.19,   41.52,   51.53,   56.97,   45.97
26/12/2013 03:55:00,   48.56,   55.77,   41.78,   51.12,   56.72,   45.28
26/12/2013 04:00:00,   46.30,   50.22,   42.00,   49.01,   52.60,   45.12
26/12/2013 04:05:00,   47.31,   52.32,   42.03,   49.30,   53.88,   44.88
26/12/2013 04:10:00,   48.71,   55.44,   43.14,   51.06,   56.77,   47.12
26/12/2013 04:15:00,   47.62,   52.60,   42.11,   50.27,   54.87,   45.26
26/12/2013 04:20:00,   51.75,   57.60,   42.52,   53.02,   58.48,   46.09
26/12/2013 04:25:00,   50.68,   58.46,   41.88,   55.36,   62.19,   45.47
26/12/2013 04:30:00,   44.99,   46.89,   42.27,   48.73,   50.99,   44.96
26/12/2013 04:35:00,   48.97,   54.23,   43.12,   51.33,   56.26,   46.76
26/12/2013 04:40:00,   49.47,   56.17,   42.70,   51.32,   57.54,   45.96
26/12/2013 04:45:00,   51.44,   57.70,   44.17,   52.93,   58.79,   46.91
26/12/2013 04:50:00,   51.53,   57.17,   44.65,   53.39,   58.05,   47.49
26/12/2013 04:55:00,   46.11,   47.45,   41.50,   48.93,   50.19,   44.63
26/12/2013 05:00:00,   50.39,   56.88,   42.69,   51.85,   57.40,   45.64
26/12/2013 05:05:00,   44.97,   46.81,   42.48,   48.92,   51.70,   45.50
26/12/2013 05:10:00,   48.94,   52.23,   44.78,   51.88,   54.77,   49.09
26/12/2013 05:15:00,   49.07,   54.61,   44.21,   51.30,   56.29,   47.04
26/12/2013 05:20:00,   50.75,   56.60,   45.84,   52.66,   57.52,   48.15
26/12/2013 05:25:00,   49.23,   53.09,   44.78,   51.61,   54.77,   47.61
26/12/2013 05:30:00,   49.82,   55.77,   44.76,   52.29,   56.90,   47.87
26/12/2013 05:35:00,   51.21,   55.16,   45.44,   52.46,   56.22,   48.10
26/12/2013 05:40:00,   50.74,   52.82,   47.79,   52.15,   54.30,   48.90
26/12/2013 05:45:00,   49.72,   52.52,   46.34,   51.83,   54.71,   49.19
26/12/2013 05:50:00,   50.91,   55.19,   45.85,   53.32,   56.96,   48.93
26/12/2013 05:55:00,   50.19,   55.91,   44.79,   53.43,   58.32,   47.48
26/12/2013 06:00:00,   50.28,   55.69,   43.95,   53.30,   57.41,   47.94
26/12/2013 06:05:00,   47.97,   50.15,   43.70,   51.34,   54.34,   47.23
26/12/2013 06:10:00,   51.41,   57.59,   44.94,   53.17,   58.13,   48.55
26/12/2013 06:15:00,   49.93,   55.54,   44.75,   52.47,   57.90,   47.89
26/12/2013 06:20:00,   48.27,   53.04,   43.48,   50.90,   55.80,   46.73
26/12/2013 06:25:00,   52.21,   58.29,   44.55,   53.81,   59.22,   47.46
26/12/2013 06:30:00,   49.23,   54.56,   43.48,   51.81,   56.40,   46.77
26/12/2013 06:35:00,   51.41,   57.24,   44.92,   54.09,   58.81,   48.25
26/12/2013 06:40:00,   51.41,   56.81,   44.51,   55.71,   62.61,   47.66
26/12/2013 06:45:00,   50.05,   54.26,   46.07,   52.68,   55.74,   49.21
26/12/2013 06:50:00,   51.20,   55.27,   46.24,   52.81,   57.22,   48.68
26/12/2013 06:55:00,   52.55,   57.91,   47.16,   55.05,   60.07,   49.88
26/12/2013 07:00:00,   53.09,   57.76,   47.39,   56.12,   60.53,   50.29
26/12/2013 07:05:00,   53.12,   59.40,   47.56,   55.98,   60.87,   51.05
26/12/2013 07:10:00,   56.16,   60.48,   48.70,   59.88,   63.63,   53.87
26/12/2013 07:15:00,   54.43,   59.04,   47.77,   57.70,   62.08,   51.18
26/12/2013 07:20:00,   54.97,   59.83,   48.65,   58.07,   63.04,   51.69
26/12/2013 07:25:00,   54.49,   60.17,   48.23,   56.26,   60.87,   51.26
26/12/2013 07:30:00,   53.82,   58.03,   48.87,   55.83,   59.17,   52.09
26/12/2013 07:35:00,   53.42,   57.82,   47.36,   57.39,   61.45,   51.52
26/12/2013 07:40:00,   54.08,   59.28,   48.71,   56.40,   60.62,   52.11
26/12/2013 07:45:00,   54.91,   59.32,   48.40,   57.58,   61.46,   51.95
26/12/2013 07:50:00,   53.01,   58.11,   47.76,   54.97,   59.15,   50.73
26/12/2013 07:55:00,   55.91,   60.46,   48.86,   57.56,   61.61,   51.90
26/12/2013 08:00:00,   53.79,   57.84,   48.95,   56.29,   59.91,   51.81
26/12/2013 08:05:00,   54.73,   59.67,   48.91,   57.56,   61.99,   51.80
26/12/2013 08:10:00,   55.01,   60.04,   49.19,   56.70,   61.14,   51.84
26/12/2013 08:15:00,   53.79,   57.71,   48.08,   57.01,   60.41,   50.52
26/12/2013 08:20:00,   55.55,   59.40,   49.45,   57.17,   60.74,   51.68
26/12/2013 08:25:00,   56.83,   61.60,   51.02,   58.09,   61.99,   53.30
26/12/2013 08:30:00,   56.00,   60.16,   50.54,   57.09,   60.66,   52.82
26/12/2013 08:35:00,   56.45,   60.35,   51.18,   57.79,   61.06,   53.72
26/12/2013 08:40:00,   57.52,   61.45,   51.75,   58.81,   62.18,   53.76
26/12/2013 08:45:00,   53.72,   57.68,   49.57,   55.16,   58.63,   52.16
26/12/2013 08:50:00,   57.22,   61.75,   51.41,   58.45,   62.13,   53.46
26/12/2013 08:55:00,   61.44,   63.30,   57.88,   60.97,   63.05,   57.45
26/12/2013 09:00:00,   61.68,   63.90,   56.61,   61.69,   63.96,   58.13
26/12/2013 09:05:00,   57.36,   61.51,   52.18,   58.48,   61.94,   53.94
26/12/2013 09:10:00,   58.30,   62.05,   52.31,   59.67,   63.02,   54.78
26/12/2013 09:15:00,   55.18,   59.53,   49.69,   56.85,   60.66,   51.95
26/12/2013 09:20:00,   58.43,   62.06,   50.74,   59.31,   62.59,   53.10
