# noise_analysis run from DCC-NOISE-001003 at Sun Dec 29 00:02:00 2013
# Monitoring unit located at 53.342609N 6.340721W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.271103
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
29/12/2013 00:07:00,   57.76,   62.16,   50.19,   59.66,   63.89,   52.86
29/12/2013 00:12:00,   56.37,   61.05,   50.57,   58.56,   62.54,   53.46
29/12/2013 00:17:00,   55.74,   59.30,   49.84,   57.88,   61.34,   52.65
29/12/2013 00:22:00,   56.40,   61.49,   50.35,   58.61,   62.94,   52.69
29/12/2013 00:27:00,   54.74,   59.72,   49.53,   57.91,   62.60,   52.98
29/12/2013 00:32:00,   55.19,   59.85,   49.46,   57.70,   61.56,   52.94
29/12/2013 00:37:00,   56.04,   60.54,   50.25,   57.96,   62.05,   52.91
29/12/2013 00:42:00,   55.01,   59.53,   49.19,   57.92,   61.96,   52.41
29/12/2013 00:47:00,   55.66,   60.59,   49.35,   57.87,   62.27,   52.40
29/12/2013 00:52:00,   54.77,   58.97,   49.87,   57.91,   61.99,   52.89
29/12/2013 00:57:00,   56.51,   60.44,   50.05,   59.49,   63.05,   53.20
29/12/2013 01:02:00,   56.02,   60.54,   49.05,   59.07,   62.69,   52.27
29/12/2013 01:07:00,   56.67,   61.48,   48.57,   58.68,   62.80,   52.22
29/12/2013 01:12:00,   55.95,   59.49,   50.38,   58.56,   61.64,   53.99
29/12/2013 01:17:00,   56.15,   60.63,   49.68,   58.22,   61.96,   52.28
29/12/2013 01:22:00,   56.26,   61.88,   48.28,   58.73,   63.42,   51.01
29/12/2013 01:27:00,   53.88,   58.19,   48.89,   56.53,   60.33,   52.01
29/12/2013 01:32:00,   55.87,   59.63,   50.24,   58.88,   62.72,   52.54
29/12/2013 01:37:00,   55.89,   60.13,   49.39,   58.41,   61.85,   53.40
29/12/2013 01:42:00,   56.21,   60.08,   49.71,   59.74,   63.54,   53.23
29/12/2013 01:47:00,   57.89,   61.72,   52.37,   60.58,   64.28,   54.52
29/12/2013 01:52:00,   57.20,   61.13,   51.03,   60.35,   63.11,   54.23
29/12/2013 01:57:00,   56.14,   59.77,   49.88,   60.32,   63.46,   53.46
29/12/2013 02:02:00,   56.64,   59.94,   48.67,   59.47,   63.04,   52.30
29/12/2013 02:07:00,   56.49,   60.48,   50.28,   58.62,   62.08,   53.14
29/12/2013 02:12:00,   56.73,   60.67,   48.25,   59.68,   62.61,   51.34
29/12/2013 02:17:00,   56.37,   60.73,   49.02,   59.01,   62.86,   52.46
29/12/2013 02:22:00,   54.87,   58.73,   48.30,   58.97,   63.50,   50.99
29/12/2013 02:27:00,   55.81,   60.74,   49.34,   58.87,   63.68,   52.07
29/12/2013 02:32:00,   56.00,   60.05,   49.98,   58.52,   62.45,   52.52
29/12/2013 02:37:00,   53.07,   57.42,   46.64,   56.20,   60.35,   49.78
29/12/2013 02:42:00,   55.65,   61.37,   45.62,   57.64,   62.31,   50.26
29/12/2013 02:47:00,   54.24,   58.25,   48.28,   57.44,   61.27,   51.51
29/12/2013 02:52:00,   55.32,   59.97,   48.04,   57.09,   60.96,   50.95
29/12/2013 02:57:00,   53.67,   59.48,   46.50,   55.60,   60.92,   49.44
29/12/2013 03:02:00,   53.77,   58.80,   47.56,   56.68,   61.51,   51.22
29/12/2013 03:07:00,   52.58,   57.89,   46.00,   54.78,   59.57,   49.65
29/12/2013 03:12:00,   54.78,   59.76,   48.29,   56.70,   61.58,   50.94
29/12/2013 03:17:00,   56.29,   60.10,   49.61,   58.84,   62.28,   52.54
29/12/2013 03:22:00,   56.47,   60.72,   50.31,   58.69,   62.09,   53.76
29/12/2013 03:27:00,   54.76,   59.48,   47.19,   57.85,   62.69,   50.48
29/12/2013 03:32:00,   54.45,   59.54,   47.67,   56.57,   60.85,   51.31
29/12/2013 03:37:00,   54.44,   59.39,   47.93,   56.74,   60.81,   50.90
29/12/2013 03:42:00,   52.52,   57.67,   46.58,   55.79,   60.46,   50.16
29/12/2013 03:47:00,   54.33,   59.86,   47.30,   57.15,   61.64,   50.51
29/12/2013 03:52:00,   52.87,   58.69,   46.46,   57.22,   63.08,   50.43
29/12/2013 03:57:00,   57.73,   62.48,   48.36,   62.73,   66.84,   52.27
29/12/2013 04:02:00,   53.18,   58.89,   46.95,   56.25,   61.15,   50.71
29/12/2013 04:07:00,   54.96,   60.57,   47.26,   58.58,   62.93,   52.12
29/12/2013 04:12:00,   52.46,   57.85,   47.30,   56.72,   61.40,   50.94
29/12/2013 04:17:00,   53.72,   58.74,   46.67,   56.15,   60.35,   50.27
29/12/2013 04:22:00,   54.02,   58.66,   47.99,   56.70,   60.90,   50.84
29/12/2013 04:27:00,   52.95,   59.22,   44.65,   55.40,   60.66,   48.69
29/12/2013 04:32:00,   51.42,   57.49,   45.29,   54.58,   59.63,   48.87
29/12/2013 04:37:00,   54.88,   59.99,   48.78,   57.48,   61.93,   51.71
29/12/2013 04:42:00,   51.78,   56.08,   46.90,   55.01,   58.83,   50.09
29/12/2013 04:47:00,   50.08,   55.74,   44.85,   54.20,   59.03,   48.40
29/12/2013 04:52:00,   52.17,   56.26,   46.09,   55.53,   60.32,   49.18
29/12/2013 04:57:00,   53.82,   58.03,   46.46,   56.52,   60.06,   50.08
29/12/2013 05:02:00,   51.26,   55.74,   46.57,   54.72,   58.38,   49.90
29/12/2013 05:07:00,   52.92,   58.32,   45.88,   55.58,   61.38,   49.20
29/12/2013 05:12:00,   50.31,   55.54,   45.39,   53.60,   58.69,   48.31
29/12/2013 05:17:00,   50.99,   54.78,   46.24,   55.54,   59.43,   49.85
29/12/2013 05:22:00,   51.61,   56.16,   45.34,   55.66,   60.70,   49.09
29/12/2013 05:27:00,   51.85,   57.10,   44.85,   54.11,   58.14,   48.91
29/12/2013 05:32:00,   53.39,   58.25,   46.25,   55.87,   60.32,   49.73
29/12/2013 05:37:00,   52.59,   58.30,   47.04,   55.98,   59.95,   50.23
29/12/2013 05:42:00,   51.87,   58.65,   45.19,   54.19,   59.86,   48.28
29/12/2013 05:47:00,   50.91,   56.17,   46.46,   53.84,   58.31,   49.48
29/12/2013 05:52:00,   50.88,   55.12,   46.24,   54.78,   59.12,   49.66
29/12/2013 05:57:00,   52.54,   57.67,   45.25,   54.34,   58.92,   48.81
29/12/2013 06:02:00,   53.48,   58.30,   45.02,   55.37,   59.60,   48.86
29/12/2013 06:07:00,   49.00,   52.73,   46.34,   51.82,   54.69,   49.53
