# noise_analysis run from DCC-NOISE-001014 at Thu Jan 24 00:00:00 2013
# Monitoring unit located at 53.278938N 6.315392W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.577707
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
24/01/2013 00:05:00,   54.77,   59.49,   45.69,   56.87,   61.39,   48.79
24/01/2013 00:10:00,   53.15,   58.87,   43.47,   55.36,   60.23,   46.40
24/01/2013 00:15:00,   52.55,   58.43,   42.54,   55.62,   61.33,   45.78
24/01/2013 00:20:00,   53.40,   58.81,   42.94,   56.09,   60.40,   47.04
24/01/2013 00:25:00,   53.68,   59.05,   44.13,   56.51,   61.46,   46.38
24/01/2013 00:30:00,   54.31,   60.02,   44.05,   56.73,   61.93,   47.03
24/01/2013 00:35:00,   53.05,   59.07,   41.71,   55.02,   59.92,   44.98
24/01/2013 00:40:00,   53.00,   58.74,   42.81,   55.70,   61.04,   46.80
24/01/2013 00:45:00,   53.29,   57.78,   44.34,   55.53,   59.84,   47.78
24/01/2013 00:50:00,   52.90,   57.84,   41.06,   56.21,   61.07,   45.52
24/01/2013 00:55:00,   53.01,   59.23,   42.32,   55.13,   60.02,   45.14
24/01/2013 01:00:00,   55.44,   61.49,   42.79,   58.14,   63.76,   46.26
24/01/2013 01:05:00,   52.23,   58.47,   41.68,   54.08,   59.52,   45.37
24/01/2013 01:10:00,   53.13,   58.13,   42.36,   57.01,   62.14,   47.56
24/01/2013 01:15:00,   54.20,   59.72,   42.33,   57.06,   61.16,   46.20
24/01/2013 01:20:00,   54.76,   60.25,   43.56,   56.27,   61.73,   46.83
24/01/2013 01:25:00,   53.88,   59.05,   44.90,   57.53,   62.90,   47.84
24/01/2013 01:30:00,   52.02,   58.52,   41.54,   53.74,   59.45,   44.92
24/01/2013 01:35:00,   52.00,   58.73,   41.77,   53.41,   59.46,   44.96
24/01/2013 01:40:00,   50.77,   57.17,   39.28,   52.54,   58.81,   43.22
24/01/2013 01:45:00,   52.06,   58.98,   39.64,   53.27,   59.66,   43.38
24/01/2013 01:50:00,   52.43,   58.99,   40.94,   53.90,   60.21,   43.63
24/01/2013 01:55:00,   51.45,   58.04,   39.75,   53.63,   59.00,   43.81
24/01/2013 02:00:00,   54.02,   60.42,   41.89,   55.28,   61.06,   45.53
24/01/2013 02:05:00,   50.70,   57.50,   39.06,   52.52,   58.74,   42.21
24/01/2013 02:10:00,   52.00,   58.94,   40.76,   53.80,   59.94,   43.95
24/01/2013 02:15:00,   52.33,   58.70,   40.03,   54.64,   60.22,   43.18
24/01/2013 02:20:00,   52.91,   60.64,   41.74,   55.87,   62.33,   44.89
24/01/2013 02:25:00,   51.78,   58.04,   42.38,   53.92,   59.50,   46.44
24/01/2013 02:30:00,   51.96,   59.76,   40.02,   54.90,   61.09,   43.22
24/01/2013 01:21:00,   50.27,   58.12,   39.07,   51.90,   58.85,   42.30
24/01/2013 01:26:00,   54.74,   60.49,   42.32,   57.18,   63.02,   45.81
24/01/2013 01:31:00,   52.61,   58.65,   40.18,   54.61,   60.04,   43.85
24/01/2013 01:36:00,   52.48,   59.94,   41.36,   53.96,   60.45,   44.48
