# noise_analysis run from DCC-NOISE-001014 at Mon Jan 28 00:00:00 2013
# Monitoring unit located at 53.278938N 6.315392W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.577707
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
28/01/2013 00:05:00,   54.99,   59.24,   49.44,   61.22,   65.08,   53.87
28/01/2013 00:10:00,   57.38,   61.58,   50.50,   61.81,   66.85,   54.03
28/01/2013 00:15:00,   56.08,   59.78,   49.54,   58.54,   61.92,   53.45
28/01/2013 00:20:00,   56.60,   60.40,   49.95,   59.77,   62.90,   54.32
28/01/2013 00:25:00,   56.99,   61.16,   50.53,   60.86,   64.13,   54.07
28/01/2013 00:30:00,   56.51,   61.00,   48.46,   61.95,   66.54,   53.08
28/01/2013 00:35:00,   56.88,   61.27,   47.90,   60.19,   64.14,   52.86
28/01/2013 00:40:00,   55.83,   60.39,   48.92,   59.93,   63.90,   52.82
28/01/2013 00:45:00,   54.18,   59.30,   47.22,   58.03,   62.47,   51.50
28/01/2013 00:50:00,   54.23,   59.25,   48.69,   58.22,   61.77,   53.10
28/01/2013 00:55:00,   56.92,   61.38,   49.83,   60.81,   64.73,   54.35
28/01/2013 01:00:00,   55.80,   60.86,   46.13,   60.50,   64.43,   50.78
28/01/2013 01:05:00,   57.22,   61.43,   46.34,   60.38,   64.53,   51.33
28/01/2013 01:10:00,   56.25,   61.12,   49.04,   58.45,   62.45,   52.08
28/01/2013 01:15:00,   53.93,   59.48,   47.64,   58.60,   62.30,   51.98
28/01/2013 01:20:00,   54.43,   59.75,   45.44,   57.88,   62.02,   50.78
28/01/2013 01:25:00,   54.06,   59.78,   43.79,   57.63,   62.50,   49.33
28/01/2013 01:30:00,   53.90,   59.71,   46.85,   57.03,   62.14,   50.54
28/01/2013 01:35:00,   53.90,   59.58,   45.94,   57.63,   62.28,   50.40
28/01/2013 01:40:00,   53.14,   58.87,   45.61,   57.77,   63.80,   50.88
28/01/2013 01:45:00,   53.18,   58.63,   46.35,   57.74,   62.42,   51.51
28/01/2013 01:50:00,   51.34,   56.49,   44.00,   56.59,   60.62,   49.60
28/01/2013 01:55:00,   49.51,   55.42,   43.55,   55.11,   60.63,   49.26
28/01/2013 02:00:00,   48.15,   51.73,   43.26,   52.23,   54.90,   48.40
28/01/2013 02:05:00,   51.39,   57.73,   43.10,   55.14,   60.37,   48.50
28/01/2013 02:10:00,   61.48,   64.07,   46.68,   62.98,   67.28,   50.76
28/01/2013 02:15:00,   55.49,   58.34,   44.63,   57.59,   61.45,   49.61
28/01/2013 02:20:00,   50.85,   56.99,   44.29,   56.64,   62.19,   49.15
28/01/2013 02:25:00,   52.94,   59.09,   44.59,   57.87,   62.93,   49.25
28/01/2013 02:30:00,   51.04,   57.77,   44.02,   55.14,   61.08,   49.07
28/01/2013 02:35:00,   51.41,   56.22,   44.38,   58.70,   64.83,   48.85
28/01/2013 02:40:00,   51.64,   58.02,   44.89,   57.39,   62.82,   50.02
28/01/2013 02:45:00,   49.03,   53.08,   42.77,   56.99,   62.54,   48.59
28/01/2013 02:50:00,   47.40,   50.14,   43.25,   54.47,   58.91,   48.92
28/01/2013 02:55:00,   48.79,   53.22,   42.88,   55.45,   59.42,   48.58
28/01/2013 03:00:00,   50.90,   56.20,   43.38,   59.35,   65.76,   49.11
