# noise_analysis run from DCC-NOISE-001014 at Fri Feb  1 00:00:00 2013
# Monitoring unit located at 53.278938N 6.315392W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.577707
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
01/02/2013 00:05:00,   55.02,   59.94,   49.10,   58.68,   62.52,   53.30
01/02/2013 00:10:00,   54.26,   58.14,   48.11,   59.30,   63.14,   52.30
01/02/2013 00:15:00,   54.08,   58.55,   49.11,   57.50,   61.78,   52.89
01/02/2013 00:20:00,   53.51,   57.86,   47.62,   57.51,   60.84,   52.00
01/02/2013 00:25:00,   55.67,   59.91,   48.95,   58.39,   62.38,   52.56
01/02/2013 00:30:00,   53.11,   58.08,   47.95,   56.53,   60.07,   51.66
01/02/2013 00:35:00,   53.70,   58.58,   48.28,   57.13,   61.05,   52.16
01/02/2013 00:40:00,   54.29,   58.42,   48.05,   57.65,   60.67,   51.94
01/02/2013 00:45:00,   54.81,   59.56,   47.83,   57.33,   61.21,   51.37
01/02/2013 00:50:00,   53.27,   57.22,   47.91,   56.67,   61.02,   52.06
01/02/2013 00:55:00,   55.82,   60.26,   49.75,   58.55,   62.43,   53.17
01/02/2013 01:00:00,   52.73,   57.63,   46.93,   56.72,   60.30,   51.21
01/02/2013 01:05:00,   53.28,   58.14,   47.30,   56.87,   61.06,   51.63
01/02/2013 01:10:00,   54.49,   58.52,   48.99,   58.00,   61.63,   53.23
01/02/2013 01:15:00,   53.91,   58.74,   47.76,   57.41,   61.15,   51.87
01/02/2013 01:20:00,   53.74,   58.80,   46.64,   57.25,   61.21,   50.78
01/02/2013 01:25:00,   51.94,   56.73,   47.31,   56.18,   59.84,   51.98
01/02/2013 01:30:00,   51.04,   55.58,   45.33,   57.99,   63.63,   49.92
01/02/2013 01:35:00,   52.35,   58.41,   44.94,   56.04,   60.97,   49.90
01/02/2013 01:40:00,   52.25,   58.20,   44.07,   57.39,   62.30,   49.10
01/02/2013 01:45:00,   52.39,   57.24,   46.46,   56.55,   60.66,   50.90
01/02/2013 01:50:00,   51.27,   57.54,   44.27,   57.64,   63.13,   49.55
01/02/2013 01:55:00,   50.65,   55.56,   45.06,   56.38,   61.26,   50.03
01/02/2013 02:00:00,   50.10,   54.42,   45.78,   54.78,   58.69,   50.32
01/02/2013 02:05:00,   50.89,   56.46,   45.55,   55.23,   60.31,   49.59
01/02/2013 02:10:00,   51.82,   56.77,   44.27,   58.67,   62.91,   49.09
01/02/2013 02:15:00,   52.10,   58.06,   44.84,   56.57,   60.85,   50.09
01/02/2013 02:20:00,   48.66,   52.86,   45.25,   54.06,   57.61,   49.58
01/02/2013 02:25:00,   48.53,   53.04,   44.49,   54.07,   57.57,   49.11
01/02/2013 02:30:00,   49.24,   54.07,   43.07,   53.65,   57.43,   47.59
01/02/2013 02:35:00,   48.84,   51.73,   43.08,   54.82,   60.62,   48.15
01/02/2013 02:40:00,   50.70,   57.23,   42.98,   54.66,   60.02,   48.21
01/02/2013 02:45:00,   50.37,   55.50,   43.11,   56.17,   60.70,   48.71
01/02/2013 02:50:00,   48.82,   53.96,   43.25,   52.83,   57.00,   48.05
01/02/2013 02:55:00,   47.64,   51.41,   42.99,   51.64,   56.57,   47.72
01/02/2013 03:00:00,   47.40,   48.93,   44.09,   51.75,   55.72,   48.59
01/02/2013 03:05:00,   50.37,   56.80,   44.41,   55.27,   60.11,   48.92
01/02/2013 03:10:00,   48.60,   53.64,   44.08,   52.44,   56.57,   48.39
01/02/2013 03:15:00,   47.78,   52.32,   42.74,   51.43,   54.89,   47.79
01/02/2013 03:20:00,   47.73,   50.83,   42.76,   52.24,   55.82,   47.40
01/02/2013 03:25:00,   52.52,   58.80,   44.57,   56.16,   60.94,   49.91
01/02/2013 03:30:00,   50.41,   56.47,   44.62,   54.83,   59.88,   49.55
01/02/2013 03:35:00,   49.66,   56.30,   43.78,   53.11,   58.23,   48.27
01/02/2013 03:40:00,   48.66,   54.54,   42.90,   51.99,   57.46,   47.46
01/02/2013 03:45:00,   50.55,   56.28,   44.67,   53.77,   58.37,   48.42
01/02/2013 03:50:00,   51.50,   57.12,   44.65,   54.34,   59.31,   48.68
01/02/2013 03:55:00,   49.30,   54.68,   44.13,   54.02,   59.62,   49.09
01/02/2013 04:00:00,   49.78,   54.06,   45.28,   53.53,   57.38,   49.40
01/02/2013 04:05:00,   44.39,   46.08,   42.57,   50.25,   52.14,   47.67
01/02/2013 04:10:00,   46.76,   50.18,   43.36,   51.22,   54.83,   47.63
01/02/2013 04:15:00,   47.18,   51.03,   43.54,   50.78,   54.14,   47.98
01/02/2013 04:20:00,   48.02,   50.04,   44.38,   51.65,   54.47,   48.96
01/02/2013 04:25:00,   49.92,   56.08,   45.19,   53.35,   58.35,   49.35
01/02/2013 04:30:00,   50.17,   55.53,   44.74,   53.70,   58.16,   49.16
