# noise_analysis run from DCC-NOISE-001014 at Sun Feb  3 00:00:00 2013
# Monitoring unit located at 53.278938N 6.315392W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.577707
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
03/02/2013 00:05:00,   55.22,   59.58,   49.53,   57.65,   62.18,   52.14
03/02/2013 00:10:00,   55.81,   60.14,   49.60,   58.17,   61.92,   52.60
03/02/2013 00:15:00,   56.29,   60.97,   48.73,   58.10,   61.92,   51.69
03/02/2013 00:20:00,   54.47,   59.77,   48.32,   56.84,   61.88,   51.09
03/02/2013 00:25:00,   54.26,   59.06,   47.97,   57.35,   61.26,   51.65
03/02/2013 00:30:00,   55.17,   59.61,   48.37,   57.85,   61.46,   51.77
03/02/2013 00:35:00,   53.98,   58.49,   47.44,   56.43,   60.18,   51.30
03/02/2013 00:40:00,   53.81,   58.40,   48.37,   56.00,   60.15,   51.56
03/02/2013 00:45:00,   54.85,   58.81,   48.68,   57.01,   60.82,   51.15
03/02/2013 00:50:00,   55.47,   59.77,   48.79,   57.20,   60.90,   51.31
03/02/2013 00:55:00,   55.34,   60.22,   48.64,   57.09,   61.51,   51.31
03/02/2013 01:00:00,   55.91,   60.33,   49.55,   57.95,   62.30,   52.42
03/02/2013 01:05:00,   57.20,   61.96,   49.14,   58.57,   63.32,   51.79
03/02/2013 01:10:00,   56.27,   61.25,   49.36,   57.95,   62.43,   52.51
03/02/2013 01:15:00,   56.71,   62.09,   47.91,   59.12,   63.55,   51.27
03/02/2013 01:20:00,   58.03,   62.42,   48.59,   59.66,   63.47,   51.31
03/02/2013 01:25:00,   57.58,   62.23,   48.57,   59.03,   63.46,   51.23
03/02/2013 01:30:00,   58.71,   62.74,   51.41,   60.87,   64.53,   53.77
03/02/2013 01:35:00,   57.35,   61.76,   49.71,   58.83,   63.19,   52.31
03/02/2013 01:40:00,   57.78,   61.82,   50.15,   58.81,   62.51,   52.35
03/02/2013 01:45:00,   57.49,   61.96,   50.24,   58.57,   62.44,   52.61
03/02/2013 01:50:00,   57.06,   61.74,   50.47,   58.25,   62.37,   52.58
03/02/2013 01:55:00,   58.54,   63.29,   49.66,   59.79,   64.10,   53.01
03/02/2013 02:00:00,   58.91,   62.81,   51.69,   59.74,   63.60,   53.60
03/02/2013 02:05:00,   56.89,   61.23,   50.01,   58.37,   62.26,   52.43
03/02/2013 02:10:00,   59.17,   62.70,   53.22,   60.91,   64.46,   55.46
03/02/2013 02:15:00,   56.67,   60.95,   50.14,   58.64,   62.49,   53.01
03/02/2013 02:20:00,   59.41,   64.18,   48.55,   60.69,   65.13,   52.39
03/02/2013 02:25:00,   58.43,   63.38,   47.98,   60.08,   64.16,   51.31
03/02/2013 02:30:00,   57.59,   62.04,   50.39,   59.38,   63.18,   53.25
03/02/2013 02:35:00,   57.73,   62.80,   49.76,   59.40,   63.60,   52.54
03/02/2013 02:40:00,   58.14,   62.35,   51.54,   60.34,   63.99,   53.69
03/02/2013 02:45:00,   57.42,   61.46,   51.29,   59.75,   62.76,   54.44
03/02/2013 02:50:00,   57.91,   62.62,   48.56,   60.63,   64.81,   51.93
03/02/2013 02:55:00,   57.37,   61.67,   49.50,   60.69,   63.78,   53.06
03/02/2013 03:00:00,   57.21,   62.01,   48.78,   60.70,   64.34,   52.85
03/02/2013 03:05:00,   55.93,   60.31,   49.60,   59.41,   63.26,   53.53
03/02/2013 03:10:00,   57.77,   62.50,   51.43,   60.85,   64.76,   54.84
03/02/2013 03:15:00,   57.81,   62.77,   49.56,   60.66,   64.86,   53.29
03/02/2013 03:20:00,   56.18,   61.32,   49.78,   61.01,   65.56,   53.49
03/02/2013 03:25:00,   58.19,   62.45,   51.74,   61.19,   65.03,   54.68
03/02/2013 03:30:00,   56.29,   61.16,   49.76,   60.04,   64.03,   54.07
03/02/2013 03:35:00,   58.35,   62.84,   51.18,   60.58,   64.46,   54.61
03/02/2013 03:40:00,   57.65,   62.01,   49.05,   60.77,   64.76,   53.27
03/02/2013 03:45:00,   57.12,   62.46,   49.21,   61.30,   66.26,   53.71
03/02/2013 03:50:00,   57.33,   62.32,   49.50,   60.76,   65.19,   53.77
03/02/2013 03:55:00,   55.74,   60.67,   49.01,   61.03,   65.68,   53.33
03/02/2013 04:00:00,   58.26,   63.18,   51.00,   62.17,   66.27,   55.33
03/02/2013 04:05:00,   55.09,   60.39,   48.49,   62.56,   67.75,   52.76
