# noise_analysis run from DCC-NOISE-001014 at Mon Feb  4 00:00:00 2013
# Monitoring unit located at 53.278938N 6.315392W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.577707
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
04/02/2013 00:05:00,   57.01,   60.65,   50.45,   66.22,   71.74,   55.44
04/02/2013 00:10:00,   57.32,   61.23,   50.36,   66.28,   72.03,   54.40
04/02/2013 00:15:00,   56.14,   60.37,   48.79,   59.82,   63.68,   52.74
04/02/2013 00:20:00,   57.48,   60.86,   50.56,   64.36,   69.04,   56.64
04/02/2013 00:25:00,   55.98,   60.51,   48.60,   62.41,   67.66,   52.63
04/02/2013 00:30:00,   57.12,   60.89,   49.28,   61.93,   65.53,   53.88
04/02/2013 00:35:00,   54.50,   59.07,   47.25,   62.46,   68.19,   52.17
04/02/2013 00:40:00,   57.57,   62.53,   48.73,   64.05,   68.83,   52.90
04/02/2013 00:45:00,   56.85,   62.03,   48.85,   61.80,   66.46,   52.79
04/02/2013 00:50:00,   57.34,   61.74,   50.80,   63.35,   67.58,   54.89
04/02/2013 00:55:00,   57.95,   62.21,   50.24,   62.78,   66.63,   54.12
04/02/2013 01:00:00,   57.04,   60.74,   48.56,   61.96,   67.49,   52.65
04/02/2013 01:05:00,   55.47,   60.68,   48.13,   60.34,   64.85,   52.33
04/02/2013 01:10:00,   57.52,   62.25,   50.80,   64.30,   69.10,   54.79
04/02/2013 01:15:00,   61.86,   66.39,   54.19,   72.50,   79.99,   58.51
04/02/2013 01:20:00,   61.49,   64.99,   53.72,   70.98,   76.37,   59.04
04/02/2013 01:25:00,   62.34,   67.08,   52.13,   73.99,   81.00,   59.52
04/02/2013 01:30:00,   57.27,   62.83,   49.39,   67.78,   75.13,   56.32
04/02/2013 01:35:00,   56.90,   61.66,   49.20,   66.45,   72.54,   55.30
04/02/2013 01:40:00,   56.88,   61.67,   48.39,   67.63,   74.15,   54.35
04/02/2013 01:45:00,   56.24,   60.65,   48.08,   64.69,   70.19,   53.35
04/02/2013 01:50:00,   55.17,   60.58,   47.39,   64.68,   70.34,   52.15
04/02/2013 01:55:00,   52.47,   56.82,   46.37,   62.82,   68.43,   51.70
04/02/2013 02:00:00,   54.93,   60.23,   45.76,   64.54,   70.76,   51.79
04/02/2013 02:05:00,   55.83,   60.50,   48.50,   65.01,   70.92,   55.12
04/02/2013 02:10:00,   55.73,   60.86,   47.22,   66.33,   72.35,   52.19
04/02/2013 02:15:00,   54.05,   59.28,   46.10,   60.44,   65.59,   51.29
04/02/2013 02:20:00,   55.69,   60.51,   46.93,   66.42,   73.29,   54.26
04/02/2013 02:25:00,   52.34,   56.66,   44.94,   60.74,   66.63,   50.14
04/02/2013 02:30:00,   49.11,   51.93,   43.63,   60.10,   65.99,   49.54
04/02/2013 02:35:00,   50.08,   56.32,   43.36,   61.02,   68.79,   49.21
04/02/2013 02:40:00,   52.73,   58.79,   44.31,   60.27,   66.37,   49.70
04/02/2013 02:45:00,   54.84,   60.87,   45.17,   63.68,   68.61,   50.58
04/02/2013 02:50:00,   50.24,   55.53,   43.13,   58.52,   63.39,   48.91
04/02/2013 02:55:00,   51.47,   56.77,   43.91,   58.81,   64.04,   49.87
04/02/2013 03:00:00,   52.42,   58.38,   43.12,   59.99,   64.07,   47.87
04/02/2013 03:05:00,   50.87,   56.44,   44.48,   57.98,   63.61,   49.65
04/02/2013 03:10:00,   51.34,   57.96,   44.27,   56.61,   61.69,   49.33
04/02/2013 03:15:00,   52.40,   58.62,   43.96,   58.64,   64.00,   49.73
04/02/2013 03:20:00,   52.45,   57.55,   44.28,   57.96,   63.50,   49.41
04/02/2013 03:25:00,   50.20,   56.36,   43.71,   56.93,   62.29,   49.17
04/02/2013 03:30:00,   49.18,   54.14,   43.37,   56.06,   61.69,   48.56
04/02/2013 03:35:00,   51.81,   56.41,   45.39,   60.24,   67.01,   50.62
04/02/2013 03:40:00,   51.51,   56.54,   44.83,   60.61,   66.14,   50.21
04/02/2013 03:45:00,   51.00,   54.96,   46.20,   57.16,   62.81,   50.85
04/02/2013 03:50:00,   51.36,   57.55,   43.57,   56.47,   62.26,   48.28
04/02/2013 03:55:00,   49.74,   54.14,   44.30,   57.99,   62.98,   49.91
04/02/2013 04:00:00,   51.27,   57.20,   44.16,   58.62,   64.08,   49.41
04/02/2013 04:05:00,   52.27,   59.88,   44.89,   56.87,   62.44,   49.70
04/02/2013 04:10:00,   49.18,   53.22,   45.07,   57.39,   63.88,   49.57
04/02/2013 04:15:00,   51.50,   56.48,   45.80,   58.89,   64.65,   50.57
04/02/2013 04:20:00,   50.76,   54.71,   45.71,   57.80,   63.47,   50.68
04/02/2013 04:25:00,   52.43,   57.54,   46.70,   61.79,   68.37,   52.21
04/02/2013 04:30:00,   51.52,   56.43,   45.68,   59.73,   66.69,   50.71
04/02/2013 04:35:00,   54.10,   59.30,   47.39,   61.51,   67.99,   52.19
04/02/2013 04:40:00,   50.35,   54.79,   45.65,   59.14,   65.37,   50.41
04/02/2013 04:45:00,   51.58,   55.72,   46.57,   59.61,   65.38,   51.23
04/02/2013 04:50:00,   50.87,   55.69,   46.14,   56.71,   61.74,   50.34
04/02/2013 04:55:00,   51.75,   55.84,   47.51,   58.34,   63.68,   51.62
04/02/2013 05:00:00,   52.25,   57.26,   47.16,   60.29,   66.80,   51.26
04/02/2013 05:05:00,   50.81,   53.96,   47.05,   58.69,   63.99,   51.76
04/02/2013 05:10:00,   51.01,   54.55,   47.29,   58.66,   62.97,   52.03
04/02/2013 05:15:00,   51.34,   55.21,   47.72,   59.23,   64.66,   51.92
04/02/2013 05:20:00,   53.95,   58.75,   48.08,   60.55,   66.07,   52.00
04/02/2013 05:25:00,   53.48,   58.23,   48.97,   60.58,   66.25,   53.54
04/02/2013 05:30:00,   55.61,   60.11,   48.98,   64.05,   69.77,   53.33
04/02/2013 05:35:00,   55.02,   58.55,   49.82,   62.73,   67.29,   54.82
04/02/2013 05:40:00,   53.70,   57.93,   47.86,   60.17,   65.08,   52.31
04/02/2013 05:45:00,   55.59,   59.72,   49.66,   63.59,   68.72,   54.75
04/02/2013 05:50:00,   55.44,   61.03,   49.01,   60.68,   65.88,   53.47
04/02/2013 05:55:00,   56.66,   60.00,   51.12,   67.04,   73.34,   55.51
04/02/2013 06:00:00,   54.24,   58.80,   49.22,   60.22,   64.53,   53.77
04/02/2013 06:05:00,   55.08,   59.45,   48.91,   62.73,   67.48,   53.73
04/02/2013 06:10:00,   55.91,   59.73,   50.81,   62.59,   67.00,   55.54
04/02/2013 06:15:00,   56.81,   60.78,   51.85,   65.95,   72.32,   56.30
04/02/2013 06:20:00,   57.02,   60.00,   51.95,   66.93,   72.57,   56.86
04/02/2013 06:25:00,   57.90,   60.98,   50.69,   68.45,   74.18,   55.51
04/02/2013 06:30:00,   57.31,   61.72,   52.19,   64.57,   70.44,   56.54
04/02/2013 06:35:00,   55.84,   58.93,   52.05,   63.12,   67.41,   56.96
04/02/2013 06:40:00,   57.22,   60.84,   51.88,   64.00,   68.15,   56.35
04/02/2013 06:45:00,   57.88,   61.71,   52.83,   63.53,   67.54,   58.26
04/02/2013 06:50:00,   58.05,   61.56,   53.16,   64.43,   68.84,   57.80
04/02/2013 06:55:00,   57.17,   60.59,   53.63,   62.79,   66.48,   57.70
04/02/2013 07:00:00,   58.87,   61.55,   55.00,   65.28,   69.28,   58.98
04/02/2013 07:05:00,   58.01,   60.53,   54.74,   66.55,   70.89,   59.63
04/02/2013 07:10:00,   58.76,   60.99,   55.56,   64.01,   68.64,   59.22
