# noise_analysis run from DCC-NOISE-001014 at Tue Feb  5 00:00:00 2013
# Monitoring unit located at 53.278938N 6.315392W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.577707
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
05/02/2013 00:05:00,   57.77,   62.94,   50.69,   64.08,   67.87,   56.33
05/02/2013 00:10:00,   55.96,   61.33,   48.70,   60.49,   65.04,   53.82
05/02/2013 00:15:00,   55.71,   59.61,   50.31,   62.10,   66.22,   55.13
05/02/2013 00:20:00,   55.58,   60.01,   50.32,   62.60,   67.54,   55.59
05/02/2013 00:25:00,   55.21,   60.73,   48.06,   60.11,   65.10,   53.18
05/02/2013 00:30:00,   55.38,   60.87,   48.43,   62.14,   68.22,   53.40
05/02/2013 00:35:00,   55.68,   59.80,   49.05,   64.50,   69.57,   53.74
05/02/2013 00:40:00,   56.47,   61.05,   50.24,   64.26,   70.16,   55.60
05/02/2013 00:45:00,   55.16,   60.48,   48.21,   60.38,   64.47,   53.48
05/02/2013 00:50:00,   52.44,   57.65,   46.89,   59.40,   64.37,   52.00
05/02/2013 00:55:00,   53.80,   58.86,   48.14,   59.58,   63.79,   52.38
05/02/2013 01:00:00,   56.90,   61.95,   49.18,   64.20,   69.68,   54.80
05/02/2013 01:05:00,   55.04,   59.48,   48.99,   60.57,   65.03,   54.20
05/02/2013 01:10:00,   54.17,   59.76,   46.71,   62.04,   67.50,   51.94
05/02/2013 01:15:00,   56.19,   61.44,   47.44,   65.06,   70.77,   53.58
05/02/2013 01:20:00,   55.49,   60.23,   48.26,   64.28,   70.47,   54.59
05/02/2013 01:25:00,   55.58,   59.85,   48.40,   65.09,   70.59,   55.11
05/02/2013 01:30:00,   55.55,   60.76,   47.57,   63.51,   70.28,   53.12
05/02/2013 01:35:00,   55.13,   60.68,   48.06,   61.12,   66.84,   53.11
05/02/2013 01:40:00,   54.98,   60.31,   48.24,   65.68,   72.68,   54.55
05/02/2013 01:45:00,   52.99,   58.02,   46.29,   60.93,   66.05,   52.83
05/02/2013 01:50:00,   54.37,   59.34,   47.27,   60.84,   66.90,   51.90
05/02/2013 01:55:00,   50.29,   54.02,   45.50,   58.82,   62.04,   50.93
05/02/2013 02:00:00,   55.55,   61.73,   47.19,   63.39,   69.55,   52.18
05/02/2013 02:05:00,   52.69,   58.44,   45.67,   62.65,   70.10,   51.43
05/02/2013 02:10:00,   51.64,   55.79,   46.82,   60.83,   65.98,   52.69
05/02/2013 02:15:00,   54.47,   59.91,   47.06,   64.75,   72.40,   53.91
05/02/2013 02:20:00,   49.99,   53.53,   44.71,   58.61,   62.52,   49.84
05/02/2013 02:25:00,   53.41,   60.00,   45.02,   60.22,   65.54,   50.44
05/02/2013 02:30:00,   51.63,   56.97,   44.94,   61.49,   68.06,   50.88
05/02/2013 02:35:00,   51.28,   57.59,   43.84,   59.23,   64.45,   50.23
05/02/2013 02:40:00,   52.11,   57.36,   45.68,   60.69,   67.10,   50.73
05/02/2013 02:45:00,   50.00,   54.60,   44.48,   60.42,   67.05,   50.57
05/02/2013 02:50:00,   48.77,   51.85,   44.52,   57.92,   62.70,   50.48
05/02/2013 02:55:00,   52.34,   57.98,   45.29,   59.14,   65.46,   51.37
05/02/2013 03:00:00,   47.74,   50.90,   44.19,   57.95,   62.99,   49.88
05/02/2013 03:05:00,   50.33,   53.97,   45.26,   59.90,   65.32,   51.10
05/02/2013 03:10:00,   50.26,   54.35,   45.61,   60.12,   65.95,   51.33
05/02/2013 03:15:00,   49.40,   53.00,   43.35,   57.26,   63.51,   49.89
05/02/2013 03:20:00,   51.76,   57.86,   44.49,   61.22,   68.00,   50.74
05/02/2013 03:25:00,   50.71,   55.80,   44.81,   58.58,   63.31,   50.77
05/02/2013 03:30:00,   50.49,   54.28,   46.26,   59.03,   65.01,   52.14
05/02/2013 03:35:00,   47.52,   49.60,   44.82,   57.23,   61.60,   50.70
05/02/2013 03:40:00,   50.26,   55.59,   44.66,   58.73,   63.08,   50.40
