# noise_analysis run from DCC-NOISE-001014 at Wed Feb  6 00:00:00 2013
# Monitoring unit located at 53.278938N 6.315392W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.577707
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
06/02/2013 00:05:00,   55.55,   60.14,   49.28,   59.92,   63.19,   53.63
06/02/2013 00:10:00,   54.85,   59.06,   48.27,   58.68,   61.94,   53.34
06/02/2013 00:15:00,   55.27,   59.25,   50.35,   63.55,   68.12,   55.18
06/02/2013 00:20:00,   55.67,   59.71,   49.47,   60.02,   62.66,   54.59
06/02/2013 00:25:00,   56.16,   60.09,   50.00,   60.75,   65.10,   54.67
06/02/2013 00:30:00,   51.76,   56.54,   45.63,   56.50,   60.05,   50.87
06/02/2013 00:35:00,   55.54,   59.78,   49.82,   60.44,   64.25,   53.54
06/02/2013 00:40:00,   53.81,   59.02,   46.63,   57.92,   62.45,   51.25
06/02/2013 00:45:00,   52.75,   57.20,   46.73,   55.97,   59.56,   51.36
06/02/2013 00:50:00,   52.37,   56.31,   46.94,   56.68,   60.43,   51.46
06/02/2013 00:55:00,   52.63,   58.24,   45.72,   56.82,   61.93,   50.47
06/02/2013 01:00:00,   54.15,   59.19,   47.10,   57.12,   60.59,   52.02
06/02/2013 01:05:00,   51.21,   57.47,   44.74,   55.05,   60.09,   49.85
06/02/2013 01:10:00,   51.81,   56.98,   44.70,   55.93,   59.88,   49.85
06/02/2013 01:15:00,   51.30,   57.76,   44.58,   55.23,   60.17,   49.71
06/02/2013 01:20:00,   49.20,   54.61,   43.87,   53.31,   57.13,   48.67
06/02/2013 01:25:00,   51.60,   57.58,   44.62,   55.43,   59.34,   50.15
06/02/2013 01:30:00,   51.71,   58.05,   42.99,   55.41,   60.68,   48.75
06/02/2013 01:35:00,   50.11,   56.80,   42.43,   52.87,   58.01,   47.95
06/02/2013 01:40:00,   50.38,   55.73,   43.77,   54.10,   57.98,   48.27
06/02/2013 01:45:00,   50.85,   56.94,   43.33,   53.56,   58.45,   48.43
06/02/2013 01:50:00,   51.22,   59.65,   42.29,   53.78,   60.57,   47.15
06/02/2013 01:55:00,   48.38,   55.12,   41.36,   51.41,   56.09,   46.00
06/02/2013 02:00:00,   50.59,   56.47,   43.03,   53.89,   58.48,   47.71
06/02/2013 02:05:00,   46.89,   50.39,   41.97,   51.02,   54.49,   47.45
06/02/2013 02:10:00,   51.07,   58.73,   42.83,   53.37,   59.54,   47.66
06/02/2013 02:15:00,   50.47,   55.93,   43.31,   52.83,   57.17,   47.94
06/02/2013 02:20:00,   49.39,   54.86,   43.83,   52.17,   56.24,   48.12
06/02/2013 02:25:00,   49.25,   56.94,   42.00,   52.39,   58.09,   47.05
06/02/2013 02:30:00,   44.74,   46.68,   41.59,   50.71,   53.03,   47.54
06/02/2013 02:35:00,   47.47,   50.84,   43.65,   52.39,   56.48,   48.45
06/02/2013 02:40:00,   47.47,   50.98,   41.98,   52.79,   56.32,   48.03
06/02/2013 02:45:00,   47.09,   49.09,   43.91,   54.93,   58.42,   49.95
06/02/2013 02:50:00,   47.80,   51.09,   43.59,   55.35,   59.52,   49.71
06/02/2013 02:55:00,   48.97,   53.44,   42.87,   53.12,   56.97,   48.35
06/02/2013 03:00:00,   48.96,   53.24,   42.92,   53.83,   58.23,   48.58
06/02/2013 03:05:00,   50.33,   56.20,   43.41,   54.55,   59.37,   48.95
06/02/2013 03:10:00,   46.25,   49.97,   42.40,   54.49,   58.60,   49.18
06/02/2013 03:15:00,   46.47,   50.71,   42.35,   52.26,   56.43,   48.64
06/02/2013 03:20:00,   45.51,   47.23,   41.46,   51.52,   55.18,   47.07
06/02/2013 03:25:00,   47.97,   51.04,   42.46,   53.80,   58.33,   48.05
06/02/2013 03:30:00,   49.96,   55.92,   43.17,   54.53,   59.27,   49.08
06/02/2013 03:35:00,   48.21,   52.66,   41.96,   53.46,   57.81,   47.85
06/02/2013 03:40:00,   48.03,   51.15,   43.11,   52.84,   56.60,   48.13
06/02/2013 03:45:00,   46.89,   53.32,   41.39,   51.71,   56.16,   47.08
06/02/2013 03:50:00,   49.77,   56.66,   42.64,   53.19,   58.63,   47.74
06/02/2013 03:55:00,   48.69,   53.45,   42.68,   53.14,   57.64,   47.54
06/02/2013 04:00:00,   47.24,   51.54,   42.35,   51.30,   54.68,   47.44
06/02/2013 04:05:00,   46.98,   49.01,   43.27,   51.07,   53.65,   47.84
06/02/2013 04:10:00,   44.22,   45.37,   42.26,   49.55,   50.95,   47.39
06/02/2013 04:15:00,   48.22,   53.27,   43.40,   51.96,   55.88,   48.04
06/02/2013 04:20:00,   45.91,   49.02,   42.61,   50.19,   52.48,   47.37
06/02/2013 04:25:00,   47.23,   50.73,   43.81,   51.91,   55.21,   48.45
06/02/2013 04:30:00,   48.48,   53.93,   43.54,   53.63,   58.78,   48.38
06/02/2013 04:35:00,   46.24,   47.89,   43.04,   51.32,   54.07,   48.06
06/02/2013 04:40:00,   46.78,   50.20,   43.42,   50.83,   53.00,   48.19
06/02/2013 04:45:00,   49.42,   54.77,   45.72,   53.08,   56.75,   49.92
06/02/2013 04:50:00,   50.36,   55.86,   45.45,   53.47,   57.26,   49.62
06/02/2013 04:55:00,   48.06,   50.89,   45.10,   52.05,   54.31,   49.61
06/02/2013 05:00:00,   49.72,   54.73,   44.88,   52.98,   56.41,   49.66
06/02/2013 05:05:00,   49.44,   54.62,   45.16,   52.90,   56.73,   49.74
06/02/2013 05:10:00,   51.28,   57.38,   45.47,   53.94,   58.36,   49.66
06/02/2013 05:15:00,   49.15,   53.46,   44.96,   53.21,   56.81,   49.42
06/02/2013 05:20:00,   51.23,   56.40,   46.05,   54.82,   58.59,   50.75
06/02/2013 05:25:00,   51.64,   56.26,   47.13,   55.09,   58.82,   51.44
06/02/2013 05:30:00,   52.46,   58.01,   47.79,   56.67,   60.38,   52.14
