# noise_analysis run from DCC-NOISE-001014 at Thu Feb  7 00:00:00 2013
# Monitoring unit located at 53.278938N 6.315392W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.577707
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
07/02/2013 00:05:00,   56.57,   61.93,   50.48,   58.71,   62.79,   54.44
07/02/2013 00:10:00,   55.76,   59.80,   50.65,   58.62,   61.84,   54.37
07/02/2013 00:15:00,   52.64,   57.10,   47.95,   55.60,   58.78,   52.31
07/02/2013 00:20:00,   54.26,   58.96,   49.23,   57.28,   60.83,   53.09
07/02/2013 00:25:00,   53.32,   57.36,   49.12,   57.76,   62.68,   53.47
07/02/2013 00:30:00,   53.12,   57.47,   48.65,   56.18,   59.10,   52.21
07/02/2013 00:35:00,   54.29,   58.73,   49.53,   58.24,   61.05,   53.12
07/02/2013 00:40:00,   54.51,   58.86,   49.55,   57.54,   61.17,   53.50
07/02/2013 00:45:00,   53.37,   58.20,   48.27,   56.42,   60.14,   52.33
07/02/2013 00:50:00,   54.44,   58.26,   49.73,   57.39,   59.97,   54.10
07/02/2013 00:55:00,   53.19,   58.41,   47.51,   56.12,   59.71,   51.76
07/02/2013 01:00:00,   53.42,   59.06,   46.14,   56.66,   60.91,   50.55
07/02/2013 01:05:00,   54.00,   58.79,   48.39,   58.14,   61.60,   52.08
07/02/2013 01:10:00,   55.08,   59.54,   49.27,   57.84,   61.83,   53.53
07/02/2013 01:15:00,   55.28,   61.16,   48.47,   57.94,   62.28,   53.11
07/02/2013 01:20:00,   54.44,   59.77,   48.18,   56.99,   60.80,   52.47
07/02/2013 01:25:00,   50.59,   53.02,   46.22,   54.47,   56.84,   51.08
07/02/2013 01:30:00,   53.03,   58.30,   48.56,   56.72,   60.60,   52.95
07/02/2013 01:35:00,   53.13,   58.55,   47.45,   56.20,   60.19,   51.79
07/02/2013 01:40:00,   52.36,   57.54,   46.91,   55.65,   59.71,   51.89
07/02/2013 01:45:00,   51.28,   55.76,   47.24,   55.38,   58.92,   52.03
07/02/2013 01:50:00,   53.08,   58.17,   46.82,   56.35,   60.14,   51.53
07/02/2013 01:55:00,   52.42,   57.69,   46.90,   56.17,   59.98,   52.15
07/02/2013 02:00:00,   50.16,   52.39,   46.99,   54.81,   57.18,   51.76
07/02/2013 02:05:00,   52.51,   57.06,   46.36,   56.01,   59.45,   52.12
07/02/2013 02:10:00,   52.02,   58.63,   46.99,   55.12,   60.13,   51.24
07/02/2013 02:15:00,   51.64,   56.30,   46.90,   55.50,   58.96,   52.28
07/02/2013 02:20:00,   51.06,   54.91,   47.35,   55.11,   57.17,   52.80
07/02/2013 02:25:00,   49.73,   52.91,   45.85,   54.03,   57.15,   50.37
07/02/2013 02:30:00,   50.85,   57.01,   45.82,   55.01,   59.37,   50.90
07/02/2013 02:35:00,   50.43,   55.84,   46.03,   55.08,   58.97,   51.13
07/02/2013 02:40:00,   50.01,   54.17,   45.86,   54.73,   58.09,   50.57
07/02/2013 02:45:00,   50.72,   54.50,   46.21,   54.79,   58.04,   51.24
07/02/2013 02:50:00,   49.35,   52.02,   45.57,   53.97,   55.91,   50.73
07/02/2013 02:55:00,   51.35,   55.62,   46.25,   55.14,   58.13,   51.01
07/02/2013 03:00:00,   49.57,   51.94,   45.94,   53.51,   55.57,   50.44
07/02/2013 03:05:00,   50.62,   52.85,   46.98,   54.70,   56.49,   52.35
07/02/2013 03:10:00,   49.48,   49.87,   46.51,   54.50,   56.20,   52.03
07/02/2013 03:15:00,   51.89,   56.38,   47.72,   56.09,   59.26,   52.75
07/02/2013 03:20:00,   53.24,   58.90,   47.11,   56.66,   61.40,   51.89
07/02/2013 03:25:00,   50.89,   54.16,   46.70,   55.43,   58.80,   51.81
07/02/2013 03:30:00,   49.06,   50.84,   45.28,   53.69,   56.34,   49.75
07/02/2013 03:35:00,   50.77,   54.23,   46.48,   54.57,   57.38,   51.35
07/02/2013 03:40:00,   51.89,   55.74,   48.43,   56.30,   59.85,   52.90
07/02/2013 03:45:00,   51.67,   56.36,   45.86,   56.20,   60.79,   50.69
07/02/2013 03:50:00,   52.80,   58.97,   47.90,   56.58,   60.73,   52.68
