# noise_analysis run from DCC-NOISE-001014 at Sat Feb  9 00:00:00 2013
# Monitoring unit located at 53.278938N 6.315392W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.577707
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
09/02/2013 00:05:00,   57.12,   60.46,   51.50,   60.72,   64.55,   55.14
09/02/2013 00:10:00,   54.78,   59.84,   48.92,   59.66,   63.78,   52.85
09/02/2013 00:15:00,   57.37,   61.70,   50.09,   60.06,   64.00,   53.39
09/02/2013 00:20:00,   55.34,   60.15,   49.00,   58.98,   63.06,   52.31
09/02/2013 00:25:00,   55.47,   60.49,   48.72,   58.25,   62.27,   52.14
09/02/2013 00:30:00,   55.67,   60.38,   49.36,   58.24,   62.19,   52.68
09/02/2013 00:35:00,   57.41,   60.05,   48.17,   58.85,   62.39,   51.47
09/02/2013 00:40:00,   55.82,   60.54,   48.37,   57.66,   61.73,   52.21
09/02/2013 00:45:00,   54.05,   59.19,   47.38,   56.32,   60.77,   51.29
09/02/2013 00:50:00,   55.33,   59.84,   49.25,   57.58,   61.72,   52.23
09/02/2013 00:55:00,   55.05,   60.56,   48.13,   57.03,   61.68,   51.07
09/02/2013 01:00:00,   56.55,   61.31,   47.54,   58.72,   62.94,   51.97
09/02/2013 01:05:00,   54.74,   59.39,   48.02,   57.61,   61.54,   51.24
09/02/2013 01:10:00,   55.65,   60.69,   48.22,   57.68,   62.41,   51.40
09/02/2013 01:15:00,   53.99,   59.21,   46.31,   56.13,   61.01,   49.66
09/02/2013 01:20:00,   53.86,   58.16,   46.29,   58.12,   62.32,   49.86
09/02/2013 01:25:00,   54.54,   59.77,   47.06,   57.35,   62.39,   50.61
09/02/2013 01:30:00,   55.59,   59.88,   48.32,   57.96,   61.61,   52.16
09/02/2013 01:35:00,   54.60,   58.93,   47.31,   57.19,   61.06,   51.34
09/02/2013 01:40:00,   55.09,   59.94,   47.29,   57.91,   61.88,   50.95
09/02/2013 01:45:00,   53.95,   58.83,   47.74,   58.79,   63.36,   51.97
09/02/2013 01:50:00,   56.24,   60.38,   49.05,   58.88,   62.34,   52.55
