# noise_analysis run from DCC-NOISE-001014 at Thu Feb 14 00:00:00 2013
# Monitoring unit located at 53.278938N 6.315392W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.577707
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
14/02/2013 00:05:00,   54.88,   59.47,   47.80,   57.67,   61.99,   51.92
14/02/2013 00:10:00,   53.78,   60.04,   47.18,   56.20,   61.90,   50.79
14/02/2013 00:15:00,   54.71,   59.48,   46.50,   56.95,   61.12,   49.90
14/02/2013 00:20:00,   53.12,   59.07,   45.66,   55.63,   60.84,   49.67
14/02/2013 00:25:00,   55.02,   59.74,   48.99,   57.28,   61.15,   52.34
14/02/2013 00:30:00,   55.97,   60.57,   46.71,   57.44,   61.35,   50.51
14/02/2013 00:35:00,   54.32,   59.86,   46.39,   56.48,   61.17,   50.50
14/02/2013 00:40:00,   54.83,   60.00,   47.25,   56.63,   61.05,   51.16
14/02/2013 00:45:00,   54.42,   59.24,   47.52,   56.43,   60.14,   51.20
14/02/2013 00:50:00,   54.84,   60.65,   46.22,   56.50,   61.50,   50.08
14/02/2013 00:55:00,   55.06,   60.07,   48.14,   57.06,   61.10,   50.73
14/02/2013 01:00:00,   52.70,   58.33,   46.09,   55.20,   59.95,   49.94
14/02/2013 01:05:00,   53.95,   59.43,   45.85,   56.01,   60.99,   49.92
14/02/2013 01:10:00,   52.69,   58.47,   45.47,   54.95,   59.54,   49.29
14/02/2013 01:15:00,   52.41,   58.47,   45.67,   55.11,   60.33,   49.32
14/02/2013 01:20:00,   54.06,   59.15,   45.47,   55.84,   60.28,   49.60
14/02/2013 01:25:00,   53.58,   60.20,   45.86,   57.10,   62.33,   49.79
14/02/2013 01:30:00,   54.44,   60.20,   46.70,   56.09,   61.16,   50.38
14/02/2013 01:35:00,   51.85,   58.17,   46.42,   54.59,   59.76,   50.47
14/02/2013 01:40:00,   52.49,   57.57,   45.84,   54.86,   59.34,   49.56
14/02/2013 01:45:00,   53.60,   59.01,   47.11,   55.49,   59.94,   50.67
14/02/2013 01:50:00,   53.87,   60.35,   46.37,   55.93,   61.39,   50.21
14/02/2013 01:55:00,   52.04,   57.31,   45.18,   55.03,   60.06,   50.00
14/02/2013 02:00:00,   50.74,   54.54,   44.82,   53.76,   56.78,   49.66
14/02/2013 02:05:00,   49.94,   54.34,   44.77,   53.36,   56.98,   49.59
14/02/2013 02:10:00,   53.19,   57.75,   46.85,   55.93,   60.02,   51.15
14/02/2013 02:15:00,   49.79,   55.05,   44.11,   52.93,   56.87,   49.09
