# noise_analysis run from DCC-NOISE-001014 at Fri Feb 15 00:00:00 2013
# Monitoring unit located at 53.278938N 6.315392W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.577707
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
15/02/2013 00:05:00,   55.92,   60.05,   49.94,   58.70,   62.54,   53.89
15/02/2013 00:10:00,   54.64,   59.71,   48.81,   57.26,   61.53,   52.71
15/02/2013 00:15:00,   55.82,   59.82,   49.96,   58.33,   61.59,   53.71
15/02/2013 00:20:00,   55.35,   59.91,   49.47,   58.16,   61.74,   53.86
15/02/2013 00:25:00,   54.48,   58.27,   49.58,   57.43,   60.86,   53.73
15/02/2013 00:30:00,   54.94,   59.01,   49.79,   57.63,   61.16,   53.78
15/02/2013 00:35:00,   55.34,   59.05,   50.35,   58.61,   62.18,   53.98
15/02/2013 00:40:00,   56.10,   60.23,   51.41,   58.60,   62.01,   54.68
15/02/2013 00:45:00,   53.88,   57.65,   49.14,   57.10,   61.00,   53.15
15/02/2013 00:50:00,   55.04,   59.25,   49.45,   57.62,   61.32,   53.24
15/02/2013 00:55:00,   54.56,   59.41,   48.86,   57.12,   60.95,   52.33
15/02/2013 01:00:00,   54.40,   58.00,   50.17,   58.23,   61.15,   53.88
15/02/2013 01:05:00,   53.91,   59.30,   48.43,   56.53,   61.16,   52.45
15/02/2013 01:10:00,   55.03,   59.54,   49.16,   57.76,   61.32,   53.22
15/02/2013 01:15:00,   55.03,   59.69,   48.08,   57.64,   61.21,   52.07
15/02/2013 01:20:00,   56.67,   60.79,   50.55,   59.02,   62.65,   54.14
15/02/2013 01:25:00,   54.74,   59.54,   48.40,   57.18,   61.30,   52.55
15/02/2013 01:30:00,   54.98,   59.27,   48.28,   57.55,   61.00,   52.22
15/02/2013 01:35:00,   54.21,   58.73,   48.37,   57.57,   61.32,   52.86
15/02/2013 01:40:00,   52.72,   58.85,   46.41,   55.78,   60.49,   51.21
15/02/2013 01:45:00,   52.30,   58.11,   45.69,   55.08,   59.63,   50.01
15/02/2013 01:50:00,   51.68,   56.25,   45.82,   55.12,   58.38,   50.88
15/02/2013 01:55:00,   52.45,   57.28,   46.41,   54.96,   58.69,   50.68
15/02/2013 02:00:00,   52.35,   56.51,   46.65,   54.77,   57.88,   50.85
15/02/2013 02:05:00,   51.60,   57.56,   45.44,   54.47,   59.21,   49.80
15/02/2013 02:10:00,   51.79,   57.89,   44.09,   54.44,   59.59,   48.75
15/02/2013 02:15:00,   47.07,   47.85,   44.93,   52.22,   53.99,   49.63
15/02/2013 02:20:00,   50.14,   55.75,   44.77,   54.01,   58.01,   50.05
15/02/2013 02:25:00,   52.70,   58.02,   44.78,   54.89,   58.86,   49.79
15/02/2013 02:30:00,   49.19,   52.20,   44.73,   52.84,   55.12,   49.09
15/02/2013 02:35:00,   52.55,   58.86,   45.87,   54.92,   59.54,   50.41
15/02/2013 02:40:00,   50.60,   55.66,   43.83,   54.08,   58.99,   48.00
15/02/2013 02:45:00,   50.92,   58.30,   43.90,   53.55,   58.92,   48.87
15/02/2013 02:50:00,   50.17,   55.41,   43.67,   53.43,   57.36,   48.57
