# noise_analysis run from DCC-NOISE-001014 at Sat Feb 16 00:00:00 2013
# Monitoring unit located at 53.278938N 6.315392W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -26.577707
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
16/02/2013 00:05:00,   53.14,   57.72,   45.70,   55.43,   59.47,   49.09
16/02/2013 00:10:00,   53.77,   59.20,   47.03,   56.19,   61.55,   50.25
16/02/2013 00:15:00,   53.00,   58.25,   45.82,   55.72,   60.82,   49.07
16/02/2013 00:20:00,   53.85,   59.11,   47.03,   56.21,   60.77,   50.26
16/02/2013 00:25:00,   52.92,   57.34,   46.48,   55.10,   59.01,   50.05
16/02/2013 00:30:00,   54.01,   58.23,   47.74,   56.40,   60.02,   50.94
16/02/2013 00:35:00,   52.39,   57.06,   45.60,   54.83,   58.94,   48.92
16/02/2013 00:40:00,   52.30,   58.13,   44.72,   54.63,   60.04,   48.53
16/02/2013 00:45:00,   53.74,   58.90,   44.21,   56.02,   60.39,   48.01
16/02/2013 00:50:00,   52.93,   58.09,   45.03,   55.95,   60.93,   48.61
16/02/2013 00:55:00,   52.24,   57.83,   42.78,   54.20,   58.99,   46.82
16/02/2013 01:00:00,   51.93,   57.36,   44.16,   54.34,   58.52,   48.19
16/02/2013 01:05:00,   51.93,   57.65,   43.18,   54.14,   58.77,   47.62
16/02/2013 01:10:00,   53.76,   60.04,   43.97,   55.93,   61.17,   48.18
16/02/2013 01:15:00,   53.57,   59.27,   42.25,   55.54,   60.34,   46.47
16/02/2013 01:20:00,   53.72,   58.51,   45.19,   56.11,   60.31,   49.27
16/02/2013 01:25:00,   52.60,   58.31,   45.31,   55.44,   60.41,   48.73
16/02/2013 01:30:00,   53.28,   58.41,   44.43,   55.57,   59.92,   47.85
16/02/2013 01:35:00,   51.41,   57.48,   43.84,   54.33,   59.49,   47.78
16/02/2013 01:40:00,   51.79,   58.05,   44.02,   54.80,   60.55,   48.04
16/02/2013 01:45:00,   53.01,   58.10,   45.95,   54.69,   59.27,   49.25
16/02/2013 01:50:00,   53.56,   58.75,   46.84,   55.65,   60.24,   49.59
16/02/2013 01:55:00,   54.87,   60.10,   46.68,   57.45,   62.56,   50.08
16/02/2013 02:00:00,   52.58,   57.75,   44.88,   54.50,   59.29,   48.58
16/02/2013 02:05:00,   54.38,   59.11,   46.61,   56.13,   60.00,   49.43
16/02/2013 02:10:00,   53.40,   58.05,   45.13,   55.40,   59.81,   48.86
16/02/2013 02:15:00,   52.28,   58.13,   45.69,   54.26,   59.66,   48.95
16/02/2013 02:20:00,   53.87,   58.68,   45.42,   56.32,   60.88,   48.63
16/02/2013 02:25:00,   52.32,   57.68,   45.51,   54.52,   59.34,   48.64
16/02/2013 02:30:00,   53.78,   59.68,   46.40,   55.32,   60.60,   49.37
16/02/2013 02:35:00,   52.44,   57.35,   45.36,   54.45,   58.77,   48.65
16/02/2013 02:40:00,   51.40,   57.73,   43.48,   53.28,   58.64,   47.68
16/02/2013 02:45:00,   51.88,   58.30,   43.68,   53.91,   59.84,   47.37
16/02/2013 02:50:00,   51.94,   56.95,   44.97,   53.81,   57.83,   48.16
16/02/2013 02:55:00,   49.76,   55.13,   44.22,   52.16,   57.30,   48.12
16/02/2013 03:00:00,   54.09,   59.83,   45.99,   55.94,   60.89,   49.22
16/02/2013 03:05:00,   51.57,   58.04,   45.21,   55.08,   60.08,   49.44
16/02/2013 03:10:00,   49.96,   55.35,   44.70,   53.16,   57.23,   49.56
16/02/2013 03:15:00,   50.32,   56.40,   44.68,   53.27,   58.50,   49.09
16/02/2013 03:20:00,   53.07,   58.81,   45.57,   55.44,   60.71,   49.22
16/02/2013 03:25:00,   51.77,   57.92,   45.40,   54.13,   59.43,   49.08
16/02/2013 03:30:00,   52.15,   56.68,   45.91,   55.05,   58.55,   49.37
16/02/2013 03:35:00,   51.12,   56.15,   46.21,   53.62,   58.18,   49.47
16/02/2013 03:40:00,   50.70,   56.24,   45.68,   53.13,   57.76,   49.10
16/02/2013 03:45:00,   48.15,   51.97,   43.16,   51.20,   54.98,   46.50
16/02/2013 03:50:00,   49.75,   55.61,   43.75,   52.15,   56.73,   47.30
16/02/2013 03:55:00,   52.47,   58.57,   45.37,   54.71,   59.99,   48.65
16/02/2013 04:00:00,   51.72,   58.78,   44.92,   54.04,   59.76,   48.11
16/02/2013 04:05:00,   51.45,   56.85,   45.36,   53.80,   58.69,   48.96
16/02/2013 04:10:00,   50.52,   56.42,   44.55,   53.23,   58.49,   48.04
16/02/2013 04:15:00,   51.13,   56.62,   44.00,   53.59,   58.77,   47.60
16/02/2013 04:20:00,   50.38,   55.78,   44.55,   54.07,   60.54,   48.09
16/02/2013 04:25:00,   50.96,   57.39,   43.73,   53.05,   58.38,   47.46
16/02/2013 04:30:00,   51.24,   57.49,   43.47,   53.50,   58.87,   47.00
16/02/2013 04:35:00,   51.00,   56.91,   44.08,   54.49,   59.99,   47.39
16/02/2013 04:40:00,   52.99,   58.62,   44.33,   54.71,   59.46,   47.60
16/02/2013 04:45:00,   53.35,   59.43,   44.82,   55.11,   60.48,   47.91
16/02/2013 04:50:00,   50.14,   55.09,   44.63,   52.13,   56.18,   47.78
16/02/2013 04:55:00,   51.79,   57.58,   45.86,   53.65,   58.45,   48.87
16/02/2013 05:00:00,   51.12,   55.21,   45.69,   54.55,   59.31,   49.04
16/02/2013 05:05:00,   49.67,   54.72,   44.38,   51.82,   56.05,   47.37
16/02/2013 05:10:00,   49.04,   53.58,   43.79,   51.81,   56.93,   47.29
16/02/2013 05:15:00,   47.01,   50.18,   42.32,   49.61,   52.30,   46.13
16/02/2013 05:20:00,   49.64,   56.35,   43.94,   51.47,   56.11,   47.35
16/02/2013 05:25:00,   50.79,   57.00,   43.39,   53.37,   58.51,   47.24
