datetime,A_Leq,A_L10,A_L95,C_Leq,C_L10,C_L95,source_file,noise_class
2013-09-10 10:05:00,59.18,63.37,53.51,63.04,66.45,58.02,DCC-NOISE-001003-2013-09-10T00-00-00.txt,0
2013-11-26 15:46:00,63.1,67.4,56.88,66.47,70.27,61.45,DCC-NOISE-001003-2013-11-26T00-00-00.txt,1
2013-04-28 14:40:00,71.76,73.71,69.28,71.09,73.4,68.41,DCC-NOISE-001003-2013-04-28T00-00-00.txt,1
2013-04-03 13:05:00,64.49,67.37,58.44,64.91,67.25,60.62,DCC-NOISE-001003-2013-04-03T00-00-00.txt,1
2013-03-19 15:45:00,63.85,68.43,56.54,67.49,73.04,59.31,DCC-NOISE-001003-2013-03-19T00-00-00.txt,1
2013-04-18 18:30:00,63.34,65.76,58.45,67.39,70.64,62.05,DCC-NOISE-001003-2013-04-18T00-00-00.txt,1
2013-08-13 15:25:00,56.19,58.73,51.13,60.91,64.59,55.54,DCC-NOISE-001003-2013-08-13T00-00-00.txt,0
2013-01-14 15:41:00,61.18,63.95,56.18,64.31,67.02,59.87,DCC-NOISE-001003-2013-01-14T00-00-00.txt,0
2013-01-25 13:55:00,63.86,66.28,60.24,71.13,75.82,64.76,DCC-NOISE-001014-2013-01-25T00-00-00.txt,1
2013-01-25 18:15:00,63.8,66.65,58.09,65.5,67.91,60.61,DCC-NOISE-001014-2013-01-25T00-00-00.txt,1
2013-03-07 18:00:00,61.65,64.0,55.87,63.45,65.62,58.45,DCC-NOISE-001003-2013-03-07T00-00-00.txt,0
2013-02-04 20:15:00,61.32,64.0,56.18,64.2,66.84,60.2,DCC-NOISE-001014-2013-02-04T00-00-00.txt,0
2013-08-31 01:30:00,52.7,57.28,47.57,55.4,59.92,50.7,DCC-NOISE-001003-2013-08-31T00-00-00.txt,0
2013-01-08 11:10:00,59.19,61.81,55.29,62.4,64.46,58.65,DCC-NOISE-001003-2013-01-08T00-00-00.txt,0
2013-04-02 22:45:00,54.79,59.22,47.5,58.79,62.43,51.07,DCC-NOISE-001003-2013-04-02T00-00-00.txt,0
2013-01-31 21:30:00,58.83,61.6,54.99,60.93,63.21,57.68,DCC-NOISE-001014-2013-01-31T00-00-00.txt,0
2013-08-02 09:15:00,59.44,61.08,52.0,63.59,66.28,56.07,DCC-NOISE-001003-2013-08-02T00-00-00.txt,0
2013-10-01 17:17:00,61.37,61.87,53.66,64.11,68.07,57.69,DCC-NOISE-001003-2013-10-01T00-00-00.txt,0
2013-12-13 13:57:00,63.85,65.11,61.53,64.33,65.68,62.04,DCC-NOISE-001003-2013-12-13T00-02-00.txt,1
2013-03-22 12:50:00,62.96,66.45,57.27,65.44,68.96,60.21,DCC-NOISE-001003-2013-03-22T00-00-00.txt,0
2013-11-29 01:00:00,53.67,57.95,47.24,56.19,60.15,50.79,DCC-NOISE-001003-2013-11-29T00-00-00.txt,0
2013-05-25 15:00:00,54.81,58.15,49.06,59.52,63.11,55.08,DCC-NOISE-001003-2013-05-25T00-00-00.txt,0
2013-01-02 12:45:00,59.4,62.11,56.05,63.3,65.96,59.34,DCC-NOISE-001003-2013-01-02T00-00-00.txt,0
2013-08-05 10:10:00,56.17,59.6,50.88,59.59,62.17,53.87,DCC-NOISE-001003-2013-08-05T00-00-00.txt,0
2013-12-26 23:05:00,64.32,67.96,57.35,73.59,79.88,61.92,DCC-NOISE-001003-2013-12-26T00-00-00.txt,1
2013-11-02 16:32:00,63.58,66.5,59.6,68.26,72.26,61.98,DCC-NOISE-001003-2013-11-02T00-00-00.txt,1
2013-02-01 21:40:00,56.46,58.97,51.86,59.72,62.19,56.09,DCC-NOISE-001014-2013-02-01T00-00-00.txt,0
2013-12-18 16:35:00,63.44,65.93,58.72,67.47,70.87,62.21,DCC-NOISE-001003-2013-12-18T00-00-00.txt,1
2013-12-05 07:22:00,64.83,68.81,59.0,74.15,80.93,64.47,DCC-NOISE-001003-2013-12-05T00-00-00.txt,1
2013-10-21 13:22:00,60.57,62.41,54.66,62.68,65.08,57.5,DCC-NOISE-001003-2013-10-21T00-00-00.txt,0
